name,link,ingredients,steps,nutrition,image_url
Our 10 Best Homemade Mac and Cheese Recipes,https://www.allrecipes.com/best-homemade-mac-and-cheese-recipes-8729028,,,,https://www.allrecipes.com/thmb/MkbGgNcGadAWdYw0aRZbo8WapHM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237311-slow-cooker-mac-and-cheese-DDMFS-4x3-9b4a15f2c3344c1da22b034bc3b35683.jpg
Gnocchi Mac and Cheese,https://www.allrecipes.com/gnocchi-mac-and-cheese-recipe-8736330,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk or half-and-half, or more as needed'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded sharp extra-sharp Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Cheddar cheese powder'}, {'quantity': '12', 'unit': 'ounces', 'name': 'gnocchi'}","Preheat oven to 375 degrees F (190 degrees C).. Melt butter in a saucepan over medium high-heat. Whisk in flour until smooth, and cook about 1 minute.. Whisk in cream, evaporated milk, Worcestershire, and mustard. Stir in Cheddar cheese and cheese powder and cook until cheese melts, about 2 minutes. If you prefer a thinner sauce, add evaporated milk, 1 tablespoon at a time, until sauce is the consistency you like.. Stir in gnocchi; pour mixture into a small baking dish.. Bake in the preheated oven until bubbly, about 20 minutes. Serve immediately.","calories: 688, fat: 38g, carbs: 61g, protein: 25g, servings: 3",https://www.allrecipes.com/thmb/F5VZcldGa7tvSuY59Cv4bLGfxOE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8736330_Gnocchi-Mac-and-Cheese_TheDailyGourmet_4x3-e170949d68114f5193220f4c854b3328.jpg
Phyllis’s Homemade Baked Mac & Cheese,https://www.allrecipes.com/phyllis-s-homemade-baked-mac-and-cheese-recipe-8727803,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole milk, or as needed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '24', 'unit': 'ounces', 'name': 'extra-sharp yellow Cheddar cheese'}, {'quantity': '16', 'unit': 'ounces', 'name': 'sharp Cheddar cheese, cubed'}, {'quantity': '2', 'unit': 'pounds', 'name': 'elbow macaroni'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'pounds', 'name': 'sharp Cheddar cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seasoned breadcrumbs'}","Preheat the oven to 350 degrees F. Grease a large casserole dish.. Melt 2 tablespoons butter in a saucepan over medium heat. Add milk, bring to a simmer, then reduce heat to low. Mix flour with 2 to 3 tablespoons water until smooth.  Add flour mixture to the saucepan, stirring constantly, and cook until sauce thickens. Add cubed extra-sharp Cheddar and cubed sharp Cheddar cheese, stirring until cheese melts. Remove from heat.. Meanwhile, bring a large pot of salted water to a boil, and cook elbow macaroni until al dente (tender with a bite), about 8 minutes, or according to package instructions. Drain and set aside.. Melt remaining 2 tablespoons butter in a microwave-safe bowl on High, about 10 seconds. In a large bowl, combine elbow macaroni, melted  butter, and eggs. Stir in cheese sauce; adding a little more milk if the sauce seems too thick. Season with salt and pepper.. Pour macaroni and cheese into the prepared casserole dish. Top with shredded cheese and seasoned breadcrumbs.. Bake in the preheated oven until golden-brown and bubbling, 35 to 45 minutes.","calories: 891, fat: 64g, carbs: 31g, protein: 47g, servings: 12",https://www.allrecipes.com/thmb/ABDZUGm4-uW1jC7pKs-DzzDXunM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8727803_Phylliss-Homemade-Baked-Mac--Cheese_Dotdash-Meredith-Food-Studios_4x3-33bfd48ab9a44172948073c24dffe7a4.jpg
Creamy Crockpot Macaroni and Cheese,https://www.allrecipes.com/creamy-crockpot-macaroni-and-cheese-recipe-8661631,"{'quantity': '1', 'unit': 'pound', 'name': 'elbow macaroni'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt, divided'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '16', 'unit': 'ounces', 'name': 'sharp Cheddar cheese'}","Bring a large pot of water to a boil over high heat; add macaroni and 4 1/2 teaspoons salt. Cook pasta until just barely tender, about 5 minutes. Drain and rinse with cold water to stop the cooking process.. Spray the inside of a slow cooker with cooking spray. Add pasta to the slow cooker and stir in milk, evaporated milk, butter, cream cheese and pepper. Whisk together egg and egg yolk in a small bowl until well combined; stir into pasta mixture. Set aside 3/4 cup shredded cheese. Stir remaining cheese into pasta mixture, cover, and cook on Low until bubbly and lightly browned around the edges, about 1 1/2 hours.. Sprinkle with reserved cheese, cover, and cook until cheese is melted, about 15 minutes more. Serve immediately. Alternatively, turn crockpot to Warm or Off until ready to serve.","calories: 385, fat: 28g, carbs: 18g, protein: 16g, servings: 12",https://cdn.jwplayer.com/v2/media/F4NOeJ1x/thumbnails/G0Rlq7dP.jpg
Copycat Chick-fil-A Mac and Cheese,https://www.allrecipes.com/copycat-chick-fil-a-mac-and-cheese-recipe-8572260,"{'quantity': '8', 'unit': 'ounces', 'name': 'elbow macaroni, or other short pasta (shells or fusilli)'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '10', 'unit': 'ounces', 'name': 'evaporated milk'}, {'quantity': '1/2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '1/4 cup plus 2 tablespoons', 'unit': None, 'name': 'Cheddar'}, {'quantity': '1/4 cup plus 2 tablespoons', 'unit': None, 'name': 'Gruyère'}, {'quantity': '1/4 cup plus 2', 'unit': 'tablespoons', 'name': 'fontina, divided'}, {'quantity': '1/4 cup plus 2', 'unit': 'tablespoons', 'name': 'sharp Cheddar, divided'}, {'quantity': '2', 'unit': '0.9 ounce', 'name': 'Brie cheese, rind removed'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook, uncovered, stirring occasionally, until tender yet firm to the bite, 6 to 8 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 9x9-inch baking dish with cooking spray.. Meanwhile, melt butter in a heavy saucepan over medium-low heat. Whisk in flour until mixture is a smooth paste and no lumps remain. Slowly pour in evaporated milk, whisking continuously. Whisk in Worcestershire, Dijon mustard, and salt, and cook until slightly thickened, about 2 minutes.. Add in the 1/4 cup each MontAmoré® Cheddar, Gruyère, fontina, and sharp Cheddar. Remove rind from Brie. Add Brie to the sauce, and stir until all cheese is melted, about 1 minute.. Drain pasta and add to the cheese sauce. Pour half of the macaroni and cheese into the prepared baking dish.. Toss remaining 2 tablespoons each of MontAmoré® Cheddar, Gruyère, fontina, and sharp Cheddar together in a small bowl; sprinkle half of cheese mixture over pasta. Pour remaining pasta into the dish; sprinkle remaining cheese mixture over the top.. Bake, uncovered, in the preheated oven until cheese is golden, about 25 minutes.","calories: 257, fat: 16g, carbs: 15g, protein: 13g, servings: 8",https://www.allrecipes.com/thmb/Vr-YjqQUTEtFuo1rHZmMA8BC4P0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8572260_Copycat-Chick-fil-a-Mac-and-Cheese_TheDailyGourmet_4x3-55f320f547a1430fb1760690b51083a5.jpg
Broccoli Cheddar Mac and Cheese,https://www.allrecipes.com/broccoli-cheddar-mac-and-cheese-recipe-8551735,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': 'easpoons', 'name': 'chicken soup base'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'evaporated milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper (optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'elbow macaroni'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sharp Cheddar cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3', 'unit': 'cups', 'name': 'roughly chopped broccoli florets'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Add 4 cups water and soup base to a large saucepan over medium-high heat; stir to dissolve soup base. Stir in evaporated milk, whipping cream, Worcestershire sauce, Dijon mustard, paprika, cayenne, and pinch salt.. Add in pasta, cover, and bring to a boil. Reduce heat to medium-low, and cook, stirring frequently, until pasta is tender with a bite, 8 to 11 minutes. Stir in Cheddar cheese and Parmesan cheese; allow to melt into the sauce.. Place broccoli and 3 tablespoons water In a microwave-safe container. Cover; steam broccoli on High in the microwave until tender, about 4 minutes.. Drain broccoli florets and add to pasta, gently toss to coat, and season to taste with salt and pepper. Serve immediately.","calories: 526, fat: 30g, carbs: 38g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/EWE89O5UDFh6VSnSnJFfZUK3gGo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8551735_Broccoli-Mac-and-Cheese_TheDailyGourmet_4x3-cf4bc259641f4ec1bf9d5ad5aaf8a6da.jpg
Crab Mac and Cheese,https://www.allrecipes.com/crab-mac-and-cheese-recipe-8422567,"{'quantity': '1/2', 'unit': 'pound', 'name': 'penne pasta'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Old Bay'}, {'quantity': '3', 'unit': 'cups', 'name': 'heddar cheese'}, {'quantity': '1', 'unit': '5.2 ounce', 'name': 'Garlic & Herbs Soft Spreadable Cheese'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '1', 'unit': None, 'name': 'hot sauce, or to taste'}, {'quantity': '2', 'unit': 'ounces', 'name': 'crab meat'}","Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain; keep warm.. Meanwhile, add butter and flour to a saucepan over medium heat. As butter melts, whisk flour to create a roux. Slowly pour in milk, whisking constantly, and cook for 3 to 4 minutes. When milk comes to a boil, turn off heat. Add Old Bay seasoning, Cheddar cheese, and Boursin cheese, and whisk until cheeses are melted and sauce is smooth. Season with salt and hot sauce to taste.. Stir in drained pasta; gently fold in crab meat.","calories: 738, fat: 45g, carbs: 48g, protein: 37g, servings: 4",https://www.allrecipes.com/thmb/MVp5piaXngtxulax2gHc7F_0CJ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8422567_Crab-Mac-and-Cheese_TheDailyGourmet_4x3-5955981927f5409ca04629ee901a2230.jpg
Crawfish Mac and Cheese,https://www.allrecipes.com/crawfish-mac-and-cheese-recipe-8422414,"{'quantity': '1', 'unit': 'pound', 'name': 'macaroni pasta, or your favorite pasta'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '1/2', 'unit': None, 'name': 'yellow onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'crawfish'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'seafood seasoning, divided, plus more to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '8', 'unit': 'ounces', 'name': 'havarti cheese, shredded'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '4', 'unit': 'ounces', 'name': 'Gouda cheese, shredded'}","Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain; set aside.. Meanwhile, melt 2 tablespoons butter over medium heat in a saucepan. Add onions and cook and stir for 2 to 3 minutes. Add crawfish tails and 1 teaspoon seafood seasoning, and sauté for 2 minutes more. Remove from heat. Seat aside.. Warm 1 cup heavy cream and 1 tablespoon butter in a saucepan over low heat. Add havarti, cream cheese, and Gouda, and melt slowly, stirring constantly. Gradually add the remaining 1 cup heavy cream, stirring constantly. Add remaining 1 teaspoon seafood seasoning; continue stirring until all cheese is melted and sauce is smooth.. Mix pasta, crawfish mixture, and cheese sauce together in a large bowl or pot. Season to taste with salt, pepper, and seafood seasoning.","calories: 842, fat: 65g, carbs: 30g, protein: 35g, servings: 6",https://www.allrecipes.com/thmb/h6LuktYcSE4oFWnbsph0Ux7FvB0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8422414_Crawfish-Mac-and-Cheese_Shelia-Johnson_4x3-ba694bde2ee14c7f865a633184e5119f.jpg
Skillet Cheeseburger Pasta,https://www.allrecipes.com/skillet-cheeseburger-pasta-recipe-8401021,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'oil'}, {'quantity': '1', 'unit': None, 'name': 'onion, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 1/4', 'unit': 'pounds', 'name': '93% lean ground beef'}, {'quantity': '1 (12', 'unit': 'ounce) can', 'name': 'evaporated milk'}, {'quantity': '1 (8', 'unit': 'ounce) can', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pickle relish'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ijon mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'granulated onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ontreal steak seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flour'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'macaroni'}, {'quantity': '3', 'unit': 'cups', 'name': 'sharp Cheddar cheese'}","Melt butter with oil in a deep cast iron skillet over medium heat. Add chopped onion and cook until translucent, about 3 minutes.. Add minced garlic and ground beef; cook and stir, breaking up the meat with a spatula, until beef is crumbly and browned, about 7 minutes.. Stir in tomato sauce and evaporated milk. Add pickle relish, Dijon mustard, granulated garlic, granulated onion, Montreal steak seasoning, chili powder, smoked paprika, salt, and pepper, and stir to combine.. Reserve 1/4 cup beef broth, and pour remaining beef broth into the skillet. Whisk flour and the 1/4 cup beef broth together in a small bowl to make a slurry; stir slurry into the skillet.. Stir in dry macaroni until pasta is fully submerged. Bring mixture to a boil, reduce the heat to low, and simmer, covered, until macaroni is tender with a bite, about 10 minutes.. Set a rack about 6 inches from the heat source and preheat the oven’s broiler.. Stir 2 cups cheese into macaroni mixture. Sprinkle remaining cheese evenly across the top of the skillet. Broil until cheese is golden, about 3 minutes. Serve immediately.","calories: 863, fat: 56g, carbs: 27g, protein: 63g, servings: 6",https://www.allrecipes.com/thmb/7jggcxNd04f61IxUlbUN2YVz8x0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8401021_Skillet-Cheeseburger-Pasta_TheDailyGourmet_4x3-c9a8287499a641b882cb2dd84aab41a7.jpg
Chili Dog Mac and Cheese,https://www.allrecipes.com/chili-dog-mac-and-cheese-recipe-8348272,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, plus more to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried oregano, preferably Mexican oregano'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'green peppers'}, {'quantity': '1', 'unit': 'pound', 'name': 'hot dogs, sliced'}, {'quantity': '1 (28', 'unit': 'ounce) can', 'name': 'crushed tomatoes (or 3 1/2 cups tomato sauce or puree)'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'elbow macaroni'}, {'quantity': '8', 'unit': 'ounces', 'name': 'white Cheddar cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Monterey Jack cheese'}, {'quantity': None, 'unit': None, 'name': 'green onions, sliced, for the top (optional)'}",,"calories: 452, fat: 32g, carbs: 16g, protein: 27g, servings: 12",https://cdn.jwplayer.com/v2/media/QQs9Sr3c/thumbnails/SDeUqRgx.jpg
