name,link,ingredients,steps,nutrition
Macarons,https://www.allrecipes.com/recipe/223232/macarons/,"{'quantity': '4', 'unit': '', 'name': 'extra large egg whites'}, {'quantity': '1 ⅔', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'almond flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'superfine (castor) sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'seedless raspberry jam'}","Place egg whites into a metal mixing bowl and refrigerate overnight. The next day, bring egg whites to room temperature.. Preheat the oven to 280 degrees F (138 degrees C). Line two baking sheets with parchment paper.. Whisk confectioners' sugar and almond flour together in a bowl.. Beat egg whites with salt in a metal bowl with an electric mixer on medium speed until foamy, about 1 minute. Increase speed to high and gradually beat in superfine sugar, about 1 tablespoon at a time, until egg whites are glossy and hold stiff peaks, 3 to 5 more minutes.. Gently fold almond flour mixture into whipped egg whites until thoroughly incorporated; spoon meringue into a pastry bag fitted with a 3/8-inch tip. Pipe 1-inch disks of meringue onto the prepared baking sheets, leaving 2 inches of space between macarons. The batter will spread.. Lift the baking sheets a few inches above the work surface and hit them lightly on the work surface several times to remove any air bubbles from the macarons; let stand at room temperature until the shiny surfaces become dull and a thin skin forms, about 25 to 30 minutes.. Place the baking sheets in the preheated oven and bake until macarons surfaces are completely dry, about 19 to 20 minutes. Let macarons cool completely on the baking sheets before peeling parchment paper off.. Spread half of the macaron cookies with any desired filling; top with remaining macarons to make sandwich cookies, and refrigerate at least 2 hours to overnight to let them soften.","calories: 73, fat: 3g, carbs: 12g, protein: 1g, servings: 15"
Coconut Macaroons,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/,"{'quantity': '5 ½', 'unit': 'cups', 'name': 'flaked coconut'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}",,"calories: 348, fat: 15g, carbs: 50g, protein: 5g, servings: 12"
Oatmeal Chocolate Coconut Macaroons,https://www.allrecipes.com/recipe/230280/oatmeal-chocolate-coconut-macaroons/,"{'quantity': '2', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded coconut'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}","Mix together oats, coconut, and cocoa powder in a large bowl.. Bring sugar, butter, and milk to a boil in a saucepan, stirring occasionally; remove immediately from heat and stir into oat mixture until well combined.. Drop 15 spoonfuls of dough onto a sheet of waxed paper. Let cool completely at room temperature before serving.","calories: 228, fat: 9g, carbs: 38g, protein: 2g, servings: 15"
Chocolate-Dipped Coconut Macaroons,https://www.allrecipes.com/recipe/266645/chocolate-dipped-coconut-macaroons/,"{'quantity': '¾', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '1', 'unit': '', 'name': 'large egg white'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded unsweetened coconut'}, {'quantity': '1', 'unit': '(4 ounce) bar', 'name': 'semisweet chocolate, chopped, or to taste'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine condensed milk, almond extract, vanilla extract, salt, and egg white in a bowl. Whisk until thoroughly combined. Add about 2 1/3 cups shredded coconut. Mix with a spatula until mixture is sticky and holds together. Form into balls using a sorbet scoop.. Roll balls in remaining coconut. Space macaroons evenly onto a silicone-lined baking sheet.. Bake in the preheated oven until golden, about 20 minutes. Let cool to room temperature, at least 20 minutes.. Meanwhile, place 3/4 of the chocolate in top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, about 5 minutes. Remove from heat and stir in the rest of the chocolate until it melts.. Dip the base of each cooled macaroon about 1/8 inch into the chocolate. Place cookies, chocolate-side down, on parchment paper. Let chocolate harden completely.","calories: 133, fat: 10g, carbs: 11g, protein: 2g, servings: 24"
Perfect Coconut Macaroons,https://www.allrecipes.com/recipe/220926/perfect-coconut-macaroons/,"{'quantity': '1', 'unit': '(14 ounce) package', 'name': 'sweetened, flaked coconut'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'egg whites, room temperature'}, {'quantity': '8', 'unit': 'ounces', 'name': 'semisweet chocolate chips'}","Preheat oven to 350 degrees F (175 degrees C).. Line a baking sheet with parchment paper.. Blend coconut, sugar, flour, vanilla extract, almond extract, and salt in a food processor until combined, about 30 seconds.. Beat egg whites in a bowl until soft peaks form.. Fold coconut mixture into egg whites until just combined.. Wet your hands. Roll spoonfuls of coconut mixture between palms to golf ball-size cookies; arrange on the prepared baking sheet.. Bake cookies in the preheated oven until coconut is slightly golden and toasted, about 15 minutes. Transfer to a wire rack to cool, 30 minutes.. Line baking sheet with new piece of parchment paper.. Melt chocolate chips in the top of a double boiler over just-barely simmering water, stirring frequently and scraping down the sides with a rubber spatula to avoid scorching.. Dip half of each cookie in the chocolate and place on the prepared baking sheet. Place in refrigerator until chocolate is set, about 15 minutes.","calories: 178, fat: 10g, carbs: 23g, protein: 2g, servings: 18"
Macaroons,https://www.allrecipes.com/recipe/155551/macaroons/,"{'quantity': '2', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'sweetened flaked coconut'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a baking sheet.. Beat together egg whites and salt in a small bowl until soft peaks form. Add sugar 1 tablespoon at a time while beating at high speed until stiff peaks form. Continue to beat until glossy.. Fold coconut into egg mixture. Drop mixture by the teaspoonful onto the prepared sheet, spacing about 2 inches apart.. Bake in preheated oven until edges are light golden, about 12 minutes.","calories: 91, fat: 4g, carbs: 15g, protein: 1g, servings: 12"
Light and Fluffy Coconut Macaroons,https://www.allrecipes.com/recipe/220928/light-and-fluffy-coconut-macaroons/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': '(7 ounce) package', 'name': 'shredded coconut'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 325 degrees F (165 degrees C). Spray a baking sheet with cooking spray.. Whisk egg whites in a bowl until frothy. Whisk in almond extract.. Combine coconut, sugar, flour, and salt in a large bowl. Gently fold in egg white mixture until batter comes together.. Drop tablespoons of batter 2 inches apart onto the prepared baking sheet.. Bake in the preheated oven until edges start to brown, about 20 minutes.. Remove from the oven and transfer to wire racks to cool.","calories: 71, fat: 3g, carbs: 10g, protein: 1g, servings: 18"
Air Fryer Coconut Macaroons,https://www.allrecipes.com/recipe/283065/air-fryer-coconut-macaroons/,"{'quantity': '1', 'unit': '(14 ounce) package', 'name': 'sweetened flaked coconut'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'large', 'name': 'egg whites, at room temperature'}, {'quantity': '8', 'unit': 'ounces', 'name': 'bittersweet chocolate, chopped'}","Preheat an air fryer to 320 degrees F (160 degrees C) for 10 minutes. Cut a piece of parchment paper to fit the air fryer basket, leaving 1 inch on each side to use as handles.. Mix coconut, condensed milk, salt, and vanilla together in a large bowl.. Beat egg whites in a medium bowl with an electric mixer with a whisk attachment on medium-high speed until stiff peaks almost form, about 90 seconds. Fold egg whites into the coconut mixture.. Working in batches, spoon level tablespoons of the coconut mixture into rounds and place on the parchment paper, about 6 at time. Carefully transfer the parchment with coconut rounds into the air fryer basket.. Cook until golden brown and set, 9 to 10 minutes. Remove parchment from basket, transfer macaroons to a wire rack, and repeat the process with remaining coconut mixture using the same piece of parchment paper.. Microwave chocolate in a medium microwave-safe bowl on high power for 30 seconds, then stir. Continue microwaving and stirring in 30 second increments, until melted and smooth, about 90 seconds total.. Dip flat bottoms of macaroons into melted chocolate and transfer to a parchment-lined baking sheet to set. Let rest until chocolate firms, about 30 minutes.","calories: 103, fat: 6g, carbs: 12g, protein: 1g, servings: 36"
Coconut Macaroons German Style,https://www.allrecipes.com/recipe/95782/coconut-macaroons-german-style/,"{'quantity': '2 ¾', 'unit': 'cups', 'name': 'flaked coconut, toasted'}, {'quantity': '4', 'unit': '', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}","Preheat the oven to 250 degrees F (120 degrees C). Line cookie sheets with parchment paper.. In a large bowl, whip egg whites with an electric mixer until stiff enough to make a mark through with a knife. Gradually sprinkle in the sugar, cinnamon and almond extract while continuing to mix on low speed. Fold in toasted coconut by hand. Spoon or scoop onto the prepared cookie sheets.. Bake for 20 to 25 minutes in the preheated oven, until cookies are dry and peel of the paper easily. Cool on wire racks and store in an airtight container at room temperature.","calories: 49, fat: 2g, carbs: 9g, protein: 1g, servings: 36"
Coconut Macaroons II,https://www.allrecipes.com/recipe/10344/coconut-macaroons-ii/,"{'quantity': '5 ½', 'unit': 'cups', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'almond extract'}","Preheat oven to 350 degrees F (180 degrees C).. In large mixing bowl, combine coconut, sweetened condensed milk and extracts; mix well.. Drop by rounded teaspoonfuls onto aluminum foil-lined and generously greased baking sheets. Bake 8 to 10 minutes or until lightly browned around the edges. Immediately remove from baking sheets. Store loosely covered at room temperature.","calories: 132, fat: 6g, carbs: 18g, protein: 2g, servings: 24"
