name,link,ingredients,steps,nutrition,image_url
15 Best Stuffed Peppers Recipes,https://www.allrecipes.com/gallery/best-stuffed-peppers-recipes/,,,,https://www.allrecipes.com/thmb/k-FGG465qRSedNkA5g8OOlrfbwg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6125310-bb6a67cc7f0b4cebbdde279cc92a813b.jpg
Chef John's Tuna Noodle Casserole,https://www.allrecipes.com/recipe/280246/chef-johns-tuna-noodle-casserole/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely diced yellow onion'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'cups', 'name': 'cold milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded white Cheddar cheese'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'dry egg noodles'}, {'quantity': '2', 'unit': '(5.5 ounce) cans', 'name': 'tuna packed in olive oil, drained and crumbled, or to taste'}, {'quantity': '¾', 'unit': 'cup', 'name': 'frozen peas, thawed and drained'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'plain bread crumbs'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmigiano-Reggiano cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly butter a 9x13-inch casserole dish.. Melt 3 tablespoons butter in a medium saucepan over medium heat. Saute onion with 1/2 teaspoon kosher salt until it starts to soften up and turn translucent, 3 to 4 minutes. Add the flour, and cook, stirring, for 3 minutes, reducing heat if needed.. Pour in cold milk and whisk for 1 minute. Raise heat to medium-high and cook, stirring often, until the sauce thickens and comes to a simmer. Remove from heat, whisk in Cheddar cheese, and reserve until needed.. Fill a large pot with water and remaining salt and bring to a rapid boil. Cook egg noodles for 5 minutes. Drain well and add to a large mixing bowl. Stir in the reserved sauce, followed by tuna, peas, cayenne, black pepper, and Worcestershire sauce. Mix with a spatula until evenly combined.. Pour the mixture into the prepared dish. Mix bread crumbs, Parmigiano-Reggiano cheese, and olive oil together in a small bowl until combined and resembling wet sand. Sprinkle evenly over the casserole.. Bake in the center of the preheated oven until browned and bubbly, about 30 minutes. Let sit for 10 minutes before cutting and serving.","calories: 511, fat: 23g, carbs: 46g, protein: 30g, servings: 8",https://cdn.jwplayer.com/v2/media/3mLYcWYm/poster.jpg?width=720
Our 14 Best Cabbage Roll Recipes,https://www.allrecipes.com/gallery/best-cabbage-rolls/,,,,https://www.allrecipes.com/thmb/xdZUo9n_sIHFjEnNhhoiTs8AMBE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/stuffed-cabbage-rolls-910946518eb64e8a8171736dc412a825.jpg
15 Top-Rated Meatloaf Recipes,https://www.allrecipes.com/gallery/top-rated-meatloaf-recipes/,,,,https://www.allrecipes.com/thmb/YB4ISLtA29c2ABn8z0PXQN946Ig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2258521-classic-spicy-meatloaf-naples34102-4x3-1-03adedca231b4a4b8169c50059b2ef7d.jpg
Air Fryer Lemon Garlic Parmesan Chicken,https://www.allrecipes.com/air-fryer-lemon-garlic-parmesan-chicken-recipe-8726749,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'skinless boneless chicken thighs'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}","Gather all ingredients.. Preheat an air fryer to 400 degrees F (200 degrees C).. Place chicken in a large bowl. Add garlic, lemon zest, paprika, oregano, salt, and crushed red pepper; toss to coat chicken in the seasonings.. Combine Parmesan cheese and panko in a shallow dish. Dredge chicken in Parmesan mixture to coat. Sprinkle any remaining mixture over chicken; pat to adhere.. Coat the chicken generously with cooking spray.. Lightly coat air fryer basket with cooking spray. Place chicken in prepared basket (cook in batches, if needed). Air fry 12 minutes or until an instant-read thermometer inserted in the center reads 170 degrees F (77 degrees C).. Serve immediately.","calories: 365, fat: 17g, carbs: 8g, protein: 46g, servings: 4",https://www.allrecipes.com/thmb/5nJvgXENSeFx82N1d7DMd3TMKqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8726749-Air-Fryer-Lemon-Garlic-Parmesan-Chicken-ddmfs-5770-4x3-beauty-5c66fac06d8040abac905e15b2b9c44a.jpg
Pizza Rice Bake (Pizzaiola Rice),https://www.allrecipes.com/pizza-rice-bake-recipe-8744154,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white rice'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'vegetable'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'marinara sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Parmesan cheese'}, {'quantity': '15', 'unit': None, 'name': 'pepperoni slices'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded low-moisture part-skim mozzarella cheese'}, {'quantity': None, 'unit': None, 'name': 'torn fresh basil leaves'}",,"calories: 275, fat: 13g, carbs: 29g, protein: 11g, servings: 6",https://cdn.jwplayer.com/v2/media/caVP3VdE/thumbnails/rGTWegXd.jpg
Spinach Artichoke Chicken Bake,https://www.allrecipes.com/spinach-artichoke-chicken-bake-recipe-8745127,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'boneless chicken breast'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '3', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh basil,'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1 (', 'unit': '14.6 ounce) can', 'name': 'artichoke hearts in water'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seasoned bread crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Heat olive oil and butter together in a large, ovenproof skillet over medium heat.. When butter is sizzling, add chicken pieces. Season with salt and pepper. Brown one side of the chicken pieces, 3 to 5 minutes; turn, and add diced red onion, minced garlic, and minced fresh basil. (See Note.). Cook, stirring often, until garlic is fragrant and onion is softened, about 3 minutes. Season with pepper flakes, and add artichokes and tomatoes. Stir in spinach; remove skillet from heat.. Combine Italian seasoned bread crumbs and shredded Parmesan cheese. Sprinkle bread crumb mixture over skillet contents.. Bake in the center of the preheated oven, uncovered, until bubbly and brown, about 25 minutes. Garnish with fresh basil and serve warm.","calories: 524, fat: 17g, carbs: 30g, protein: 63g, servings: 4",https://www.allrecipes.com/thmb/TE4PLlFvjsVZ6j_yVOR2r5QY4gQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745127_Spinach-Artichoke-Chicken-Bake_Brenda-Venable_4x3-f94f732fe5f447e0bc1828218a783922.jpg
Crispy Turkey Flautas,https://www.allrecipes.com/recipe/245584/crispy-turkey-flautas/,"{'quantity': '1', 'unit': 'pound', 'name': 'cooked, shredded turkey'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded pepper Jack cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '24', 'unit': '', 'name': 'small white corn tortillas'}, {'quantity': '1', 'unit': '', 'name': 'egg white to seal flautas (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded napa cabbage'}, {'quantity': '¾', 'unit': 'cup', 'name': 'guacamole'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¾', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Mix shredded turkey, pepper Jack cheese, green onions, salt and pepper together in a bowl.. Wrap stack of tortillas in a paper towel and place in a sealable plastic bag. Seal the bag only halfway. Microwave on high until tortillas are hot and flexible, about 45 seconds. Keep tortillas warm in the bag as you fill the others.. Place 2 tortillas on a work surface, one about 2 inches off center of the first creating a longer partially double tortilla. Spoon about 1/4 to 1/3 cup turkey mixture in a row just below the center of the long side of the tortilla. Paint a bit of egg white along the top edge of the tortillas. Bring bottom edge of the tortilla up and over the filling and roll rather tightly toward the top edge over the egg white. Set aside with the fold on the bottom while you fill the remaining tortillas.. Place 1/4 inch vegetable oil in a saute pan over medium heat. When oil is hot, place flautas in oil, seam side down. Press down gently with a spatula a couple of seconds to flatten bottoms. Fry in batches until flautas are crispy, golden, and heated through, 3 to 4 minutes per side. Drain about a minute on paper towels. Serve topped with shredded cabbage, guacamole, sour cream, salsa, and chopped cilantro.","calories: 578, fat: 25g, carbs: 54g, protein: 37g, servings: 6",https://cdn.jwplayer.com/v2/media/N2pNCPI7/poster.jpg?width=720
Chef John's Turkey Manicotti,https://www.allrecipes.com/recipe/235159/how-to-make-turkey-manicotti/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced cooked turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole-milk ricotta cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'marinara sauce, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly shredded Parmigiano-Reggiano cheese for garnish, or as desired'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped Italian parsley'}","Preheat oven to 350 degrees F (175 degrees C).. Whisk 2 eggs, flour, water, salt, and 1/2 teaspoon olive oil together thoroughly in a bowl to make a very smooth batter. Cover bowl with plastic wrap and refrigerate batter for 1 hour.. Mix turkey, ricotta cheese, 1 egg, 1/2 cup Parmigiano-Reggiano cheese, mozzarella cheese, marjoram, red pepper flakes, and 1/4 cup Italian parsley in a bowl until thoroughly combined. Season with salt to taste.. Place a nonstick skillet over medium-high heat and brush generously with 1 teaspoon olive oil or as needed. Swirl about 1/4 cup batter into the bottom of the pan and tilt to form a thin pancake covering the bottom of the skillet. Cook until bottom of crepe is dry, 60 to 90 seconds. Flip crepe and cook until other side has small browned spots, 60 to 90 seconds more. Repeat with remaining batter to make 6 crepes. Transfer crepes to a plate as you make them.. Spread about 1/2 cup marinara sauce into the bottom of a 9x12-inch baking dish. Use a brush to spread about 1/2 teaspoon of olive oil in a thin layer up the sides of the dish. Place a crepe, dimpled side down, onto a work surface; spread about 1/3 to 1/2 cup filling onto crepe in a line down the middle. Roll crepe over filling and tuck in ends if desired. Lay filled crepe into the baking dish. Repeat with remaining crepes and filling to make 6 manicotti.. Spread remaining 1 cup marinara sauce onto the manicotti in a line down the middle of the crepes, covering middle 1/3 of manicotti. Sprinkle 1/3 cup Parmigiano-Reggiano cheese all over manicotti. Drizzle manicotti with remaining 1 1/2 teaspoon olive oil.. Bake in the preheated oven until manicotti are slightly browned and puffy, about 45 minutes. Let stand 5 minutes to cool. Garnish with 1 tablespoon Parmigiano-Reggiano cheese or as desired and 1 tablespoon Italian parsley before serving.","calories: 286, fat: 13g, carbs: 22g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/deqFf7Hw/poster.jpg?width=720
Creamy Bacon Pasta Bake,https://www.allrecipes.com/creamy-bacon-pasta-bake-recipe-8736946,"{'quantity': '8', 'unit': 'ounces', 'name': 'thick-cut bacon, chopped'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh flat-leaf parsley'}",,"calories: 698, fat: 48g, carbs: 37g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/caVP3VdE/thumbnails/rGTWegXd.jpg
