name,link,ingredients,steps,nutrition,image_url
Crustless Grilled Cheese,https://www.allrecipes.com/crustless-grilled-cheese-recipe-8670392,"{'quantity': '8', 'unit': 'slices', 'name': 'white sandwich bread'}, {'quantity': '4', 'unit': 'slices', 'name': 'Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}","Spread a thin layer of butter onto 1 side of each slice of bread.. Using a round cookie cutter that is slightly smaller than the sandwich sealer, press out round slices of cheese. Lay 4 slices of bread on a work surface, buttered side down. Place a cheese round in the center of each slice. Top with remaining 4 bread slices, buttered side up.. Center a sandwich sealer over a sandwich, press the sealer down, and hold it in place to seal the edges, 15 to 30 seconds. Pull the crusts away from the sealer; discard. Repeat with remaining sandwiches.. Place sandwich discs on a parchment-lined baking sheet and freeze for 2 hours before transferring into a freezer bag.. Preheat the air fryer to 380 degrees F (193 degrees C). Cook frozen sandwiches until golden, about 5 minutes. If sandwiches are thawed, cook 3 minutes at 370 degrees F (188 degrees C).","calories: 304, fat: 14g, carbs: 32g, protein: 12g, servings: 4",https://www.allrecipes.com/thmb/ku9yeeMH066RlQIcMRyO_7ePVJ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8670392_Crustless-Grilled-Cheese_TheDailyGourmet_4x3-35b478fb6a2a44abbcc2c1aba0348ae4.jpg
15 Make-Ahead Sides That Will Make Every Backyard BBQ So Much Easier,https://www.allrecipes.com/make-ahead-sides-backyard-bbq-8667945,,,,https://www.allrecipes.com/thmb/AQm3wwM_OoOW2inR6MOP5w3mt24=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/69226-bacon-ranch-pasta-salad-DDMFS-4x3-0903-b32a48b8a875419cba73748c4cd02d70.jpg
Chicken Zoodle Soup in a Jar,https://www.allrecipes.com/chicken-zoodle-soup-in-a-jar-recipe-8364198,"{'quantity': '4', 'unit': 'teaspoons', 'name': 'chicken stock base'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sage'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 2/3', 'unit': 'cups', 'name': 'cooked chicken'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'zucchini'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded carrot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'celery'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped sweet onion'}","Stir together chicken stock base,  garlic, dried rosemary, ground sage, and black pepper in a small bowl. Divide mixture evenly among 3 microwave-safe pint-size canning jars with lids.. Layer evenly with chicken, spiralized zucchini, carrot, celery, and sweet onion. Chill, covered, up to 5 days. To serve, see “Heat and Eat”, below. Season with pepper.","calories: 219, fat: 11g, carbs: 9g, protein: 21g, servings: 3",https://www.allrecipes.com/thmb/ma1EgoOoqxlTDL75t54GpUKKVVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/236979-chicken-zoodle-soup_R314555_3x4-18109eea1d57445f82c6b1ad33e8a90d.jpg
Minestrone Soup in a Jar,https://www.allrecipes.com/minestrone-soup-in-a-jar-recipe-8350626,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable stock base'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'italian seasoning'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'kidney beans, drained and rinsed'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'shell pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'green beans'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped sweet onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'carrot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'celery'}, {'quantity': None, 'unit': None, 'name': 'grated Parmesan cheese, for garnish'}","Stir together vegetable stock base, tomato paste, minced garlic, and Italian seasoning in a small bowl. Divide mixture evenly among 3 microwave-safe pint-size canning jars with lids.. Layer evenly with kidney beans, ditalini pasta, green beans, onion, carrot, and celery. Chill, covered, up to 5 days. To serve, see “Heat and Eat,” below. Garnish with grated Parmesan.","calories: 313, fat: 2g, carbs: 58g, protein: 17g, servings: 3",https://www.allrecipes.com/thmb/0-pR6hq4GZfkFaS0CWaZP-rihk8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8350626-minestrone-soup-in-a-jar-4x3-3dfb48a47ac84e08976704acecb65bc9.jpg
Miso Noodle Soup in a Jar,https://www.allrecipes.com/miso-noodle-soup-in-a-jar-recipe-8350566,"{'quantity': '12', 'unit': 'ounces', 'name': 'tofu'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'miso paste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable stock base'}, {'quantity': '1', 'unit': 'tablespoon grated', 'name': 'fresh ginger'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'noodles'}, {'quantity': '1', 'unit': 'cup', 'name': 'shiitake mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby bok choy'}","Cut tofu into 1/2-inch planks. Heat oil in a large skillet over medium-high heat. Cook tofu, turning halfway through, until golden, 6 to 8 minutes. Cut tofu into cubes.. Stir together green onions, miso paste, garlic, stock base, and ginger in a small bowl. Divide evenly among 3 microwave-safe pint-size canning jars with lids.. Layer evenly with rice vermicelli noodles, tofu, mushrooms, and bok choy. Chill, covered, up to 5 days. To serve, see “Heat and Eat”. Garnish with sliced green onions.","calories: 256, fat: 12g, carbs: 24g, protein: 17g, servings: 3",https://www.allrecipes.com/thmb/sXRAmebCzaUj3DzqaxD4Yyaznug=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8350566-miso-noodle-soup_R314555_4x3-66820aee68e843b9af23c208c31a100f.jpg
Cranberry Hummus,https://www.allrecipes.com/recipe/8512619/cranberry-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped dried cranberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped pecans'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Drain cannellini beans and reserve liquid.. Combine cannellini beans, cranberries, olive oil, lemon juice, thyme, cinnamon, and garlic in a food processor; blend until smooth. If too thick, thin out to your desired consistency by blending in some of the reserved bean liquid.. Stir in chopped pecans, and season to taste with salt. Store in the refrigerator in an air-tight container until ready to serve.. Garnish with additional cranberries, pecans, and a drizzle of olive oil, if desired.","calories: 101, fat: 7g, carbs: 10g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/ONoAwDHEHUx39yJK936wy_m8O84=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1669489141Cranberry20Hummus-2000-075ee865f483482d981a0e8e6268f25b.jpeg
Easy French Toast Casserole,https://www.allrecipes.com/recipe/240502/easy-french-toast-casserole/,"{'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': '(8 ounce) loaf', 'name': 'crusty French bread, cut into bite-sized pieces, or more as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon, or to taste'}","Gather all ingredients and grease a 9x13-inch baking dish.. To make the French toast: Stir brown sugar and butter together in a saucepan over medium-low heat until butter is melted and sugar has dissolved, 2 to 4 minutes. Pour butter-brown sugar mixture into the prepared baking dish.. Scatter French bread pieces over top in a 1 ½- to 2-inch layer.. Whisk milk, eggs, and vanilla together in a bowl until well combined. Pour over bread pieces, then press bread down with a spatula so the bread absorbs the liquid. Cover the dish with plastic wrap and refrigerate, 8 hours to overnight.. When ready to bake, remove French toast from the refrigerator and discard plastic wrap. Preheat the oven to 450 degrees F (230 degrees C).. To make the topping: Mix brown sugar and cinnamon together in a small bowl. Sprinkle over French toast.. Bake in the preheated oven until casserole is browned and bubbling, about 30 minutes, covering with aluminum foil at any point if the top is browning too much.. To serve, cut into squares and invert onto serving plates.","calories: 382, fat: 17g, carbs: 48g, protein: 10g, servings: 8",https://cdn.jwplayer.com/v2/media/rEn7huwE/poster.jpg?width=720
Easy Overnight Oats,https://www.allrecipes.com/recipe/244251/no-cook-overnight-oatmeal/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Greek yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chia seeds'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cinnamon or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh blueberries'}",,"calories: 255, fat: 6g, carbs: 40g, protein: 13g, servings: 1",https://cdn.jwplayer.com/v2/media/ibBsAYAi/poster.jpg?width=720
Best Oven Baked French Toast,https://www.allrecipes.com/recipe/221259/best-oven-baked-french-toast/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '12', 'unit': 'slices', 'name': 'sandwich bread'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Gather all ingredients.. Pour melted butter into a 9x13-inch baking dish; grease the sides with butter and let remaining butter sit in the bottom of the dish.. Sprinkle brown sugar and cinnamon evenly over melted butter. Arrange two layers of bread slices on top.. Whisk eggs, milk, and salt together in a bowl; pour over bread slices. Cover and refrigerate 8 hours to overnight.. Preheat the oven to 350 degrees F (175 degrees C). Bake in the preheated oven until golden brown, about 30 minutes.. Serve with the toppings of your choice and enjoy!","calories: 343, fat: 17g, carbs: 41g, protein: 8g, servings: 8",https://cdn.jwplayer.com/v2/media/IWfGjSEP/thumbnails/sskvCKbQ.jpg
Freeze-and-Reheat Breakfast Burritos,https://www.allrecipes.com/recipe/261844/freeze-and-reheat-breakfast-burritos/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'bacon'}, {'quantity': '10', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'cups', 'name': ""frozen hash brown potatoes with peppers and onion (such as Ore-Ida® Potatoes O'Brien®)""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '10', 'unit': 'sheets', 'name': 'aluminum foil'}, {'quantity': '10', 'unit': 'large', 'name': 'flour tortillas'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'salsa, or to taste'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain on paper towels and crumble into bits. Keep the skillet warm.. Whisk together eggs, milk, and salt in a bowl until combined. Pour into the hot skillet. Cook and stir over medium-high heat until eggs are scrambled and set, about 5 minutes. Transfer to a bowl.. Heat oil in the same skillet over medium-high heat. Add frozen potatoes, garlic salt, and pepper. Fry until browned on the bottom, 4 to 5 minutes. Flip and cook until other side is browned, 4 to 5 minutes more. Let cool.. Lay 10 sheets of aluminum foil, slightly larger than tortillas, on a flat work surface. Lay 1 tortilla on each aluminum foil piece; evenly distribute Cheddar cheese on top. Add scrambled eggs, bacon bits, salsa, and potatoes to each tortilla, in that order. Tightly roll burritos, tucking tops and bottoms in first.. Wrap aluminum foil tightly around each burrito, covering it completely. Place in resealable plastic bags in a single layer. Remove as much air as possible from the bags before sealing. Store in the freezer until ready to reheat.. Reheat by removing the aluminum foil, placing burrito on a microwave-safe plate, and covering it with a paper towel. Heat in the microwave until evenly warmed through, 1 to 2 minutes.","calories: 546, fat: 30g, carbs: 55g, protein: 23g, servings: 10",https://www.allrecipes.com/thmb/BmnDvAZyG_N-R3jhVQxGAF_szG0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/261844-freeze-and-reheat-breakfast-burritos-ddmfs-3X4-0359-8c6dd90974a545ddab2504633cd43f00.jpg
