name,link,ingredients,steps,nutrition
Easy Sausage Manicotti Bake,https://www.allrecipes.com/easy-sausage-manicotti-bake-recipe-8559561,"{'quantity': '7', 'unit': 'links', 'name': 'Italian chicken sausage, cut in half lengthwise'}, {'quantity': '8', 'unit': 'ounces', 'name': 'manicotti pasta shells'}, {'quantity': '1', 'unit': '(15 ounce) jar', 'name': 'prepared Alfredo sauce'}, {'quantity': '8', 'unit': 'ticks', 'name': 'mozzarella string cheese, pulled in half lengthwise'}, {'quantity': '1', 'unit': '24 ounce) jar', 'name': 'marinara sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley for garnish, or to taste (optional)'}","Preheat the oven to 350 degrees F (175 degrees C). Fill each pasta shell with half of a sausage link and arrange in a lightly greased 9x13-inch baking dish.. Pour Alfredo sauce evenly over pasta shells. Place a half of a string cheese on top, between each pasta piece. Top evenly with marinara. Add 2/3 cup water to the marinara jar and shake well. Pour water around the edges of the dish. Top with shredded mozzarella and Parmesan. Cover with foil.. Bake in the preheated oven until golden around the edges and bubbly all over, about 1 hour, uncovering during the last 25 minutes. Let stand for 10 minutes before serving. Garnish with chopped parsley.","calories: 583, fat: 41g, carbs: 23g, protein: 31g, servings: 8"
Baked Shotgun Shells,https://www.allrecipes.com/baked-shotgun-shells-recipe-8404342,"{'quantity': '24', 'unit': None, 'name': 'manicotti pasta shells'}, {'quantity': '1/2', 'unit': 'lb.', 'name': 'ground sirloin'}, {'quantity': '1', 'unit': 'lb.', 'name': 'spicy Italian sausage'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon freshly ground black', 'name': 'freshly ground black'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Cheddar and Monterey Jack cheese'}, {'quantity': '1', 'unit': '(8-ounce package)', 'name': 'garlic and herb cream cheese,'}, {'quantity': '24', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'BBQ sauce'}, {'quantity': '2', 'unit': None, 'name': 'jalapenos'}",,"calories: 656, fat: 22g, carbs: 83g, protein: 28g, servings: 12"
Manicotti,https://www.allrecipes.com/recipe/13883/manicotti/,"{'quantity': '5 ½', 'unit': 'ounces', 'name': 'manicotti pasta'}, {'quantity': '1', 'unit': 'pint', 'name': 'part-skim ricotta cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded mozzarella cheese'}, {'quantity': '¾', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'spaghetti sauce'}","Cook manicotti in boiling water until al dente, about 10 to 12 minutes; drain and rinse with cold water.. Preheat the oven to 350 degrees F (175 degrees C).. Mix ricotta, mozzarella, 1/2 cup Parmesan cheese, eggs, parsley, salt, and pepper in a large bowl until well combined.. Pour 1/2 cup spaghetti sauce into an 11x17-inch baking dish. Stuff each manicotti shell with 3 tablespoons cheese mixture, and arrange over sauce. Pour remaining sauce over the top of the shells and sprinkle with remaining Parmesan cheese.. Bake in the preheated oven until bubbly, about 45 minutes.","calories: 676, fat: 31g, carbs: 53g, protein: 46g, servings: 4"
Spinach Cheese Manicotti,https://www.allrecipes.com/recipe/46887/spinach-cheese-manicotti/,"{'quantity': '1', 'unit': '(15 ounce) container', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen chopped spinach, thawed and squeezed dry'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded mozzarella cheese, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'manicotti shells'}, {'quantity': '2', 'unit': '(26 ounce) jars', 'name': 'spaghetti sauce'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix ricotta, spinach, onion, egg, parsley, pepper, and garlic powder together in a large bowl. Stir in 1 cup mozzarella and 1/4 cup Parmesan. Stuff mixture into uncooked manicotti shells.. Stir spaghetti sauce and water together in a bowl. Spread 1 cup sauce over the bottom of a 9x13-inch baking dish. Arrange stuffed manicotti in a single layer in the dish. Cover with remaining sauce, then sprinkle with remaining mozzarella and Parmesan.. Bake in the preheated oven until shells are tender yet firm to the bite, 45 to 55 minutes.","calories: 576, fat: 21g, carbs: 69g, protein: 30g, servings: 6"
Manicotti Shells,https://www.allrecipes.com/recipe/23048/manicotti-shells/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}","Mix flour, water, eggs, and salt together in a bowl until a thin, smooth batter forms.. Lightly spray a griddle with cooking spray and heat over medium-low heat. Spoon about 1/4 cup batter into the warm skillet and cook until a film forms on top. Carefully remove to a plate and repeat to make remaining shells.","calories: 335, fat: 8g, carbs: 48g, protein: 16g, servings: 4"
Meat Filled Manicotti,https://www.allrecipes.com/recipe/15222/meat-filled-manicotti/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'manicotti pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cottage cheese'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': '', 'name': 'egg whites'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': '(32 ounce) jar', 'name': 'spaghetti sauce'}","Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente. Drain and cool. Reserve.. Meanwhile, in a large skillet brown beef on medium heat. Drain and cool.. Preheat oven to 350 degrees F (175 degrees C).. Combine beef, cottage cheese, 1 cup mozzarella cheese, Parmesan cheese, egg whites and oregano. Mix well. Stuff shells with mixture.. Lightly grease a 9x13 inch baking dish. Pour enough spaghetti sauce in dish to cover the bottom. Place stuffed noodles in the dish. Cover with spaghetti sauce and top with the remaining 1 cup mozzarella cheese. Bake in preheated oven for 50 minutes.","calories: 668, fat: 33g, carbs: 51g, protein: 40g, servings: 6"
Three Cheese Manicotti II,https://www.allrecipes.com/recipe/86446/three-cheese-manicotti-ii/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'manicotti shells'}, {'quantity': '4', 'unit': 'cups', 'name': 'shredded mozzarella cheese, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried basil'}, {'quantity': '2', 'unit': '(26 ounce) jars', 'name': 'pasta sauce'}","Bring a large pot of lightly salted water to a boil. Add manicotti and cook for 8 to 10 minutes or until al dente; drain.. Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.. In a bowl, mix 3 cups mozzarella cheese, ricotta cheese, 1/2 cup Parmesan cheese, garlic, egg, and basil. Stuff cooked manicotti with the mixture.. Spread about 2 cups pasta sauce over the bottom of the prepared baking dish. Arrange stuffed manicotti in the dish, and cover with remaining sauce. Sprinkle with remaining mozzarella cheese.. Bake 15 minutes in the preheated oven. Sprinkle with remaining Parmesan, and continue baking 10 minutes, until mozzarella is melted and bubbly.","calories: 612, fat: 24g, carbs: 65g, protein: 34g, servings: 6"
Manicotti Italian Casserole,https://www.allrecipes.com/recipe/87845/manicotti-italian-casserole/,"{'quantity': '1', 'unit': 'pound', 'name': 'rigatoni pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'pound', 'name': 'Italian sausage'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'mushrooms, drained'}, {'quantity': '2', 'unit': '(32 ounce) jars', 'name': 'spaghetti sauce'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'shredded mozzarella cheese'}, {'quantity': '', 'unit': '', 'name': 'thinly sliced pepperoni'}","Preheat oven to 350 degrees F (175 degrees C).. Bring a large pot of lightly salted water to boil. Pour in rigatoni, and cook until al dente, about 8 to 10 minutes. Drain, and set pasta aside.. Meanwhile, brown ground beef and Italian sausage in a large skillet over medium heat. With a slotted spoon, remove beef and sausage to a baking dish. Stir mushrooms, spaghetti sauce, and cooked pasta into the baking dish. Sprinkle cheese and pepperoni over the top.. Bake in preheated oven until the cheese is brown and bubbly, about 20 minutes.","calories: 909, fat: 43g, carbs: 78g, protein: 52g, servings: 8"
Chicken Manicotti Alfredo,https://www.allrecipes.com/recipe/12069/chicken-manicotti-alfredo/,"{'quantity': '3', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '½', 'unit': 'cup', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'crushed garlic'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'manicotti pasta'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pint', 'name': 'part-skim ricotta cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh marjoram'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","In a large resealable plastic bag, marinate chicken with vinegar, olive oil, and garlic for at least 30 minutes. Saute in a little olive oil until done. Set aside.. Cook pasta in a large pot of boiling water until al dente. Drain, and set aside.. Meanwhile, melt butter or margarine in a small saucepan over medium-high heat. Add heavy cream, salt, nutmeg, and ground black pepper, and stir until sauce thickens. Reduce heat to low. Add grated Parmesan cheese, and stir until the cheese melts. Set Alfredo sauce aside.. In a large bowl, mix together ricotta cheese, egg, oregano, marjoram, and basil. Mix in cooked chicken.. Stuff cooked manicotti shells with chicken and ricotta mixture. Cover the bottom of a 9x13 inch baking dish with half of the Alfredo sauce. Place stuffed shells on top of sauce. Pour remaining sauce over shells. Top with one cup shredded mozzarella cheese. Cover with aluminum foil.. Bake at 350 degree F (175 degree C) oven for 45 minutes. Let stand 10 minutes before serving.","calories: 813, fat: 60g, carbs: 37g, protein: 33g, servings: 8"
Manicotti Alla Romana,https://www.allrecipes.com/recipe/25300/manicotti-alla-romana/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen chopped spinach, thawed and drained'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'manicotti shells'}, {'quantity': '2', 'unit': 'cups', 'name': 'ricotta cheese'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '3', 'unit': 'cups', 'name': 'spaghetti sauce, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chicken bouillon granules'}, {'quantity': '2', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Heat oil in a large skillet over medium heat. Saute onions until translucent. Saute garlic for 1 minute and stir in ground beef. Cook until well browned and crumbled. Season with salt and set aside to cool.. Cook spinach according to package directions. Meanwhile, bring a large pot of lightly salted water to a boil. Add manicotti shells and parboil for half of the time recommended on the package. Drain and cover with cool water to stop the cooking process and prevent the shells from cracking.. To the ground beef mixture add the cooked spinach and ricotta cheese. When the mixture is cool, add the beaten eggs. Spread 1/4 cup spaghetti sauce in the bottom of a 9x13 inch baking dish. Gently drain the manicotti shells and carefully stuff each one with the meat and cheese mixture; place shells in prepared dish. Lightly cover the dish with plastic wrap or a clean, damp towel to prevent shells from cracking.. Preheat oven to 350 degrees F (175 degrees C).. Prepare the white sauce by melting the butter in a small saucepan over medium heat. Stir in flour and chicken bouillon. Increase heat to medium-high and cook, stirring constantly, until it begins to bubble. Stir in half and half and bring to a boil, stirring frequently. Cook for 1 minute, stirring constantly. Remove from heat and stir in parsley. Pour or ladle the sauce evenly over the stuffed shells.. Stir the basil into the remaining spaghetti sauce. Carefully pour or ladle spaghetti sauce over the white sauce, trying to layer the sauces without mixing.. Cover and bake for 40 minutes. Remove from oven, uncover and sprinkle with Parmesan cheese. Bake, uncovered, for 10 minutes more.","calories: 612, fat: 30g, carbs: 59g, protein: 28g, servings: 7"
