name,link,ingredients,steps,nutrition,image_url
Mardi Gras King Cake,https://www.allrecipes.com/recipe/8144/mardi-gras-king-cake/,"{'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': '(¼-ounce)', 'name': 'envelopes active dry yeast'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, divided'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly grated nutmeg'}, {'quantity': '5 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '2 to 3', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '2', 'unit': None, 'name': 'plastic baby dolls'}, {'quantity': None, 'unit': None, 'name': 'purple, green, and gold sanding sugar'}",,"calories: 437, fat: 14g, carbs: 73g, protein: 7g, servings: 16",https://cdn.jwplayer.com/v2/media/Oa9OZJ1r/thumbnails/Gtqj52LM.jpg
Our 7 Best Mardi Gras Instant Pot Recipes Are Ready to Party,https://www.allrecipes.com/gallery/mardi-gras-recipes-for-instant-pot/,,,,https://www.allrecipes.com/thmb/IXTjd9plj4pJIKbhjRA0zHlwejw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/instant-pot-nola-red-beans-and-rice-photo-by-fabeverydayblog-6554214-4e0a82914a194ae0b744b6d38a53078e.jpg
11 Classic New Orleans Shrimp Recipes to Curl Yer Toes,https://www.allrecipes.com/gallery/classic-new-orleans-shrimp-recipes-to-curl-yer-toes/,,,,https://www.allrecipes.com/thmb/j-0YsS13kcNNLcOV2oOdcCPMisE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2436107-526ad1166ee04f819f0adf1c0ce3ac80.jpg
6 Mardi Gras Soup Recipes,https://www.allrecipes.com/gallery/mardi-gras-soup-recipes/,,,,https://www.allrecipes.com/thmb/ntCscQvbiVJQv6NjyVp48ZpzNtg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/216888-Good-New-Orleans-Creole-Gumbo-f8f8eb9bef2b4bf082f8bc93cd0aae13.jpg
Louisiana Crawfish Étouffée,https://www.allrecipes.com/recipe/76155/louisiana-crawfish-etouffee/,"{'quantity': '3', 'unit': 'cups', 'name': 'long grain white rice'}, {'quantity': '7', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canned tomato sauce'}, {'quantity': '1', 'unit': 'pound', 'name': 'crawfish tails'}, {'quantity': '6', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'Cajun seasoning, or to taste'}",,"calories: 636, fat: 25g, carbs: 83g, protein: 19g, servings: 6",https://cdn.jwplayer.com/v2/media/bQu1N6HI/thumbnails/xDOl0IMb.jpg
Good New Orleans Creole Gumbo,https://www.allrecipes.com/recipe/216888/good-new-orleans-creole-gumbo/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'bacon drippings'}, {'quantity': '1', 'unit': 'cup', 'name': 'coarsely chopped celery'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, coarsely chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, coarsely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, sliced'}, {'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '6', 'unit': 'cubes', 'name': 'beef bouillon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot pepper sauce (such as Tabasco), or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': ""Cajun seasoning blend (such as Tony Chachere's), or to taste""}, {'quantity': '4', 'unit': '', 'name': 'bay leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme leaves'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'stewed tomatoes'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato sauce'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'file powder, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon drippings'}, {'quantity': '2', 'unit': '(10 ounce) packages', 'name': 'frozen cut okra, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'pound', 'name': 'lump crabmeat'}, {'quantity': '3', 'unit': 'pounds', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}",,"calories: 283, fat: 17g, carbs: 12g, protein: 21g, servings: 20",https://cdn.jwplayer.com/v2/media/xRCJ49Xb/thumbnails/27ES4G8d.jpg
Best Jambalaya,https://www.allrecipes.com/recipe/31848/jambalaya/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut oil, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Cajun seasoning'}, {'quantity': '10', 'unit': 'ounces', 'name': 'andouille sausage, sliced into rounds'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breasts, cut into 1 inch pieces'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'small', 'name': 'green bell pepper, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'crushed Italian tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'file powder'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'chicken broth'}",,"calories: 465, fat: 20g, carbs: 42g, protein: 28g, servings: 6",https://cdn.jwplayer.com/v2/media/j7EWQ6v0/thumbnails/dfjtasc7.jpg
Authentic Louisiana Red Beans and Rice,https://www.allrecipes.com/recipe/58211/authentic-louisiana-red-beans-and-rice/,"{'quantity': '1', 'unit': 'pound', 'name': 'dry kidney beans'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Cajun seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried sage'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, sliced'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'long grain white rice'}",,"calories: 630, fat: 24g, carbs: 79g, protein: 24g, servings: 8",https://cdn.jwplayer.com/v2/media/OAWOnu2P/thumbnails/4DOMpopQ.jpg
Cajun Spice Mix,https://www.allrecipes.com/recipe/149221/cajun-spice-mix/,"{'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes (Optional)'}",,"calories: 6, fat: 0g, carbs: 1g, protein: 0g, servings: 12",https://cdn.jwplayer.com/v2/media/cmIkjLA8/poster.jpg?width=720
Bananas Foster,https://www.allrecipes.com/recipe/24705/bananas-foster-ii/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '3 ½', 'unit': 'tablespoons', 'name': 'rum'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': '', 'name': 'bananas, peeled and sliced lengthwise and crosswise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'coarsely chopped walnuts'}, {'quantity': '1', 'unit': 'pint', 'name': 'vanilla ice cream'}",,"calories: 534, fat: 24g, carbs: 73g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/L7wT9V9u/poster.jpg?width=720
Creole Seasoning Blend,https://www.allrecipes.com/recipe/38214/creole-seasoning-blend/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Combine paprika, salt, onion powder, garlic powder, oregano, basil, thyme, black pepper, white pepper, and cayenne pepper.. Store in an airtight container.","calories: 16, fat: 0g, carbs: 3g, protein: 1g, servings: 20",https://cdn.jwplayer.com/v2/media/3XkO5Rqp/thumbnails/xgYyKoG5.jpg
Deep-Fried Turkey,https://www.allrecipes.com/recipe/13824/deep-fried-turkey/,"{'quantity': '3', 'unit': 'gallons', 'name': 'peanut oil for frying, or as needed'}, {'quantity': '1', 'unit': '(12 pound)', 'name': 'whole turkey, neck and giblets removed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Creole seasoning'}, {'quantity': '1', 'unit': 'medium', 'name': 'white onion'}","Gather the ingredients. Fill a turkey fryer or large stockpot with enough oil to fry turkey; be sure to leave room for turkey so oil doesn't spill over. Heat oil to 400 degrees F (200 degrees C). Layer a large platter with food-safe paper bags.. Rinse turkey and thoroughly pat dry with paper towels. Rub seasoning inside the cavity and all over the outer surfaces. Make sure the hole at the neck is open at least 2 inches so oil can flow freely into the cavity.. Turn off the heat source. Place whole onion into the drain basket followed by turkey, neck-end first. Slowly lower the basket into the fryer until turkey is completely submerged in oil. Turn on the heat source and cook, maintaining oil temperature at 350 degrees F (175 degrees C) until no longer pink at the bone and the juices run clear, about 45 minutes, or 3 1/2 minutes per pound.. Carefully remove the basket from the fryer and drain turkey. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read at least 165 degrees F (74 degrees C) but no more than 180 degrees F (80 degrees C). Transfer turkey to the prepared platter to finish draining, 10 to 15 minutes.. Serve warm and enjoy!","calories: 603, fat: 34g, carbs: 2g, protein: 69g, servings: 16",https://cdn.jwplayer.com/v2/media/5hywJrfC/poster.jpg?width=720
