name,link,ingredients,steps,nutrition
Citrus Adobo Margarita,https://www.allrecipes.com/citrus-adobo-margarita-recipe-8732996,"{'quantity': '2', 'unit': None, 'name': 'lime wedges'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili-lime seasoning (such as Tajin®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '1 1/2', 'unit': 'ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'ounce', 'name': 'orange liqueur'}, {'quantity': '1', 'unit': 'ounce', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'ounce', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'adobo sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'agave syrup'}","Sprinkle chili lime seasoning onto a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into the seasoning. Fill the glass with ice.. Fill a cocktail shaker with tequila, triple sec, lime juice, orange juice, adobo sauce, and agave syrup. Add 1 cup ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining lime wedge.","calories: 276, fat: 1g, carbs: 33g, protein: 2g, servings: 1"
Skinny Spicy Margarita,https://www.allrecipes.com/skinny-spicy-margarita-recipe-8693903,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'chili lime seasoning'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '6', 'unit': None, 'name': 'jalapeno slices, divided'}, {'quantity': None, 'unit': None, 'name': 'ice, as needed'}, {'quantity': '1 3/4', 'unit': 'ounces', 'name': 'tequila'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'lime juice'}, {'quantity': '1 1/4', 'unit': 'fluid ounces', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'agave syrup'}","Pour Tajin onto a plate. Rub a lime wedge around the rim of a glass, and dip the rim of the glass in Tajin.. Place 3 jalapeno slices into a cocktail shaker and mash well with a cocktail muddler. Add ice to the shaker. Pour in tequila, lime juice, orange juice, and agave syrup; cover and shake until the outside of the shaker has frosted, about 30 seconds. Strain into a chilled glass and garnish with remaining jalapeno slices. Serve immediately.","calories: 216, fat: 1g, carbs: 29g, protein: 2g, servings: 1"
Celery Margarita,https://www.allrecipes.com/celery-margarita-recipe-8657443,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': None, 'unit': None, 'name': 'ice, as needed'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'celery cordial'}, {'quantity': '3/4', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'dashes', 'name': 'celery bitters'}, {'quantity': None, 'unit': None, 'name': 'leafy celery stalk, for garnish'}","Mix salt and coriander together on a small plate. Wipe rim of a margarita glass with lime wedge. Dip rim in salt mixture to coat. Fill glass with crushed ice.. Fill a cocktail shaker half full with ice. Add tequila, celery cordial, lime juice, and bitters to shaker; cover and shake until outside of shaker is frosted, about 60 seconds. Strain into prepared glass and garnish with celery stalk.","calories: 180, fat: 0g, carbs: 23g, protein: 1g, servings: 1"
Strawberry Jalapeno Margarita,https://www.allrecipes.com/strawberry-jalapeno-margarita-recipe-8636576,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lime'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '3', 'unit': 'large', 'name': 'strawberries'}, {'quantity': '3', 'unit': 'slices', 'name': 'jalapeno'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '3/4', 'unit': 'ounce', 'name': 'simple syrup'}","Sprinkle salt onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the salt. Fill the glass with ice.. Fill a cocktail shaker with jalapeno slices and strawberries, reserving 1 slice of strawberry for garnish. Use a muddler to crush the jalapeno and strawberries to release their juices. Add tequila, triple sec, lime juice and simple syrup to the shaker and add 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining strawberry slice, if desired.","calories: 285, fat: 0g, carbs: 32g, protein: 1g, servings: 1"
Coconut Margarita,https://www.allrecipes.com/coconut-margarita-recipe-8630074,"{'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'lime juice'}, {'quantity': '1 1/4', 'unit': 'fluid ounces', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'cream of coconut'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'coconut milk'}","Fill a cocktail shaker with ice. Add tequila, lime juice, orange juice, cream of coconut, and coconut milk. Shake until tequila mixture is completely chilled and cream of coconut is incorporated, about 30 seconds. Pour into glass. Serve immediately.","calories: 340, fat: 12g, carbs: 28g, protein: 1g, servings: 1"
Spicy Mango Margarita,https://www.allrecipes.com/spicy-mango-margarita-recipe-8624185,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili-lime seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '3', 'unit': None, 'name': 'jalapeno slices, or more to taste'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'mango nectar'}, {'quantity': '3/4', 'unit': 'fluid ounces', 'name': 'triple sec or other orange liqueur'}, {'quantity': '3/4', 'unit': 'fluid ounces', 'name': 'lime juice'}","Sprinkle chili lime seasoning onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the seasoning. Fill the glass with ice.. Fill a cocktail shaker with tequila and 2 jalapeno slices. Use a muddler to crush the peppers. Add mango nectar, triple sec, and lime juice to the shaker and add 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining jalapeno slice, if desired.","calories: 311, fat: 1g, carbs: 38g, protein: 2g, servings: 1"
Spicy Pineapple Margarita,https://www.allrecipes.com/spicy-pineapple-margarita-recipe-8622042,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Tajin®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '3', 'unit': None, 'name': 'jalapeno slices, or more to taste'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'pineapple juice'}, {'quantity': '3/4', 'unit': 'fluid ounces', 'name': 'triple sec'}, {'quantity': '3/4', 'unit': 'fluid ounce', 'name': 'lime juice'}","Sprinkle chili lime seasoning onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the seasoning. Fill the glass with ice.. Fill a cocktail shaker with tequila and 2 jalapeno slices. Use a muddler to crush the peppers. Add pineapple juice, triple sec, and lime juice to the shaker and add 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining jalapeno slice, if desired.","calories: 280, fat: 1g, carbs: 32g, protein: 1g, servings: 1"
Skinny Margarita,https://www.allrecipes.com/skinny-margarita-recipe-8622045,"{'quantity': None, 'unit': None, 'name': 'kosher salt as needed'}, {'quantity': '1', 'unit': None, 'name': 'lime'}, {'quantity': '1 3/4', 'unit': 'fluid ounce', 'name': 'tequila'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'lime juice'}, {'quantity': '1 1/4', 'unit': 'fluid ounces', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'agave syrup, or to taste'}","Pour salt onto a plate. Rub a lime wedge around the rim of a glass, and dip the rim of the glass in the salt.. Fill a cocktail shaker with ice. Add tequila, lime juice, orange juice, and agave syrup. Close the shaker and shake until completely chilled, about 30 seconds. Pour into the salted glass. Serve immediately.","calories: 179, fat: 0g, carbs: 19g, protein: 1g, servings: 1"
Classic Frozen Strawberry Margarita,https://www.allrecipes.com/recipe/232855/classic-frozen-strawberry-margarita/,"{'quantity': '¼', 'unit': 'cup', 'name': 'sliced fresh strawberries'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lime'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}","Place strawberries, tequila, lime juice, triple sec, and 1 teaspoon sugar in a blender; blend until smooth.. Add ice cubes; blend on high until ice is crushed, about 15 seconds.. Rub lime wedge around the rim of a glass. Spread 1 teaspoon sugar onto a plate. Dip glass rim in sugar to coat; pour margarita into the glass.","calories: 206, fat: 0g, carbs: 21g, protein: 0g, servings: 1"
Pitcher Perfect Margaritas,https://www.allrecipes.com/recipe/152013/pitcher-perfect-margaritas/,"{'quantity': '3', 'unit': 'cups', 'name': 'ice'}, {'quantity': '2', 'unit': 'cups', 'name': 'tequila'}, {'quantity': '1', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '¾', 'unit': 'cup', 'name': 'fresh lime juice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sweetened lime juice'}, {'quantity': '', 'unit': '', 'name': 'kosher salt'}, {'quantity': '8', 'unit': '', 'name': 'lime wedges'}","Combine ice, tequila, triple sec, fresh lime juice, and sweetened lime juice in a large pitcher; stir.. Pour kosher salt onto a plate. Rub the rim of a glass with lime wedge. Dip the rim of the glass into salt; fill the glass with margarita mixture; repeat for each serving.",
