name,link,ingredients,steps,nutrition
Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,"{'quantity': '2', 'unit': 'pounds', 'name': 'baking potatoes, peeled and quartered'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, peeled, or to taste (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 257, fat: 7g, carbs: 44g, protein: 6g, servings: 4"
Loaded Mashed Potatoes,https://www.allrecipes.com/recipe/240157/loaded-mashed-potatoes/,"{'quantity': '4', 'unit': 'slices', 'name': 'bacon, or more to taste'}, {'quantity': '3', 'unit': 'pounds', 'name': 'potatoes, or more to taste, peeled and cut into chunks'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, cut into pieces'}, {'quantity': '1', 'unit': '(16 ounce) container', 'name': 'sour cream'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh chives (Optional)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 514, fat: 34g, carbs: 40g, protein: 14g, servings: 8"
The Best Potatoes for Mashed Potatoes,https://www.allrecipes.com/article/best-potatoes-for-mashed-potatoes/,,,
12 Garlic Mashed Potato Recipes,https://www.allrecipes.com/gallery/garlic-mashed-potato-recipes/,,,
Holiday Potatoes,https://www.allrecipes.com/holiday-potatoes-recipe-8740105,"{'quantity': '5', 'unit': 'pounds', 'name': 'russet potatoes - washed, peeled, and quartered'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic paste'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh parsley'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper'}",,"calories: 318, fat: 14g, carbs: 43g, protein: 7g, servings: 10 to 12"
Tres Leches Mashed Potatoes,https://www.allrecipes.com/tres-leches-mashed-potatoes-recipe-8740222,"{'quantity': '5', 'unit': 'pounds', 'name': 'russet potatoes ('}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': None, 'unit': '1 tablespoon', 'name': 'chives, or to taste'}",,"calories: 327, fat: 11g, carbs: 51g, protein: 8g, servings: 10"
Rosemary Mashed Potatoes,https://www.allrecipes.com/rosemary-mashed-potatoes-recipe-8634938,"{'quantity': '2', 'unit': 'pounds', 'name': 'russet potatoes, peeled and cut into 2-inch chunks'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh rosemary'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}","Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 15 to 18 minutes. Drain.. Meanwhile, heat milk, butter, and rosemary in a small saucepan over low heat until butter is melted. Set aside.. Drain potatoes, and return to the pot. Sprinkle Parmesan over the potatoes and start mashing with a potato masher or an electric mixer. Gradually pour in milk mixture while continuing to mash. Season with salt and pepper to taste.","calories: 262, fat: 7g, carbs: 42g, protein: 8g, servings: 5"
Instant Pot Leek Mashed Potatoes,https://www.allrecipes.com/recipe/267894/instant-pot-leek-mashed-potatoes/,"{'quantity': '1', 'unit': 'pound', 'name': 'potatoes, peeled and cut into 1-inch cubes'}, {'quantity': '1', 'unit': '', 'name': 'leek, white parts only, quartered lengthwise and finely sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk, warmed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Combine potatoes, leek, and salt in a multi-functional pressure cooker (such as Instant Pot). Add water to cover, about 2 cups. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow about 10 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Carefully release remaining pressure using the quick-release method, about 5 minutes. Unlock and remove the lid. Drain potatoes well and return them to the pot.. Select Saute function. Toss potatoes until dried and starting to sizzle, about 3 minutes. Add butter; stir until melted. Add milk. Mash potatoes with the back of a wooden spoon for a rustic mash, or run them through a ricer for a smoother mash. Taste and adjust the salt.","calories: 162, fat: 6g, carbs: 24g, protein: 3g, servings: 4"
Pancetta and Romano Potato Croquettes,https://www.allrecipes.com/pancetta-and-romano-potato-croquettes-recipe-8724753,"{'quantity': '4', 'unit': 'cups', 'name': 'mashed potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'omano cheese'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '2', 'unit': 'ounces', 'name': 'sliced pancetta,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh parsley'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '3', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ijon mustard'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh herbs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cider vinegar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}","Combine potatoes, cheese, eggs, pancetta, 2 tablespoons parsley, garlic, onion powder, 1/2 teaspoon. salt, and red pepper in a large bowl. Using damp hands, form mixture into 18 patties. Coat patties in bread crumbs.. Pour oil to a depth of 1/2 inch into a large, heavy-bottomed skillet. (You’ll need about 3 cups oil.) Heat over medium-high heat to 350 degrees F to 365 degrees F (175 to 185 degrees C). Preheat the oven to 200 degrees F (93 degrees C).. Working in batches, fry potato patties in hot oil, turning halfway through, until browned on both sides, 2 to 4 minutes. Transfer to a paper towel-lined baking sheet and keep warm in the oven.. For sauce, whisk together mustard, maple syrup, lemon juice, chopped herbs, vinegar, black pepper, and remaining 1/4 teaspoon salt in a small bowl. Garnish with additional herbs. Serve croquettes with sauce.","calories: 448, fat: 26g, carbs: 43g, protein: 11g, servings: 6"
Loaded Boursin Mashed Potatoes,https://www.allrecipes.com/loaded-boursin-mashed-potatoes-recipe-8410573,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'bite-sized baby gold potatoes, halved'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '1', 'unit': '5.2 ounce)', 'name': 'cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'melted unsalted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley'}","Place potatoes in a large pot, and sprinkle with salt. Fill the pot with cold water, covering potatoes by about an inch. Bring to a boil over medium high heat with the pot partially covered with a lid. Reduce the heat to medium, and simmer until potatoes are fork tender, 15 to 20 minutes. Drain potatoes and return to pot.. Meanwhile, place bacon in a skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 7 minutes. Drain bacon slices on paper towels. Crumble when cool enough to handle.. Break up potatoes with a potato masher or an electric mixer on low speed, add Boursin, butter, Parmesan, and bacon.. Continue mashing, gradually adding half-and-half until all ingredients are well combined and you reach your desired consistency, adding more half-and-half if needed. Season with salt and pepper.. Transfer to a serving dish, garnish with parsley, and serve.","calories: 404, fat: 25g, carbs: 38g, protein: 10g, servings: 4"
