name,link,ingredients,steps,nutrition
Crustless Grilled Cheese,https://www.allrecipes.com/crustless-grilled-cheese-recipe-8670392,"{'quantity': '8', 'unit': 'slices', 'name': 'white sandwich bread'}, {'quantity': '4', 'unit': 'slices', 'name': 'Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}","Spread a thin layer of butter onto 1 side of each slice of bread.. Using a round cookie cutter that is slightly smaller than the sandwich sealer, press out round slices of cheese. Lay 4 slices of bread on a work surface, buttered side down. Place a cheese round in the center of each slice. Top with remaining 4 bread slices, buttered side up.. Center a sandwich sealer over a sandwich, press the sealer down, and hold it in place to seal the edges, 15 to 30 seconds. Pull the crusts away from the sealer; discard. Repeat with remaining sandwiches.. Place sandwich discs on a parchment-lined baking sheet and freeze for 2 hours before transferring into a freezer bag.. Preheat the air fryer to 380 degrees F (193 degrees C). Cook frozen sandwiches until golden, about 5 minutes. If sandwiches are thawed, cook 3 minutes at 370 degrees F (188 degrees C).","calories: 304, fat: 14g, carbs: 32g, protein: 12g, servings: 4"
Easy Breakfast Egg Muffins,https://www.allrecipes.com/recipe/278443/easy-breakfast-egg-muffins/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'ounces', 'name': 'fully-cooked bacon pieces (such as Oscar Mayer®)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic powder, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'onion powder, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': '(8 ounce) package', 'name': 'shredded mild Cheddar cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin with cooking spray.. Place bell peppers and green onions into a large bowl. Add eggs, bacon, milk, garlic powder, onion powder, salt, and pepper. Sprinkle Cheddar cheese into the bowl and whisk until incorporated. Pour mixture equally into the prepared muffin cups.. Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, about 30 minutes. Let cool slightly before serving.","calories: 135, fat: 9g, carbs: 3g, protein: 10g, servings: 12"
Sous Vide Egg Bites,https://www.allrecipes.com/recipe/278703/sous-vide-egg-bites/,"{'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'cottage cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': '6 (4-ounce) mason jars'}, {'quantity': '1', 'unit': 'serving', 'name': 'cooking spray'}","Fill a large pot with water and place a sous vide immersion cooker into the water. Set temperature to 170 degrees F (77 degrees C) according to manufacturer's directions.. Combine eggs, cottage cheese, heavy cream, and salt in a blender; mix until thoroughly blended, 15 to 20 seconds.. Spray mason jars with cooking spray. Divide egg mixture between each jar. Screw on the lids until just barely tightened. Do not over-tighten as the jars can burst in the hot water.. Submerge mason jars into the water bath and set timer for 55 minutes. When timer is up, remove jars to a cooling rack. If serving immediately, run a knife along the outer edge and invert onto a plate; you can also eat directly from the jar. Let any remaining jars cool, then refrigerate for up to 1 week.","calories: 108, fat: 8g, carbs: 1g, protein: 9g, servings: 6"
Easy Slow Cooker Creamy Chicken Chili,https://www.allrecipes.com/recipe/273277/easy-slow-cooker-creamy-chicken-chili/,"{'quantity': '3', 'unit': '', 'name': 'skinless, boneless chicken breasts'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans, rinsed and drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'corn, undrained'}, {'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'diced tomatoes and green chiles (such as RO*TEL®), undrained'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'ranch dressing mix'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}","Place chicken breasts in the bottom of a slow cooker. Pour cannellini beans, black beans, corn, and tomatoes over the chicken in order listed. Sprinkle ranch dressing mix, chili powder, cumin, and onion powder on top. Place cream cheese on top. Cook on Low until chicken is fork-tender, 6 to 8 hours.. Remove chicken breasts and shred with two forks or cut into bite-sized chunks. Stir chicken back into the slow cooker; mix chili thoroughly.","calories: 419, fat: 16g, carbs: 47g, protein: 26g, servings: 6"
How to Freeze Casseroles,https://www.allrecipes.com/article/how-to-freeze-casseroles/,,,
Make-Ahead Freezer Chicken Parmesan,https://www.allrecipes.com/recipe/279629/make-ahead-freezer-chicken-parmesan/,"{'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 375 degrees F (190 degrees C). Grease a baking sheet.. Pound chicken breasts to 1/2-inch thickness or less.. Place beaten egg in a bowl. Combine bread crumbs, Parmesan cheese, Italian seasoning, and garlic powder in another bowl. Dip each chicken breast in egg, then roll in bread crumb mixture to coat evenly. Place on the prepared baking sheet.. Bake in the preheated oven for 10 minutes. Turn and continue to cook until chicken is no longer pink in the center and juices run clear, about 10 minutes more. Let cool, 20 to 30 minutes.. Freeze in a 1-gallon resealable bag with smaller bags of tomato sauce and mozzarella cheese.. To serve: Thaw in the refrigerator overnight. Reheat chicken at 375 degrees F (190 degrees C) until heated through and crispy, 15 to 20 minutes. Top chicken with tomato sauce, sprinkle with mozzarella cheese, and bake until cheese is melted, an additional 3 minutes.","calories: 259, fat: 9g, carbs: 11g, protein: 33g, servings: 4"
Egg White Breakfast Casserole,https://www.allrecipes.com/recipe/277804/egg-white-breakfast-casserole/,"{'quantity': '1', 'unit': 'serving', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(32 ounce) container', 'name': 'egg whites'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'nonfat plain Greek yogurt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'cooked turkey sausage crumbles (such as Jimmy Dean®)'}, {'quantity': '1', 'unit': '', 'name': 'plum tomato, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Spray a casserole dish with nonstick cooking spray.. Whisk egg whites, yogurt, salt, and pepper together in a bowl. Pour into the prepared dish.. Bake in the preheated oven until starting to set, about 10 minutes.. Meanwhile, saute mushrooms and onion in a pan until softened, 5 to 10 minutes. Spread mushroom mixture, sausage crumbles, and tomato over the parbaked egg layer. Cover with Cheddar cheese.. Continue baking until eggs are set and cheese is melted, 10 to 15 minutes.","calories: 199, fat: 10g, carbs: 3g, protein: 23g, servings: 10"
15 Cold Make-Ahead Dinners for Super Hot Weeks,https://www.allrecipes.com/gallery/make-ahead-cold-summer-meals/,,,
10 Ways to Use Chicken Thighs for Meal Prep,https://www.allrecipes.com/article/10-ways-use-chicken-thighs-meal-prep/,,,
How to Meal Prep on Sunday for a Week of Easy Dinners,https://www.allrecipes.com/article/how-meal-prep-sunday-week-ready-eat-dinners/,,,
