name,link,ingredients,steps,nutrition
Chicken Cordon Bleu Meatballs,https://www.allrecipes.com/chicken-cordon-bleu-meatballs-recipe-8724477,"{'quantity': '1/4', 'unit': 'cup', 'name': 'minced shallot'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'half-and-half cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh parsley, plus more for garnish'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'Italian breadcrumbs, divided'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'finely chopped deli ham (about 3 ounces)'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'panko breadcrumbs'}, {'quantity': '2', 'unit': 'ounces', 'name': 'Swiss cheese, cut into 12 cubes'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half cream or milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole grain Dijon mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}","Combine shallot, half and half, parsley, egg, and 1/3 cup Italian breadcrumbs in a mixing bowl and stir together.. Add ham and chicken; season with salt, pepper, garlic powder, and paprika. Mix all ingredients together just until uniform.. Add remaining Italian bread crumbs and panko to a shallow dish and stir to combine. Roll meat mixture into 12 balls and stuff a Swiss cheese cube into the center. Roll each ball in breadcrumbs until evenly coated; place on a plate or baking sheet. Freeze meatballs for 10 minutes.. Meanwhile, preheat the oven to 400 degrees F (200 degrees C) and set a wire rack inside a rimmed baking sheet.. Heat oil in a large skillet over medium-high heat. Add meatballs and cook until browned on all sides, 5 to 10 minutes. Transfer meatballs to the prepared wire rack.. Bake meatballs in the preheated oven until an instant read thermometer, inserted near the center, reads 165 degrees F (74 degrees C), about 10 minutes.. Meanwhile, make sauce. Wipe skillet clean and melt butter over medium heat. Whisk in flour and cook 1 minute. Whisk in broth and half-and-half. Stir in mustard, salt, and pepper and bring to a simmer. Reduce heat and simmer until sauce is rich and creamy, about 5 minutes. Remove from heat and stir in lemon juice.. Serve meatballs with Dijon cream sauce.","calories: 499, fat: 32g, carbs: 24g, protein: 30g, servings: 6"
Slow Cooker Tuscan Chicken Meatballs with Gnocchi,https://www.allrecipes.com/slow-cooker-tuscan-chicken-meatballs-with-gnocchi-recipe-8718448,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped dried tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon I', 'name': 'talian seasoning'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon freshly', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'reduced sodium chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped dried tomatoes'}, {'quantity': '1/2', 'unit': 'teaspoon I', 'name': 'talian seasoning'}, {'quantity': None, 'unit': '1 (16-ounce) package shelf-stable', 'name': 'potato gnocchi'}, {'quantity': '1', 'unit': '(5 ounce) package', 'name': 'baby spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Gather all ingredients.. For meatballs, preheat the oven to 375 degrees F (190 degrees C). Line a 15x10x1-inch baking pan with parchment paper.. Combine egg, bread crumbs, onion, 2 tablespoons dried tomatoes, milk, 1 tablespoon Parmesan cheese, garlic, 1/2 teaspoon Italian seasoning, salt and pepper in a bowl.. Add chicken, mix well. Shape mixture into 20 1 1/2-inch meatballs. Place in the prepared baking pan.. Bake in the preheated oven until set and lightly browned (they don’t have to be done at this point), about 15 minutes.. Add meatballs to a 3 1/2- to 4-quart slow cooker. Add broth, cream, wine, 1/3 cup dried tomatoes, and 1/2 teaspoon Italian seasoning. Cover and cook on Low 6 hours or on High 3 hours.. If using Low, turn to High. Add gnocchi. Cover and cook 20 minutes.. Stir in spinach and Parmesan cheese.. Serve hot and enjoy!","calories: 460, fat: 20g, carbs: 39g, protein: 29g, servings: 6"
Easy Slow Cooker Meatballs,https://www.allrecipes.com/recipe/57981/easy-slow-cooker-meatballs/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': '(28 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': '(14.25 ounce) can', 'name': 'tomato puree'}","Gather all ingredients.. Place ground beef, bread crumbs, onion, garlic, parsley, and egg in a large bowl. Mix well until evenly combined; shape into 16 meatballs.. Pour spaghetti sauce and crushed tomatoes into the slow cooker; stir in tomato puree. Place the meatballs into the sauce mixture.. Cover and cook on Low for 6 to 8 hours.. Enjoy!","calories: 925, fat: 53g, carbs: 73g, protein: 41g, servings: 4"
Apple Butter Meatballs,https://www.allrecipes.com/apple-butter-meatballs-recipe-8714730,"{'quantity': '1/2', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'apple butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'bourbon whiskey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}","Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.. Combine ground beef, ground pork, panko, onion, milk, egg, salt, granulated garlic, and pepper in a large bowl. If mixture is too soft or wet, place in the refrigerator for 15 to 20 minutes to firm up before rolling. Shape into 24 meatballs, about 1 1/2 inches in diameter, and place on the prepared baking sheet.. Bake meatballs in the preheated oven until no longer pink at the center and browned on the outside, about 20 minutes. An instant read thermometer inserted into the center of meatballs should read 165 degrees F (74 degrees C).. Meanwhile, prepare apple butter bourbon glaze. In a small saucepan, whisk together apple butter, bourbon, soy sauce, maple syrup, and Dijon mustard. Bring to a simmer over medium-low heat and stir frequently until the sauce is smooth and just thickened, 5 to 7 minutes.. Remove meatballs from the oven and transfer to a large bowl. Pour glaze over meatballs and gently toss to coat evenly. Serve warm.","calories: 500, fat: 24g, carbs: 30g, protein: 34g, servings: 4"
Giant Lazy Meatballs,https://www.allrecipes.com/giant-lazy-meatballs-recipe-8715240,"{'quantity': '4', 'unit': 'large slices', 'name': 'white bread'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmigiano-Reggiano cheese'}, {'quantity': '1/3', 'unit': 'cup chopped', 'name': 'fresh Italian parsley (optional)'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs,'}, {'quantity': '2', 'unit': 'cups', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': 'ounces', 'name': 'Monterey Jack cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Italian parsley'}",,"calories: 445, fat: 29g, carbs: 8g, protein: 37g, servings: 8"
Chicken Piccata Meatballs,https://www.allrecipes.com/chicken-piccata-meatballs-recipe-8696288,"{'quantity': '2', 'unit': None, 'name': 'shallots'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'half and half'}, {'quantity': '1', 'unit': 'cup', 'name': 'seasoned bread crumbs'}, {'quantity': '2', 'unit': 'tablespoons finely minced', 'name': 'parsley'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, cut into cubes'}","Add half of shallots to a large bowl. Stir in Parmesan cheese, half and half, 1/3 cup bread crumbs, 1 tablespoon parsley, and egg. Roughly chop 1 tablespoon capers and add to the bowl; add ground chicken. Season with salt, pepper, and garlic powder. Mix gently together until everything is well incorporated.. Add remaining bread crumbs to a work surface or shallow dish.  Form chicken mixture into 12 meatballs, rolling each one lightly in bread crumbs to coat and to help shape the meatballs.. Heat oil in a large deep skillet over medium-high heat. Add meatballs to skillet and cook, turning occasionally, until browned on all sides, about 5 minutes, adding more oil if necessary. Remove meatballs from skillet and set aside.. Add remaining shallot and capers to the skillet and cook stirring constantly, for 1 minute.  Pour in wine and stock and bring to a boil. Return meatballs to the skillet, reduce heat, and simmer until liquid is reduced by half, stirring occasionally, to coat meatballs in the sauce, 6 to 7 minutes.. Once sauce is reduced, move meatballs to one side of the skillet and turn the heat to very low. Whisk in lemon juice and cold butter, stirring constantly, until well incorporated and slightly thickened. Stir in parsley and remove from heat. Toss meatballs well with sauce and serve immediately.","calories: 624, fat: 38g, carbs: 32g, protein: 37g, servings: 4"
Turkey Meatballs in Maple-Bourbon Mustard Sauce,https://www.allrecipes.com/turkey-meatballs-in-maple-bourbon-mustard-sauce-recipe-8685411,"{'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'panko bread crumbs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yellow mustard'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bourbon whiskey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley for garnish'}","Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with aluminum foil. Place a baking rack on top, spray the rack with cooking spray, and set aside.. In a bowl, combine onion, panko, egg, Worcestershire, garlic, salt, and pepper. Add ground turkey, and gently mix together. Use a 1 tablespoon cookie scoop to gently shape into balls without packing too hard; place on the prepared baking rack.. Bake in the preheated oven until meatballs are cooked through, 15 to 20 minutes. An instant read thermometer inserted near the center should read 160 degrees F (71 degrees C).. Meanwhile, add mustard, maple syrup, bourbon, tomato paste, salt, pepper, and cayenne to a saucepan, and whisk until well combined. Cook over medium-low heat until sauce starts to thicken, 12 to 15 minutes. Add butter, and stir until melted.. Add meatballs to sauce; cook until meatballs are warmed up, 5 to 7 minutes. Transfer to a serving dish, and garnish with parsley.","calories: 529, fat: 26g, carbs: 40g, protein: 33g, servings: 4"
Chicken Ricotta Meatballs,https://www.allrecipes.com/chicken-ricotta-meatballs-recipe-8683251,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'oil'}, {'quantity': '1/2', 'unit': None, 'name': 'white onion'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'panko'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '15', 'unit': None, 'name': 'Roma tomatoes'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': None, 'unit': None, 'name': 'basil leaves, cut into thin strips, for garnish'}, {'quantity': None, 'unit': None, 'name': 'shaved Parmesan, for garnish'}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with foil or parchment paper.. Heat olive oil in a skillet. Add onion and garlic, season with 1/4 teaspoon salt and 1/4 teaspoon pepper, and cook until soft and translucent, 3 to 5 minutes. Let cool to room temperature.. Combine panko and ricotta in a bowl and mix well. Add egg and season with remaining salt, pepper and Italian seasoning; mix to combine. Add ground chicken, and cooked onion and garlic mixture; mix gently to combine.. Shape into about 24 meatballs and place on the prepared baking sheet.. Bake meatballs in the preheated oven until no longer pink in the center and the juices run clear. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C),  about 20 minutes; remove to cool.. To make the sauce, preheat the oven to 425 degrees F (220 degrees C).. Coat the tomatoes with olive oil, then place cut side down in a single layer on a rimmed baking sheet. Add onion and garlic cloves to the baking sheet and sprinkle everything with salt.. Roast in the preheated oven until tomato skins begin to shrivel and tomatoes begin to release their juice, about 25 minutes.. Remove and let cool slightly. Carefully discard the skins.. Place tomatoes, onion, and garlic in a blender and blend to your preferred consistency. Stir in Italian seasoning and serve with chicken meatballs. Garnish with basil and shaved Parmesan.","calories: 378, fat: 21g, carbs: 20g, protein: 28g, servings: 6"
Chicken Meatballs,https://www.allrecipes.com/chicken-meatballs-recipe-8646171,"{'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'panko'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'italian seasoning'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'orcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken breast'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}","Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C) with a rack in the top third position. Line a large-rimmed baking sheet with parchment paper, and lightly grease with 1 tablespoon of the oil.. Stir together breadcrumbs and milk in a bowl until fully combined. Let stand at room temperature until milk is fully absorbed into breadcrumbs, about 10 minutes. Add Parmesan, Italian seasoning, Worcestershire sauce, salt, onion powder, granulated garlic, and pepper to the breadcrumb mixture, and stir to combine.. Mix together chicken, egg, and 2 tablespoons of the oil in a large bowl until combined. Fold breadcrumb mixture into chicken mixture untiljust combined. Place chicken mixture in refrigerator, uncovered, andchill until firm, about 10 minutes.. Gently shape chicken mixture into 20 (1 1/2-inch balls), and place on the prepared baking sheet leaving a 1-inch space between each meatball. Brush tops and sides of meatballs with remaining 1 tablespoon oil.. Bake in the preheated oven until browned and an instant-read thermometer inserted into the center of a meatball registers 165 degrees F (73 degrees C), 15 to 20 minutes, flipping after 8 minutes.","calories: 431, fat: 30g, carbs: 10g, protein: 32g, servings: 4"
Dill Pickle Meatballs,https://www.allrecipes.com/dill-pickle-meatballs-recipe-8648374,"{'quantity': None, 'unit': None, 'name': 'cooking Spray'}, {'quantity': '1', 'unit': 'pound', 'name': '80/20 ground beef'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'round buttery cracker'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'finely chopped dill pickles'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'chopped fresh mixed herbs'}, {'quantity': '1 1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain whole milk yogurt'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttered rice,'}",,
