name,link,ingredients,steps,nutrition
"Chef John's Homey, Hearty Meatloaf Recipes",https://www.allrecipes.com/chef-johns-best-meatloaf-recipes-8386699,,,
5 Secrets for Making Better Meatloaf,https://www.allrecipes.com/article/secrets-making-a-better-meatloaf/,,,
12 Best Side Dishes for Meatloaf,https://www.allrecipes.com/gallery/side-dish-recipes-for-meatloaf/,,,
5 Delicious Ways to Use Leftover Meatloaf,https://www.allrecipes.com/gallery/leftover-meatloaf-recipes/,,,
Stovetop Stuffing Meatloaf,https://www.allrecipes.com/stovetop-stuffing-meatloaf-recipe-8686723,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': '80/20 ground beef'}, {'quantity': '1', 'unit': '(6 ounce) box', 'name': 'chicken stuffing (such as Stovetop)'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '1', 'unit': 'cup', 'name': 'ketchup, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Line an 8- x 4-inch loaf pan with a double layer of aluminum foil, leaving a 3-inch overhang on the long sides. Lightly coat with cooking spray and place on a baking sheet.. Using your hands, mix beef, stuffing mix, water, egg, salt, poultry seasoning, and 1/2 cup of the ketchup in a large bowl until evenly combined without overmixing.. Press into the prepared loaf pan on the baking sheet.. Bake in the preheated oven until top is browned and the sides are bubbly, about 35 minutes.. While meatloaf bakes, whisk together brown sugar and remaining 1/2 cup ketchup in a small bowl until smooth. Remove meatloaf from the oven and spread ketchup mixture evenly over the top.. Return to the oven and continue baking at 350 degrees F (175 degrees C) until an instant-read thermometer inserted into the thickest portion of meatloaf registers 160 degrees F (71 degrees C), 10 to 15 minutes. Remove from oven and allow to rest for 5 minutes.. Remove meatloaf from loaf pan using foil overhang as handles, and transfer to a cutting board. Cut into 8 slices.","calories: 270, fat: 11g, carbs: 15g, protein: 27g, servings: 8"
Easy Meatloaf,https://www.allrecipes.com/recipe/16354/easy-meatloaf/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried bread crumbs'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'prepared mustard'}",,"calories: 372, fat: 25g, carbs: 19g, protein: 18g, servings: 8"
Best Meatloaf,https://www.allrecipes.com/recipe/74360/the-best-meatloaf-ive-ever-made/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'extra-lean ground beef'}, {'quantity': '3', 'unit': 'slices', 'name': 'bread, toasted and crumbled'}, {'quantity': '7', 'unit': '', 'name': 'buttery round crackers, crushed'}, {'quantity': '1', 'unit': '', 'name': 'egg, lightly beaten'}, {'quantity': '3 ½', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'tomato sauce, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk, or as needed (Optional)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ketchup'}",,"calories: 213, fat: 12g, carbs: 9g, protein: 18g, servings: 12"
Air Fryer Meatloaf,https://www.allrecipes.com/recipe/266164/air-fryer-meatloaf/,"{'quantity': '1/4', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground round (85/15)'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'finely chopped yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh thyme, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'apple cider vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'light brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}",,"calories: 364, fat: 19g, carbs: 10g, protein: 35g, servings: 4"
Best Turkey Meatloaf,https://www.allrecipes.com/recipe/231380/best-turkey-meatloaf/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground turkey'}, {'quantity': '¾', 'unit': 'cup', 'name': 'crushed buttery round crackers'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a rimmed baking sheet.. Mix ground turkey, crushed crackers, milk, onion, egg, garlic, salt, and black pepper in a bowl. Shape mixture into a loaf and place on the prepared pan.. To make the glaze: Mix ketchup, brown sugar, and Worcestershire sauce in a bowl. Set aside.. Bake meatloaf in preheated oven for 30 minutes; remove from the oven and drain off liquids. Top meatloaf with prepared ketchup glaze.. Return loaf to the oven and continue baking until no longer pink in the center, about 30 minutes more; an instant-read thermometer inserted into the center should read at least 160 degrees F (71 degrees C).. Serve and enjoy!","calories: 296, fat: 13g, carbs: 25g, protein: 20g, servings: 8"
Chicken Meatloaf,https://www.allrecipes.com/chicken-meatloaf-recipe-8635675,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'panko'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'parsley'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic cloves, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh thyme leaves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'orcestershire sauce'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ijon mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'apple cider vinegar'}",,"calories: 287, fat: 17g, carbs: 14g, protein: 21g, servings: 6"
