name,link,ingredients,steps,nutrition,image_url
Mediterranean Baked Fish,https://www.allrecipes.com/mediterranean-baked-fish-recipe-8733274,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cherry tomatoes,'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'dried Italian herb seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olives'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'fish fillets'}, {'quantity': None, 'unit': None, 'name': 'cooked rice or pasta (optional)'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley for garnish (optional)'}","Preheat the oven to 400 degrees F (200 degrees C).. Heat 2 tablespoons olive oil in an oven-safe nonstick skillet over medium heat. When oil shimmers, add onions and cook, stirring frequently, until onions are translucent, 3 to 4 minutes. Stir in garlic, and cook, stirring, about 30 seconds.. Add cherry tomatoes and wine, and season with salt and pepper. Add 1 teaspoon Italian seasoning and red pepper flakes. Toss to combine, and cook about 1 minute. Remove from heat and stir in sliced olives, chopped spinach, and cream.. Nestle fillets into vegetable mixture, sprinkle each fillet with salt and pepper, and drizzle remaining olive oil over the entire dish. Brush the olive oil to cover the surface of each fillet. Sprinkle with remaining 1/2 teaspoon Italian seasoning.. Bake in the preheated oven until fish flakes easily with a fork, 20 to 25 minutes. An instant-read thermometer inserted near the center should read 145 degrees F (63 degrees C).. Serve with hot, cooked pasta or rice, and garnish with fresh parsley.","calories: 440, fat: 24g, carbs: 9g, protein: 43g, servings: 4",https://www.allrecipes.com/thmb/fDsgemMjYhaXbTGVtNRAEz5E41o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733274_Mediterranean-Baked-Fish_Brenda-Venable_4x3-37d8bfa5cc2041ae897b866f0fbbf199.jpg
Mediterranean Pearl Couscous,https://www.allrecipes.com/mediterranean-pearl-couscous-recipe-8646349,"{'quantity': '2/3', 'unit': 'cup', 'name': 'Israeli couscous'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'pine nuts'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'medium', 'name': 'zucchini'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'capers'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'diced tomatoes'}","Bring a pot of lightly salted water to a boil, add couscous, and cook until tender, about 14 minutes. Remove from heat.. Reserve 1/4 cup cooking water, drain couscous thoroughly, and return to the pot.. Meanwhile, heat a nonstick pan over medium-high heat until hot. Add pine nuts and toast, stirring frequently, until golden brown and fragrant, 1 to 3 minutes. Remove pine nuts from skillet and set aside.. Melt butter in the same skillet. Add zucchini; sauté for 3 to 4 minutes. Add garlic and capers. Cook on medium-high, stirring constantly, until fragrant, 30 seconds to 1 minute. Stir in diced tomatoes; season with salt and pepper. Cook, stirring occasionally, until slightly reduced in volume, 3 to 5 minutes.. Stir in couscous and toasted pine nuts. If the sauce seems dry, gradually add reserved cooking water, 1 tablespoon at a time, until sauce is desired consistency. Serve immediately.","calories: 146, fat: 8g, carbs: 17g, protein: 4g, servings: 3",https://www.allrecipes.com/thmb/c2Xl1aEM6YIQxBymJsOgsnx2_3M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8646349_Mediterranean-Pearl-Couscous_TheDailyGourmet_4x3-dc3fced2183a49ecbfd53c237f033664.jpg
Mediterranean Turkey Meatball Sheet Pan Dinner,https://www.allrecipes.com/mediterranean-turkey-meatball-sheet-pan-dinner-recipe-7562426,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'parsley'}, {'quantity': '1', 'unit': 'tablespoon minced', 'name': 'fresh rosemary'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh dill'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh mint'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'breadcrumbs'}, {'quantity': '1/3', 'unit': 'cup minced', 'name': 'shallot'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '1/2', 'unit': 'red or', 'name': 'yellow bell pepper, sliced'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper, sliced'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion, sliced'}, {'quantity': '1', 'unit': None, 'name': 'zucchini, sliced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'alamata olives'}","Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with foil or parchment paper.. In a large bowl, combine parsley, rosemary, oregano, dill, mint, salt, and pepper. Stir to combine. Set aside 2 tablespoons of herbs to use with vegetables later in the recipe.. To the large bowl, add breadcrumbs, shallot, garlic, and lemon zest; stir to combine. Whisk beaten egg with 1 tablespoon olive oil, and stir into the breadcrumb mixture. Add ground turkey.. Mix all ingredients well using your hands. If meatballs seem too wet, work in another tablespoon of bread crumbs. Form into 18 (1 1/4-inch) meatballs and place on the prepared pan. Spray meatballs with olive oil spray.. Bake in the preheated oven for 15 minutes.. Meanwhile, combine lemon juice, reserved 2 tablespoons herb mixture, and remaining 1 tablespoon olive oil, and toss with red pepper, green pepper, red onion, and zucchini slices.. Remove meatballs from the oven; distribute vegetables around the meatballs on the pan.. Return the pan to the oven; continue baking until vegetables are tender and meatballs are no longer pink in the center, about 15 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).. Sprinkle with crumbled feta cheese, chopped tomatoes, and olives. Serve warm.","calories: 556, fat: 34g, carbs: 27g, protein: 38g, servings: 4",https://www.allrecipes.com/thmb/Eh95CSTRtCMjGg2KrYrp1wLpDzo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7562426_Mediterranean-Turkey-Meatball-Sheet-Pan-Dinner_Bibi_4x3-2b60f8d2e5e846dfb0026c1d560a5856.jpg
Sun-Dried Tomato Pesto,https://www.allrecipes.com/recipe/25307/sun-dried-tomato-pesto/,"{'quantity': '4', 'unit': 'ounces', 'name': 'sun-dried tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped pine nuts'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh basil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped garlic'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'crushed tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'red wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Place sun-dried tomatoes in a bowl and cover with warm water for 5 minutes, or until tender.. Place sun-dried tomatoes, pine nuts, onion, basil, parsley, and garlic in a food processor or blender; process until well blended. Add crushed tomatoes, vinegar, red wine, and tomato paste; blend to desired consistency. Stir in olive oil and Parmesan cheese; season to taste.","calories: 44, fat: 4g, carbs: 2g, protein: 1g, servings: 40",https://www.allrecipes.com/thmb/T5CX9G7M77e0Wz0xQb5EadHo6Ec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/800396-c3457d08d3e24c0cb20a991eaa2fac73.jpg
Kalamata Olive Tapenade,https://www.allrecipes.com/recipe/165309/kalamata-olive-tapenade/,"{'quantity': '3', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '1', 'unit': 'cup', 'name': 'pitted kalamata olives'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather all ingredients.. Place garlic cloves into a blender or food processor; pulse to mince.. Add olives, parsley, capers, lemon juice, and olive oil. Blend until mixture is finely chopped.. Season with salt and pepper.","calories: 81, fat: 8g, carbs: 3g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/sFI3Ta2HYMH476J-1gN903U5Up4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/165309-kalamata-olive-tapenade-mfs-4x3-210--f8afd60ae9c545d6bdb1ba9ba28cabfe.jpg
Mediterranean Grilled Salmon Kabobs,https://www.allrecipes.com/recipe/8505567/mediterranean-grilled-salmon-kabobs/,"{'quantity': '½', 'unit': 'cup', 'name': 'tzatziki sauce'}, {'quantity': '1', 'unit': '', 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'pound', 'name': 'salmon fillets, cut into 1 inch cubes'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'medium', 'name': 'green bell peppers, cut into 2 inch pieces'}, {'quantity': '1', 'unit': 'pint', 'name': 'grape tomatoes'}, {'quantity': '½', 'unit': '', 'name': 'red onion, cut into wedges'}, {'quantity': '¼', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '', 'unit': '', 'name': 'more tzatziki sauce for serving'}","Combine tzatziki sauce, lemon juice, and lemon zest in a bowl. Add salmon, toss to coat, and marinate in the refrigerator for 15 minutes.. Preheat an outdoor grill for medium heat and lightly oil the grate.. Combine garlic, oregano, and olive oil in a bowl. Add green peppers, red onions, and grape tomatoes.. Beginning and ending with salmon, thread salmon, grape tomatoes, red onions, and green peppers onto 8 skewers.. Cook salmon skewers on the hot grill until fish is opaque in color, turning every 5 minutes, about 15 minutes total. Top with feta cheese and extra tzatziki sauce.","calories: 174, fat: 22g, carbs: 6g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/1uNVp3kONKAviNMYkO3iVR8YWxw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1667828907salmon-6b6b1c64d05a4cae81e759be30b6e9e3.jpg
Sugo di Pomodoro (Authentic Italian Tomato Sauce),https://www.allrecipes.com/recipe/265321/sugo-di-pomodoro-authentic-italian-tomato-sauce/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, halved'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'passata (crushed tomatoes)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh basil, torn in half'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Gather all ingredients.. Heat oil in a saucepan over low heat. Add onion and garlic. Cook and stir until soft and translucent, about 5 minutes.. Add passata, basil, and salt. Cover and simmer over medium heat, stirring occasionally, until tomato sauce has thickened, about 20 minutes.. Remove garlic halves before serving.","calories: 152, fat: 7g, carbs: 21g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/YywimWFx/poster.jpg?width=720
Mediterranean Lentil Salad,https://www.allrecipes.com/recipe/14260/mediterranean-lentil-salad/,"{'quantity': '1', 'unit': 'cup', 'name': 'dry brown lentils'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'red onion, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}","Combine lentils, carrots, onion, garlic, bay leaf, and thyme in a saucepan. Add enough water to cover by 1 inch; bring to a boil, reduce heat and simmer uncovered for 15 to 20 minutes or until lentils are tender but not mushy.. Drain lentils and vegetables and remove bay leaf. Add olive oil, lemon juice, celery, parsley, salt and pepper. Toss gently to mix and serve at room temperature.","calories: 147, fat: 7g, carbs: 16g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/CbDY6PxabmlXGsIyZCdzc_t1vd8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14260-mediterranean-lentil-salad-larkspur-4x3.jpg-249fb0aed57e41a68c560b4b4a7204db.jpg
Grilled Octopus,https://www.allrecipes.com/recipe/274231/grilled-octopus/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black peppercorns'}, {'quantity': '', 'unit': '', 'name': '1 wine cork'}, {'quantity': '3 ½', 'unit': 'pounds', 'name': 'octopus, head and beak removed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra virgin olive oil'}, {'quantity': '½', 'unit': 'medium', 'name': 'lemon'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'minced fresh parsley'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Gather the ingredients.. Fill a large pot 1/2 full with water. Add 2 tablespoons kosher salt, peppercorns, and the wine cork; bring to a boil over high heat.. Meanwhile, place octopus on a cutting board. Using a wooden spoon or meat mallet, pound the octopus multiple times, starting in the middle and moving down each tentacle to tenderize the meat.. Dip tentacles into the boiling water 3 times, holding them in the boiling water 2 to 3 seconds each time, until the tentacles curl up. Submerge entire octopus in the boiling water. Bring water back to a boil, reduce heat to low, cover, and simmer until octopus is fork-tender, 45 to 60 minutes. Remove from heat and cool for 30 minutes.. Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Grill octopus until charred on all sides, 3 to 4 minutes per side.. Remove from heat, slice into pieces, and place on a serving platter. Drizzle with extra virgin olive oil and squeeze lemon over the top. Sprinkle with parsley and season with salt and pepper. Serve immediately.","calories: 384, fat: 9g, carbs: 11g, protein: 62g, servings: 6",https://www.allrecipes.com/thmb/J7hX8IQcYGf3vlvfZrz5r7pd29U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6723522-af2855be1a38418ebd9fc516034ffecc.jpg
Greek Lentil Soup (Fakes),https://www.allrecipes.com/recipe/137650/greek-lentil-soup-fakes/,"{'quantity': '8', 'unit': 'ounces', 'name': 'brown lentils'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, minced'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'quart', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed dried rosemary (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red wine vinegar, or to taste (Optional)'}","Place lentils in a large saucepan; add enough water to cover by 1 inch. Bring water to a boil and cook for 10 minutes; drain.. Heat olive oil in a saucepan over medium heat. Add onion, carrot, and garlic; cook and stir until onion has softened and turned translucent, about 5 minutes. Pour in lentils, then add 1 quart water, bay leaves, oregano, and rosemary. Bring to a boil. Cover and reduce heat to medium-low; simmer for 10 minutes.. Stir in tomato paste; season with salt and pepper. Cover and simmer, stirring occasionally, until lentils have softened, 30 to 40 minutes. Add additional water if soup becomes too thick. Drizzle with olive oil and red wine vinegar to serve.","calories: 357, fat: 16g, carbs: 40g, protein: 16g, servings: 4",https://cdn.jwplayer.com/v2/media/Asl8MWKD/poster.jpg?width=720
