name,link,ingredients,steps,nutrition,image_url
Minestrone Soup in a Jar,https://www.allrecipes.com/minestrone-soup-in-a-jar-recipe-8350626,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable stock base'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'italian seasoning'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'kidney beans, drained and rinsed'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'shell pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'green beans'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped sweet onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'carrot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'celery'}, {'quantity': None, 'unit': None, 'name': 'grated Parmesan cheese, for garnish'}","Stir together vegetable stock base, tomato paste, minced garlic, and Italian seasoning in a small bowl. Divide mixture evenly among 3 microwave-safe pint-size canning jars with lids.. Layer evenly with kidney beans, ditalini pasta, green beans, onion, carrot, and celery. Chill, covered, up to 5 days. To serve, see “Heat and Eat,” below. Garnish with grated Parmesan.","calories: 313, fat: 2g, carbs: 58g, protein: 17g, servings: 3",https://www.allrecipes.com/thmb/0-pR6hq4GZfkFaS0CWaZP-rihk8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8350626-minestrone-soup-in-a-jar-4x3-3dfb48a47ac84e08976704acecb65bc9.jpg
Classic Minestrone Soup,https://www.allrecipes.com/recipe/255650/classic-minestrone-soup/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sliced celery'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'minced fresh rosemary'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'Contadina® Tomato Sauce'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans, rinsed and drained'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'College Inn® Chicken Broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced zucchini'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry ditalini pasta'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh Italian parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'shredded Parmesan cheese, or to taste'}","Heat oil in a large saucepan over medium-high heat. Sauté onion, carrot, celery, garlic, and rosemary until vegetables begin to soften, about 5 minutes.. Stir in tomato sauce, beans, water, broth, zucchini, pasta, and pepper; bring to a simmer. Cook, uncovered and stirring occasionally, until pasta is tender, 10 minutes. Stir in parsley. Serve topped with Parmesan and additional parsley if desired.","calories: 159, fat: 3g, carbs: 26g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/3cg1WnyHMtzRXNvjLH_xVZGLzsI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4022830-5483561f4bd648f6a9433ce8c34cdd05.jpg
Chicken Minestrone Soup,https://www.allrecipes.com/recipe/8499644/chicken-minestrone-soup/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '½', 'unit': 'pound', 'name': 'skinless, boneless chicken breast, cut into bite-sized pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced carrot'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '5', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes with basil, garlic, and oregano'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'cannellini beans, drained and rinsed'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'kidney beans, drained and rinsed'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'small', 'name': 'zucchini, quartered lengthwise and cut into 1/2 inch slices'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen cut green beans'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'cup', 'name': 'ditalini pasta'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'grated Parmesan cheese, or more to taste (Optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh parsley'}","Heat 2 tablespoons olive oil in a large pot over medium heat. Add chicken to pot, and sauté just until lightly browned, about 3 minutes. Remove chicken from pot; set aside.. Heat remaining 2 tablespoons olive oil in the pot; add onions and cook until translucent, about 3 minutes. Stir in garlic; cook until fragrant, about 30 seconds. Add carrots and celery; cook for 5 minutes, stirring occasionally.. Reduce heat to medium-low; stir in chicken stock, diced tomatoes, cannellini beans, kidney beans, tomato paste, zucchini, green beans, Italian seasoning. Simmer, covered, for 15 minutes.. Stir in chicken and ditalini pasta, and cook until pasta is tender yet firm to the bite, about 8 minutes. Season to taste with salt and black pepper. If soup is too thick, add a little water or stock. Garnish each bowl with Parmesan and parsley.","calories: 260, fat: 8g, carbs: 33g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/9EfsZt44mSruAntiv-d6GJEf_IM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8499644_Chicken-Minestrone-Soup_lutzflcat_4x3-8f42848d8c3e49a89a0759c13ff9f9bf.jpg
Jamie's Minestrone Soup,https://www.allrecipes.com/recipe/13333/jamies-minestrone/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped celery'}, {'quantity': '5', 'unit': '', 'name': 'carrots, sliced'}, {'quantity': '4', 'unit': 'cups', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'red wine (Optional)'}, {'quantity': '3', 'unit': '', 'name': 'zucchinis, quartered and sliced'}, {'quantity': '2', 'unit': 'cups', 'name': 'baby spinach, rinsed'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh or frozen green beans, cut into 1 ½-inch pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned kidney beans, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh oregano'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'shell pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese for topping'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}","Gather the ingredients.. Heat olive oil in a large stockpot over medium-low heat. Sauté garlic in hot oil until fragrant, 2 to 3 minutes. Add onion; cook and stir until translucent, 4 to 5 minutes.. Add celery and carrots; sauté for 1 to 2 minutes.. Pour in tomato sauce, broth, and water; bring to a boil, stirring frequently. Add red wine; reduce heat to low.. Stir in zucchini, spinach, green beans, kidney beans, basil, oregano, salt, and pepper. Simmer until soup is heated through, 30 to 40 minutes.. Meanwhile, fill a medium saucepan with water and bring to a boil. Cook seashell pasta in boiling water, stirring occasionally, until tender yet firm to the bite, 7 to 8 minutes. Drain and set aside.. Place 2 tablespoons cooked pasta into individual serving bowls. Ladle soup over pasta and sprinkle with Parmesan cheese.. Drizzle with olive oil to serve.","calories: 193, fat: 9g, carbs: 26g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/PVDRw1Em/thumbnails/z8SK9pdc.jpg
Slow Cooker Vegetarian Minestrone,https://www.allrecipes.com/recipe/230298/slow-cooker-vegetarian-minestrone/,"{'quantity': '6', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'large', 'name': 'carrots, diced'}, {'quantity': '2', 'unit': '', 'name': 'ribs celery, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'green beans'}, {'quantity': '1', 'unit': 'small', 'name': 'zucchini, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh parsley'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'elbow macaroni'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped fresh spinach'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely grated Parmesan cheese, or more to taste'}","Gather all ingredients.. Combine broth, tomatoes, kidney beans, onion, carrots, celery, green beans, zucchini, garlic, parsley, oregano, salt, thyme, and pepper in a 6-quart slow cooker. Cover and cook on Low for 6 to 8 hours.. Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until cooked through but firm to the bite, 8 minutes; drain.. Stir macaroni and spinach into the slow cooker; cover and cook for 15 more minutes.. Ladle into bowls and sprinkle with Parmesan cheese.","calories: 138, fat: 2g, carbs: 25g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/OqS2iT0l/poster.jpg?width=720
Hearty Minestrone Soup,https://www.allrecipes.com/recipe/13187/minestrone-soup-i/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'margarine'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': '(32 ounce) container', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(19 ounce) can', 'name': 'cannellini beans'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'stewed tomatoes'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cubed potatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded cabbage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'elbow macaroni'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Melt margarine in a heavy stockpot over medium heat. Add onion, carrots, and celery; sauté until beginning to soften, 3 to 4 minutes. Add broth, beans, tomatoes, potatoes, cabbage, parsley, tomato paste, garlic, and salt; bring to a boil.. Reduce the heat, cover, and simmer until vegetables are tender, about 1 hour. Add pasta and simmer for 30 minutes more. Adjust seasoning as needed.. Ladle into bowls and garnish with Parmesan cheese.","calories: 292, fat: 10g, carbs: 41g, protein: 12g, servings: 6",https://www.allrecipes.com/thmb/Uw6tQNMmIxeLccIgcNmZgr8kW0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/283528-84c7c6dfb5cb4040a31c56a01e358840.jpg
Chef John's Minestrone Soup,https://www.allrecipes.com/recipe/223044/chef-johns-minestrone-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'ounces', 'name': 'chopped pancetta'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, plus more as needed'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'plum tomatoes, crushed fine'}, {'quantity': '1', 'unit': 'cup', 'name': 'cranberry beans, shelled'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped cabbage, or more to taste'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'garbanzo beans, drained'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'bunch', 'name': 'Swiss chard, chopped'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'ditalini pasta'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra virgin olive oil, for drizzling'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely grated Parmigiano-Reggiano cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh Italian flat-leaf parsley'}",,"calories: 484, fat: 23g, carbs: 54g, protein: 18g, servings: 6",https://cdn.jwplayer.com/v2/media/sYSaabRs/poster.jpg?width=720
Sweet Potato Minestrone,https://www.allrecipes.com/recipe/21013/sweet-potato-minestrone/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'large stalks', 'name': 'celery, chopped'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'Italian seasoning'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'Italian-style diced tomatoes'}, {'quantity': '5', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '2', 'unit': 'large', 'name': 'sweet potatoes, peeled and diced'}, {'quantity': '2', 'unit': 'large', 'name': 'carrots, sliced thin'}, {'quantity': '6', 'unit': 'ounces', 'name': 'green beans, cut into 1 inch pieces'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic, minced'}","Heat oil in a soup pot over medium-high heat. Sauté onion, celery, Italian seasoning, salt, and pepper until tender, about 5 minutes. Stir in tomatoes with juice, broth, sweet potatoes, carrots, green beans, and garlic. Bring to a boil; reduce heat to low and simmer, stirring occasionally, until vegetables are tender, about 30 minutes.","calories: 201, fat: 3g, carbs: 40g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/TPlxk_WF8i5wez0R0QFRPZaeraU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/561951-d6d9a31cc5e54332882115abfe2564a5.jpg
Easy Minestrone Soup,https://www.allrecipes.com/recipe/268510/easy-minestrone-soup/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced carrots'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'jarred marinara sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'small shell pasta'}, {'quantity': '2', 'unit': 'cups', 'name': 'quartered and sliced zucchini'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'great northern beans, rinsed and drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'stemmed and thinly sliced kale'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese, or to taste (Optional)'}","Heat olive oil in a large pot or Dutch oven over medium-high heat until shimmering. Add celery, carrots, and onion. Cook, stirring frequently, until onion begins to turn translucent, about 4 minutes. Add garlic and stir until fragrant, about 30 seconds.. Add vegetable broth, marinara sauce, tomato paste, and Italian seasoning. Stir to combine. Bring to a boil. Reduce heat to medium-low and simmer, uncovered, until carrots are soft, about 10 minutes.. Add pasta and zucchini. Cook until pasta is tender, about 10 minutes. Stir in beans, kale, salt, and pepper. Remove from heat and allow soup to cool slightly. Spoon into individual bowls and garnish with Parmesan cheese.","calories: 365, fat: 7g, carbs: 64g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/Vo6OSVGOX-sHN0-fSw95E-j6b7Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5920696-1dbdee8f42f5439aba13da9b4eefd570.jpg
Best Darn Minestrone Soup Around,https://www.allrecipes.com/recipe/50901/best-darn-minestrone-soup-around/,"{'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped onions'}, {'quantity': '4', 'unit': '(15 ounce) cans', 'name': 'mixed vegetables, with liquid'}, {'quantity': '4', 'unit': '(14 ounce) cans', 'name': 'chicken broth'}, {'quantity': '2', 'unit': '(16 ounce) cans', 'name': 'kidney beans, with liquid'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'whole peeled tomatoes, with liquid'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen chopped spinach'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '4', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked elbow macaroni'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned garbanzo beans, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '4 ¼', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Melt butter in a large stock pot over medium heat. Add onions and sauté until soft. Add mixed vegetables, broth, kidney beans, tomatoes, spinach, and tomato paste; simmer gently for 1 1/2 hours.. Use a slotted spoon to transfer about 1/2 of the vegetables to a blender or food processor, reserving the liquid in the stockpot. Purée vegetables until smooth, then return to the pot.. Stir in heavy cream, macaroni, garbanzo beans, 1/2 of the Parmesan cheese, garlic powder, parsley, pepper, basil, and salt. Cook, stirring frequently, for 30 minutes.. Ladle into bowls and sprinkle with remaining Parmesan cheese.","calories: 587, fat: 41g, carbs: 43g, protein: 16g, servings: 12",https://www.allrecipes.com/thmb/656tJlLw8e52Kxmem-BB9wuGmuY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21173-b425d36b329b4bdeab8eb70851dfc6e0.jpg
