name,link,ingredients,steps,nutrition
Blackberry Mojito,https://www.allrecipes.com/blackberry-mojito-recipe-8693937,"{'quantity': '4', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lime juice'}, {'quantity': '10', 'unit': None, 'name': 'blackberries'}, {'quantity': '10', 'unit': None, 'name': 'mint leaves'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'soda water'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'rum'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ice,'}","Place sugar, lime juice, blackberries and mint leaves in an old fashioned glass, and mash well with a cocktail muddler. Add soda water and rum; stir. Fill with ice.","calories: 232, fat: 0g, carbs: 26g, protein: 1g, servings: 1"
Thai Basil Mojito,https://www.allrecipes.com/thai-basil-mojito-recipe-8645339,"{'quantity': '2', 'unit': 'cups', 'name': 'ice,'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '3/4', 'unit': 'fluid ounce', 'name': 'simple syrup'}, {'quantity': '12', 'unit': None, 'name': 'fresh Thai basil leaves'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'rum'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'club soda'}, {'quantity': None, 'unit': None, 'name': 'lime wedge (optional)'}, {'quantity': '1', 'unit': None, 'name': 'Thai basil sprig (optional)'}","Fill a collins glass with ice and set aside.. In a cocktail shaker, combine lime juice, simple syrup and Thai basil leaves. Use a muddler to crush the leaves for about 10 seconds. Add rum and 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain mojito into the glass and top with club soda; gently stir. Garnish with lime wedge and Thai basil sprig, if desired.","calories: 164, fat: 0g, carbs: 20g, protein: 1g, servings: 1"
The Real Mojito,https://www.allrecipes.com/recipe/147363/the-real-mojito/,"{'quantity': '10', 'unit': '', 'name': 'fresh mint leaves'}, {'quantity': '½', 'unit': 'medium', 'name': 'lime, cut into 3 wedges, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'white rum'}, {'quantity': '½', 'unit': 'cup', 'name': 'club soda, or as needed'}",,"calories: 203, fat: 0g, carbs: 29g, protein: 0g, servings: 1"
Mojitos by the Pitcher,https://www.allrecipes.com/recipe/233523/mojitos-by-the-pitcher/,"{'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '36', 'unit': 'leaves', 'name': 'fresh mint, or to taste'}, {'quantity': '3', 'unit': 'medium', 'name': 'limes, quartered'}, {'quantity': '1', 'unit': 'cup', 'name': 'rum (such as Bacardi)'}, {'quantity': '1', 'unit': 'liter', 'name': 'club soda'}",Gather all ingredients.. Muddle sugar and mint leaves together in a pitcher until leaves are well broken down.. Add limes and muddle until limes are juiced.. Pour rum into sugar mixture; add club soda and stir until sugar is dissolved.. Serve and enjoy!,"calories: 160, fat: 0g, carbs: 20g, protein: 0g, servings: 6"
Strawberry Mojito,https://www.allrecipes.com/recipe/172777/strawberry-mojito/,"{'quantity': '', 'unit': '', 'name': 'white sugar, for rimming'}, {'quantity': '2', 'unit': 'large', 'name': 'limes, quartered'}, {'quantity': '½', 'unit': 'bunch', 'name': 'mint leaves'}, {'quantity': '7', 'unit': '', 'name': 'strawberries, quartered'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'club soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'white rum'}, {'quantity': '8', 'unit': 'cups', 'name': 'ice cubes'}","Pour about 1/2 inch of sugar onto a small, shallow plate. Run a lime wedge around the rims of 8 cocktail glasses, then dip the rims into sugar to coat; set aside.. Squeeze all of the lime wedges into a sturdy glass pitcher. Toss juiced limes into the pitcher along with mint, strawberries, and 1 cup sugar. Crush with a muddler to release strawberry juice and mint oil. Stir in club soda and rum until sugar has dissolved.. Pour into the prepared glasses over ice cubes to serve.",
Cuban Mojito,https://www.allrecipes.com/recipe/152219/cuban-mojito/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into 4 wedges'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh mint'}, {'quantity': '2', 'unit': 'cups', 'name': 'crushed ice, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'white rum'}, {'quantity': '2', 'unit': 'cups', 'name': 'club soda'}","Place 1 teaspoon sugar each into two 12-ounce glasses. Squeeze juice from a lime wedge into each glass and drop in the wedge. Place 2 mint sprigs into each glass. Use a spoon or muddler to mash lime mixture together in the bottom of the glasses.. Fill each glass about half full with crushed ice. Pour 1/4 cup rum into each glass. Fill the glasses with club soda, stir, and garnish with remaining lime wedges.",
Mint-Cucumber Mojitos,https://www.allrecipes.com/recipe/168102/mint-cucumber-mojitos/,"{'quantity': '1', 'unit': '', 'name': 'lime, quartered'}, {'quantity': '2', 'unit': 'sprigs', 'name': 'fresh mint leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'slices', 'name': 'cucumber'}, {'quantity': '6', 'unit': 'cubes', 'name': 'ice, or as needed'}, {'quantity': '2', 'unit': 'ounces', 'name': 'white rum (such as Bacardi®)'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'club soda'}","Squeeze the lime quarters into a highball glass, and drop the limes into the glass. Add the mint leaves and sugar. Muddle well with the back of a spoon or with a muddler. Place the cucumber slices into the glass, and fill with ice cubes. Pour in the rum, then top off with club soda. Stir gently and serve.",
Patron Mojito,https://www.allrecipes.com/recipe/229651/patron-mojito/,"{'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila (such as Patron®)'}, {'quantity': '12', 'unit': 'leaves', 'name': 'mint'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'lime wedges'}, {'quantity': '¼', 'unit': 'cup', 'name': 'club soda, or as needed'}","Combine tequila, mint, sugar, and lime in a tall glass; mash mint and lime well with a cocktail muddler. Top with club soda and stir gently to serve.","calories: 184, carbs: 14g, protein: 0g, servings: 1"
Cocojito (Frozen Mojito),https://www.allrecipes.com/recipe/215612/cocojito-frozen-mojito/,"{'quantity': '4', 'unit': 'cups', 'name': 'ice cubes'}, {'quantity': '2 ½', 'unit': '', 'name': 'limes, rind removed'}, {'quantity': '7', 'unit': 'fluid ounces', 'name': 'sweetened cream of coconut (such as Coco Lopez)'}, {'quantity': '2 ½', 'unit': '(1.5 fluid ounce) jiggers', 'name': 'white rum (such as Bacardi)'}, {'quantity': '5', 'unit': 'sprigs', 'name': 'fresh mint leaves'}, {'quantity': '2', 'unit': '', 'name': 'mint sprigs, for garnish'}, {'quantity': '2', 'unit': '', 'name': 'lime wedges, for garnish'}","Blend together ice, limes, cream of coconut, rum, and mint leaves in a blender until smooth. Pour into 2 glasses and garnish each with a mint sprig and lime wedge.","calories: 586, fat: 20g, carbs: 75g, protein: 2g, servings: 2"
Pineapple Mojito,https://www.allrecipes.com/recipe/281583/pineapple-mojito/,"{'quantity': '10', 'unit': '', 'name': 'fresh mint leaves, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh pineapple'}, {'quantity': '', 'unit': '', 'name': 'ice'}, {'quantity': '6', 'unit': 'fluid ounces', 'name': 'pineapple juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'rum'}, {'quantity': '1', 'unit': 'splash', 'name': 'club soda'}, {'quantity': '1', 'unit': 'wedge', 'name': 'fresh pineapple'}","Muddle mint leaves, sugar, and pineapple in a highball glass.. Fill glass with ice cubes. Pour in pineapple juice and rum. Top with a splash of club soda. Garnish with pineapple wedge and remaining mint leaves.","calories: 310, fat: 0g, carbs: 45g, protein: 1g, servings: 1"
