name,link,ingredients,steps,nutrition,image_url
Holiday Monkey Bread,https://www.allrecipes.com/holiday-monkey-bread-recipe-8745645,"{'quantity': '1 1/3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'sticks', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}",,"calories: 404, fat: 19g, carbs: 54g, protein: 5g, servings: 16",https://cdn.jwplayer.com/v2/media/Mnj9wL1k/thumbnails/yMXLgmu4.jpg
Cinnamon Roll Monkey Bread,https://www.allrecipes.com/recipe/284760/cinnamon-roll-monkey-bread/,"{'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': '(12.4 ounce) package', 'name': 'refrigerated cinnamon roll dough with icing'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, melted'}","Preheat the oven to 400 degrees F (200 degrees C). Grease a 9x5-inch loaf pan.. Mix sugar and cinnamon together in a bowl.. Set icing packet aside. Cut cinnamon rolls into quarters. Dip pieces in melted butter, coat in cinnamon-sugar, and place in the prepared pan.. Bake in the preheated oven until dough has risen and top is golden brown, 20 to 25 minutes; drizzle icing over top and let cool in the pan for 5 minutes. Turn the monkey bread out onto a plate and serve warm.","calories: 246, fat: 11g, carbs: 35g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/P_mfKSnZ1ANCFoqdy4lFHc9VfdQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9455389_Cinnamon-Roll-Monkey-Bread-4x3-5635d66818a544ebbdf6d7e2b9d42097.jpg
Leftover Turkey Pull-Apart Bread,https://www.allrecipes.com/leftover-turkey-pull-apart-bread-recipe-7372192,"{'quantity': '1', 'unit': 'cup', 'name': 'shredded Gruyere cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'turkey'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'breakfast sausage'}, {'quantity': '1', 'unit': None, 'name': 'apple, cored and chopped'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'celery'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped mixed fresh herbs'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '2', 'unit': '(16-ounce) cans', 'name': 'refrigerated butter-flavor'}, {'quantity': None, 'unit': None, 'name': 'rosemary sprigs for garnish (optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'cranberry sauce, or to taste'}","Preheat the oven to 325 degrees F (165 degrees F). Spray a nonstick Bundt pan with cooking spray.. Stir together Gruyere cheese, Cheddar cheese, turkey, sausage, apple, walnuts, celery, mixed herbs, and parsley in a large bowl.. Combine melted butter and poultry seasoning in a small bowl, pour over cheese mixture, and stir gently to combine.. Using kitchen shears, cut biscuits into quarters and gently toss into the cheese mixture. Add the biscuit mixture to the prepared pan.. Bake in the center of the preheated oven until the top is golden and a wooden pick inserted in center comes out clean, 45 to 55 minutes.. Cool bread in the pan on a rack for about 5 minutes. Turn bread out onto a serving board or platter, and garnish with rosemary sprigs. Place cranberry sauce in a small container and set in the middle of the bread. Provide tongs for bread and a serving spoon for cranberry sauce.","calories: 314, fat: 13g, carbs: 40g, protein: 12g, servings: 16",https://www.allrecipes.com/thmb/jebm7boNUrRaKX9Z4-xRw_NQ-58=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7372192_Leftover-Turkey-Pull-Apart-Bread_Bibi_4x3-916fd8b80c7443698518b02fb49bd4ab.jpg
Best Monkey Bread,https://www.allrecipes.com/recipe/6815/monkey-bread-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': '(12 ounce) packages', 'name': 'refrigerated biscuit dough'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter or margarine'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}",,"calories: 378, fat: 15g, carbs: 57g, protein: 5g, servings: 15",https://cdn.jwplayer.com/v2/media/f4eGFX9S/poster.jpg?width=720
Monkey Bread from Scratch,https://www.allrecipes.com/recipe/272308/monkey-bread-from-scratch/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk, warmed'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}","Lightly grease a fluted tube pan (such as Bundt) with vegetable oil; set aside.. Make dough: Combine warm water, yeast, and 1 teaspoon sugar in a large bowl. Let stand until bubbly and foamy, about 5 minutes.. Stir in 1 cup flour, warm milk, egg, 3 tablespoons sugar, butter, salt, and vanilla extract until combined. Add remaining 2 1/2 cups flour. Mix and knead until dough comes together in a ball. Cover with plastic wrap and let rise in a warm place for 30 minutes.. Turn dough out onto a lightly floured surface and punch down gently to deflate. Divide dough into small or medium balls.. Make coating: Mix together brown sugar and cinnamon in a small bowl. Dip each dough ball in melted butter, remove with a fork, then roll in cinnamon sugar mixture until well coated.. Arrange coated dough balls in the prepared pan. Cover with plastic wrap or a damp cloth and let rise until almost doubled in size, about 45 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until golden brown, about 35 minutes. Invert onto a large plate; cool for 10 minutes before serving.","calories: 427, fat: 13g, carbs: 72g, protein: 6g, servings: 10",https://www.allrecipes.com/thmb/-dLfRrFCfsyjOBKaaBjhXH3XHfo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1116785-monkey-bread-from-scratch-Dianashh-4x3-1-c9e63a12cc4c472a8de5dafdc2be81e8.jpg
Quick and Easy Monkey Bread,https://www.allrecipes.com/recipe/7110/quick-and-easy-monkey-bread/,"{'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': '(3.4 ounce) package', 'name': 'instant butterscotch pudding mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '24', 'unit': 'ounces', 'name': 'frozen dinner roll dough'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}","Grease and flour a 9- or 10-inch tube pan.. Mix together brown sugar and pudding mix in a small bowl. Mix together white sugar and cinnamon in a second small bowl.. Arrange a single layer of frozen dinner rolls in the prepared pan. Sprinkle with some of the brown sugar mixture, then sprinkle with some of the white sugar mixture. Cover with 1/2 of the nuts, then drizzle with 1/2 of the melted butter. Repeat layers with remaining rolls and toppings.. Let sit uncovered on the counter for 8 hours to overnight.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven for 30 minutes. Let stand for a few minutes, then turn the pan onto a serving platter and lift to release bread.","calories: 389, fat: 15g, carbs: 60g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/et-D-6L9G8txm5kadWDLwk02r1w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3026392-d6031f0981c44f23bad97850e6dbb8ad.jpg
Monkey Bread with Butterscotch Pudding,https://www.allrecipes.com/recipe/223205/monkey-bread-with-butterscotch-pudding/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'softened butter, for greasing'}, {'quantity': '1', 'unit': '(3.5 ounce) package', 'name': 'cook and serve butterscotch pudding mix'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'frozen dinner rolls'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}","Grease a 9- or 10-inch tube pan with softened butter. Sprinkle butterscotch pudding mix and white sugar into the prepared tube pan. Arrange rolls around the pan. Sprinkle with pecans and brown sugar, then drizzle melted butter over the top. Place the pan in a cold oven and allow dough to rise 8 hours to overnight.. Remove the pan from the oven.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until golden brown, 25 to 30 minutes. Invert the pan onto a large plate and lift to release bread.","calories: 346, fat: 19g, carbs: 43g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/4886kZLkyaLlDhJGbBeLyyV49Xg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4225183-monkey-bread-with-butterscotch-pudding-Jenny-Collins-4x3-1-ff2a6fcd1ac1434697e847664b706e46.jpg
Garlic Parmesan Monkey Bread,https://www.allrecipes.com/recipe/54705/garlic-parmesan-monkey-bread/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'finely chopped green onions'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'parsley'}, {'quantity': '2', 'unit': None, 'name': 'eggs, beaten'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '(1 pound) loaves', 'name': 'frozen bread dough, thawed'}, {'quantity': '½', 'unit': 'cup', 'name': 'Parmesan cheese'}","Grease a 10-inch Bundt pan or tube pan.. Combine butter, green onion, parsley, eggs, garlic powder, and salt in a medium bowl until well blended. Break bread dough into walnut-sized pieces; dip each into egg mixture.. Place 1 layer egg-dipped dough pieces into the prepared pan until bottom covered; sprinkle with Parmesan cheese. Repeat layering and sprinkling until all dough pieces and Parmesan are in the pan. Cover the pan loosely; let rise until doubled in volume, about 45 minutes.. Meanwhile, preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until golden brown, about 30 minutes.","calories: 339, fat: 12g, carbs: 44g, protein: 12g, servings: 10",https://cdn.jwplayer.com/v2/media/TZNgHV8G/poster.jpg?width=720
Grands!® Monkey Bread,https://www.allrecipes.com/recipe/229222/grands-monkey-bread/,"{'quantity': '½', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': '(16.3 ounce) cans', 'name': 'Pillsbury® Grands!® Homestyle refrigerated buttermilk biscuits'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'firmly packed brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter or margarine, melted'}","Heat oven to 350 degrees F. Lightly grease 12-cup fluted tube pan with shortening or cooking spray. In large -storage plastic food bag, mix granulated sugar and cinnamon.. Separate dough into 16 biscuits; cut each into quarters. Shake in bag to coat. Arrange in pan, adding walnuts and raisins among the biscuit pieces.. In small bowl, mix brown sugar and butter; pour over biscuit pieces.. Bake 28 to 32 minutes or until golden brown and no longer doughy in center. Cool in pan 10 minutes. Turn upside down onto serving plate; pull apart to serve. Serve warm.","calories: 508, fat: 25g, carbs: 64g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/y-mesK51ha_rc6EtLrPCeOGtNzU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5075798-grands-monkey-bread-Sassy-Chef-Steph-4x3-1-f5efc171126a46f682d80e6a229d4bb0.jpg
Easy Monkey Bread Muffins,https://www.allrecipes.com/recipe/235878/easy-monkey-bread-muffins/,"{'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': '(10 ounce) cans', 'name': 'refrigerated biscuit dough, separated and cut into quarters'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'margarine'}","Preheat oven to 350 degrees F (175 degrees C). Grease muffin cups or line with paper liners.. Mix white sugar and cinnamon together in a gallon-size resealable bag; add biscuits and toss to coat. Press coated biscuits into muffin cups, about 2/3 full.. Heat brown sugar and margarine together in a saucepan over medium-low heat until melted, 3 to 5 minutes; pour over each biscuit muffin.. Bake in the preheated oven until dough is cooked through, about 20 minutes.","calories: 180, fat: 9g, carbs: 24g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/xbswuVNWzeRf2UeHgEr9NjYmibE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6475455-easy-monkey-bread-muffins-Chrisi-4x3-1-8511c29e89e14e58a86bf7223307453c.jpg
