name,link,ingredients,steps,nutrition
Wild Raspberry Mousse,https://www.allrecipes.com/wild-raspberry-mousse-recipe-8675658,"{'quantity': '3', 'unit': 'cups', 'name': 'raspberries'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'gelatin'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain whole milk Greek yogurt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Place raspberries, maple syrup, lemon juice, lemon zest, and salt in a saucepan over medium-low heat. Cook, stirring often, until berries begin to burst and release their juices; about 10 minutes.. Place a fine mesh sieve over a medium bowl. Pour berry mixture into the sieve. Using the back of a wooden spoon or spatula, press firmly on the mixture to release as much of the juice as possible. Discard seeds.. Place gelatin and cold water into a small bowl and allow gelatin to bloom for 5 minutes. Add gelatin to the saucepan the berries were in, and heat over low heat, stirring often, until gelatin is dissolved, 1 to 2 minutes. Pour strained berry juice back into the pan with gelatin, and cook for an additional 2 to 3 minutes or until just beginning to simmer. Remove from heat, and stir in yogurt until completely smooth and combined. Let mixture cool to room temperature.. Beat cream and vanilla together In a large bowl until cream holds stiff peaks. Stir 1/4 of whipped cream into cooled berry mixture, then fold berry mixture into remaining whipped cream until smooth and combined.. Pour mousse into serving containers. Cover lightly with plastic wrap; refrigerate until chilled, at least 4 hours to overnight.","calories: 391, fat: 27g, carbs: 34g, protein: 5g, servings: 5"
Chocolate-Glazed Hazelnut Mousse Cake,https://www.allrecipes.com/recipe/134726/chocolate-glazed-hazelnut-mousse-cake/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'hazelnuts, toasted and skins rubbed off'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened Dutch-process cocoa powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'unflavored gelatin'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'chocolate hazelnut spread such as Nutella'}, {'quantity': '½', 'unit': 'cup', 'name': 'mascarpone'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chilled heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened Dutch-process cocoa powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '3 ½', 'unit': 'ounces', 'name': 'fine-quality bittersweet chocolate (not unsweetened), chopped'}","For shortbread base: Put oven rack in middle position and preheat oven to 350 degrees F. Invert bottom of springform pan (to make it easier to slide shortbread base off bottom), then lock on side of pan and line bottom with a round of parchment paper.. Pulse hazelnuts with sugar in a food processor until nuts are finely chopped. Add flour, butter, cocoa, and salt and pulse just until a dough forms.. Press dough evenly onto bottom of springform pan with your fingers. Prick all over with a fork, then bake until just dry to the touch, about 18 to 20 minutes. Transfer base in pan to a rack to cool completely, about 30 minutes. Remove side of pan and carefully slide out parchment from under shortbread, then reattach side of pan around shortbread base.. Make mousse while shortbread cools: Sprinkle gelatin over water in a 1- to 1 1/2-quart heavy saucepan and let stand until softened, about 5 minutes. Heat gelatin mixture over low heat, stirring, just until gelatin is melted, about 2 minutes. Whisk in chocolate hazelnut spread until combined and remove from heat.. Whisk together mascarpone and chocolate hazelnut mixture in a large bowl. Beat together cream, cocoa powder, and sugar in another large bowl with an electric mixer at low speed until just combined, then increase speed to high and beat until cream just holds soft peaks. Whisk one third of whipped cream into mascarpone mixture to lighten, then fold in remaining whipped cream until well combined. Spoon filling onto shortbread base in pan, gently smoothing top, then chill, covered, at least 3 hours.. Make ganache and glaze cake: Bring cream to a simmer in a small heavy saucepan and remove from heat. Add chocolate and let stand 1 minute, then gently whisk until completely melted and smooth. Transfer ganache to a small bowl and cool, stirring occasionally, until slightly thickened but still pourable, about 20 minutes.. Run a warm thin knife around inside of springform pan, then remove side. Slide cake off bottom of pan and transfer to a serving plate. Pour ganache onto top of cake and spread, allowing excess ganache to drip down sides.","calories: 705, fat: 57g, carbs: 47g, protein: 8g, servings: 6"
Blender Chocolate Mousse,https://www.allrecipes.com/blender-chocolate-mousse-recipe-8648953,"{'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': ""confectioner's sugar""}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'espresso powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine heavy cream, cocoa powder, confectioner's sugar, espresso powder, vanilla extract, and salt in a powerful blender such as a Vitamix. Blend for 30 seconds. Chill at least 1 hour to let flavors meld.","calories: 252, fat: 22g, carbs: 12g, protein: 3g, servings: 4"
Chocolate Mousse for Beginners,https://www.allrecipes.com/chocolate-mousse-for-beginners-recipe-8574786,"{'quantity': '3 1/2', 'unit': 'ounces', 'name': 'dark chocolate'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'arge', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy whipping cream'}",,"calories: 227, fat: 19g, carbs: 9g, protein: 5g, servings: 4"
Raspberry White Chocolate Mousse,https://www.allrecipes.com/recipe/8271/raspberry-white-chocolate-mousse/,"{'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen raspberries, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange liqueur'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'heavy whipping cream, divided'}, {'quantity': '6', 'unit': 'ounces', 'name': 'white chocolate chips'}, {'quantity': '1', 'unit': 'drop', 'name': 'red food coloring'}","Process berries in a blender or food processor until smooth. Strain mixture into a small bowl and discard seeds. Add sugar and liqueur; stir until sugar dissolves. Makes 1 cup raspberry sauce.. Warm 1/4 cup cream and white chocolate in a heavy saucepan over low heat, stirring constantly, until chocolate melts; let mixture cool until lukewarm. Stir in 1 tablespoon raspberry sauce and food coloring. Transfer to a large bowl.. Beat 1 1/2 cups cream in a chilled glass or metal bowl with an electric mixer until soft peaks form; fold into melted chocolate mixture, 1/3 at a time, until no streaks remain.. Layer into parfait dishes and serve with remaining raspberry sauce.","calories: 180, fat: 13g, carbs: 14g, protein: 1g, servings: 16"
Quick Keto Chocolate Mousse,https://www.allrecipes.com/recipe/270598/quick-keto-chocolate-mousse/,"{'quantity': '3', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'powdered zero-calorie sweetener (such as Swerve)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cocoa powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}",,"calories: 373, fat: 38g, carbs: 7g, protein: 5g, servings: 2"
Easy Lemon Mousse,https://www.allrecipes.com/recipe/8398173/easy-lemon-mousse/,"{'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'lemon curd'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'mixed fresh berries'}, {'quantity': '4', 'unit': '', 'name': 'fresh mint leaves'}","Beat heavy cream in a chilled glass or metal bowl with an electric mixer until frothy. Add confectioners' sugar gradually, continuing to beat until stiff peaks form, starting on low speed and increasing to high speed, for about 2 minutes; set aside.. Beat cream cheese in a bowl with an electric mixer until lump free, 1 to 2 minutes. Add the lemon curd and vanilla extract and mix until smooth and creamy, 1 to 2 minutes.. Fold whipped cream into the lemon mixture until just combined. Divide mousse equally among 4 dessert dishes or ramekins. Chill for at least 1 hour before serving.. Garnish with fresh berries and mint leaves.","calories: 545, fat: 26g, carbs: 81g, protein: 3g, servings: 4"
Cocoa Powder Chocolate Mousse,https://www.allrecipes.com/recipe/283138/cocoa-powder-chocolate-mousse/,"{'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'powdered sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine heavy whipping cream, cocoa powder, powdered sugar, vanilla extract, and salt a large bowl and beat with an electric mixer until stiff peaks form.. Pipe mousse into 6 shot glasses. Serve immediately or chill until serving.","calories: 83, fat: 8g, carbs: 4g, protein: 1g, servings: 6"
Lemon Syllabub,https://www.allrecipes.com/recipe/46525/lemon-syllabub/,"{'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream, chilled'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg (or to taste)'}, {'quantity': '6', 'unit': 'thin slices', 'name': 'lemon'}, {'quantity': '6', 'unit': 'sprigs', 'name': 'fresh mint'}","Beat cream and sugar in a chilled glass or metal bowl with an electric mixer until mixture begins to thicken. Gradually beat in wine, lemon juice, and lemon zest; continue to beat until light, fluffy, and no longer grainy. Cover and chill for at least 30 minutes.. When ready to serve, spoon into six chilled parfait glasses. Garnish each with a lemon slice and mint sprig.","calories: 223, fat: 15g, carbs: 25g, protein: 2g, servings: 6"
Lemon Panna Cotta,https://www.allrecipes.com/recipe/275711/lemon-panna-cotta/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'powdered gelatin (such as Knox®)'}, {'quantity': '3', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'fresh lemon zest, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange liqueur (such as Grand Marnier®) (Optional)'}","Place lemon juice in a small bowl and sprinkle the unflavored gelatin over it. Let stand for about 15 minutes until gelatin softens.. Combine heavy cream, sugar, and 2 tablespoons lemon zest in a saucepan over medium-low heat; bring to a simmer. Whisk in gelatin mixture until dissolved. Remove from heat and stir in orange liqueur.. Strain the cream mixture into a medium bowl and divide evenly among small glass bowls or ramekins.. Place uncovered panna cottas into the refrigerator until set, at least 4 hours. If time permits, cover the bowls with plastic wrap and chill overnight.. Garnish with remaining lemon zest before serving.","calories: 488, fat: 44g, carbs: 21g, protein: 4g, servings: 6"
