name,link,ingredients,steps,nutrition
Salted Caramel Pumpkin Muffins,https://www.allrecipes.com/salted-caramel-pumpkin-muffins-recipe-8727293,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'caramel spice (such as Savory Spice)'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'stick', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla bean paste'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey vanilla Greek yogurt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'caramel spice (such as Savory Spice)'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter,'}","Preheat the oven to 400 degrees F (200 degrees C). Grease a standard 12-cup muffin pan or line with paper liners.. Whisk flour, baking powder, baking soda, salted caramel spice, cinnamon, nutmeg, and salt together in a bowl; set aside.. Beat butter, brown sugar, and white sugar together in a large bowl until creamy. Add vanilla bean paste and eggs, one at a time, beating between additions. Add pumpkin and yogurt, beat well.. Add flour mixture a little at a time, beating between each addition. Fold in walnuts.. For streusel topping, combine flour, brown sugar, salted caramel spice, and cinnamon in a bowl and mix together with a fork. Cut in butter with a pastry blender or a fork until mixture resembles coarse meal.. Fill muffin cups 3/4 full with batter. Sprinkle each with streusel topping.. Bake in the preheated oven until a toothpick inserted near the center comes out clean, about 20 minutes. Remove from the oven to cool; serve warm or at room temperature.","calories: 384, fat: 20g, carbs: 46g, protein: 7g, servings: 12"
Jiffy Jalapeno Cheese Cornbread Muffins,https://www.allrecipes.com/jiffy-jalapeno-cheese-cornbread-muffins-recipe-8711179,"{'quantity': '2', 'unit': '(8.5 ounce) boxes', 'name': 'corn muffin mix (such as Jiffy'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'creamed corn'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pickled jalapeno peppers'}, {'quantity': '4', 'unit': 'ounces', 'name': 'heddar cheese,'}, {'quantity': '1', 'unit': 'small', 'name': 'jalapeno pepper'}, {'quantity': None, 'unit': None, 'name': 'softened butter'}","Preheat the oven to 400 degrees F (200 degrees C). Grease 12 standard muffin cups or line with paper liners.. Combine muffin mix, milk, eggs, sour cream, creamed corn, pickled jalapenos, and cheese in a large bowl; stir to combine. Divide mixture among prepared muffin cups. Place a jalapeno slice on top of each muffin.. Bake in the preheated oven until browned around the edges and centers spring back lightly when touched, 17 to 20 minutes. Lightly press down the center of each muffin to flatten the top slightly right after taking them out of the oven. Serve topped with butter.","calories: 206, fat: 10g, carbs: 24g, protein: 6g, servings: 12"
Applesauce Muffins,https://www.allrecipes.com/applesauce-muffins-recipe-8702299,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons plus 2 teaspoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'applesauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Preheat the oven to 400 degrees F (200 degrees C). Prepare a 6-cup jumbo muffin pan with liners or grease with butter.. For crumb topping, add butter, flour, brown sugar, and walnuts to a small bowl. Use a fork to combine until mixture is small crumbles. Set aside.. For muffins, whisk milk, eggs, and butter together in a bowl. Add brown sugar, applesauce, and vanilla. Whisk until blended. Set aside.. In a separate bowl, stir together flour, baking powder, salt, cinnamon, cloves, and nutmeg. Add the dry mixture to the wet ingredients and carefully fold in just until combined. Fill each muffin tin about 2/3 full with batter and sprinkle evenly with crumb topping.. Bake in the preheated oven just until a toothpick comes out clean, about 25 minutes. Remove muffins from the pan to cool on a rack.","calories: 383, fat: 11g, carbs: 65g, protein: 7g, servings: 6"
Plum Muffins,https://www.allrecipes.com/plum-muffins-recipe-8702026,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ginger'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'plums'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped almonds'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'candied ginger (optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Prepare a standard 12-cup muffin tin with paper liners.. Whisk flour, sugar, baking powder, baking soda, nutmeg, powdered ginger, and salt together in a bowl; set aside.. Whisk eggs, milk, and almond extract together in a bowl or cup; continue whisking and pour in melted butter until combined.. Add egg mixture to flour mixture, and stir just until dry ingredients are moistened. Fold in chopped plums and chopped almonds. Divide evenly among the 12 muffin cups, and sprinkle candied ginger over the muffin tops.. Bake muffins in the preheated oven until muffins spring back when lightly touched, 23 to 25 minutes. Remove to cool on a rack, 5 to 10 minutes.. Serve warm, or at room temperature. Store leftover muffins when cool in an airtight container for 2 to 3 days, or wrap and freeze.","calories: 259, fat: 11g, carbs: 37g, protein: 5g, servings: 12"
Plum Streusel Muffins,https://www.allrecipes.com/plum-streusel-muffins-recipe-8698288,"{'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': '2% milk'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'plums'}","Preheat the oven to 400 degrees F (200 degrees C). Grease or line every other muffin cup of a standard 12-cup muffin pan.. For streusel, combine melted butter, brown sugar, flour, cinnamon, and salt in a small bowl until mixture comes together and forms crumbs. Set aside.. For muffin batter, mix butter, white sugar, salt, cinnamon, and nutmeg together in a large bowl until combined. Add in eggs and vanilla and mix until thoroughly combined. Pour in sour cream and milk and mix until combined. Add in flour, baking powder, and baking soda and mix until almost all the way incorporated, with some dry spots of flour remaining. Add in chopped plums and fold to incorporate.. Fill every other muffin cup of the prepared pan (so only 6 of the 12 cups) up to the top with the muffin batter. Crumble streusel topping over the top of each muffin, reserving enough streusel to bake remaining batter. Place muffin pan onto a baking sheet.. Bake in the preheated oven until muffins are very tall, golden brown, and the tops of the muffins spring back when lightly touched, 20 to 25 minutes. Allow muffins to cool in the pan for 5 to 10 minutes before removing to a wire rack to cool completely.. Repeat baking process of preparing every other muffin cup, filling every other muffin cup up to the top with batter, topping each with streusel, and baking until all the batter is used up.","calories: 299, fat: 12g, carbs: 44g, protein: 5g, servings: 15"
Banana Chocolate Chip Muffins,https://www.allrecipes.com/chocolate-chip-banana-muffins-recipe-8645590,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'mashed ripe bananas'}, {'quantity': '¾', 'unit': 'cup', 'name': 'semisweet chocolate chips'}",,"calories: 274, fat: 13g, carbs: 38g, protein: 4g, servings: 12"
Peanut Butter Banana Muffins,https://www.allrecipes.com/peanut-butter-banana-muffins-recipe-8642312,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'bananas'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': ""confectioner's sugar""}",,"calories: 336, fat: 14g, carbs: 50g, protein: 6g, servings: 12"
Pumpkin Chocolate Chip Muffins,https://www.allrecipes.com/recipe/7958/pumpkin-chocolate-chip-muffins/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'canned pumpkin'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'semisweet chocolate chips'}",,"calories: 197, fat: 8g, carbs: 30g, protein: 3g, servings: 12"
Easy Cranberry Orange Muffins,https://www.allrecipes.com/recipe/277336/easy-cranberry-orange-muffins/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated orange zest'}, {'quantity': '1', 'unit': 'cup', 'name': 'cranberries'}","Preheat the oven to 400 degrees F (200 degrees C). Grease 5 cups of a muffin tin or line with paper liners.. Whisk flour, sugar, baking powder, and salt together in a bowl until evenly blended. Pour vegetable oil in a measuring cup. Add egg and enough milk to fill the cup; stir to combine. Pour oil mixture into flour mixture and mix to combine. Stir in orange juice and orange zest. Fold in cranberries until batter is just combined. Spoon batter into the prepared muffin cups, filling each about half way.. Bake in preheated oven until tops spring back when lightly pressed, 15 to 20 minutes. Cool in the tin for 5 minutes. Transfer to a wire rack to cool completely.","calories: 429, fat: 16g, carbs: 66g, protein: 6g, servings: 5"
Jalapeno Cheddar Cornbread Muffins,https://www.allrecipes.com/jalapeno-cheddar-cornbread-muffins-recipe-7642461,"{'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'heddar cheese'}, {'quantity': '2', 'unit': None, 'name': 'jalapeno peppers, seeded and chopped'}, {'quantity': '2', 'unit': None, 'name': 'mozzarella sticks, each cut into 6 pieces'}, {'quantity': '12', 'unit': None, 'name': 'jalapeno pepper (optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Grease or line 12 muffin cups.. In a large bowl, mix together cornmeal, flour, baking powder, and salt; stir in honey, egg, milk, and vegetable oil; blend thoroughly. Stir in shredded sharp Cheddar cheese and chopped jalapeños. Pour or spoon batter into the prepared muffin cups.. Add a mozzarella piece to the center of each muffin and one jalapeño slice.. Bake in the preheated oven until a toothpick inserted into center of a muffin comes out clean, about 14 minutes.","calories: 254, fat: 13g, carbs: 27g, protein: 8g, servings: 12"
