name,link,ingredients,steps,nutrition,image_url
Chef John's Creamy Mushroom Soup,https://www.allrecipes.com/recipe/235589/chef-johns-creamy-mushroom-soup/,"{'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': '(16 ounce) packages', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow onion, diced'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': 'sprigs', 'name': 'fresh thyme, tied in a bundle with kitchen twine'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme leaves for garnish, or to taste'}",,"calories: 272, fat: 23g, carbs: 12g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/RbgUXOJU/poster.jpg?width=720
Cream of Mushroom Soup,https://www.allrecipes.com/recipe/13096/cream-of-mushroom-soup-i/,"{'quantity': '5', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half or heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sherry'}","Gather all ingredients.. Simmer mushrooms, stock, onion, and thyme in a large heavy saucepan until vegetables are tender, 10 to 15 minutes.. Carefully transfer the hot mixture to a blender or food processor. Cover and hold lid down with a potholder; pulse until creamy but still with some chunks of vegetable.. Melt butter in the same saucepan. Whisk in flour until smooth. Whisk in salt and pepper. Slowly whisk in half-and-half and mushroom mixture.. Bring soup to a boil and cook, stirring constantly, until thickened.. Stir in sherry. Taste and season with more salt and pepper if needed.. Enjoy!","calories: 165, fat: 11g, carbs: 14g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/7cBZ8SlR/poster.jpg?width=720
Hungarian Mushroom Soup,https://www.allrecipes.com/recipe/17897/hungarian-mushroom-soup/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped onions'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh mushrooms, sliced'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Gather the ingredients.. Melt butter in a large pot over medium heat. Add onions; cook and stir until softened, about 5 minutes. Add mushrooms and sauté for 5 more minutes. Stir in broth, soy sauce, paprika, and dill; reduce heat to low, cover, and simmer for 15 minutes.. Whisk milk and flour together in a separate bowl; stir into soup until blended. Cover and simmer for 15 more minutes, stirring occasionally.. Add sour cream, parsley, lemon juice, salt, and ground black pepper; stir over low heat until warmed through, about 3 to 5 minutes. Serve immediately.","calories: 201, fat: 14g, carbs: 15g, protein: 8g, servings: 6",https://www.allrecipes.com/thmb/l8LfL_MtRrCVg4UH1Rvj7a3SuC0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17897-hungarian-mushroom-soup-ddmfs-3x4-185-be041a31c4ca4a5aa8c684774929b53c.jpg
Easy Mushroom Barley Soup,https://www.allrecipes.com/recipe/149118/very-easy-mushroom-barley-soup/,"{'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'pound', 'name': 'sliced fresh mushrooms'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '¾', 'unit': 'cup', 'name': 'barley'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Heat oil in a large soup pot over medium heat. Add onion, carrots, celery and garlic; cook and stir until onion has softened and turned translucent, about 5 minutes. Stir in mushrooms and continue to cook for about 3 minutes.. Pour in chicken broth, add barley, and bring to a boil. Reduce heat to low, cover, and simmer until barley is tender, about 40 to 50 minutes.. Season with salt and pepper before serving.","calories: 198, fat: 10g, carbs: 24g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/8VG4a9joaqq7XTanYkpTI6g8SSw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9247662-very-easy-mushroom-barley-soup-Colleen-Seal-4x3-1-12eefce36b874c69926feb143cb1866f.jpg
Mushroom Soup Without Cream,https://www.allrecipes.com/recipe/59571/mushroom-soup-without-cream/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'peeled and sliced carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced onions'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced leeks (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced celery'}, {'quantity': '2', 'unit': 'pounds', 'name': 'sliced fresh brown or white mushrooms'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme leaves'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onion'}","Melt butter in a stock pot over medium heat. Add carrots, onions, leeks, and celery. Cook and stir until vegetables are tender but not browned, about 10 minutes.. Stir in mushrooms and thyme; cook until mushrooms are soft, about 5 minutes. Pour chicken stock into the pot; season with salt and pepper. Cover and simmer over low heat for 30 minutes.. Ladle into bowls; serve with green onions sprinkled on top.","calories: 81, fat: 4g, carbs: 10g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/YR1kaTK3gqPti72leHK7Z33dd0A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2002562-e4b55ddb312343a984f4df5791255250.jpg
Instant Pot Creamy Mushroom Soup,https://www.allrecipes.com/recipe/270423/instant-pot-creamy-mushroom-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'fresh mushrooms, sliced'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'sherry'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper, or more to taste'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}","Melt butter in a multi-functional pressure cooker (such as Instant Pot) set to the Sauté function. Add onion and sauté for 2 to 3 minutes. Add garlic and cook until fragrant, 1 to 2 minutes. Add mushrooms and sauté until starting to soften, 2 to 3 minutes. Cancel the Sauté function.. Stir in chicken broth, sherry, thyme, Worcestershire sauce, salt, and pepper. Close and lock the lid; select the Manual function and set the timer for 5 minutes. Allow 10 to 15 minutes for pressure to build.. Release the pressure using the natural-release method according to the manufacturer's instructions, about 10 minutes. Release remaining pressure carefully with the quick-release method, 2 to 3 minutes. Unlock and remove the lid.. Select the Sauté function again and bring soup to a light simmer.. Whisk flour into heavy cream in a small bowl; slowly pour into simmering soup, whisking constantly. Cook, whisking constantly, until thickened, 2 to 3 minutes. Cancel the Sauté function. Season with salt and pepper if needed.","calories: 254, fat: 19g, carbs: 15g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/7Dv4e3WJGYzaU98sRl_qbiZRdQY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6499252-040c860411cb4f9cad003d1d7aaacecd.jpg
20 Recipes That Start With Cream of Mushroom Soup,https://www.allrecipes.com/gallery/recipes-that-start-with-cream-of-mushroom-soup/,,,,https://www.allrecipes.com/thmb/QOXmMXxWYCLHBGpIasqyMMeanPU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8820-cream-of-mshrooom-chicken-ddmfs-3X4-0435-cddc9ec2f602400bbbe08f2730013b0f.jpg
Russian Mushroom and Potato Soup,https://www.allrecipes.com/recipe/80773/russian-mushroom-and-potato-soup/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': '', 'name': 'leeks, chopped'}, {'quantity': '2', 'unit': 'large', 'name': 'carrots, sliced'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '2', 'unit': 'pounds', 'name': 'potatoes, peeled and diced'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh mushrooms, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh dill weed, for garnish'}","Melt 3 tablespoons butter in a large saucepan over medium heat. Mix in leeks and carrots, and cook 5 minutes. Pour in broth. Season with dill, salt, pepper, and bay leaf. Mix in potatoes, cover, and cook 20 minutes, or until potatoes are tender but firm. Remove and discard the bay leaf.. Melt the remaining butter in a skillet over medium heat, and saute the mushrooms 5 minutes, until lightly browned. Stir into the soup.. In a small bowl, mix the half-and-half and flour until smooth. Stir into the soup to thicken. Garnish each bowl of soup with fresh dill to serve.","calories: 167, fat: 8g, carbs: 21g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/Lf9hpmvQ1fFuBqd6N29V0Zx_iMA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/80773russian-mushroom-and-potato-soupsouplovingnicole4x3-87fbf23b35424b0c817c594e18ad36b6.jpg
Beef Mushroom Barley Soup,https://www.allrecipes.com/recipe/220341/beef-mushroom-barley-soup/,"{'quantity': '2', 'unit': 'pounds', 'name': 'beef stew meat, cut into small pieces'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '3', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '7 ½', 'unit': 'cups', 'name': 'beef stock'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pearl barley'}, {'quantity': '1', 'unit': 'pound', 'name': 'mushrooms, sliced'}","Cook beef stew meat in a large skillet over medium heat until completely browned, 5 to 7 minutes; transfer to a large soup pot.. Heat vegetable oil in the same skillet over medium heat; cook and stir onion, celery, and carrot in the hot oil until the onions are tender, about 5 minutes. Add the vegetable mixture to the beef in the pot.. Pour beef stock into the pot.. Stir pearl barley into the stock.. Place soup over medium-low heat, bring to a simmer, and cook, stirring occasionally, until the beef is completely tender, about 2 hours.. Stir mushrooms through the soup; cook 1 hour more.","calories: 554, fat: 25g, carbs: 44g, protein: 38g, servings: 6",https://www.allrecipes.com/thmb/rKX76_thjk5MOf5tCyk3iVvg7S4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8216975-6ba77a9093754fd4ba42a81ab7d0eb0e.jpg
Creamy Mushroom Soup,https://www.allrecipes.com/recipe/22890/creamy-mushroom-soup/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped shiitake mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped portobello mushrooms'}, {'quantity': '2', 'unit': '', 'name': 'shallots, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cinnamon (Optional)'}","Melt the butter in a large saucepan over medium-high heat. Saute the shiitake mushrooms, portobello mushrooms, and shallots for about 5 minutes, or until soft. Mix in the flour until smooth. Gradually stir in the chicken broth. Cook, stirring, 5 minutes, or until thick and bubbly.. Stir in the half-and-half, season with salt and pepper, and sprinkle with cinnamon. Heat through, but do not boil.","calories: 234, fat: 19g, carbs: 13g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/aWbgtCzVKMppCNwQVtOCNYMY0mw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1494-161bb977424d4c9f881a7daaaa5c51bc.jpg
