name,link,ingredients,steps,nutrition,image_url
Boursin Chicken Baked Ziti,https://www.allrecipes.com/boursin-chicken-baked-ziti-recipe-8733330,"{'quantity': '1/2', 'unit': 'cup', 'name': 'pecorino Romano cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'breadcrumbs'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'ziti pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Italian herb seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh spinach'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': '(5.2 ounce) package', 'name': 'soft French cheese, such as Boursin® Garlic and Fine Herbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 375 degrees F (190 degrees C) and grease an 8x8-inch baking dish.. Combine grated pecorino and breadcrumbs in a small bowl; set aside.. Bring a large pot of salted water to a boil. Add ziti, and cook until tender with a bite, about 11 minutes. Drain; reserve about 2 tablespoons pasta water.. Meanwhile, melt butter in a large nonstick skillet over medium heat. Add chopped onion; cook and stir until onion begins to soften, 2 to 3 minutes. Stir in garlic, herb seasoning, and red pepper flakes, and cook about 30 seconds.. Turn off heat. Stir in chicken, spinach, cream, Boursin, and mozzarella, stirring until cheeses are melted and ingredients are well combined.. Stir drained ziti into chicken mixture. Loosen the sauce with reserved pasta water, if needed. Pour chicken and sauce mixture into the prepared baking dish. Sprinkle pecorino and bread crumb mixture over the top.. Bake in the center of the preheated oven until bubbly and lightly browned, 20 to 30 minutes. Serve warm.","calories: 655, fat: 49g, carbs: 30g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/EwLLGHeVA8GtnrKIkSURiV3yqAI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733330_Boursin-Chicken-Baked-Ziti_Brenda-Venable_4x3-035f82315e134064b7e72e7c0fab1e4a.jpg
Alfredo Gnocchi Bake,https://www.allrecipes.com/alfredo-gnocchi-bake-recipe-8732980,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'shaved Parmesan cheese'}, {'quantity': '18', 'unit': 'ounces', 'name': 'gnocchi'}, {'quantity': '1', 'unit': 'pinch', 'name': 'black pepper'}","Preheat the oven to 425 degrees F (220 degrees C). Spray an 8x8-inch baking pan with nonstick spray.. Melt butter in a saucepan over medium-high heat. Add garlic and cook and stir until fragrant, about 40 seconds. Stir in evaporated milk and cream. Add Parmesan and stir until smooth.. Add gnocchi;  toss to coat. Pour gnocchi into the prepared pan. Sprinkle with black pepper.. Bake in the preheated oven until bubbly, about 25 minutes. Serve hot.","calories: 420, fat: 17g, carbs: 50g, protein: 16g, servings: 5",https://www.allrecipes.com/thmb/fTp6W-xP9Rbc5T9LO0hsoYDWHR4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732980_Alfredo-Gnocchi-Bake_TheDailyGourmet_4x3-6f80ccfb8f224e018a50a3be7f8b7de8.jpg
Marry Me Chicken Pasta Bake,https://www.allrecipes.com/marry-me-chicken-pasta-bake-recipe-8707218,"{'quantity': '12', 'unit': 'ounces uncooked', 'name': 'penne pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless, skinless chicken breasts'}, {'quantity': '1', 'unit': 'teaspoon freshly ground', 'name': 'black pepper'}, {'quantity': '2 1/2', 'unit': 'teaspoons I', 'name': 'talian seasoning, divided'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'drained jarred julienne-cut sun-dried tomatoes'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'oil from sun-dried tomato jar'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'yellow onion'}, {'quantity': '6', 'unit': 'large', 'name': 'garlic cloves'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': '(5 ounces)', 'name': 'baby spinach'}, {'quantity': '2', 'unit': 'cups shredded', 'name': 'part-skim mozzarella cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'armesan cheese, divided'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'panko (Japanese-style breadcrumbs)'}, {'quantity': None, 'unit': None, 'name': 'basil leaves'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Bring a large pot of water to a boil over high. Add pasta and cook, stirring occasionally, until al dente, 8 to 10 minutes. Reserve 1 cup of pasta cooking water. Drain pasta and transfer to an ungreased 13- x 9-inch baking dish.. Season chicken breasts evenly with black pepper and 1 teaspoon each of the Italian seasoning and salt. Heat 2 tablespoons of sun-dried tomato oil in a large skillet over medium until shimmering. Add chicken breasts and cook until golden brown and a thermometer inserted into the thickest part registers 165 degrees F (73 degrees C), 10 to 15 minutes, flipping occasionally. Transfer to a cutting board and let rest 5 minutes. Thinly slice chicken and add to pasta in baking dish. Do not clean skillet.. Add 1 tablespoon of the sun-dried tomato oil to skillet and return to medium heat. Add onion and garlic, and cook, stirring often, until softened, about 6 minutes. Add white wine, tomato paste, and 1/2 cup sun-dried tomatoes, and cook, stirring often, until liquid is reduced by half, about 2 minutes. Stir in butter until melted. Sprinkle flour over sun-dried tomato mixture and cook, stirring constantly, until thick and pasty, about 1 minute. Gradually stir in reserved pasta cooking water and milk.. Cook, stirring often, until thickened and smooth, about 2 minutes.. Add spinach, 1 teaspoon Italian seasoning, and remaining 1 1/2 teaspoons salt. Cook over medium, stirring constantly, until wilted and bright green, about 2 minutes. Remove from heat and stir in 1 cup of the mozzarella cheese and 1/4 cup of the Paremsan cheese until melted. Transfer to pasta mixture in baking dish and stir until well combined. Set aside.. Heat remaining 1 tablespoon sun-dried tomato oil in a small skillet over medium-high. Add panko and remaining 1/2 teaspoon Italian seasoning, and cook, stirring constantly, until golden brown, about 2 minutes. Remove from heat. Sprinkle pasta mixture with remaining 1/2 cup sun-dried tomatoes, 1 cup mozzarella cheese, 1/4 cup Parmesan cheese, and toasted panko mixture.. Bake in preheated oven until cheese is melted, about 15 minutes. Garnish with basil.","calories: 565, fat: 23g, carbs: 41g, protein: 46g, servings: 6",https://www.allrecipes.com/thmb/OI9K45Lw5NrC9WB7-qEc_847yPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8707218-Marry-Me-Chicken-Pasta-Bake-ddmfs-0430-4x3-beauty-758f14ecf97b4a5e8c1fe37bafe5214b.jpg
Chicken Spinach Alfredo Baked Stuffed Shells,https://www.allrecipes.com/chicken-spinach-alfredo-baked-stuffed-shells-recipe-8701183,"{'quantity': '1', 'unit': 'pound', 'name': 'jumbo pasta shells'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'rotisserie chicken'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'ricotta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chopped fresh basil'}, {'quantity': '10', 'unit': 'ounces', 'name': 'spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '22 to 24', 'unit': 'ounces', 'name': 'Alfredo sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Bring a large pot of water to a boil. Add 4 1/2 teaspoons salt and pasta shells to water and boil, stirring occasionally, 9 minutes, Drain and set aside.. Preheat the oven to 375 degrees F (190 degrees C). Combine chicken, ricotta, basil, spinach, 3/4 cup grated Parmesan cheese, 1/2 teaspoon pepper, garlic powder and remaining salt in a large bowl and mix well. Stir in egg. Divide filling evenly among pasta shells.. Coat bottom of a 9x13-inch casserole dish with olive oil. Spread 1/2 cup Alfredo sauce along bottom of dish. Fill dish with stuffed shells and top with remaining sauce, shredded cheese and remaining Parmesan and  pepper. Cover with foil.. Bake in the preheated oven for 25 minutes. Uncover and bake until bubbly, 10 to 15 minutes more.. Turn the oven to broil on High. Broil until lightly browned on top, 3 to 4 minutes. Let stand for 5 to 10 minutes before serving.","calories: 1045, fat: 74g, carbs: 40g, protein: 57g, servings: 6",https://cdn.jwplayer.com/v2/media/sJ6f8D1Z/thumbnails/CumBgoKM.jpg
Chicken Pot Pie Pasta Bake,https://www.allrecipes.com/chicken-pot-pie-pasta-bake-recipe-8696482,"{'quantity': '1', 'unit': None, 'name': 'whole roasted chicken'}, {'quantity': '1', 'unit': None, 'name': 'bay leaf'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '3', 'unit': None, 'name': 'carrots'}, {'quantity': '3', 'unit': None, 'name': 'ribs celery'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chicken bouillon paste'}, {'quantity': '1', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'cream'}, {'quantity': '1', 'unit': 'pound', 'name': 'pasta shells'}, {'quantity': '1', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}","Pull meat from chicken and refrigerate until needed.. Add 2 quarts of water to a pot and transfer in chicken bones, skin, and any meat scraps. Add bay leaf and bring to a simmer on high heat. Reduce to low and simmer for 2 hours. Remove to cool, about 1 hour. Strain broth and reserve in refrigerator until needed. This may make more broth than the 6 cups needed.. To make the pot pie mixture, add butter to a pot and melt over medium-high heat. Add onions, carrots, celery, and salt. Cook, stirring, until onions start to turn translucent, about 5 minutes.. Season with pepper, thyme, garlic powder, and cayenne, and cook for 1 minute more. Add flour and cook until flour toasts to a golden brown on the bottom of the pot, 3 to 4 minutes.. Stir in 6 cups of broth, and bring to a simmer on high heat, then reduce to medium. Add peas and cream and cook, stirring, for 10 minutes. Cut chicken meat into small bite-size pieces and add it in. Cook 5 minutes more. Turn off heat and reserve.. Preheat the oven to 375 degrees F (190 degrees C).. Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook pasta uncovered, stirring occasionally, i minute less than specified in package directions.. Drain very well; stir pasta into pot pie mixture. Transfer everything into a large, deep baking dish (about 4 1/2 quart size), and distribute evenly.. Stir panko, salt, and melted butter together in a bowl; sprinkle evenly over casserole.. Bake in the preheated oven until casserole is bubbling around the edges and top is browned, 45 to 60 minutes. Let rest 10 to 15 minutes before serving.","calories: 469, fat: 27g, carbs: 41g, protein: 17g, servings: 8",https://cdn.jwplayer.com/v2/media/AadgVrqh/thumbnails/QtvUBpki.jpg
Easy One Pan Ramen Chicken Alfredo,https://www.allrecipes.com/easy-one-pan-ramen-chicken-alfredo-recipe-8695508,"{'quantity': '6', 'unit': '(3 ounce) package', 'name': 'chicken flavored ramen noodles'}, {'quantity': '2', 'unit': '(15 ounce) jars', 'name': 'Alfredo sauce'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded cooked chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'cups', 'name': 'cheese'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}","Preheat the oven to 350 degrees F (175 degrees C). Arrange uncooked ramen noodles in an even layer in the bottom of a large casserole dish, breaking noodle blocks as necessary to fit. Sprinkle 1 packet of seasoning evenly over noodles; discard remaining seasoning packets.. Pour 1 jar of Alfredo sauce evenly over noodles. Spread chicken evenly over sauce. Pour second jar of Alfredo sauce over chicken. Add water to first Alfredo jar, shake it to rinse sauce from the jar, and pour mixture over noodles. Add cream to second jar, shake, and pour over the casserole.  Top with cheese and pepper.. Bake in the preheated oven until browned and bubbly and noodles are tender, 50 to 60 minutes. Add up to 1/2 cup more water as needed, if too much is absorbed before noodles are cooked.","calories: 1180, fat: 103g, carbs: 20g, protein: 46g, servings: 6",https://cdn.jwplayer.com/v2/media/VNOIaGV5/thumbnails/8lwbDkvc.jpg
Chicken and Orzo Bake,https://www.allrecipes.com/chicken-and-orzo-bake-recipe-8382746,"{'quantity': '6', 'unit': None, 'name': 'skinless boneless chicken thighs (1 1/2 pounds)'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon freshly', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': 'dry orzo'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1 (5', 'unit': 'ounce) package', 'name': 'baby spinach'}, {'quantity': '4', 'unit': 'ounces', 'name': 'armesan cheese, shredded'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges, for serving'}","Gather all ingredients, and preheat the oven to 350 degrees F (180 degrees C).. Sprinkle chicken on both sides with salt and pepper.. Heat 2 tablespoons olive oil in a 5- to 6-quart Dutch oven over medium-high heat. Add half the chicken thighs. Cook until seared and lightly browned, 4 to 5 minutes each side. Transfer browned chicken to a plate. Repeat with remaining chicken.. Reduce heat to medium. Add remaining 1 tablespoon olive oil to Dutch oven. Add onions. Cook until tender and lightly browned, stirring occasionally, 3 to 4 minutes. Stir in minced garlic, cooking until fragrant, about 30 seconds.. Add butter to Dutch oven. Once melted, add orzo, quickly stirring until fully coated with butter. Carefully pour in chicken broth. Scrape bottom of Dutch oven with a wooden spoon to loosen any browned bits. Bring to a boil, then remove from heat.. Bake, covered, in the preheated oven until orzo has absorbed most of the liquid, about 15 minutes.. Remove Dutch oven from oven. Stir in spinach, Parmesan, dried tomatoes, lemon zest, and lemon juice.. Nestle chicken thighs into orzo mixture. Cover, return to the oven, and bake until chicken is no longer pink at the center and an instant-read thermometer inserted near the center reads at least 165 degrees F (74 degrees C), 10 to 15 minutes. Serve immediately with lemon wedges.","calories: 847, fat: 37g, carbs: 79g, protein: 56g, servings: 6",https://www.allrecipes.com/thmb/QdibxhZBgIjxwnCUbYI941V6Was=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8382746-ChickenandOrzoBake-gw-ddmfs-beauty-4x3-4170-c1cb3640dddd4276aa12ce6721f0c0a4.jpg
Easy Sausage Manicotti Bake,https://www.allrecipes.com/easy-sausage-manicotti-bake-recipe-8559561,"{'quantity': '7', 'unit': 'links', 'name': 'Italian chicken sausage, cut in half lengthwise'}, {'quantity': '8', 'unit': 'ounces', 'name': 'manicotti pasta shells'}, {'quantity': '1', 'unit': '(15 ounce) jar', 'name': 'prepared Alfredo sauce'}, {'quantity': '8', 'unit': 'ticks', 'name': 'mozzarella string cheese, pulled in half lengthwise'}, {'quantity': '1', 'unit': '24 ounce) jar', 'name': 'marinara sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley for garnish, or to taste (optional)'}","Preheat the oven to 350 degrees F (175 degrees C). Fill each pasta shell with half of a sausage link and arrange in a lightly greased 9x13-inch baking dish.. Pour Alfredo sauce evenly over pasta shells. Place a half of a string cheese on top, between each pasta piece. Top evenly with marinara. Add 2/3 cup water to the marinara jar and shake well. Pour water around the edges of the dish. Top with shredded mozzarella and Parmesan. Cover with foil.. Bake in the preheated oven until golden around the edges and bubbly all over, about 1 hour, uncovering during the last 25 minutes. Let stand for 10 minutes before serving. Garnish with chopped parsley.","calories: 583, fat: 41g, carbs: 23g, protein: 31g, servings: 8",https://cdn.jwplayer.com/v2/media/YsQZJYZV/thumbnails/rHDIFgM8.jpg
Million Dollar Spaghetti,https://www.allrecipes.com/recipe/232227/million-dollar-spaghetti/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, sliced - divided'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'cottage cheese'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded sharp Cheddar cheese'}",,"calories: 618, fat: 42g, carbs: 31g, protein: 28g, servings: 8",https://cdn.jwplayer.com/v2/media/yLhKi9Zl/thumbnails/R4DvCmpn.jpg
Chili Dog Mac and Cheese,https://www.allrecipes.com/chili-dog-mac-and-cheese-recipe-8348272,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, plus more to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried oregano, preferably Mexican oregano'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'green peppers'}, {'quantity': '1', 'unit': 'pound', 'name': 'hot dogs, sliced'}, {'quantity': '1 (28', 'unit': 'ounce) can', 'name': 'crushed tomatoes (or 3 1/2 cups tomato sauce or puree)'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'elbow macaroni'}, {'quantity': '8', 'unit': 'ounces', 'name': 'white Cheddar cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Monterey Jack cheese'}, {'quantity': None, 'unit': None, 'name': 'green onions, sliced, for the top (optional)'}",,"calories: 452, fat: 32g, carbs: 16g, protein: 27g, servings: 12",https://cdn.jwplayer.com/v2/media/QQs9Sr3c/thumbnails/SDeUqRgx.jpg
