name,link,ingredients,steps,nutrition,image_url
Brown Butter Oatmeal Sandwich Cookies,https://www.allrecipes.com/brown-butter-oatmeal-sandwich-cookies-recipe-8549980,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dark corn syrup'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'quick oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1 (8', 'unit': 'ounce) package', 'name': 'cream cheese, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'powdered sugar, or as needed'}","Place butter in a light colored saucepan over medium heat. Cook, stirring often, until butter has browned and begins to smell nutty, 7 to 10 minutes. Measure out 1/2 cup browned butter and pour into a large mixing bowl to cool to room temperature, 15 to 20 minutes. Reserve remaining browned butter (1/4 to 1/3 cup) for the filling.. Stir brown sugar and corn syrup into the bowl with cooled brown butter until thoroughly combined; stir in egg and 2 teaspoons vanilla. Add in oats, flour, cinnamon, 3/4 teaspoon salt, nutmeg, baking soda, baking powder, cloves, and allspice and stir until combined.. Scoop out 2 tablespoons of dough and carefully roll into a ball. Repeat with remaining dough. Place dough balls into the fridge to chill for about 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with silicone baking mats or parchment paper.. Place chilled balls of dough about 3 inches apart on the prepared baking sheets (about 6 dough balls per pan). Bake one pan at a time until cookies begin to turn golden brown on the edges, 10 to 11 minutes. Allow cookies to cool on baking sheet for 10 minutes before removing to a wire rack to cool completely.. To make filling, place cream cheese into a large bowl and beat with a mixer until soft and smooth. Beat in reserved 1/4 to 1/3 cup brown butter. Beat in 1/4 teaspoon salt and 1 teaspoon vanilla, then beat in 1 cup powdered sugar. Beat in remaining 1 1/2 cups powdered sugar as needed to make a smooth, spreadable filling. Place filling into a piping bag and snip off the end. Keep filling refrigerated until ready to use.. When ready to fill cookies, match up two cookies of somewhat even shape and size. Lay one cookie top-side down and pipe about 1/4 cup filling onto the cookie. Top with matching cookie and press down until filling almost reaches the edges of the cookies. Repeat with remaining ingredients. Store finished cookies in the refrigerator.","calories: 641, fat: 34g, carbs: 79g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/5Ui4ICpNfE2Y98NAfZpZ8YPD588=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8549980_Brown-Butter-Oatmeal-Sandwich-Cookies_Kim-Shupe_4x3-62b22bf78fbf43be8d2ac65a4c5a432b.jpg
3-Ingredient Banana Oatmeal Cookies,https://www.allrecipes.com/3-ingredient-banana-oatmeal-cookies-recipe-7972686,"{'quantity': '3/4', 'unit': 'cup', 'name': 'mashed banana'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'raisins'}","Preheat the oven to 350 degrees F (180 degrees C). Line a baking sheet with parchment paper.. Stir bananas and oats together in a bowl until well combined. Stir in raisins. Using a medium sized cookie scoop, drop dough onto the prepared baking sheet. Using your fingers, gently pat down dough to form a round cookie.. Bake in the preheated oven until beginning to brown on the bottom, 14 to 15 minutes. Cool on a wire rack.","calories: 43, fat: 0g, carbs: 10g, protein: 1g, servings: 9",https://www.allrecipes.com/thmb/rtfVfA2SBsC1zmkk3hDIXjs3o9I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7972686_3-Ingredient-Banana-Oatmeal-Cookies_Yoly_4x3-9e829047c7dc4a37ae27dbd047a80043.jpg
3-Ingredient Peanut Butter Oatmeal Cookies,https://www.allrecipes.com/3-ingredient-peanut-butter-oatmeal-cookies-recipe-7971929,"{'quantity': '1/2', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '1 1/2', 'unit': 'cup', 'name': 'oats'}","Line a baking sheet with parchment. Place peanut butter and maple syrup in a microwave safe bowl. Microwave until peanut butter is melted, about 1 minute. Stir in oats.. Using a medium-sized cookie scoop, drop dough onto prepared baking sheet. Using your fingers, gently pat down dough to form a round cookie.. Refrigerate until firm, about 30 minutes.","calories: 127, fat: 6g, carbs: 16g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/MB_q2zkhZPXWC4syrrtih3WQSz4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7971929_3-Ingredient-Peanut-Butter-Oatmeal-Cookies_Yoly_4x3-01af5d149aed462ebad8bf8fd9fb75f7.jpg
Almond-Oatmeal Cookies with Black Raspberries,https://www.allrecipes.com/almond-oatmeal-cookies-with-black-raspberries-recipe-7564453,"{'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'almond butter, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'old fashioned rolled oats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'raspberries'}","Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with parchment paper or silicone baking mats.. In a large bowl, beat butter, almond butter, brown sugar, and white sugar together until light and fluffy. Add in eggs, vanilla, and almond extract, and mix until thoroughly incorporated. Add in flour, baking soda, cinnamon, nutmeg, and salt, and mix until just combined. Fold in oats and sliced almonds until incorporated. Gently fold in frozen black raspberries (do not thaw first) until evenly dispersed in the dough.. Drop rounded 1 1/2 tablespoon-sized balls of dough 1 inch apart onto the prepared baking sheets.. Bake in the preheated oven until the bottoms of cookies are just beginning to turn golden brown, 12 to 14 minutes (do not overbake). Allow cookies to cool 5 minutes on the baking sheet before removing to a wire rack to cool completely.","calories: 123, fat: 5g, carbs: 17g, protein: 3g, servings: 40",https://www.allrecipes.com/thmb/9MV38GPjolF0VJDK7XUZ_xD9re4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7564453_Almond-Oatmeal-Cookies-wtih-Black-Raspberries_Kim_4x3-d69dfb6377f04553b7ff774e1ceb8487.jpg
Granola Oatmeal Cookies,https://www.allrecipes.com/recipe/8489191/granola-oatmeal-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'finely crumbled prepared granola'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened to room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'firmly packed light brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'old-fashioned rolled oats'}",,"calories: 122, fat: 7g, carbs: 12g, protein: 2g, servings: 18",https://cdn.jwplayer.com/v2/media/aQFArwfv/poster.jpg?width=720
Soft Oatmeal Cookies,https://www.allrecipes.com/recipe/19247/soft-oatmeal-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'quick cooking oats'}, {'quantity': '', 'unit': '', 'name': 'nonstick cooking spray with flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar, or as needed'}",,"calories: 218, fat: 9g, carbs: 32g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/aqqgcGi4/thumbnails/vVy3wWbj.jpg
Chewy Chocolate Chip Oatmeal Cookies,https://www.allrecipes.com/recipe/24445/chewy-chocolate-chip-oatmeal-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}",,"calories: 145, fat: 8g, carbs: 17g, protein: 2g, servings: 42",https://cdn.jwplayer.com/v2/media/1yoxafPg/thumbnails/sTsFZNpq.jpg
Oatmeal Raisin Cookies,https://www.allrecipes.com/recipe/10264/oatmeal-raisin-cookies-i/,"{'quantity': '¾', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}",,"calories: 92, fat: 3g, carbs: 15g, protein: 1g, servings: 48",https://cdn.jwplayer.com/v2/media/AZhAOO8L/thumbnails/3CJItBp5.jpg
Pumpkin Oatmeal Chocolate Chip Cookies,https://www.allrecipes.com/recipe/228740/pumpkin-oatmeal-chocolate-chip-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '1 ½', 'unit': 'cups unsalted', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'miniature chocolate chips'}","Preheat the oven to 375 degrees F (190 degrees C).. Beat brown sugar, butter, and white sugar together in a bowl until creamy. Add pumpkin, egg, and vanilla extract; beat until smooth.. Whisk flour, oats, cinnamon, baking soda, baking powder, and salt together in a separate bowl; stir into butter mixture until combined. Fold in chocolate chips.. Drop 1 to 2 tablespoonfuls dough onto baking sheets spaced 2 inches apart.. Bake in the preheated oven until edges are lightly browned, 10 to 12 minutes.","calories: 128, fat: 6g, carbs: 19g, protein: 1g, servings: 72",https://www.allrecipes.com/thmb/Avjheh6YXqEuaYpaTZbFCuyR2Fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4104427-69e269a5a9c24c04b28539234c082218.jpg
Lactation Cookies,https://www.allrecipes.com/recipe/232191/lactation-cookies/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'flaxseed meal'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '3', 'unit': '', 'name': 'egg yolks'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'pure vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brewer’s yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'wheat germ'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'old-fashioned oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Mix flaxseed meal with water in a small bowl and let soak for 5 minutes.. Beat butter, white sugar, and brown sugar together in a large mixing bowl until creamy. Add egg yolks and vanilla extract; beat to incorporate. Stir in flaxseed mixture.. Mix flour, brewer's yeast, wheat germ, baking soda, salt, and cream of tartar, in a separate bowl.. Add dry ingredients to the wet ingredients and stir until just combined. Fold in oats and chocolate chips.. Roll dough into walnut-sized balls and place 2 inches apart onto a baking sheet.. Bake in the preheated oven until the edges are golden, 10 to 12 minutes. Allow cookies to cool on the baking sheet for 1 minute before removing to a wire rack to cool completely.. Once cool, serve and enjoy!","calories: 158, fat: 8g, carbs: 21g, protein: 2g, servings: 36",https://cdn.jwplayer.com/v2/media/GakIdX0U/thumbnails/j4YfSh55.jpg
