name,link,ingredients,steps,nutrition,image_url
Caramel Apple Overnight Oats,https://www.allrecipes.com/caramel-apple-overnight-oats-recipe-8706324,"{'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'cups', 'name': 'apple cider'}, {'quantity': '1', 'unit': 'cup', 'name': 'yogurt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'caramel sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chia seeds'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'apple pie spice'}, {'quantity': '2', 'unit': 'cups', 'name': 'Granny Smith apples'}, {'quantity': None, 'unit': None, 'name': 'M&M’S'}",,"calories: 325, fat: 4g, carbs: 61g, protein: 12g, servings: 4",https://www.allrecipes.com/thmb/P2aosYwmV_tMiRGwrFJJ77Enxxk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8706324-Caramel-Apple-Overnight-Oats-ddmfs-3x4-124-31159a38c0ce4bbc85e17273330950b8.jpg
Overnight Pineapple-Banana Oatmeal,https://www.allrecipes.com/overnight-pineapple-banana-oatmeal-recipe-7376062,"{'quantity': '2', 'unit': 'cups', 'name': 'old fashioned rolled oats'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'unsweetened almond milk'}, {'quantity': '1', 'unit': '1', 'name': 'crushed pineapple in pineapple juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cardamom (optional)'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': None, 'name': 'bananas, sliced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chopped toasted pecans, or to taste'}","Combine oats, almond milk, pineapple and its juice, vanilla, cardamom, and salt in a bowl. Stir well, and spoon out into half-pint jars. Cover jars with lids, and refrigerate overnight.. The following morning, stir in bananas, top with pecans, and enjoy.","calories: 307, fat: 9g, carbs: 52g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/IZlNisBuhHyBGad4tRIDWVpDaiE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7376062_Overnight-Pineapple-Banana-Oatmeal_lutzflcat_4x3-b3ada63c92544a7d8989561305fab9ff.jpg
Easy Overnight Oats,https://www.allrecipes.com/recipe/244251/no-cook-overnight-oatmeal/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Greek yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chia seeds'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cinnamon or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh blueberries'}",,"calories: 255, fat: 6g, carbs: 40g, protein: 13g, servings: 1",https://cdn.jwplayer.com/v2/media/ibBsAYAi/poster.jpg?width=720
Berry Overnight Oats,https://www.allrecipes.com/recipe/257039/berry-overnight-oats/,"{'quantity': '½', 'unit': 'cup', 'name': 'quick or old fashioned oats, (such as Quaker Oats), uncooked'}, {'quantity': '½', 'unit': 'cup', 'name': 'non-fat milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chia seeds (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh mixed berries and fruit'}","Add oats to your container of choice; pour in milk.. Layer in Greek yogurt, chia seeds, and mixed berries and fruit to container.. Refrigerate 8 hours to overnight; eat in the morning.","calories: 378, fat: 14g, carbs: 50g, protein: 17g, servings: 1",https://www.allrecipes.com/thmb/9xYffgsDqhgpSXY7sjsDoB9vmrk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4473977-3e33e64831764bdbb3a817a3acece329.jpg
12 Ways To Make Easy Overnight Oats,https://www.allrecipes.com/gallery/easy-overnight-oats/,,,,
Almond Milk Overnight Chia Oats,https://www.allrecipes.com/recipe/269991/almond-milk-overnight-chia-oats/,"{'quantity': '¾', 'unit': 'cup', 'name': 'almond milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chia seeds'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Stir together almond milk, oats, chia seeds, honey, cinnamon, vanilla, and salt in a jar or container with a lid. Cover and refrigerate for 8 hours to overnight.","calories: 252, fat: 7g, carbs: 44g, protein: 5g, servings: 1",https://www.allrecipes.com/thmb/8dQk6IvvBpwK6r_n20-6EBKIZqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/269991almond-milk-overnight-chia-oatsMyHotSouthernMess4x3-050f589e122a4a63a6e0001c62cdc42c.jpg
Chocolate Coconut Overnight Oats,https://www.allrecipes.com/recipe/244939/chocolate-coconut-overnight-oats/,"{'quantity': '1', 'unit': 'cup', 'name': 'chocolate-flavored almond milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'old-fashioned rolled oats (such a Quaker®)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chia seeds'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'packed shredded sweetened coconut'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'splash', 'name': 'vanilla extract'}","Mix almond milk, oats, chia seeds, coconut, maple syrup, cocoa powder, and vanilla extract in a 12-ounce mason jar.. Cover and refrigerate, 8 hours to overnight. Stir and serve cold.","calories: 488, fat: 12g, carbs: 87g, protein: 13g, servings: 1",https://www.allrecipes.com/thmb/ftrwmxnRjeZ90JnKHS0MVxOjbFs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5551417-chocolate-coconut-overnight-oats-Kim-4x3-1-c2d1489cec4c491e90df47ee251d44af.jpg
Overnight Steel-Cut Oats with Yogurt and Blueberries,https://www.allrecipes.com/recipe/273442/overnight-steel-cut-oats-with-yogurt-and-blueberries/,"{'quantity': '¼', 'unit': 'cup', 'name': 'steel-cut oats'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'plain yogurt'}, {'quantity': '2', 'unit': 'ounces', 'name': 'fresh blueberries'}, {'quantity': '½', 'unit': 'ounce', 'name': 'stevia powder (such as Pure Via)'}, {'quantity': '4 ½', 'unit': 'ounces', 'name': 'coconut milk'}","Place oats into the bottom of a 1-pint Mason jar. Stir in yogurt, blueberries, and stevia powder. Pour in coconut milk and stir to combine.. Cover the jar and refrigerate, 8 hours to overnight.","calories: 583, fat: 37g, carbs: 63g, protein: 16g, servings: 1",https://www.allrecipes.com/thmb/ixcYPatzeqsKtIO9qWELirZRVBc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6647334-8903d247b04e4bfbb9856020c4a0c91a.jpg
Overnight Oats with Jam,https://www.allrecipes.com/recipe/269988/overnight-oats-with-jam/,"{'quantity': '1', 'unit': 'cup', 'name': 'Greek yogurt'}, {'quantity': '½', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'strawberry jam'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chia seeds (Optional)'}","Stir together yogurt, oats, jam, and chia seeds in a jar or container. Cover and refrigerate, 8 hours to overnight.","calories: 358, fat: 15g, carbs: 48g, protein: 10g, servings: 2",https://www.allrecipes.com/thmb/NRVp_k9V9JLZbIEisiwqh_VxNOM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6279682-dfcdb836ba2b4a6292dfd5c35388e515.jpg
Overnight Oats Blueberry Smoothie Bowl,https://www.allrecipes.com/recipe/246455/overnight-oats-blueberry-smoothie-bowl/,"{'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'unsweetened vanilla-flavored almond milk, divided'}, {'quantity': '1', 'unit': '', 'name': 'frozen banana, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'blueberries'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'maple syrup, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chia seeds'}","Combine oats and 2/3 cup almond milk in a bowl; cover and refrigerate until milk is absorbed by oats, 8 hours to overnight.. Combine oats-almond milk mixture, remaining almond milk, banana, blueberries, vanilla, and maple syrup in a blender; blend until smooth.. Pour smoothie into 2 bowls, then top with coconut, blueberries, and chia seeds.","calories: 354, fat: 7g, carbs: 69g, protein: 8g, servings: 2",https://cdn.jwplayer.com/v2/media/9sQE4J5M/poster.jpg?width=720
