name,link,ingredients,steps,nutrition,image_url
Pad Thai,https://www.allrecipes.com/recipe/42968/pad-thai/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'rice noodles'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless, skinless chicken breast halves, cut into bite-sized pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white wine vinegar'}, {'quantity': '⅛', 'unit': 'tablespoon', 'name': 'crushed red pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'bean sprouts'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crushed peanuts'}, {'quantity': '1', 'unit': '', 'name': 'lemon, cut into wedges'}","Gather all ingredients.. Soak rice noodles in cold water until soft, 30 to 50 minutes. Drain and set aside.. Meanwhile, heat butter in a wok; add chicken and sauté until browned. Remove chicken and set aside.. Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in chicken and cook for 5 minutes.. Add softened noodles, sugar, fish sauce, vinegar, and red pepper; mix well until noodles are tender. Adjust seasonings to taste.. Stir bean sprouts into wok and cook for 3 minutes.. Serve topped with green onions, crushed peanuts, and a wedge of lemon.","calories: 524, fat: 21g, carbs: 59g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/ktqqf7dJ/poster.jpg?width=720
Authentic Pad Thai Noodles,https://www.allrecipes.com/recipe/220134/authentic-pad-thai-noodles/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'dried rice vermicelli'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut oil'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'thinly sliced firm tofu'}, {'quantity': '1', 'unit': '', 'name': 'large egg, beaten'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried red chili flakes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped peanuts'}, {'quantity': '1', 'unit': 'pound', 'name': 'bean sprouts, divided'}, {'quantity': '3', 'unit': '', 'name': 'green onions, whites cut thinly across and greens sliced into thin lengths - divided'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped peanuts'}, {'quantity': '2', 'unit': '', 'name': 'limes, cut into wedges for garnish'}","Soak rice vermicelli noodles in a bowl filled with hot water until softened, 30 minutes to 1 hour. Drain and set aside.. Heat peanut oil over medium heat in a large wok.. Cook and stir tofu in the wok, turning the pieces until they are golden on all sides.. Remove tofu with a slotted spoon and drain on plate lined with paper towels.. Pour all but 1 tablespoon of used oil from the wok into a small bowl; it will be used again in a later step.. Heat the remaining 1 tablespoon of oil in the wok over medium heat until it starts to sizzle.. Pour in beaten egg and lightly toss in the hot oil to scramble the egg.. Remove egg from the wok and set aside.. Pour reserved peanut oil in the small bowl back into the wok.. Toss garlic and drained noodles in wok until they are coated with oil.. Stir in vegetable broth, lime juice, soy sauce, and sugar. Toss and gently push noodles around the pan to coat with sauce.. Gently mix in tofu, scrambled egg, salt, chili flakes, and 3 tablespoons peanuts; toss to mix all ingredients.. Mix in bean sprouts and green onions, reserving about 1 tablespoon of each for garnish. Cook and stir until bean sprouts have softened slightly, 1 to 2 minutes.. Arrange noodles on a warm serving platter and garnish with 3 tablespoons peanuts and reserved bean sprouts and green onions. Place lime wedges around the edges of the platter.","calories: 397, fat: 23g, carbs: 40g, protein: 13g, servings: 4",https://www.allrecipes.com/thmb/uQfROPMBboGrzZIQ6Kqb8IgTINM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/824871-1490f65a581f4837b443a41695701add.jpg
Spicy Shrimp Pad Thai,https://www.allrecipes.com/recipe/263384/spicy-shrimp-pad-thai/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'dried rice noodles'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'peanut oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice wine vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sweet chile sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'creamy peanut butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'light soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '12', 'unit': '', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '2', 'unit': '', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted dry-roasted peanuts, chopped'}, {'quantity': '½', 'unit': 'pound', 'name': 'bean sprouts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded carrots (Optional)'}, {'quantity': '½', 'unit': '', 'name': 'lime, cut into wedges'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '¼', 'unit': 'cup', 'name': 'coarsely chopped cilantro'}","Place noodles in a large bowl and cover with hot water. Set aside until noodles are softened, about 15 minutes. Drain and rinse thoroughly.. Heat oil in a wok over medium heat. Cook and stir onion and garlic until onion is translucent, about 5 minutes.. Combine rice wine vinegar, ketchup, fish sauce, chile sauce, peanut butter, soy sauce, lime juice, sugar, red pepper flakes, and cayenne pepper together in a bowl. Set aside.. Add shrimp to the wok. Cook and stir until pink, about 4 minutes. Add the ketchup mixture and stir. Move all ingredients to one side to clear a small space in the pan. Pour in eggs and cook without stirring until partially set, about 3 minutes.. Stir the drained noodles into the shrimp and egg mixture. Add 1/2 cup peanuts, 1/4 cup bean sprouts, and carrots. Cook and stir until noodles are heated through, about 2 minutes. Garnish with the remaining peanuts, bean sprouts, lime wedges, green onions, and cilantro.","calories: 619, fat: 28g, carbs: 76g, protein: 22g, servings: 4",https://www.allrecipes.com/thmb/jjXCZCW5f1DoAwOpamr2XQtTt2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9126258-a413d9c4474244deab2e191da4147519.jpg
Spaghetti Squash Pad Thai,https://www.allrecipes.com/recipe/238876/spaghetti-squash-pad-thai/,"{'quantity': '1', 'unit': 'small', 'name': 'spaghetti squash, halved and seeded'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chile-garlic sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'oyster sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'broccoli coleslaw mix'}, {'quantity': '1', 'unit': '', 'name': 'zucchini, diced'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced green onions'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '2', 'unit': '', 'name': 'cubed cooked chicken breasts'}","Preheat oven to 450 degrees F (230 degrees C). Place spaghetti squash, cut-side up, on a baking sheet.. Bake in the preheated oven until squash is tender, 30 to 45 minutes. Shred squash meat using a fork and discard the peel.. Combine chicken broth, peanut butter, chile-garlic sauce, fish sauce, soy sauce, rice vinegar, oyster sauce, ginger, sesame oil, and black pepper together in a saucepan; bring to a boil. Whisk water and cornstarch together in a bowl until smooth; add to broth mixture and continue boiling until sauce thickens, 5 to 10 minutes. Reduce heat to low and simmer sauce.. Heat olive oil in a large skillet over medium-high heat; saute broccoli slaw, zucchini, red bell pepper, green onion, cilantro, and shredded spaghetti squash until tender, about 10 minutes. Add chicken and sauce to squash mixture; cook and stir until heated through, 3 to 5 minutes.","calories: 441, fat: 24g, carbs: 22g, protein: 36g, servings: 4",https://www.allrecipes.com/thmb/jzuUBBT-N5w_raj7O0ZfAenr67k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1327134-5559e363777644789f2ca97d79d1004f.jpg
Chicken Pad Thai with Peanut Sauce,https://www.allrecipes.com/recipe/272276/chicken-pad-thai-with-peanut-sauce/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'medium-sized dried rice noodles'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1 ½', 'unit': 'cups', 'name': '1/2-inch wide strips of raw chicken breast'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tamarind juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'canola or peanut oil, divided'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped unsalted dry-roasted peanuts'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh chives'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh bean sprouts'}","Place noodles in a large bowl and cover with cold water. Soak until soft, 30 to 50 minutes. Drain and set aside.. Combine soy sauce and cornstarch in a bowl; stir to dissolve cornstarch. Place chicken in a separate bowl and pour soy sauce mixture on top. Stir well and set aside.. Mix together 1/4 cup sugar, fish sauce, tamarind juice, and lime juice in a saucepan over medium heat and simmer for about 5 minutes. Keep sauce warm.. Heat 1 tablespoon of oil in a second skillet over medium-high heat and add chicken. Cook until no longer pink in the middle and juices run clear, 5 to 10 minutes. Reduce heat and keep chicken warm.. Heat remaining 2 tablespoons oil in a large wok over medium heat. Add garlic and eggs, stirring to scramble, about 5 minutes. Add cooked chicken and stir until well mixed. Add drained noodles and stir until warmed through, 5 to 10 minutes more.. Stir sauce, 3/4 teaspoon sugar, and salt into noodle mixture in the wok. Stir in peanuts and chili powder. Remove from heat and top with chives. Serve pad thai with bean sprouts on the side.","calories: 679, fat: 29g, carbs: 76g, protein: 31g, servings: 4",https://www.allrecipes.com/thmb/cwziri4uWTeCzyY8ySRl6Tpbtvg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/568610-90b56045f1c847dc9c653530c73985ed.jpg
A Pad Thai Worth Making,https://www.allrecipes.com/recipe/109334/a-pad-thai-worth-making/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'dried flat rice noodles'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lime juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken stock'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oyster sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'Asian chile pepper sauce, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped garlic'}, {'quantity': '8', 'unit': 'ounces', 'name': 'medium shrimp - peeled and deveined'}, {'quantity': '8', 'unit': 'ounces', 'name': 'skinless, boneless chicken breast halves - cut into 1 inch cubes'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '5', 'unit': 'cups', 'name': 'bean sprouts, divided'}, {'quantity': '6', 'unit': 'medium', 'name': 'green onions, chopped into 1 inch pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped unsalted dry-roasted peanuts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, cut into 8 wedges'}","Fill a large bowl with hot tap water and place noodles in it to soak for 20 minutes.. Stir together lime juice, chicken stock, fish sauce, lime juice, oyster sauce, sugar, and 2 teaspoons chile sauce in a small bowl. Set aside.. Heat a wok or large skillet over high heat and add vegetable oil. When oil is hot, stir in garlic and cook for about 10 seconds. Add shrimp and chicken; cook, stirring constantly until shrimp is opaque and chicken is cooked through, 5 to 7 minutes.. Move everything in the wok out to the sides and pour in eggs in the center. Cook and stir eggs until firm. Add noodles to the wok and pour in the sauce. Cook, stirring constantly, until noodles are tender. Add a bit more water if needed to finish cooking noodles.. Stir in 3 cups bean sprouts, green onions, and remaining chile sauce. Remove from the heat and garnish with chopped peanuts. Taste for seasoning, adjusting the spice or lime juice if needed.. Serve garnished with remaining 2 cups bean sprouts, fresh cilantro, and lime wedges on the side.","calories: 742, fat: 28g, carbs: 83g, protein: 41g, servings: 3",https://cdn.jwplayer.com/v2/media/ecwKef2E/poster.jpg?width=720
Dad's Pad Thai,https://www.allrecipes.com/recipe/68129/dads-pad-thai/,"{'quantity': '¾', 'unit': 'pound', 'name': 'bean sprouts'}, {'quantity': '6', 'unit': 'ounces', 'name': 'pad thai rice noodles'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fish sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'red pepper flakes'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'chopped peanuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'green onions cut into 1-inch pieces'}","Bring a pot of water to a boil. Blanch bean sprouts in the boiling water for approximately 30 seconds, then remove with a slotted spoon and drain well. When the water returns to a boil, add rice noodles. Cook until tender but firm, 3 to 5 minutes. Drain and rinse under cold water.. Whisk eggs in a small bowl; add a pinch of salt. In a separate bowl, stir together lime juice, ketchup, brown sugar, and fish sauce.. Heat oil in a wok or large skillet over medium-high heat. Add garlic and fry for a few seconds. Add pepper flakes and carrots; cook for 1 minute then remove from the wok. Add beaten eggs to the wok and gently scramble. When eggs have set, pour in carrots, sauce, bean sprouts, noodles, peanuts, and green onions; toss together.","calories: 554, fat: 28g, carbs: 62g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/4upMbfTop9BYPKfYZghpM7HmxPM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/31762-b86a86cad04c4ada8844b23cb1396ba7.jpg
Pad Thai Quinoa Bowl,https://www.allrecipes.com/recipe/245372/pad-thai-quinoa-bowl/,"{'quantity': '4', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'quinoa, rinsed and drained'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coconut oil, divided'}, {'quantity': '1', 'unit': 'large', 'name': 'boneless, skinless chicken breast, cut into thin strips'}, {'quantity': '2', 'unit': '', 'name': 'carrots, cut into matchsticks'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded cabbage'}, {'quantity': '½', 'unit': 'cup', 'name': 'edamame'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced broccoli stems'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'reduced-sodium soy sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice wine vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili garlic sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh ginger'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'salted peanuts, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}","Bring chicken broth and quinoa to a boil in a saucepan over medium-high heat. Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes. Set aside.. Heat 1 1/2 teaspoons coconut oil in a wok or large skillet over medium-high heat. Add chicken; stir until cooked through; about 5 minutes. Transfer chicken to a plate. Heat remaining 1 1/2 teaspoons coconut oil in wok. Add carrots, green onions, cabbage, edamame, and broccoli stems; sauté until vegetables soften slightly, 2 to 3 minutes.. Whisk eggs and 1 teaspoon sesame oil together in a small bowl. Push vegetables to sides of wok to make a well in the center. Pour in eggs; stir to scramble, about 3 minutes.. Combine peanut butter, soy sauce, rice wine vinegar, chili garlic sauce, ginger, garlic, and 1 teaspoon sesame oil together in a small bowl; pour over vegetables and egg mixture in wok.. Return chicken to wok; stir in quinoa until combined. Stir in chopped peanuts and cilantro; serve.","calories: 370, fat: 17g, carbs: 36g, protein: 21g, servings: 8",https://cdn.jwplayer.com/v2/media/GHVRqj16/poster.jpg?width=720
Soy-Free Chicken Pad Thai,https://www.allrecipes.com/recipe/264652/soy-free-chicken-pad-thai/,"{'quantity': '½', 'unit': 'cup', 'name': 'chicken stock'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coconut aminos'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Thai chile sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '4', 'unit': 'ounces', 'name': 'dried rice noodles'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded carrot'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'chicken breasts, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'bean sprouts'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped peanuts, or to taste (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cilantro, or to taste (Optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sriracha sauce, or to taste (Optional)'}","Whisk chicken stock, peanut butter, coconut aminos, brown sugar, lime juice, rice wine, chile sauce, garlic, and ginger together in a bowl. Set sauce aside.. Fill a large pot with lightly salted water and bring to a rolling boil; stir in rice noodles and return to a boil. Cook noodles uncovered, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes.. Heat oil in a skillet over medium heat. Add carrots and cook for 1 minute. Add chicken; cook and stir until chicken is no longer pink inside and juices run clear, 5 to 7 minutes. Add cooked noodles and pour sauce over noodles. Reduce heat to medium-low to prevent overcooking noodles.. Cook and stir until sauce thickens, 3 to 5 minutes more. Stir in bean sprouts and green onions and remove from heat. Garnish with chopped peanuts, cilantro, and sriracha sauce.","calories: 519, fat: 20g, carbs: 39g, protein: 44g, servings: 4",
Carrie's Pad Thai Salad,https://www.allrecipes.com/recipe/246138/carries-pad-thai-salad/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'dried rice noodles'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'tamarind concentrate'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chili powder, or to taste (Optional)'}, {'quantity': '1', 'unit': 'head', 'name': 'lettuce, chopped, or as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flaxseed oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh bean sprouts, or to taste (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped peanuts'}, {'quantity': '½', 'unit': '', 'name': 'lime, cut into wedges'}","Place noodles in a bowl with enough hot water to cover; soak noodles until soft, about 10 minutes. Strain.. Combine sugar, water, lime juice, soy sauce, fish sauce, and tamarind in a large saucepan over medium heat. Simmer gently, stirring occasionally, until sauce is slightly thickened, 3 to 5 minutes.. Heat peanut oil in a skillet over medium heat. Add garlic; stir just until fragrant, 30 seconds to 1 minute. Add eggs; cook and stir until almost set, 2 to 3 minutes. Add strained noodles to egg mixture; stir in 1/2 of the sauce. Continue to cook and stir noodle mixture until hot, adding additional sauce as desired, 2 to 3 minutes more. Sprinkle paprika and chili powder over the noodles.. Layer lettuce on a serving dish or in individual bowls; drizzle with flaxseed oil. Place noodle mixture on lettuce; garnish with bean sprouts, green onion, cilantro, and peanuts. Serve with lime wedges.","calories: 807, fat: 35g, carbs: 109g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/7mhslmTsMWgLt9oQI1vtTw5WVxM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3403069-6d25f67633874ba18f0d5c6dfa888af6.jpg
