name,link,ingredients,steps,nutrition,image_url
Seafood Paella,https://www.allrecipes.com/seafood-paella-recipe-8727168,"{'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, diced'}, {'quantity': '2', 'unit': None, 'name': 'red bell peppers, diced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chorizo'}, {'quantity': '1', 'unit': None, 'name': 'dried red chili pepper'}, {'quantity': '2', 'unit': 'large', 'name': 'tomatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '3', 'unit': None, 'name': 'garlic cloves,'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'rice (short grain or paella rice)'}, {'quantity': '3 1/2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'pound', 'name': 'jumbo shrimp'}, {'quantity': '1', 'unit': 'pound', 'name': 'mussels'}, {'quantity': '1', 'unit': 'pound', 'name': 'clams'}","Place a medium-sized paella pan over medium-high heat, and add oil, onion, bell pepper, chorizo, and dried chili and cook until vegetables soften, about 3 minutes.. Using a box grater, grate tomatoes straight into the pan. Stir and cook until liquid has reduced by half.. Reduce heat to low, and add tomato paste, white wine, garlic, saffron, and paprika. Cook paste mixture down, stirring, until fully incorporated.. Add rice and chicken stock and stir until everything is all mixed in. Simmer over low heat, without stirring, for 15 minutes. Every now and then, peek with a spoon to make sure nothing is sticking or burning while simmering.. After 15 minutes add shrimp, mussels, and clams. Cover with a lid or foil and cook on low for another 5 minutes. Turn off heat and let the pan sit for 5 minutes.. Remove the lid. The rice should be fluffy with a slightly toasted bottom, mussels and clams should be open all of the way, and your shrimp should be pink. Fluff paella with a fork before serving.","calories: 665, fat: 25g, carbs: 36g, protein: 65g, servings: 6",https://cdn.jwplayer.com/v2/media/Ug0PzrYB/thumbnails/RflzUhLv.jpg
Easy Paella,https://www.allrecipes.com/recipe/84137/easy-paella/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'pounds', 'name': 'skinless, boneless chicken breasts, cut into 2 inch pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked short-grain white rice'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads'}, {'quantity': '1', 'unit': 'large', 'name': 'bay leaf'}, {'quantity': '½', 'unit': 'bunch', 'name': 'Italian flat leaf parsley, chopped'}, {'quantity': '1', 'unit': 'quart', 'name': 'chicken stock'}, {'quantity': '2', 'unit': 'medium', 'name': 'lemons, zested'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'Spanish onion, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'red bell pepper, coarsely chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'shrimp, peeled and deveined'}, {'quantity': '1', 'unit': 'pound', 'name': 'chorizo sausage, casings removed and crumbled'}","Mix olive oil, paprika, oregano, salt, and pepper for marinade in a glass bowl.. Begin paella: Add chicken and stir to coat. Cover and refrigerate until needed.. Heat 2 tablespoons olive oil in a large skillet or paella pan over medium heat. Stir in garlic and pepper flakes, then stir in rice. Cook and stir until rice is coated with oil, about 3 minutes.. Add saffron threads, bay leaf, parsley, chicken stock, and lemon zest. Stir until well combined and bring to a boil. Reduce heat to medium-low, cover, and simmer for 20 minutes.. While the rice is cooking, heat olive oil in a separate skillet over medium heat. Stir in marinated chicken and cook for 3 minutes. Add onion and cook until translucent, about 5 minutes.. Add bell pepper and sausage; cook and stir, breaking sausage up with a spatula, for 5 minutes. Add shrimp; cook and stir until shrimp are bright pink on the outside and the meat is opaque, about 2 minutes.. Spread rice mixture onto a serving tray. Top with meat and seafood mixture.","calories: 736, fat: 35g, carbs: 46g, protein: 56g, servings: 8",https://cdn.jwplayer.com/v2/media/6XK5Xcf0/poster.jpg?width=720
Authentic Paella Valenciana,https://www.allrecipes.com/recipe/73337/authentic-paella-valenciana/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': '(4 pound)', 'name': 'whole chicken, cut into 6 pieces'}, {'quantity': '½', 'unit': '(2 pound)', 'name': 'rabbit, cleaned and cut into pieces'}, {'quantity': '1', 'unit': 'head', 'name': 'garlic, cloves separated and peeled'}, {'quantity': '1', 'unit': 'medium', 'name': 'tomato, finely chopped'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'butter beans'}, {'quantity': '½', 'unit': '(10 ounce) package', 'name': 'frozen green peas'}, {'quantity': '½', 'unit': '(10 ounce) package', 'name': 'frozen green beans'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mild paprika, or to taste'}, {'quantity': '6', 'unit': 'cups', 'name': 'water, or as needed'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried thyme, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried rosemary, or to taste'}, {'quantity': '3', 'unit': 'cups', 'name': 'short-grain white rice, or as needed'}","Heat a paella pan over medium-high heat, and coat with olive oil. Add chicken, rabbit, and garlic; cook and stir until nicely browned. Move the browned meat to the sides of the pan, and add tomato, butter beans, peas, and green beans. Season with paprika, and mix well.. Fill the paella pan almost to the top with water, measuring the water as you add it so you can determine the amount of rice to add later. Bring to a boil. Simmer for about 1 hour to make a nice broth.. Season with a generous amount of salt, just enough saffron for a yellow color, thyme, and rosemary. Stir in half as much rice as the amount of water added to the pan. Cover, reduce heat to low, and simmer until all of the liquid has been absorbed, about 20 minutes.","calories: 783, fat: 31g, carbs: 87g, protein: 34g, servings: 8",https://www.allrecipes.com/thmb/B7wyLl0XF3FDObFma0VZ1uq4Hfw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1088194-1932c1f7d8bd44ed8a4b6d196f5eaf2f.jpg
Quick and Easy Paella,https://www.allrecipes.com/recipe/238588/quick-and-easy-paella/,"{'quantity': '1', 'unit': 'pound', 'name': 'jumbo shrimp, peeled and deveined, shells reserved'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'saffron threads, or more to taste'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'chorizo sausage, sliced into thin rounds'}, {'quantity': '½', 'unit': '', 'name': 'yellow onion, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, cut into thin strips'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or more to taste'}","Cook and stir reserved shrimp shells and 2 teaspoons olive oil in a saucepan over medium heat until shells are pink and fragrant, 1 to 2 minutes. Stir saffron into shells; add chicken broth, bring to a simmer, and cook until broth is a rusty brown and fragrant, about 20 minutes.. Strain saffron broth through a fine-mesh sieve; measure out 2 cups of broth, pour into a small saucepan, and place over low heat to keep broth hot.. Preheat oven to 425 degrees F (220 degrees C).. Heat 1 tablespoon olive oil in a large, oven-proof skillet over medium heat. Cook chorizo slices in hot oil until browned, about 2 minutes per side. Add onion to sausage; cook and stir until soft and slightly translucent, about 3 minutes. Reduce heat to medium-low.. Stir garlic into chorizo mixture; cook and stir until fragrant, about 1 minute. Add rice to skillet and stir to coat rice completely in oil; stir in peas.. Pat rice mixture evenly into the bottom of the skillet. Arrange shrimp in a single layer over the top of the rice. Lay pepper strips around and in between shrimp; season with salt, paprika, and cayenne pepper.. Increase heat to high. When rice begins to sizzle in the skillet, pour reserved 2 cups hot saffron broth over the shrimp; gently shake the skillet to distribute liquid.. Bake rice mixture in the preheated oven until rice is almost tender and still a bit wet, about 20 minutes.. Place skillet over medium-high and cook until rice is tender, liquid is absorbed, and rice caramelizes and crusts slightly on the bottom of the skillet, 3 to 5 minutes.","calories: 476, fat: 19g, carbs: 47g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/3P0WwPAq/poster.jpg?width=720
Spanish Rice and Shrimp,https://www.allrecipes.com/recipe/261384/spanish-rice-and-shrimp/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(7 ounce) box', 'name': 'Spanish yellow rice mix (such as Goya®)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1', 'unit': 'pound', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, diced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sweet and spicy seafood seasoning (such as McCormick®)'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh parsley, or to taste'}","Bring water to a boil in a saucepan. Add rice mix and 1 tablespoon olive oil. Boil for 1 minute; cover and reduce heat. Simmer until water is absorbed, about 25 minutes.. Heat remaining olive oil in a skillet over medium-high heat. Add onion and saute until just soft, about 2 minutes. Add shrimp, green bell pepper, red bell pepper, and seafood seasoning. Cook, stirring occasionally, until shrimp are bright pink, about 5 minutes.. Mound rice on each plate; top with a portion of the pepper-shrimp mixture and a generous sprinkling of parsley.","calories: 247, fat: 12g, carbs: 14g, protein: 21g, servings: 4",https://www.allrecipes.com/thmb/Bx9GMdgh340xN4oO2tIQfVuitec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5388734-75870ba7d8e9449c8c635a80f714c567.jpg
Authentic Seafood Paella,https://www.allrecipes.com/recipe/228444/authentic-seafood-paella/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely diced'}, {'quantity': '½', 'unit': '', 'name': 'tomato, finely diced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'smoked paprika'}, {'quantity': '6', 'unit': '', 'name': 'fresh romano or green beans'}, {'quantity': '½', 'unit': 'cup', 'name': 'canned butter beans, drained and rinsed'}, {'quantity': '½', 'unit': 'cup', 'name': 'white rice'}, {'quantity': '6', 'unit': '', 'name': 'large shrimp'}, {'quantity': '6', 'unit': '', 'name': 'mussels'}, {'quantity': '6', 'unit': '', 'name': 'clams'}, {'quantity': '1', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'cups', 'name': 'seafood stock'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely chopped fresh rosemary'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh peas'}, {'quantity': '5', 'unit': '', 'name': 'baby squid, cut into rings and tentacles'}, {'quantity': '1', 'unit': '', 'name': 'lemon, cut into wedges'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh flat-leaf parsley'}","Heat olive oil in a large skillet or paella pan over high heat. Cook and stir onion, tomato, salt, and smoked paprika into the hot oil until softened, about 3 minutes. Add romano beans, butter beans, and rice; cook and stir until rice is coated with oil, 2 to 3 minutes.. Place shrimp, mussels, and clams over the top of the rice mixture. Pour in white wine and seafood stock; sprinkle in saffron threads and rosemary. Bring mixture to a simmer. Turn shellfish and continue to cook until clams and mussels have opened, and shrimp are pink and cooked through, about 5 minutes. Remove clams, mussels, and shrimp and set aside.. Stir peas into the paella; simmer, uncovered, until rice is tender and has absorbed the liquid, 20 to 25 minutes. Stir in squid, and return clams, mussels, and shrimp to the pan. Cook until squid is opaque and cooked through, 2 to 3 more minutes. Serve with lemon wedges and chopped parsley.","calories: 784, fat: 20g, carbs: 74g, protein: 53g, servings: 2",https://cdn.jwplayer.com/v2/media/6fdpax3s/poster.jpg?width=720
Spanish Paella,https://www.allrecipes.com/recipe/12728/paella-i/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '4', 'unit': 'ounces', 'name': 'Spanish chorizo, casing discarded and cut into 1/4-inch dice'}, {'quantity': '2', 'unit': None, 'name': 'skinless, boneless chicken breast halves - cut into 1-inch cubes'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'uncooked Arborio rice'}, {'quantity': '5', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh thyme'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '2', 'unit': None, 'name': 'squid, cleaned and cut into 1-inch pieces'}, {'quantity': '2', 'unit': '', 'name': 'tomatoes, seeded and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen green peas'}, {'quantity': '12', 'unit': 'large', 'name': 'shrimp, peeled and deveined'}, {'quantity': '1', 'unit': 'pound', 'name': 'mussels, cleaned and debearded'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian flat leaf parsley'}, {'quantity': '8', 'unit': 'slices', 'name': 'lemon, for garnish'}","Heat olive oil in paella pan over medium heat. Add onion, garlic, and pepper; cook and stir for a few minutes. Add chorizo sausage, diced chicken, and rice; cook for 2 to 3 minutes. Stir in 3 ½ cups stock, wine, thyme leaves, and saffron. Season with salt and pepper. Bring to the boil, and simmer for 15 minutes; stir occasionally.. Taste the rice, and check to see if it is cooked. If the rice is uncooked, stir in ½ cup more stock. Continue cooking, stirring occasionally. Stir in additional stock if necessary: use up to 2 cups additional stock, 5 cups total. Cook until rice is done.. Stir in squid, tomatoes, and peas. Cook for 2 minutes. Arrange prawns and mussels on top. Cover with foil, and leave for 3 to 5 minutes.. Remove the foil, and scatter parsley over the food. Serve in paella pan, garnished with lemon wedges.","calories: 524, fat: 18g, carbs: 57g, protein: 29g, servings: 6",https://www.allrecipes.com/thmb/oofsNrmuTFaQsBMa-bh8FUqgDLU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2337092-27e7b3d532cf44e9b1462061e8251527.jpg
Authentic Paella,https://www.allrecipes.com/recipe/137464/authentic-paella/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken stock, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'curry powder'}, {'quantity': '5', 'unit': '', 'name': 'saffron threads'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken, cut into small pieces'}, {'quantity': '2', 'unit': 'cups', 'name': 'peeled and deveined small shrimp, diced'}, {'quantity': '6', 'unit': 'small', 'name': 'lobster tails'}, {'quantity': '½', 'unit': 'pound', 'name': 'clams in shell, scrubbed'}, {'quantity': '1', 'unit': '(8 ounce) jar', 'name': 'mushrooms, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1', 'unit': '(2 ounce) can', 'name': 'mussels'}","Rinse the rice with cold water; drain; set aside. Bring the chicken stock to a boil in a saucepan over medium-high heat, reduce the heat to low, cover, and keep warm. Work the garlic, parsley, curry powder, saffron threads, salt, black pepper, and 1/2 cup of the hot chicken stock together with a mortar and pestle until a smooth liquid forms; set the seasoning liquid aside.. Heat the olive oil in a paella pan over medium-high heat; cook and stir the onion until lightly browned. Stir in the chicken, shrimp, lobster, and clams; cook and stir until the chicken is no longer pink in the center, about 10 minutes. Pour in the seasoning liquid.. Stir in the rice, pour in the hot chicken stock, and simmer until the rice is nearly tender, about 15 minutes. Add mushrooms, peas, and mussels; stir two times, and simmer for 10 minutes. Remove from heat; cover and let stand until rice is soft and flaky, about 7 minutes.","calories: 591, fat: 22g, carbs: 54g, protein: 42g, servings: 8",https://www.allrecipes.com/thmb/yW5gLlHOxFX4puB8Oq6HNmPvysI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8917952-ad430e250b454c6fa5ee9410dd1264bf.jpg
"Brown Rice, Chicken, and Chorizo Paella",https://www.allrecipes.com/recipe/269005/brown-rice-chicken-and-chorizo-paella/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Spanish smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground turmeric (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'saffron'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil, or to taste'}, {'quantity': '4', 'unit': '', 'name': 'boneless chicken thighs, cut into small pieces'}, {'quantity': '½', 'unit': 'pound', 'name': 'Spanish chorizo, cut into 1/4-inch slices'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped parsley (Optional)'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'short-grain brown rice'}, {'quantity': '1', 'unit': '', 'name': 'tomato, chopped'}, {'quantity': '1', 'unit': '(6 ounce) jar', 'name': 'roasted red peppers, drained and chopped'}, {'quantity': '1', 'unit': '(32 ounce) carton', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen peas and carrots, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sliced black olives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'capers'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'apple cider vinegar, or to taste (Optional)'}","Combine salt, paprika, red pepper, turmeric, and saffron in a small bowl. Set aside.. Heat olive oil in a paella pan or large pot over medium heat. Add chicken and chorizo and cook until browned, 5 to 10 minutes. Transfer meat to a platter. Add onion, bell pepper, parsley, and garlic to the pot; cook, stirring occasionally, for 5 minutes. Add rice, tomato, and roasted red peppers; cook until rice begins to brown, about 5 minutes. Add spice mixture and broth, then return chicken and chorizo to the pot, burying them in the paella.. Increase the heat to high and bring to a boil, stirring every 10 minutes. Reduce the heat to medium and cook, uncovered, for 50 to 55 minutes. Stir in thawed peas and carrots, olives, capers, and apple cider vinegar; cook until everything is heated through, 3 to 5 more minutes.","calories: 465, fat: 22g, carbs: 43g, protein: 22g, servings: 8",https://www.allrecipes.com/thmb/ra3YjWPnUQDUMrbaqD8vp-7V2Ns=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6311685-4aa7a20a2d4f43db976d092d0acb623b.jpg
Mexican Paella with Cauliflower Rice,https://www.allrecipes.com/recipe/256305/mexican-paella-with-cauliflower-rice/,"{'quantity': '1', 'unit': 'pound', 'name': 'chorizo sausage'}, {'quantity': '1', 'unit': '', 'name': 'skinless, boneless chicken breast, chopped'}, {'quantity': '3', 'unit': 'cups', 'name': 'cauliflower rice, divided'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow or orange bell pepper, seeded and chopped'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, finely minced'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': ""Hunt's® Diced Tomatoes""}, {'quantity': '2', 'unit': 'large', 'name': 'bay leaves'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'fresh thyme leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'crushed saffron threads'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cubes', 'name': 'chicken bouillon'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '3', 'unit': '', 'name': 'frozen tilapia fillets'}","Place a paella pan over medium-high heat. Add chorizo and cook, stirring to break up any chunks, until browned and crumbly, about 5 minutes. Add chicken; cook and stir until no longer pink in the center and the juices run clear. Transfer chicken and sausage to a plate, leaving drippings in the pan.. Reduce the heat to medium and add 2 cups of cauliflower rice. Cook and stir until cauliflower is browned slightly, about 5 minutes. Add onion, bell pepper, salt, and pepper. Stir in garlic and cook until fragrant, about 2 minutes.. Pour canned tomatoes into the pan. Add bay leaves, thyme, saffron, and basil; mix well. Return sausage and chicken back to the pan. Stir in water, tomato paste, and bouillon until well combined. Bring to a boil, then reduce the heat to medium-low, cover, and simmer for 15 minutes.. Remove the lid and fold in peas and remaining 1 cup cauliflower rice. Place frozen tilapia fillets on top of paella mixture; cover and steam for another 10 minutes. Remove the lid and check for doneness. Gently break apart fillets with a wooden spoon and stir to incorporate chunks of fish into paella.. Place the paella pan in the center of the table and serve.","calories: 368, fat: 23g, carbs: 12g, protein: 29g, servings: 8",https://www.allrecipes.com/thmb/ZKxhf1gf5Uj2MnPO3wDXm-8BroM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4258894-50d9afcc2ae04b16a4d7af6863feb4ae.jpg
