name,link,ingredients,steps,nutrition,image_url
14 Dutch Baby Recipes to Upgrade Your Breakfast,https://www.allrecipes.com/gallery/dutch-baby-recipes/,,,,https://www.allrecipes.com/thmb/srDcU98kwH-ok58gLU-EV20EJrY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8115434-chef-johns-blueberry-dutch-baby-photo-by-jill-2000-b9a22489c5324cdababdaed82f8e0c80.jpg
How to Make the Best Pancakes From Scratch,https://www.allrecipes.com/article/tips-for-better-pancakes/,,,,https://cdn.jwplayer.com/v2/media/hCEvsk8K/poster.jpg?width=720
Pancakes? Flapjacks? What's the Difference?,https://www.allrecipes.com/article/pancakes-flapjacks-whats-the-difference/,,,,https://cdn.jwplayer.com/v2/media/9b9fti9p/poster.jpg?width=720
10 Buckwheat Pancake Recipes for a Healthy Whole-Grain Breakfast,https://www.allrecipes.com/gallery/buckwheat-pancake-recipes/,,,,
Lemon Poppy Seed Pancakes,https://www.allrecipes.com/lemon-poppy-seed-pancakes-recipe-8706892,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest, or more to taste'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'poppy seeds'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges'}",,"calories: 779, fat: 29g, carbs: 122g, protein: 22g, servings: 2",https://cdn.jwplayer.com/v2/media/NnkZZfP6/thumbnails/xzLh0T61.jpg
Chocolate Chip Pancakes,https://www.allrecipes.com/chocolate-chip-pancakes-recipe-8641191,"{'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'mini chocolate chips, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}",,"calories: 480, fat: 24g, carbs: 64g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/y0N6af7KJJf8Zm11JL775ldjjhM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AimeeBroussard-ChocolateChipPancakes-Vertical4x3-6db2844b3c8049a69692765b07559511.jpg
Carrot Cake Pancakes,https://www.allrecipes.com/carrot-cake-pancakes-recipe-8642452,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'table salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'cup', 'name': 'finely grated carrot'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, melted, plus more for griddle'}, {'quantity': '3', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'golden raisins'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'toasted chopped pecans or walnuts'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'toasted unsweetened coconut flakes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped candied ginger (Optional)'}",,"calories: 509, fat: 26g, carbs: 60g, protein: 10g, servings: 4",https://www.allrecipes.com/thmb/gnLYq0EigPuQFMkvyrinpk7Kvco=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/carrot-cake-pancakes-ddmfs-beauty-3x4-1-95c072fa152c42e694a678609b88e426.jpg
My-Hop Pancakes,https://www.allrecipes.com/recipe/214499/my-hop-pancakes/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'dash', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, or as needed'}","Gather all ingredients.. Mix buttermilk, vegetable oil, and vanilla in a bowl; stir in sugar. Whisk in flour, baking powder, baking soda, and salt, combining the batter with just a few strokes to moisten. Leave the lumps.. Whisk egg and lemon juice together in a separate bowl; gently stir into the batter. Refrigerate the batter for at least 30 minutes, up to 1 hour.. Heat a large skillet over medium heat and grease with the butter. Pour 1/3 cup of batter per pancake into the skillet and cook until bubbles appear on the surface, about 2 minutes.. Flip with spatula and brown the other side, about 2 more minutes.. Enjoy!","calories: 194, fat: 9g, carbs: 23g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/PXcKF7Bg/poster.jpg?width=720
Chef John's Blueberry Dutch Baby,https://www.allrecipes.com/recipe/279754/chef-johns-blueberry-dutch-baby/,"{'quantity': '½', 'unit': 'cup', 'name': 'packed all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pure vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'milk, at room temperature'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'clarified butter, melted'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh blueberries, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted'}, {'quantity': '½', 'unit': '', 'name': 'Meyer lemon, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'powdered sugar, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup, or to taste (Optional)'}","Preheat the oven to 425 degrees F (220 degrees C).. Combine flour, salt, vanilla extract, eggs, and milk in a high-speed blender. Blend on high speed until completely smooth and very thin, about 1 minute.. Place a 9- or 10-inch cast iron skillet over high heat; add clarified butter into the skillet and use a pastry brush to grease the sides. Heat butter until just starting to smoke.. Quickly and carefully pour the batter into the center of the skillet, then sprinkle blueberries over top. Transfer skillet to the center of the preheated oven and bake until browned and nicely puffed, 20 to 25 minutes.. Carefully remove from the oven and immediately brush the top with melted butter. Squeeze lemon juice over top as Dutch baby deflates. Dust with powdered sugar.. Cut in wedges to serve and drizzle with maple syrup.","calories: 567, fat: 33g, carbs: 56g, protein: 16g, servings: 2",https://cdn.jwplayer.com/v2/media/mEWokeoW/poster.jpg?width=720
Homemade Pancakes,https://www.allrecipes.com/recipe/265294/homemade-pancakes/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Mix flour, milk, egg, butter, sugar, baking powder, and salt together.. Heat a lightly oiled griddle over low heat. Scoop 1/4 cup batter onto the griddle and cook until top and edges are dry, 3 to 4 minutes. Flip and cook until lightly browned on the other side, 2 to 3 minutes. Repeat with remaining batter.","calories: 127, fat: 5g, carbs: 17g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/ZBYIOu8BB1wSZ_8Y2r8kHNkLdqM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7929481-42f8c61f310346b7a6b14e7af89ebb14.jpg
