name,link,ingredients,steps,nutrition,image_url
What Is a Panini — And Do You Really Need a Panini Press?,https://www.allrecipes.com/what-is-a-panini-8575301,,,,https://www.allrecipes.com/thmb/llZxgqj8rD_PBg57bTEy6nteV-k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/258946_basic-grilled-panini_ddmfs_4x3_09641035-3e05eb290310465c9bccf8d6caf49f9c.jpg
Basic Grilled Panini,https://www.allrecipes.com/recipe/258946/basic-grilled-panini/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-light olive oil, or as needed'}, {'quantity': '2', 'unit': 'slices', 'name': 'Italian bread'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'slices', 'name': 'deli ham, or more to taste'}, {'quantity': '2', 'unit': 'slices', 'name': 'Cheddar cheese'}, {'quantity': '1', 'unit': 'slice', 'name': 'firm-ripe tomato'}, {'quantity': '1', 'unit': 'thin slice', 'name': 'onion'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Drizzle olive oil on 1 side of each bread slice. Spread 1 tablespoon mayonnaise on other side of each slice.. Arrange layers of ham, Cheddar cheese, tomato, and onion on top. Top with other bread slice, mayonnaise-side down.. Heat a grill pan over medium-high heat; spray lightly with cooking spray. Place sandwich on grill pan; weigh it down with a heavy pan. Cook until cheese is melted and grill marks appear, 3 to 5 minutes per side.","calories: 802, fat: 63g, carbs: 27g, protein: 32g, servings: 1",https://www.allrecipes.com/thmb/llZxgqj8rD_PBg57bTEy6nteV-k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/258946_basic-grilled-panini_ddmfs_4x3_09641035-3e05eb290310465c9bccf8d6caf49f9c.jpg
Chef John's Cuban Sandwich,https://www.allrecipes.com/recipe/256968/chef-johns-cuban-sandwich/,"{'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mustard'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': '(8 ounce) loaf', 'name': 'Cuban bread'}, {'quantity': '8', 'unit': 'slices', 'name': 'Swiss cheese'}, {'quantity': '6', 'unit': 'thin slices', 'name': 'smoked fully-cooked ham'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked pulled pork, heated'}, {'quantity': '1', 'unit': 'large', 'name': 'dill pickle, sliced thinly lengthwise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}","Gather all ingredients.. Mix mayonnaise, mustard, and cayenne together in a bowl to make sauce.. Trim off ends of bread. Cut loaf in half and evenly split bread to make tops and bottoms of two sandwiches.. Spread each half on both sides generously with mayo-mustard sauce.. Divide sandwich ingredients between the two bottom halves in this order: 2 slices Swiss cheese, 3 slices ham, hot cooked pork, pickle slices, and 2 more slices Swiss cheese. Place tops on sandwiches.. Melt butter in a heavy skillet over medium heat. Place sandwiches in the skillet and press down with a heavy weight, such as another skillet or foil-wrapped bricks. Toast sandwiches until bread is crisp and filling is heated through, 3 or 4 minutes per side.. Serve hot and enjoy!","calories: 1473, fat: 85g, carbs: 85g, protein: 88g, servings: 2",https://cdn.jwplayer.com/v2/media/FdH1HR2z/poster.jpg?width=720
Grilled Panini Sandwich Without a Panini Maker,https://www.allrecipes.com/recipe/258949/grilled-panini-sandwich-without-a-panini-maker/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'mayonnaise, or to taste'}, {'quantity': '2', 'unit': '(1-inch-thick) slices', 'name': 'Italian bread'}, {'quantity': '3', 'unit': 'slices', 'name': 'deli ham'}, {'quantity': '2', 'unit': 'slices', 'name': 'provolone cheese'}, {'quantity': '1', 'unit': 'slice', 'name': 'roasted red bell pepper'}","Spread mayonnaise onto one side of each bread slice. Layer ham, provolone cheese, and roasted red bell pepper onto one slice, then top with the remaining slice, mayonnaise-side down.. Heat a grill pan over medium heat. Place sandwich onto the hot pan. Place another heavy pan onto the sandwich, then add two heavy cans to the top pan. Press down on the cans to compress the sandwich. Reduce the heat to medium and cook for 3 to 4 minutes. Flip the sandwich, replace the pan and cans, and cook until cheese is melted, 3 to 4 more minutes.","calories: 589, fat: 29g, carbs: 45g, protein: 36g, servings: 1",https://www.allrecipes.com/thmb/84v4X_sNPZk85uJTsRqfqogPJKw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4563080-grilled-panini-sandwich-without-a-panini-maker-Christina-4x3-1-c88846be50cb4667b97d261012bd9cfc.jpg
Turkey Avocado Panini,https://www.allrecipes.com/recipe/201117/turkey-avocado-panini/,"{'quantity': '½', 'unit': '', 'name': 'ripe avocado'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': None, 'name': 'ciabatta rolls, halved lengthwise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, divided'}, {'quantity': '2', 'unit': 'slices', 'name': 'provolone cheese, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole fresh spinach leaves, divided'}, {'quantity': None, 'unit': None, 'name': '4 ounces thinly sliced mesquite-smoked turkey breast, divided'}, {'quantity': '2', 'unit': None, 'name': 'roasted red peppers, sliced into strips, divided'}","Mash avocado and mayonnaise together in a bowl until thoroughly combined.. Preheat a panini sandwich press.. Brush bottom of each roll with olive oil; place onto the panini press, oiled sides down. Place 1 slice cheese, 1/2 spinach leaves, 1/2 turkey, and 1/2 sliced peppers on each roll on panini press. Spread 1/2 avocado mixture on cut surface of each top roll; place 1 top roll on each sandwich. Brush top of each roll with olive oil.. Close the panini press; cook until rolls toasted and crisp, with golden brown grill marks, and the cheese has melted, 5 to 8 minutes.","calories: 723, fat: 51g, carbs: 42g, protein: 25g, servings: 2",https://www.allrecipes.com/thmb/YvFmM779nyM7dyF1ekaej-S1aBM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5428404-5820c635c8c74ffb994140fc3d000fea.jpg
Tuna Panini Melt,https://www.allrecipes.com/recipe/254438/tuna-panini-melt/,"{'quantity': '1', 'unit': '(5 ounce) can', 'name': 'solid white albacore tuna in water (such as Bumble Bee)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped onion'}, {'quantity': '1', 'unit': None, 'name': 'dill pickle, chopped'}, {'quantity': '4', 'unit': 'slices', 'name': 'sourdough bread'}, {'quantity': '2', 'unit': 'slices', 'name': 'American cheese'}","Combine tuna, mayonnaise, balsamic vinegar, onion, and dill pickle in a bowl.. Spread tuna mixture over 2 slices bread. Top with American cheese and remaining 2 slices bread.. Preheat a panini press according to manufacturer's instructions.. Cook in the preheated panini press until bread crispy and cheese melted, 3 to 4 minutes.","calories: 381, fat: 16g, carbs: 31g, protein: 28g, servings: 2",https://www.allrecipes.com/thmb/TzsiP6fzwB-HZBBdxCywwhGSwCU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3761621-350f9eeff00b43ad8476a83715ca6f6a.jpg
Prosciutto and Provolone Panini Sandwiches,https://www.allrecipes.com/recipe/220914/prosciutto-and-provolone-panini-sandwiches/,"{'quantity': '½', 'unit': 'cup', 'name': 'CARAPELLI® Extra Virgin Olive Oil'}, {'quantity': '8', 'unit': 'slices', 'name': 'rustic Italian or sourdough bread'}, {'quantity': '¼', 'unit': 'cup', 'name': 'prepared basil pesto'}, {'quantity': '16', 'unit': 'thin slices', 'name': 'Provolone cheese'}, {'quantity': '12', 'unit': 'thin slices', 'name': 'prosciutto'}, {'quantity': '4', 'unit': '', 'name': 'whole, well-drained bottled roasted red peppers, cut into strips'}","Heat a panini grill or waffle iron. Brush oil over bread slices. Turn 4 slices over; spread pesto evenly over bread. Top with half of the cheese, tearing to fit if necessary, all of the prosciutto and pepper strips and remaining cheese. Close sandwiches with remaining bread oiled sides up.. Cook (in batches) in panini maker* or waffle iron 3 to 4 minutes or until golden brown and cheese is melted.","calories: 799, fat: 64g, carbs: 27g, protein: 31g, servings: 4",https://www.allrecipes.com/thmb/L_qCpmJKVs5t5An2Xj-HO9mHbSc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/983891-6f1d50a194b24575ba745d2f301db126.jpg
Turkey and Bacon Panini with Chipotle Mayonnaise,https://www.allrecipes.com/recipe/214076/turkey-and-bacon-panini-with-chipotle-mayonnaise/,"{'quantity': '8', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'medium', 'name': 'red onion, thinly sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'cups', 'name': 'fresh spinach leaves'}, {'quantity': '½', 'unit': 'cup', 'name': 'reduced-fat mayonnaise'}, {'quantity': '2', 'unit': '', 'name': 'chipotle peppers in adobo sauce, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'adobo sauce from chipotle peppers'}, {'quantity': '8', 'unit': '(4 inch) pieces', 'name': 'focaccia bread'}, {'quantity': '4', 'unit': 'slices', 'name': 'provolone cheese'}, {'quantity': '½', 'unit': 'pound', 'name': 'sliced deli turkey meat'}","Cook bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes. Drain on a paper towel-lined plate.. While the bacon is cooking, melt butter in a large skillet over medium heat. Add onion and cook, stirring occasionally, until soft and translucent, 7 to 10 minutes, adding garlic for the last minute. Stir in spinach and cook until wilted, about 3 minutes. Remove from the heat.. Preheat a panini press according to the manufacturer's instructions.. Stir mayonnaise, chipotle peppers, and adobo sauce together in a small bowl. Spread mixture over 4 slices of focaccia bread, then top each slice with provolone, turkey, two slices bacon, spinach mixture, and remaining bread slices.. Cook sandwiches in the preheated panini press until crispy and golden brown, about 5 minutes each.","calories: 699, fat: 33g, carbs: 65g, protein: 35g, servings: 4",https://www.allrecipes.com/thmb/dUVusRceNKs6V-JMu1DY5Rf8uak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/651270-1cd56ef786584f939fe1724e37001e2c.jpg
Panini Sandwiches,https://www.allrecipes.com/recipe/230181/panini-sandwiches/,"{'quantity': '4', 'unit': '', 'name': ""Sister Schubert's Dinner Yeast Rolls, split""}, {'quantity': '4', 'unit': 'slices', 'name': 'roast turkey or ham'}, {'quantity': '4', 'unit': 'slices', 'name': 'Swiss, Monterey Jack, or Gruyere cheese'}, {'quantity': '8', 'unit': '', 'name': 'small slices red onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh spinach leaves or several fresh basil leaves (Optional)'}, {'quantity': '', 'unit': '', 'name': 'Salt and freshly ground black pepper'}, {'quantity': '', 'unit': '', 'name': 'Butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': '', 'name': 'finely chopped sundried tomatoes'}, {'quantity': '', 'unit': '', 'name': 'Salt and freshly ground black pepper'}","Preheat grill pan or panini machine to medium heat.. Spread center of each roll with 1 tablespoon mayonnaise. Assemble sandwiches with remaining ingredients, except butter. Season with salt and pepper.. Spread small amount of butter on top and bottom of each roll; place sandwich either in pan on onto panini machine and grill. Cook 5 to 7 minutes.. (If using a pan, press sandwich down with a pan lid. Cook sandwiches about 3 to 4 minutes on each side or until bread is toasted.). For mayonnaise: whisk all ingredients together in small bowl. Refrigerate until ready to use.","calories: 464, fat: 27g, carbs: 41g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/RIoiiLP3S-aXAnVODAHiy3t9BPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Panini-Sandwiches-4x3-1-2000-0e4f4d4dda5e4fb795168e7d3af1b8b2.jpg
Grilled Turkey Cuban Sandwiches,https://www.allrecipes.com/recipe/233785/grilled-turkey-cuban-sandwiches/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(3 pound)', 'name': 'Butterball boneless breast of turkey roast, thawed'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarsely ground black pepper'}, {'quantity': '2', 'unit': 'loaves', 'name': 'Cuban, French, or Italian bread (15-inches long)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey mustard'}, {'quantity': '8', 'unit': 'ounces', 'name': 'smoked ham'}, {'quantity': '8', 'unit': 'ounces', 'name': 'sliced Swiss cheese'}, {'quantity': '12', 'unit': '', 'name': 'sandwich-style dill pickle slices'}","Preheat an outdoor grill for medium heat and lightly coat the cold grate with cooking spray. Arrange a drip pan on grill.. Pat turkey dry with paper towels; discard gravy packet (or refrigerate and use within 2 to 3 days). Lift and shift string netting position for easier removal after cooking. Cut small slits, at least 1 inch apart, over entire surface of turkey. Insert 1 garlic slice into each slit; brush turkey with oil.. Combine cumin, salt, and black pepper; sprinkle over turkey.. Grill turkey, covered, over drip pan until an instant-read thermometer inserted into the center reads 170 degrees F (77 degrees C), 1 1/4 to 1 3/4 hours. Transfer to a cutting board; rest 10 minutes. Keep grill on.. Remove string netting. Cut half of turkey into six 1/8-inch-thick slices; set aside. Refrigerate unsliced turkey for another use.. Halve bread loaves, lengthwise, then, cut each into 3 pieces (for 6 sandwiches). Spread each bread bottom with 2 teaspoons mustard; top with sliced turkey, ham, Swiss cheese, pickles, and bread tops. Press sandwiches with hands to flatten; tightly wrap each in aluminum foil.. Grill wrapped sandwiches, each weighted with a heavy iron-skillet or brick, until heated through, 3 to 5 minutes per side.. Serve sandwiches warm, wrapped in aluminum foil.","calories: 1066, fat: 34g, carbs: 95g, protein: 92g, servings: 6",https://www.allrecipes.com/thmb/jTEhaMGs3Z5ov9bnoXOOlFRF0SI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043028-a574932f61fe41368264f011cc9b79fa.jpg
