name,link,ingredients,steps,nutrition,image_url
10 Passover Recipes From Around the Globe,https://www.allrecipes.com/article/passover-recipes-from-around-the-globe/,,,,https://cdn.jwplayer.com/v2/media/YQyhqDgo/poster.jpg?width=720
8 Matzo Breakfast Recipes for Passover,https://www.allrecipes.com/gallery/matzo-breakfast-recipes/,,,,https://www.allrecipes.com/thmb/evpXDMMuuyc0Ic-6AQG1OnwW6o8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/70770_AppleMatzoKugel_10879_MFS-d304367846544313b418a9031bce34b5.jpg
10 Passover Cookies to Make This Year,https://www.allrecipes.com/gallery/passover-cookies/,,,,https://www.allrecipes.com/thmb/jb6gQ70f4DbkH-1q3PBeT4nXy6c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/106163-0830ebecbb444621808fc1ba67cc2fa8.jpg
Passover Dessert: How to Make an Easy Flourless Chocolate Torte,https://www.allrecipes.com/article/passover-dessert-how-to-make-an-easy-flourless-chocolate-torte/,,,,https://www.allrecipes.com/thmb/yhi4lpxx2D3mvCfEYuseOKeVHWw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/passover-chocolate-torte-photo-by-katherine-martinelli-b7ccc1fd88bd40c7b2d859253c4369e3.jpg
Matzah,https://www.allrecipes.com/recipe/213682/matzah/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour for dusting*'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour*'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water, or more if needed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt, or as needed (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed (Optional)'}","Preheat the oven to 475 degrees F (245 degrees C). Move an oven rack to the top position. Preheat a heavy baking sheet in the oven.. Dust a clean work surface and a rolling pin with 1 teaspoon flour, or as needed.. Place 1 cup flour into a mixing bowl; set a timer for 16 minutes (18 minutes maximum). Start the timer; pour water, 1 tablespoon at a time, into flour. Stir with a fork until dough forms a rough ball.. Transfer dough to the prepared work surface; knead rapidly and firmly until smooth, 30 seconds to 1 minute.. Divide dough into 4 equal pieces; cut each piece in half to get 8 pieces. Swiftly roll each piece into a ball. Working from the center, roll out each dough piece into a 5-inch-diameter round, dusting with flour as needed. Continue to gradually roll dough out to a diameter of about 8 inches, increasing each size by about 1 inch, then letting dough rest for a few seconds before rolling again to the finished size. The dough rounds will be very thin.. Use a fork to quickly pierce through each dough round about 25 times, all over, to prevent rising. Flip dough over and pierce each piece again 25 times.. With at least 5 minutes left on the timer, remove the hot baking sheet from the preheated oven and place dough rounds onto the baking sheet.. Bake on the top rack in the preheated oven for 2 minutes; flip matzah over and bake until lightly browned and crisp, about 2 more minutes.. Transfer to a wire rack to cool. Use a brush to lightly anoint each matzah with olive oil. Season generously with salt.","calories: 63, fat: 1g, carbs: 12g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/s9gY8Ys0yo0n_T2EfuljtH2bnCg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/213682_matzah_ddmfs_4x3_1203-5da9d52c55bc4c008afc20451d4653c6.jpg
Chicken Liver Pâté,https://www.allrecipes.com/recipe/26737/chicken-liver-pate/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled and chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'pound', 'name': 'chicken livers, trimmed and chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry sherry'}, {'quantity': '⅓', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '', 'unit': '', 'name': 'hot sauce to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Melt butter in a medium saucepan over medium heat. Stir in garlic, onion, and chicken livers. Reduce heat to low, and sauté until chicken livers are tender and no longer pink, about 10 minutes.. Place chicken liver mixture in a blender; add dry sherry, cream cheese, hot sauce, salt, and pepper. Blend until smooth; transfer to a medium bowl. For best results, cover and chill pâté in the refrigerator for approximately 2 hours before serving.","calories: 66, fat: 5g, carbs: 1g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/fLTRBdISv9nk4PKLlf2vIynrQkQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/26737chicken-liver-patelutzflcat4x3-4325e1ed6ba642659ec3fbf5875d5ba6.jpg
Potato Kugel,https://www.allrecipes.com/recipe/204133/old-fashioned-potato-kugel/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '10', 'unit': 'medium', 'name': 'potatoes, peeled and grated'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, peeled and grated'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with 1 tablespoon vegetable oil.. Combine grated potatoes and onions in a large bowl. Mix in eggs, 1/3 cup of vegetable oil, salt, and pepper until well combined; pour mixture into the prepared dish.. Bake in the preheated oven until golden brown and crisp on top, 1 ½ to 2 hours.","calories: 119, fat: 5g, carbs: 17g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/LsWpqfx_vtPiQj-Gr2ksq9YqUxU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/204133-old-fashioned-potato-kugel-ddmfs-4x3_10923-28c45e31d98948d0a08c8ced7ae74a4d.jpg
Overnight Matzo Bake,https://www.allrecipes.com/recipe/8465380/overnight-matzo-bake/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '6', 'unit': '', 'name': 'matzo sheets'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped golden raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped dried apricots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped dried apples'}","Lightly coat a 2-quart baking dish with cooking spray. Set aside.. Break matzo sheets into bite-sized pieces. Whisk together eggs, milk, sugar, sour cream, vanilla, cinnamon, salt, and nutmeg in a large bowl. Stir in raisins, apricots, apples, and matzo pieces. Transfer to the prepared baking dish, smoothing into an even layer. Cover with aluminum foil and transfer to a refrigerator to chill for 8 hours, or overnight.. Preheat the oven to 350 degrees F (175 degrees C). Remove baking dish from the refrigerator and uncover.. Bake in the preheated oven until puffed and set, 40 to 45 minutes. Remove from the oven and let sit at room temperature for at least 15 minutes.","calories: 311, fat: 9g, carbs: 48g, protein: 10g, servings: 8",https://www.allrecipes.com/thmb/xuWtWGU7ENgmzaV1UKLNvhSLTrU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Overniht-matzo-bake-mfs_001_4x3-dfa468e579d64af98d4bf89779641dae.jpg
Juicy Roasted Chicken,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken, giblets removed'}, {'quantity': None, 'unit': None, 'name': 'salt and black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, leaves removed'}",,"calories: 423, fat: 32g, carbs: 1g, protein: 31g, servings: 6",https://cdn.jwplayer.com/v2/media/EFEVNJX8/thumbnails/brDCeQqa.jpg
Pan-Fried Asparagus,https://www.allrecipes.com/recipe/18318/pan-fried-asparagus/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus spears, trimmed'}",,"calories: 188, fat: 18g, carbs: 5g, protein: 3g, servings: 4",https://cdn.jwplayer.com/v2/media/IkU8PGsT/poster.jpg?width=720
