name,link,ingredients,steps,nutrition,image_url
Spaghetti alla Carbonara,https://www.allrecipes.com/recipe/245775/spaghetti-alla-carbonara-the-traditional-italian-recipe/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'guanciale (cured pork cheek), diced'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'spaghetti'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '10', 'unit': 'tablespoons', 'name': 'grated Pecorino Romano cheese, divided'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 764, fat: 28g, carbs: 85g, protein: 39g, servings: 4",https://cdn.jwplayer.com/v2/media/wfmzdaVZ/poster.jpg?width=720
Spaghetti Carbonara,https://www.allrecipes.com/recipe/11973/spaghetti-carbonara-ii/,"{'quantity': '1', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided, or as needed'}, {'quantity': '8', 'unit': 'slices', 'name': 'bacon, diced'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Bring a large pot of lightly salted water to a boil. Cook spaghetti in boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain, toss spaghetti with 1 tablespoon olive oil, and set aside.. Place diced bacon in a large skillet over medium heat; cook and stir until evenly browned, about 10 minutes. Drain bacon on paper towels, reserving 2 tablespoons bacon fat in the skillet.. Add 1 tablespoon olive oil to bacon fat in the skillet. Add chopped onion and cook over medium heat until onion is translucent. Add minced garlic and cook until fragrant, about 1 minute. Add wine and cook 1 minute more.. Return cooked bacon to the skillet; add cooked spaghetti. Toss to coat and heat through, adding more olive oil if it seems dry or sticks together. Add beaten eggs and cook, tossing constantly with tongs or a large fork, until eggs are barely set. Quickly add 1/2 cup Parmesan cheese and toss again. Season with salt and pepper (remember that bacon and Parmesan are very salty).. Serve warm with chopped parsley sprinkled on top and extra Parmesan cheese at the table.","calories: 444, fat: 21g, carbs: 45g, protein: 16g, servings: 8",https://cdn.jwplayer.com/v2/media/xM55aJc0/thumbnails/nelCk8SC.jpg
Fettuccine Carbonara,https://www.allrecipes.com/recipe/42585/fettuccini-carbonara/,"{'quantity': '5', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': '', 'name': 'shallots, diced'}, {'quantity': '1', 'unit': 'pound', 'name': 'bacon, cut into strips'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, cut into thin strips'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry fettuccine pasta'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '3', 'unit': '', 'name': 'egg yolks'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Heat olive oil in a large heavy saucepan over medium heat. Sauté shallots until softened. Stir in bacon and onion; cook and stir until bacon is evenly browned. Stir in garlic when bacon is about half done. Remove from heat.. Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente. Drain pasta, then return it to the pot.. Whisk Parmesan, cream, and egg yolks together in a medium bowl. Pour bacon mixture over pasta; stir in cream mixture. Season with salt and pepper.","calories: 614, fat: 29g, carbs: 65g, protein: 26g, servings: 6",https://www.allrecipes.com/thmb/kXyLYIPQSxcPdf57G9ZAxc4jCCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8988638-db4bfa51c1d445129d16ecac0afa95a6.jpg
Chicken and Shrimp Carbonara,https://www.allrecipes.com/recipe/263497/chicken-and-shrimp-carbonara/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless, skinless chicken breast halves, cut into bite-sized pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'pound', 'name': 'large shrimp, peeled and deveined'}, {'quantity': '8', 'unit': 'slices', 'name': 'smoked bacon, diced'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'linguine pasta'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated Parmesan cheese'}, {'quantity': '4', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, diced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Sauvignon Blanc wine'}","Heat 1 tablespoon oil in a large skillet over medium-high heat. Add chicken, 1 tablespoon garlic, and 1 tablespoon Italian seasoning; cook and stir until chicken is no longer pink in the center and the juices run clear, 6 to 8 minutes. Transfer to a bowl.. Heat 1 tablespoon oil and 1 tablespoon garlic in the same skillet until fragrant, about 1 minute. Add shrimp and cook until bright pink on the outside and the meat is opaque, 2 to 3 minutes per side. Transfer to the bowl with chicken.. Cook bacon in the same skillet until just crispy (not crunchy), about 6 minutes. Drain on a paper towel-lined plate; leave grease in the skillet.. Bring a large pot of lightly salted water to a boil. Add linguine and remaining 2 tablespoons oil; cook until tender yet firm to the bite, about 11 minutes. Drain and keep warm.. Mix cream, Parmesan cheese, egg yolks, remaining 1 tablespoon Italian seasoning, salt, and pepper together in a bowl.. Sauté onion in bacon grease over medium heat until translucent, about 5 minutes. Add wine, increase the heat, and bring to a boil.. Add cream mixture, reduce the heat, and simmer until sauce begins to thicken, 3 to 5 minutes. Stir in chicken, bacon, and shrimp until coated, then serve over linguine.","calories: 776, fat: 46g, carbs: 47g, protein: 44g, servings: 8",https://www.allrecipes.com/thmb/pi0kk0BdquYvd4afIweOE5Gd7CY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9062852-a0f72f3f3b8e47a9b7661d22e701fb9a.jpg
Loaded Chicken Carbonara,https://www.allrecipes.com/recipe/232865/loaded-chicken-carbonara/,"{'quantity': '6', 'unit': 'slices', 'name': 'bacon, chopped'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated Parmesan cheese'}, {'quantity': '3', 'unit': '', 'name': 'large eggs'}, {'quantity': '1', 'unit': 'gallon', 'name': 'water'}, {'quantity': '1', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen peas'}","Cook the bacon in a large skillet over medium heat until crisp, about 10 minutes. Remove bacon from skillet with a slotted spoon and drain on a paper towel-lined plate. Drain fat from skillet, reserving 2 tablespoons of the bacon drippings.. Season chicken with salt and pepper. Heat 1 tablespoon bacon drippings in the skillet over medium heat. Cook chicken breast halves in the bacon drippings until no longer pink in the center and the juices run clear, about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer to cutting board and tent with foil. Rest chicken for 5 minutes before slicing; set aside.. Heat remaining tablespoon bacon drippings in skillet over medium heat until shimmering. Cook and stir garlic and ground black pepper in skillet until fragrant, about 30 seconds. Pour wine into skillet; cook at a simmer until thickened, about 2 minutes. Remove from heat.. Whisk Parmesan cheese and eggs together in a bowl. Slowly stream wine mixture into the Parmesan mixture while whisking continually.. Bring a large pot of generously salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Remove 1/2 cup of the water from the pot for later use.. Put the peas in a large colander. Drain the pasta in the colander with the peas. Return drained pasta and peas to the pot. Stir bacon, chicken, and wine mixture into the spaghetti. Thin sauce with reserved pasta water as desired.","calories: 928, fat: 24g, carbs: 94g, protein: 74g, servings: 4",https://www.allrecipes.com/thmb/DbtgkND4tbWKhsFAZ5o3yCidFsg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8108479-33b654c2d27a47edac4e5664f9aaa5e9.jpg
Quick and Creamy Pasta Carbonara,https://www.allrecipes.com/recipe/228310/quick-and-creamy-pasta-carbonara/,"{'quantity': '3', 'unit': 'cups', 'name': 'rigatoni pasta'}, {'quantity': '6', 'unit': 'slices', 'name': 'bacon, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, cut into cubes'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly shredded Parmesan cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh green peas'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced cooked ham'}","Bring a large pot of lightly salted water to a boil. Cook rigatoni in the boiling water, stirring occasionally until cooked through but firm to the bite, about 13 minutes. Drain.. Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Remove bacon with a slotted spoon, leaving drippings in pan; set bacon aside.. Cook and stir garlic in the remaining bacon grease over medium heat. Add milk, cream cheese, and butter to skillet; stir until smooth. Stir Parmesan cheese, peas, ham, and bacon into cream cheese mixture; cook until peas are heated through, about 5 minutes more. Mix pasta into sauce to serve.","calories: 778, fat: 56g, carbs: 47g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/0GIo37MpCMv4nExXNrZ4NVL7uXQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573345-354d330059df4ab4a52a85a944fced4e.jpg
Italian Carbonara with Bacon,https://www.allrecipes.com/recipe/277132/italian-carbonara-with-bacon/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'spaghetti'}, {'quantity': '12', 'unit': 'slices', 'name': 'thick-cut, applewood-smoked bacon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry vermouth'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'whipping cream (Optional)'}, {'quantity': '4', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}","Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.. Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Reserve 2 tablespoons bacon fat in the skillet and discard the rest. Chop bacon when cool enough to handle.. Add 1 tablespoon olive oil and onion to reserved bacon fat in the skillet. Cook over medium-high heat until the onion has softened and turned translucent, about 5 minutes. Add garlic and cook until fragrant, about 1 minute. Pour vermouth into the pan and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon, about 1 minute. Mix in chopped bacon.. Drain spaghetti, transfer to a large serving bowl, and mix in remaining 1 tablespoon oil. Add bacon-onion mixture, Parmesan cheese, cream, eggs, and pepper to the hot pasta; stir until spaghetti is well coated and sauce is creamy.","calories: 512, fat: 25g, carbs: 48g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/lipdYIIrNEOmV8_MpL2GVVtvyHw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8509882-05da020fc7f2452c9e0cdc7147701ed8.jpg
Creamy Pasta Carbonara,https://www.allrecipes.com/recipe/11770/pasta-carbonara-i/,"{'quantity': '½', 'unit': 'pound', 'name': 'bacon, cut into small pieces'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy cream, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '16', 'unit': 'ounces', 'name': 'dry fettuccine pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped parsley'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Cook and stir bacon in a large skillet over medium-high heat until evenly browned and crisp, about 10 minutes. Drain on a paper towel-lined plate and set aside.. Beat together eggs and cream in a medium bowl until just blended. Stir in Parmesan cheese and set aside.. Fill a large pot with lightly salted water and bring to a rolling boil. Cook pasta in boiling water until tender yet firm to the bite, about 8 minutes. Drain and return pasta to the pot.. Add softened butter to the pot and toss with pasta until butter is melted. Add bacon and egg-cheese mixture. Stir until the heat of pasta cooks eggs, then garnish with parsley and black pepper to serve.","calories: 395, fat: 18g, carbs: 42g, protein: 18g, servings: 8",https://www.allrecipes.com/thmb/QaYOTLwyGmiulQHFQDhHcZb16Zo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8137490-a2c3c2950e9448f0a5759f744aba3af6.jpg
Greek Yogurt Carbonara,https://www.allrecipes.com/recipe/279165/greek-yogurt-carbonara/,"{'quantity': '¼', 'unit': 'pound', 'name': 'turkey bacon'}, {'quantity': '¼', 'unit': 'pound', 'name': 'angel hair pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'onion powder'}","Place turkey bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 5 minutes. Drain, let cool, and crumble.. Fill a large pot with lightly salted water and bring to a rolling boil. Stir in angel hair pasta, bring back to a boil, and cook over medium heat until tender yet firm to the bite, 4 to 5 minutes.. Meanwhile, whisk Greek yogurt, Parmesan cheese, egg, Italian seasoning, red pepper flakes, garlic salt, and onion powder together in a bowl.. Drain pasta and return to the pot. Pour egg mixture over the pasta while still warm. Cook and stir over low heat for 1 to 2 minutes. Add bacon pieces and toss to coat.","calories: 161, fat: 7g, carbs: 17g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/YB9oEzuhCUmLkUMK0LKsad5VMcM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7796066-851971eefe86401980e321d1eedafd08.jpg
Chef John's Spaghetti alla Carbonara,https://www.allrecipes.com/recipe/221971/chef-johns-spaghetti-alla-carbonara/,"{'quantity': '4', 'unit': 'ounces', 'name': 'guanciale, cut into 1/4-inch cubes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmigiano-Reggiano cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Pecorino Romano cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '6', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'cup', 'name': 'reserved pasta water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmigiano-Reggiano cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Pecorino Romano cheese'}","Cook guanciale with olive oil and 1 teaspoon ground black pepper in a Dutch oven over medium-low heat until almost crisp, about 5 minutes. Reduce heat to low.. Whisk eggs, 3 tablespoons Parmigiano-Reggiano cheese, 3 tablespoons Pecorino Romano cheese, and 1 teaspoon ground black pepper in a bowl. Set aside.. Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, 10 to 12 minutes. Drain, reserving 1 cup of the pasta water.. Pour reserved pasta water and drained spaghetti into the bacon-pepper mixture; stir to combine.. Slowly pour egg mixture into the pasta mixture; cook, stirring constantly until the egg mixture forms a thick sauce, 1 to 2 minutes. Remove from heat.. Stir remaining 3 tablespoons Parmigiano-Reggiano cheese and 3 tablespoons Pecorino Romano cheese into the pasta mixture and serve.","calories: 688, fat: 30g, carbs: 66g, protein: 36g, servings: 2",https://cdn.jwplayer.com/v2/media/7EjfD1Ou/poster.jpg?width=720
