name,link,ingredients,steps,nutrition,image_url
Pancetta Primavera Rigatoni,https://www.allrecipes.com/pancetta-primavera-rigatoni-recipe-8637817,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pancetta'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mezzi rigatoni pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'peas'}, {'quantity': '1', 'unit': 'cup', 'name': 'asparagus'}, {'quantity': '1', 'unit': 'cup', 'name': 'Italian parsley leaves'}, {'quantity': '1', 'unit': 'cup', 'name': 'basil leaves'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mint leaves'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Pecorino cheese'}",,"calories: 574, fat: 44g, carbs: 30g, protein: 16g, servings: 4",https://cdn.jwplayer.com/v2/media/6g3fKvQB/thumbnails/wgxV3672.jpg
Gnocchi Primavera,https://www.allrecipes.com/recipe/203712/gnocchi-primavera/,"{'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pine nuts'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'potato gnocchi'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': '', 'name': 'zucchini, chopped'}, {'quantity': '12', 'unit': '', 'name': 'fresh mushrooms, cleaned and stems trimmed'}, {'quantity': '12', 'unit': '', 'name': 'grape tomatoes'}, {'quantity': '10', 'unit': '', 'name': 'torn fresh basil leaves'}","Spray a nonstick skillet with cooking spray, and place over medium-low heat. Place about 2 tablespoons of Parmesan cheese at a time into the skillet. Cook until cheese melts into a thin circle, begins to bubble, and browns at the edges, about 1 minute. Flip the crisp, and brown the other side for about 30 seconds. Remove the crisp to a plate to cool. Make 3 more cheese crisps the same way.. Heat 1 teaspoon of olive oil in a skillet over medium heat. Add pine nuts; cook and stir until lightly toasted and fragrant, about 3 minutes. Remove pine nuts from the skillet and set aside.. Cook gnocchi according to the package directions; drain them in a colander set in the sink.. Pour 1 tablespoon of olive oil in a large skillet over high heat. Add zucchini; cook and stir just until seared, about 2 minutes. Remove zucchini from the pan. Reduce heat to medium; add mushrooms and stir until they begin to give up their juices but are still firm, about 5 minutes. Drain the juices. Return zucchini to the pan; add tomatoes, torn basil leaves, toasted pine nuts, drained gnocchi, and the remaining 1 tablespoon olive oil; cook and stir until heated through.. To serve, divide gnocchi among four plates, and serve each plate topped with a Parmesan cheese crisp.","calories: 327, fat: 21g, carbs: 26g, protein: 10g, servings: 4",https://www.allrecipes.com/thmb/SpTIDwlZxZvcz7hfyOTGqhiFtzg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6239544-73215d98b4b54853a3e1719a16fe06e9.jpg
Creamy Penne Pasta Primavera,https://www.allrecipes.com/recipe/237430/creamy-penne-pasta-primavera/,"{'quantity': '2', 'unit': 'cups', 'name': 'penne pasta'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus, trimmed and cut into 2-inch pieces'}, {'quantity': '3', 'unit': '', 'name': 'carrots, cut into strips'}, {'quantity': '2', 'unit': 'cups', 'name': 'cherry tomatoes, halved'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Bring a large pot of lightly salted water to a boil; add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain.. Heat olive oil in a large skillet over medium heat-high heat; saute asparagus and carrots until tender yet firm to the bite, about 5 minutes. Add tomatoes and garlic; saute until garlic is fragrant, about 1 minute.. Stir Parmesan cheese, cream, and black pepper into vegetable mixture until cheese melts and sauce is smooth, 2 to 3 minutes. Add pasta to sauce and toss to coat.","calories: 518, fat: 22g, carbs: 65g, protein: 18g, servings: 6",https://www.allrecipes.com/thmb/67Y2jOUGE0xWaVe_O3yEvIP8bvY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1126428-a39aa9d4f54b452b9e116c68eeac5d17.jpg
Shrimp Primavera,https://www.allrecipes.com/recipe/223107/shrimp-primavera/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'rigatoni pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'small', 'name': 'zucchini, sliced'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow squash, sliced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, sliced'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'shrimp, peeled and deveined'}","Bring a large pot of lightly salted water to a boil. Cook rigatoni in the boiling water, stirring occasionally until cooked through but firm to the bite, about 13 minutes. Drain.. Heat vegetable oil in a skillet over medium heat; cook and stir onion and garlic until onion is tender, about 5 minutes. Add zucchini, yellow squash, bell peppers, and mushrooms; continue cooking and stirring until vegetables are tender, about 5 minutes more. Pour tomatoes into skillet and season with oregano, basil, red pepper flakes, salt, and black pepper; bring to a simmer.. Cook shrimp in vegetables sauce until they are bright pink on the outside and the meat is no longer transparent in the center, about 5 minutes. Serve shrimp and sauce over rigatoni.","calories: 460, fat: 6g, carbs: 66g, protein: 38g, servings: 6",https://www.allrecipes.com/thmb/-X8tvZ9PrN_sNZ6t8cg-b0QNhWc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3683261-shrimp-primavera-Leanne-4x3-1-eb0542713e5d46bfaef69916f15d4e6b.jpg
No-Cream Pasta Primavera,https://www.allrecipes.com/recipe/86515/no-cream-pasta-primavera/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'penne pasta'}, {'quantity': '1', 'unit': '', 'name': 'yellow squash, chopped'}, {'quantity': '1', 'unit': '', 'name': 'zucchini, chopped'}, {'quantity': '1', 'unit': '', 'name': 'carrot, cut into matchsticks'}, {'quantity': '½', 'unit': '', 'name': 'red bell peppers, cut into matchsticks'}, {'quantity': '½', 'unit': 'pint', 'name': 'grape tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh green beans, trimmed and cut into 1 inch pieces'}, {'quantity': '5', 'unit': 'spears', 'name': 'asparagus, trimmed and cut into 1 inch pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'coarsely ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'large', 'name': 'yellow onion, thinly sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, thinly sliced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon zest'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped fresh basil leaves'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Romano cheese'}","Preheat oven to 450 degrees F (230 degrees C). Line a baking sheet with aluminum foil.. Bring a large pot of lightly salted water to a boil. Add penne pasta and cook until tender yet firm to the bite, 10 to 12 minutes; drain.. Toss squash, zucchini, carrot, red bell pepper, tomatoes, green beans, and asparagus together in a bowl with 2 tablespoons olive oil, salt, pepper, lemon juice, and Italian seasoning. Arrange vegetables on the lined baking sheet.. Roast vegetables in preheated oven until tender, about 15 minutes.. Heat remaining olive oil and butter in a large skillet. Cook onion and garlic in hot oil until tender, 5 to 7 minutes. Mix cooked pasta, lemon zest, basil, parsley, and balsamic vinegar into the onion mixture. Gently toss and cook until heated through, 3 to 5 minutes. Remove from heat and transfer to a large bowl. Toss with roasted vegetables and sprinkle with Romano cheese.","calories: 406, fat: 15g, carbs: 54g, protein: 14g, servings: 6",https://cdn.jwplayer.com/v2/media/w9R5Z7EW/poster.jpg?width=720
Pasta Primavera with Italian Turkey Sausage,https://www.allrecipes.com/recipe/90119/pasta-primavera-with-italian-turkey-sausage/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'uncooked farfalle pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'hot Italian turkey sausage, cut into 1/2 inch slices'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, diced'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'small', 'name': 'zucchini, chopped'}, {'quantity': '2', 'unit': 'small', 'name': 'yellow squash, chopped'}, {'quantity': '6', 'unit': '', 'name': 'roma (plum) tomatoes, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '20', 'unit': 'leaves', 'name': 'fresh basil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chicken bouillon granules'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Bring a large pot of lightly salted water to a boil. Place farfalle in pot and cook 8 to 10 minutes, until al dente; drain.. Place sausage in a large skillet over medium heat and cook until evenly brown; set aside. Heat 1/4 cup oil in skillet. Stir in garlic and onion, and cook until tender. Mix in zucchini, squash, tomatoes, bell pepper and basil. Dissolve bouillon in the mixture. Season with red pepper. Stir in remaining oil. Continue cooking 10 minutes.. Mix pasta, sausage and cheese into skillet. Continue cooking 5 minutes, or until heated through.","calories: 477, fat: 22g, carbs: 50g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/UOy1HcUEI-V5Ljioakq5uUGJJAc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/403888-pasta-primavera-with-italian-turkey-sausage-SavedByGrace-4x3-1-001f7fbd990249f1a2bed3d0a65a8254.jpg
Healthy Pasta Primavera,https://www.allrecipes.com/recipe/270838/healthy-pasta-primavera/,"{'quantity': '2', 'unit': 'cups', 'name': 'whole grain penne pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus, trimmed and cut into 2-inch pieces'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow summer squash, halved lengthwise and sliced'}, {'quantity': '2', 'unit': 'cups', 'name': 'cherry tomatoes, halved'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded carrot'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'Lemon wedges'}","Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes.. Meanwhile, heat oil in an extra-large skillet over medium-high heat. Add onion; cook until softened, 2 to 3 minutes. Add asparagus, mushrooms, and squash; cook until just tender, about 5 minutes. Add tomatoes, carrot, garlic, oregano, black pepper, salt, and red pepper flakes; cook until tomatoes begin to soften, about 1 minute.. Drain penne; stir into vegetable mixture along with 1/4 cup Parmesan cheese. Top servings with remaining cheese and serve with lemon wedges.","calories: 281, fat: 8g, carbs: 42g, protein: 16g, servings: 4",https://www.allrecipes.com/thmb/5aEjwP-NdQ9_0D6wgshW-KyEBSo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6702624-a7e2140b30c24178b22b0edb93cf6e51.jpg
Penne Primavera,https://www.allrecipes.com/recipe/72506/penne-primavera/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '1', 'unit': 'medium', 'name': 'carrot, julienned'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'penne pasta'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}","Heat the olive oil and garlic in a large skillet over medium heat. When garlic is tender, remove from skillet and set aside. Place the broccoli and carrot in the skillet, and cook 2 minutes, just until heated through.. In a pot, bring the vegetable broth to a boil. Stir in the penne pasta and heated crushed garlic clove. Cook for 5 minutes, or until pasta is almost al dente. Remove and discard garlic clove.. Transfer the partially cooked pasta and broth to the skillet. Mix in the peas. Cover skillet, and continue cooking 10 minutes over medium heat, or until pasta is al dente and vegetables are tender. Toss with the Parmesan cheese to serve.","calories: 347, fat: 8g, carbs: 54g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/X5X4qys3ja0MRgJ9be3L_pojS-U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1129754-7d6d3c51ca1b4d208159d030dd548c61.jpg
Creamy Shrimp Pasta Primavera,https://www.allrecipes.com/recipe/277123/creamy-shrimp-pasta-primavera/,"{'quantity': '½', 'unit': '(8 ounce) package', 'name': 'spaghetti'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onions'}, {'quantity': '1', 'unit': 'large clove', 'name': 'garlic, minced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sliced fresh mushrooms'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '1', 'unit': 'splash', 'name': 'white wine (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried oregano (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream, or to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly grated Parmesan cheese, or to taste (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil, or to taste (Optional)'}","Bring a large pot of lightly salted water to a boil. Cook spaghetti according to package directions until tender yet firm to the bite, about 12 minutes. Drain.. Meanwhile, heat oil in a skillet over medium heat. Add onions and cook until soft and translucent, about 5 minutes. Add garlic and cook until fragrant, about 30 seconds. Stir in mushrooms and pepper and cook until pepper has softened and mushrooms are lightly browned, 3 to 5 minutes. Add shrimp, white wine, and oregano. Cook until shrimp begin to turn pink, 3 to 5 minutes.. Add cream and butter. Simmer, stirring constantly, for 8 minutes. Add cooked spaghetti, mix to combine, and turn off heat. If cream sauce is too thin, thicken with flour. Season with salt and pepper and sprinkle with Parmesan cheese and basil.","calories: 495, fat: 32g, carbs: 26g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/bVFPka37a279wmfP6usMBzd7Wzg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1437479-7d7395a21fcb409d9e44662fcc82f56d.jpg
Chicken Primavera Alfredo,https://www.allrecipes.com/recipe/231825/chicken-primavera-alfredo/,"{'quantity': '1', 'unit': 'pound', 'name': 'fettuccine pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breast halves, cut into strips'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced, or more to taste'}, {'quantity': '4', 'unit': 'ounces', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, sliced'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'pint', 'name': 'heavy whipping cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, cut into pieces'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in fettuccine, bring back to a boil, and cook pasta over medium heat until cooked through but still firm to the bite, about 8 minutes. Drain.. Melt 1/4 cup butter in a large skillet over medium heat; cook and stir chicken and garlic in butter until chicken is browned. Add mushrooms, green bell pepper, and red bell pepper; cook and stir until vegetables are tender.. Melt remaining 1/2 cup butter with 1/2 of the heavy cream in a large saucepan over medium heat. Gradually add Parmesan cheese, alternating with pieces of cream cheese, stirring constantly. Stir in remaining heavy cream, simmering until sauce has thickened, about 5 minutes. Stir chicken and vegetable mixture into cream sauce.. Transfer pasta to the saucepan and stir in egg. Cook and stir for 1 minute and serve immediately.","calories: 974, fat: 71g, carbs: 62g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/OGXGb1KG_0BHgxuEI5fTpzuO3cc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/998735-chicken-primavera-alfredo-Christina-4x3-1-c5e2050f27ed4bac9cb5348cbb5e8c26.jpg
