name,link,ingredients,steps,nutrition,image_url
Cucumber Feta Couscous Salad,https://www.allrecipes.com/cucumber-feta-couscous-salad-recipe-8710341,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white balsamic vinegar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'Israeli couscous'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dried cranberries (such as Craisins®)'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped cucumber'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'red onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh mint'}","In a small bowl, combine vinegar, lemon juice, Dijon, and lemon zest. Add olive oil and whisk until well blended. Season with salt and pepper, and set aside.. Heat olive oil in saucepan over medium heat. Add couscous, stirring occasionally, until toasted and starting to turn light golden brown, 4 to 5 minutes.. Pour chicken broth over couscous, stir in cranberries, and bring to a boil. Reduce heat to medium-low, cover, and simmer until most of the liquid has been absorbed, 8 to 9 minutes. Remove lid from saucepan, and allow couscous to cool for about 15 minutes.. Fluff cooled couscous with a fork, add cucumber, feta cheese, and red onion. Drizzle dressing over couscous, and toss lightly.. Taste and season with salt and pepper, if desired, and garnish with fresh mint. May be served immediately or chilled in the fridge.","calories: 315, fat: 22g, carbs: 24g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/fSJb98wSsKEQ7fS9ezBDtya3XYY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8710341_Cucumber-Feta-Couscous-Salad_Pat-Bernitt_4x3-4cbe85275f84474d8e2b7c36ef2d6b44.jpg
Shrimp and Bacon Pasta Salad,https://www.allrecipes.com/shrimp-and-bacon-pasta-salad-recipe-8676347,"{'quantity': '1', 'unit': 'pound', 'name': 'pasta'}, {'quantity': '6', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked shrimp'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': None, 'name': 'yellow bell pepper'}, {'quantity': '1', 'unit': None, 'name': 'cucumber'}, {'quantity': '3', 'unit': None, 'name': 'green onions'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry tomatoes'}, {'quantity': '1', 'unit': None, 'name': 'fresh peach'}, {'quantity': None, 'unit': None, 'name': 'Cajun seasoning'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook, uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes, or according to package directions. Drain, rinse with cold water, and let cool to room temperature, about 20 minutes.. Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble when cool enough to handle.. Combine pasta, shrimp, bacon, red bell pepper, yellow bell pepper, cucumber, green onions, mayonnaise, olive oil, cherry tomatoes, and peach in a large bowl and mix well. Taste and season with Cajun seasoning.. Refrigerate until ready to serve.","calories: 588, fat: 38g, carbs: 33g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/zImQeOro4MO8ll9be4R9FR-8zwg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8676347_Shrimp-and-Bacon-Pasta-Salad_Shelia-Johnson_4x3-01b37fa84b41422fab296afb562d352f.jpg
Thai Pasta Salad,https://www.allrecipes.com/thai-pasta-salad-recipe-8646006,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'low-sodium soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili-garlic sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lime juice'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'seasoned rice vinegar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': '(16 ounce) package', 'name': 'farfalle (bow-tie) pasta'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen peas, thawed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced red bell pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'thinly sliced green onions'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry-roasted peanuts'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes, or to taste'}, {'quantity': '4', 'unit': 'wedges', 'name': 'lime'}","To make the dressing: Whisk sesame oil, vegetable oil, soy sauce, balsamic vinegar, fish sauce, chili-garlic sauce, lime juice, rice vinegar, and sugar together in a small bowl until well combined. Set aside.. Bring a large pot of lightly salted water to a boil. Cook pasta at a boil, stirring occasionally, until tender yet firm to the bite, about 10 to 12 minutes. Drain pasta, rinse with cold water, and return to the pot.. Drizzle dressing over pasta and stir gently to combine. Add peas, carrots, bell pepper, green onions, cilantro, peanuts, and red pepper flakes; stir until well combined.. Serve at room temperature with lime wedges, or chill in the refrigerator and serve cold.","calories: 291, fat: 17g, carbs: 32g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/7bD1GIxBddGz4Pbrmkz-7rqX1Oo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9036429-d501ccd470264042921e89924807c680.jpg
Dill Pickle Pasta Salad,https://www.allrecipes.com/dill-pickle-pasta-salad-recipe-8655927,"{'quantity': '1', 'unit': 'pound', 'name': 'bowtie pasta'}, {'quantity': '10', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped refrigerated dill pickles'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dill'}, {'quantity': '1', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}","Bring a large pot of water to a boil. Add 2 tablespoons salt and pasta to water and cook, stirring often, until pasta is al dente, 9 to 10 minutes. Drain and rinse with cold water just enough to bring the pasta to lukewarm or room temperature. Drain well.. Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels.. Add pasta to a large bowl. Reserve 1 tablespoon chopped pickles, 1 teaspoon dill, and 1 tablespoon bacon for garnish. Add cheese and remaining pickles, dill, and bacon to the pasta bowl.. In a separate bowl, whisk together remaining 2 teaspoons salt with pickle brine, mayonnaise, sour cream, black pepper, and onion powder until well combined. Pour mixture over pasta mixture and toss well to coat. Transfer mixture to a serving bowl and top with reserved pickles, dill and bacon. Serve immediately or refrigerate until ready to serve.","calories: 295, fat: 22g, carbs: 14g, protein: 11g, servings: 12",https://www.allrecipes.com/thmb/y8QT02Ew0iNDDE6dqkaNoJP0yZk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8655927_Dill-Pickle-Pasta-Salad_Dotdash-Meredith-Food-Studios_4x3-4b9d093e450448a8b8032ab0302ca503.jpg
Italian Grinder Pasta Salad,https://www.allrecipes.com/italian-grinder-pasta-salad-recipe-8655863,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'fusilli or rotini pasta'}, {'quantity': '3', 'unit': 'ounces', 'name': 'turkey pepperon'}, {'quantity': '6', 'unit': 'ounces', 'name': 'sliced ham, diced'}, {'quantity': '6', 'unit': 'ounces', 'name': 'salami, diced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'provolone cheese, provolone'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pepperoncini peppers'}, {'quantity': '1', 'unit': None, 'name': 'English cucumber, seeded and diced'}, {'quantity': '1', 'unit': 'pint', 'name': 'grape tomatoes, quartered'}, {'quantity': '1', 'unit': None, 'name': 'yellow bell pepper, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'olives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'McCormick Salad Supreme Seasoning'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brine from pepperoncini peppers'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper, optional'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Bring a large pot of water to a boil. Add 2 tablespoon salt and pasta to water and cook, stirring often, until pasta is tender with a bite, 9 to 10 minutes. Drain and rinse with cold water just enough to bring the pasta to lukewarm or room temperature. Drain well.. Add drained pasta to a large bowl and add meats, cheeses and vegetables (through olives)  on top. Sprinkle salad seasoning over the bowl.. In a separate bowl, whisk together remaining salt, vinegar, brine, oregano, red pepper flakes, sugar, pepper, garlic powder, mustard, and olive oil until well combined. Stir in Parmesan cheese. Pour dressing over pasta salad mixture and toss until everything is fully coated. Serve immediately or refrigerate until ready to serve.","calories: 373, fat: 26g, carbs: 20g, protein: 17g, servings: 12",https://cdn.jwplayer.com/v2/media/fK7lJmG0/thumbnails/Owrxnjzt.jpg
Italian Tortellini Salad,https://www.allrecipes.com/italian-tortellini-salad-recipe-7724664,"{'quantity': '20', 'unit': 'ounces', 'name': 'cheese tortellini'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cherry tomatoes'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'mozzarella balls'}, {'quantity': '1', 'unit': None, 'name': 'nglish cucumber, halved and sliced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'yellow bell pepper'}, {'quantity': '1', 'unit': 'ounce', 'name': 'pepperoni'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'banana pepper rings'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'black olives'}, {'quantity': '2', 'unit': 'tablespoons minced I', 'name': 'talian parsley'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'talian salad dressing (store bought or homemade)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Fill a large pot with lightly salted water and bring to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini float to the top and the filling is hot, about 3 minutes. Be sure not to overcook, as they’ll start to unfold. Drain well, cool to room temperature, and transfer to a large bowl.. Combine tomatoes, mozzarella balls, cucumber, bell peppers, pepperoni, banana peppers, red onion, black olives, parsley, salt, and pepper in a separate bowl, and add to the tortellini.. Drizzle Italian dressing over salad, lightly tossing all ingredients until well coated. Refrigerate for at least 1 hour before serving.. Stir again right before serving, garnish with grated Parmesan, and serve chilled. Store leftovers in the fridge in an air-tight container.","calories: 556, fat: 26g, carbs: 57g, protein: 23g, servings: 6",https://www.allrecipes.com/thmb/0GUMLwuWk2_GSi6nsQW06AhH-PI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7724664_Italian-Tortellini-Salad_lutzflcat_4x3-956d3d58c2f643628d18b8ed0c6c2e49.jpg
Bruschetta Chicken Pasta Salad,https://www.allrecipes.com/bruschetta-chicken-pasta-salad-recipe-7546484,"{'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breasts'}, {'quantity': '1', 'unit': 'cup', 'name': 'vinaigrette'}, {'quantity': None, 'unit': '1 pound', 'name': 'fusilli'}, {'quantity': '3', 'unit': 'pints', 'name': 'cherry tomatoes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': None, 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': None, 'unit': 'leaves', 'name': 'basil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic glaze, or as needed'}","Place a chicken breast on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book. Repeat with remaining chicken breasts. Add chicken and vinaigrette to a resealable plastic bag; seal the bag and place in the refrigerator to marinate overnight.. Preheat an outdoor grill to 400 degrees F (200 degrees C).. Discard vinaigrette, and place chicken on the grill. Grill for 4 to 5 minutes. Turn chicken breast over with tongs. Continue to cook until juices no longer run pink, and an instant-read thermometer reads 165 degrees F (74 degrees C), 4 to 5 minutes more.. Meanwhile, bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain pasta and immediately submerge pasta in an ice water bath.. Cut tomatoes in half and place in a bowl. Add oil, minced garlic, and basil. Season to taste with salt and pepper.. Drain pasta again; add to tomato mixture. Lightly toss to distribute tomatoes and combine. Top with grilled chicken breast, and drizzle with balsamic glaze.","calories: 519, fat: 22g, carbs: 43g, protein: 35g, servings: 5",https://www.allrecipes.com/thmb/8xsuHIPPpkNjYCpGA81qMHAQ8Mg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7546484_Bruschetta-Chicken-Pasta-Salad_Thedailygourmet_4x3-3f223c15733f4e9bba86e43803278cf7.jpg
Greek Couscous Salad,https://www.allrecipes.com/recipe/218225/greek-couscous/,"{'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'cup', 'name': 'pearl (Israeli) couscous'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned chickpeas (garbanzo beans), rinsed and drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped sun-dried tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced Kalamata olives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled feta cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white wine vinegar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Pour water and chicken broth into a saucepan; stir in the garlic and bring to a boil. Stir in pearl couscous, cover the pan, and remove from heat. Allow couscous to stand until water has been absorbed, about 5 minutes; fluff with a fork. Allow couscous to cool to warm temperature.. Lightly toss couscous, chickpeas, sun-dried tomatoes, olives, and feta cheese in a large serving bowl.. To make the dressing: Mix white wine vinegar, lemon juice, oregano, and black pepper in a small bowl until well combined. Pour over couscous mixture; toss again to serve.","calories: 254, fat: 6g, carbs: 42g, protein: 9g, servings: 3",https://www.allrecipes.com/thmb/XmxBj2pFEG9XdGL2tXYrjZHFt6w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1389405-19d4e5ab57bb43c6a023b8a3b9b267b3.jpg
Greek Tortellini Salad,https://www.allrecipes.com/greek-tortellini-salad-recipe-7506757,"{'quantity': '18', 'unit': 'ounces', 'name': 'cheese tortellini'}, {'quantity': None, 'unit': 'ounces', 'name': 'mini cucumbers, halved lengthwise, then sliced into half moons'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion, slivered'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'grape tomatoes, halved'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'kalamata olives, halved'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ijon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried parsley'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Greek seasoning'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'crumbled feta cheese'}","Fill a large pot with lightly salted water and bring to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini float to the top and the filling is hot, about 3 minutes. Drain tortellini; allow to cool.. Combine cucumber, red onion, grape tomatoes, and olives in a large bowl.. For the dressing, combine olive oil, red wine vinegar, Dijon mustard, garlic granules, parsley, oregano, onion powder, salt, and Greek seasoning in a glass jar with a lid. Tighten and shake well until dressing is well combined.. Add tortellini to the vegetables. Pour the dressing over and thoroughly fold dressing into salad using a slotted spoon to thoroughly coat tortellini and vegetables. Sprinkle salad with feta cheese. Refrigerate, covered, until ready to serve.. Add tortellini to vegetables. Pour dressing over. Use a slotted spoon to fold dressing into salad to thoroughly coat tortellini and vegetables. Sprinkle salad with feta cheese. Refrigerate until ready to serve.","calories: 548, fat: 36g, carbs: 44g, protein: 13g, servings: 6",https://www.allrecipes.com/thmb/VXLEsnXXGqmTByHCrSqPerLIH8E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7506757_Sarahs-Cool-Greek-Tortellini-Salad_Thedailygourmet_4x3-fb61b24755fc4ac7b7febef8d8d38aac.jpg
Pesto Tortellini Salad,https://www.allrecipes.com/recipe/41490/tortellini-pesto-salad/,"{'quantity': '1', 'unit': '(9 ounce) package', 'name': 'cheese tortellini'}, {'quantity': '1', 'unit': 'small', 'name': 'red bell pepper, julienned'}, {'quantity': '¾', 'unit': 'cup', 'name': 'broccoli florets, blanched'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'pitted green olives'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'prepared basil pesto'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh spinach leaves'}","Gather all ingredients.. Bring a large pot of lightly salted water to a boil. Place tortellini in the pot and cook until al dente, 7 to 8 minutes. Drain and cool.. Mix cooked tortellini, bell pepper, broccoli, carrots, olives, and garlic in a large bowl.. Whisk mayonnaise, pesto, milk, Parmesan cheese, oil, and vinegar together in a separate bowl. Pour over tortellini and vegetables and gently toss to coat.. For best flavor results, cover and place in the refrigerator until chilled. Serve over spinach leaves.","calories: 383, fat: 27g, carbs: 26g, protein: 11g, servings: 6",https://www.allrecipes.com/thmb/70ItGWQp_S2mMiwiiiqw0evFM4I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Tortellini-Pesto-Salad-41b3ab1296f6462eaf17f11396294582.jpg
