name,link,ingredients,steps,nutrition,image_url
Cranberry Brie Pull Apart Bread,https://www.allrecipes.com/cranberry-brie-pull-apart-bread-recipe-8732507,"{'quantity': '1 (', 'unit': '1 1/2 to 1 3/4', 'name': 'sourdough loaf or crusty Italian bread, unsliced'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoons', 'name': 'fresh rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '8-ounce', 'name': 'rie cheese, cut lengthwise in 1-inch strips, then thinly sliced crosswise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried cranberries'}","Gather all ingredients.. Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with foil. Cut bread with a serrated knife from the top nearly to the bottom in diagonal 1-inch diamonds (do not cut through).. Combine melted butter, honey, rosemary, thyme, pepper, and salt in a small bowl.. Gently pull bread open at cuts and evenly drizzle with half of the butter mixture.. Stuff Brie and cranberries into the cuts as you go.. Place loaf on prepared baking sheet and drizzle with remaining butter mixture.. Bake until the Brie is melted and the bread is toasty, 20 to 25 minutes. Serve immediately.","calories: 355, fat: 17g, carbs: 41g, protein: 12g, servings: 8",https://www.allrecipes.com/thmb/fp7wFJ4-TOOjD6i0UhtfPGP1yIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732507-Cranberry-Brie-Pull-Apart-Bread-ddmfs-hero-4x3-17472-317e74eca1c747f4acc52c61f6a2f85e.jpg
Easy Pecan Sticky Buns,https://www.allrecipes.com/easy-pecan-sticky-buns-recipe-8745327,"{'quantity': '1/2', 'unit': 'cup', 'name': 'nsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'hopped pecans'}, {'quantity': '2 1/2', 'unit': None, 'name': 'oney'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'anilla bean paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'eavy whipping cream'}, {'quantity': '1', 'unit': '(12-count)-', 'name': 'Hawaiian rolls'}","Preheat the oven to 350 degrees F (175 degrees C). Line a 8x8 cake pan with parchment paper.. Combine butter, sugar, salt, and honey in a pan set over medium heat. Stir while cooking until the sugar dissolves and mixture starts to bubble a little bit, 3 to 5 minutes.. Turn off the heat and add vanilla bean paste, heavy cream, and chopped pecans. Mix until the pecans are fully coated and set aside to cool slightly. Pour all of the sauce in the pan into the prepared cake pan and spread it out into an even layer. Add Hawaiian rolls, top side down.. Bake in the preheated oven until the sauce is very bubbly and the buns are slightly browned , 15 to 20 minutes.. Let it cool for up to 5 minutes before flipping onto a cutting board or plate","calories: 267, fat: 17g, carbs: 27g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/rTa87LBAt3IpwWeLP9nbNyaSC9U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745327-pecan-sticky-rolls-aaron-alterman-0S0A5166-4x3-a25db1ff5440428aab52c80b78186293.jpg
Holiday Monkey Bread,https://www.allrecipes.com/holiday-monkey-bread-recipe-8745645,"{'quantity': '1 1/3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'sticks', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}",,"calories: 404, fat: 19g, carbs: 54g, protein: 5g, servings: 16",https://cdn.jwplayer.com/v2/media/Mnj9wL1k/thumbnails/yMXLgmu4.jpg
Easy Churro Cronuts,https://www.allrecipes.com/easy-churro-cronuts-recipe-8736194,"{'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'crescent dough sheets'}, {'quantity': '4', 'unit': 'cups', 'name': 'oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': None, 'unit': None, 'name': 'chocolate sauce or chocolate hazelnut spread for serving'}","Remove dough from each can and unroll to a rectangular shape. Fold the shorter end of 1 sheet up 1/3 of the way. Fold the opposite edge 1/3 of the way to fold over (and cover) the first fold. The dough should have 3 layers. Use a 3-inch cutter to cut 3 circles from the dough. Form the scraps into another layered piece and cut out one more circle. Repeat with the remaining dough sheet.  Use a smaller cutter to cut the center out of each circle to form a donut shape and reserve for donut holes.. Fill a large saucepan halfway with oil and place over medium-high heat to reach a temperature of 350 to 365 degrees F (175 to 183 degrees C). Line a tray with paper towels.. Combine sugar and cinnamon in a shallow dish; set aside.. Working with 2 to 3 cronuts at a time, carefully lower each cronut into the hot oil. Fry about 1 minute, rotating occasionally, until browned evenly. Drain briefly on the prepared tray. While donuts are still hot, coat evenly in cinnamon sugar. Repeat with remaining cronuts and doughnut holes.. Serve with chocolate sauce or hazelnut spread for dipping.","calories: 508, fat: 28g, carbs: 60g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/ZUBkdC3I9ycsPjMeB8pyVdU0CqI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8736194_Easy-Churro-Cronuts_Dotdash-Meredith-Food-Studios_4x3-8dc24c1e62224702a4404fb6c48537fc.jpg
Halloween Zombie Guts Cinnamon Rolls,https://www.allrecipes.com/halloween-zombie-guts-cinnamon-rolls-recipe-8717057,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'red velvet cake mix'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour, plus up to 1/4 cup more as needed'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '1 1/3', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'milk'}","Combine yeast, sugar, and water in the bowl of a stand mixer and stir until just combined. Let sit for 5 minutes or until foamy. Add cake mix, salt, and 1 1/2 cups flour and mix until a soft dough forms.. Transfer mixture to a lightly greased bowl and cover with plastic wrap. Let stand at room temperature in an area free from drafts until about doubled in size, about 2 hours.. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 11X7-inch baking dish.. Transfer dough to a lightly floured surface and roll out to form a 20x14-inch rectangle. Spread butter evenly over dough, leaving a 1/2-inch border around the edges. Sprinkle brown sugar and cinnamon evenly over butter. Starting from the long edge, roll dough into a log and place seam side down on a cutting board. Make cuts every 1 1/2 to 2 inches to form “rolls”.. Unroll each roll and then carefully roll each one from the long edges around the filling again to form long tube-like shapes. Freeform the tube shapes in the prepared dish to resemble “intestines.”. Bake in the preheated oven until lightly browned around the edges, and the center dough is fully baked and no longer sticky, about 20 minutes.. Whisk powdered sugar and milk together in a small bowl and drizzle over rolls. Cut into squares and serve warm or at room temperature.","calories: 287, fat: 9g, carbs: 51g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/zSeL1pot/thumbnails/LyZyQHsA.jpg
Sour Cream Donuts,https://www.allrecipes.com/sour-cream-donuts-recipe-8647022,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'bleached cake flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'sour cream, room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks, room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted and cooled slightly'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': None, 'unit': None, 'name': 'vegetable oil as needed for frying'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'light corn syrup'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Whisk flour, baking powder, salt, nutmeg, and cinnamon together in a bowl until well combined.. Whisk sour cream, granulated sugar, egg yolks, melted butter, oil, and vanilla together in a large bowl until well combined.. Gradually fold flour mixture into sour cream mixture just until combined. (Dough will be quite soft and sticky.). Cover, and chill in the refrigerator until dough is cold and just slightly firmed, about 2 hours.. Turn dough out onto a heavily-floured surface and pat or roll to 3/8- to 1/2-inch thickness, flouring hands or rolling pin as needed. Cut dough using a floured 3 ½-inch round cutter. Cut holes in the center of the dough circles using a floured 1 ¼-inch round cutter. Transfer dough rings to a parchment-lined baking sheet. Reroll, and cut dough scraps, repeating process as needed.. Heat 3 inches of oil in a large Dutch oven over medium heat until a deep-fry thermometer registers 360 degrees F to 365 degrees F (182 degrees C to 185 degrees C).. Fry 1 to 2 donuts at a time until golden brown and cooked through, about 1 to 1 ½ minutes per side, adjusting heat as necessary to maintain oil temperature.. Transfer donuts to a baking sheet lined with paper towels using a spider strainer. Let drain, and cool for 5 minutes (see note).. Whisk together powdered sugar, melted butter, hot water, corn syrup, salt, and vanilla in a large bowl for the glaze until smooth and well combined.. Place 1 warm donut in the powdered sugar mixture, craggy side up; use a spoon to coat donut completely in the glaze.. Remove donut from glaze using two forks placed underneath; let excess drip off, and then transfer donut to a wire rack placed over a rimmed baking sheet. Repeat with remaining donuts and glaze.. Let donuts stand until glaze is set before serving, about 25 minutes.","calories: 643, fat: 22g, carbs: 107g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/Vi3v7EXOP7I1CMi6nlRw1dxKU5Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/sour-cream-donuts-ddmfs-0979-4x3-1-f079aeb4952e41f6bfc83c76ae28345d.jpg
Orange Cinnamon Rolls,https://www.allrecipes.com/orange-cinnamon-rolls-recipe-8642451,"{'quantity': '¾', 'unit': 'cup', 'name': 'warm whole milk (110 degrees F (43 degrees C))'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, room temperature'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'freshly grated orange zest'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly squeezed orange juice'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided, or more as needed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'freshly grated orange zest'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly grated orange zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly squeezed orange juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}","Pour warmed milk into the bowl of a stand mixer fitted with a paddle attachment for the dough. Sprinkle yeast evenly over the surface of the milk. Let stand until foamy, 5 to 10 minutes.. Add egg and egg yolk, butter, honey, orange zest, and orange juice to the yeast mixture. Beat on low until combined, about 45 seconds. Add 2 cups flour; beat on low until a wet dough forms, about 1 minute. Turn off mixer; switch to the dough hook attachment. Add 1 ½ cups flour and salt, beat on medium until dough is soft and elastic, 7 to 10 minutes. If necessary, add an additional ½ cup flour, tablespoon by tablespoon, using as little as possible to achieve a soft dough. The dough should be quite sticky.. Gather dough into a ball and transfer to a large greased bowl. Cover with plastic wrap and set aside to rise at room temperature until doubled in size, about 1 hour.. To make the filling: Combine butter, brown sugar, cinnamon, and orange zest in a bowl. Mix with a spatula until smooth and creamy, about 1 minute. Set aside.. Grease a 13x9-inch baking dish; set aside. Punch down the dough and transfer to a well-floured surface. Roll dough into a large 10x18-inch rectangle. Spread the filling over the surface of the dough, leaving a ½ inch border along the top long edge.. Roll the dough away from you to create a log, and pinch seam to seal.. Cut dough log into 12 equal rolls (about 1 ½ inches wide). Transfer rolls to prepared baking dish. Loosely cover with plastic wrap, and set aside to rise at room temperature until puffy and almost doubled in size, 30 to 45 minutes.. Preheat the oven to 375 degrees F (190 degrees C).. Bake rolls in the preheated oven until golden brown, 22 to 25 minutes.. While rolls are baking, prepare the frosting. Combine cream cheese, powdered sugar, orange zest, orange zest, and salt in the bowl of a stand mixer fitted with the paddle attachment. Beat at medium-high speed until very smooth and creamy, 2 to 3 minutes.. Remove rolls from oven and transfer to a wire rack. Let cool 2 minutes, then spread frosting evenly over the rolls. Serve warm.","calories: 409, fat: 21g, carbs: 50g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/N-T5OayVONIbr1yRssdjN8xB2Mo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8505902-orange-cinnamon-rolls-dmfs-3x4-0272-7d24ce3a9fa446b6bd4f6fca14998c3b.jpg
Cinnamon Roll Focaccia,https://www.allrecipes.com/cinnamon-roll-focaccia-recipe-8610782,"{'quantity': '1/4', 'unit': 'cup', 'name': 'canola oil,'}, {'quantity': None, 'unit': None, 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '(1-pound)', 'name': 'pizza dough'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 397, fat: 19g, carbs: 51g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/z5xJyrWq/thumbnails/ustCB5GR.jpg
Chili-Bacon Cinnamon Rolls,https://www.allrecipes.com/chili-bacon-cinnamon-rolls-recipe-8605019,"{'quantity': '1', 'unit': '17.5-ounce) package', 'name': 'cinnamon rolls with icing'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '10', 'unit': 'slices', 'name': 'bacon'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch round cake pan.. Unroll cinnamon roll dough. Sprinkle evenly with chili powder, then separate along perforations into 5 portions.. Cook bacon in a very large skillet until just starting to crisp, about 7 minutes. While bacon is still warm, lay 2 slices on each dough portion; roll up. Arrange in the prepared pan.. Bake in the preheated oven until browned and tops appear dry, about 25 minutes. Frost with icing. Add desired toppers (if using). Serve warm.","calories: 460, fat: 20g, carbs: 57g, protein: 12g, servings: 5",https://www.allrecipes.com/thmb/nIuhiImWbQxbR0uWLPTqEet7uTM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8605019-chili-bacon-cinnamon-rolls-4x3-eb8b391048eb4828bcf5d6b1bce8c6f2.jpg
Choux Pastry,https://www.allrecipes.com/choux-pastry-recipe-7484640,"{'quantity': '2/3', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter, cut into small cubes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}",,"calories: 78, fat: 6g, carbs: 5g, protein: 2g, servings: 10",https://cdn.jwplayer.com/v2/media/EiHtN6X3/poster.jpg?width=720
