name,link,ingredients,steps,nutrition,image_url
Chicken Liver Pate,https://www.allrecipes.com/chicken-liver-pate-recipe-8715400,"{'quantity': '16', 'unit': 'ounces', 'name': 'chicken livers'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shallots'}, {'quantity': '1', 'unit': None, 'name': 'clove garlic'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'dried thyme leaves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry sherry'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}","Trim chicken livers of any membrane, dry on paper towels, and set aside.. Melt 4 tablespoons butter in a large skillet over medium heat. Add the shallots and garlic, and saute until softened, about 3 minutes.. Add chicken livers, thyme, sherry, salt, and pepper to the pan, and increase temperature to medium-high. Cook, stirring occasionally, until livers are just turning light pink in the center, 3 to 4 minutes. If you’re unsure how cooked the livers are, cut one in half to check.. Transfer to a food processor. Add heavy cream, remaining 4 tablespoons butter, and nutmeg, and blend until very smooth, adding a little more cream if necessary to reach a good spreading consistency.. Transfer to a bowl, cover, and refrigerate until firm, at least 3 hours or overnight.. Serve in ramekins or small jars, and garnish as desired.","calories: 216, fat: 17g, carbs: 2g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/LEqJgaCfAnp_9oG7fe0prDAB3UQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8715400_Chicken-Liver-Pate_Pat-Bernitt_4x3-f65fa3525b744810923f5d8df6ac2b1e.jpg
Liver Pâté,https://www.allrecipes.com/recipe/14821/liver-pate/,"{'quantity': '1', 'unit': 'pound', 'name': 'chicken livers'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, thinly sliced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cooking sherry'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground mace'}","Gather all ingredients.. Combine livers and sliced onion in a medium saucepan. Pour in about 3 cups water and bring to a boil.. Reduce heat to low, cover, and simmer until liver is tender, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. Remove from heat and drain. Discard sliced onion, and remove and discard any hard portions of the livers.. Process cooked livers in a food processor until smooth.. Add butter, chopped onion, sherry, butter, salt, pepper, and mace; pulse to blend.. Form mixture into a mound with lightly greased hands. Place onto a serving platter; cover and chill for 1 hour before serving.","calories: 116, fat: 10g, carbs: 1g, protein: 5g, servings: 16",https://www.allrecipes.com/thmb/9GBEqr6nDi2mT1_OGtkQuPUvsBo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-14821-liver-pate-ddmfs-4x3-a043a003de6d485ea3d015ef29a5cbab.jpg
Pate,https://www.allrecipes.com/recipe/26893/pate/,"{'quantity': '8', 'unit': 'ounces', 'name': 'braunschweiger liver sausage'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","In a medium bowl, mix braunschweiger liver sausage, cream cheese, onion, lemon juice, Worcestershire sauce, salt and pepper. Form into a ball shape. Wrap with plastic wrap. Chill in the refrigerator at least 1 hour before serving.","calories: 96, fat: 9g, carbs: 1g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/tdR-g8NDAPV7cIeZBd_RKQWhoBY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1119199-b0c5f7cec2c846bda0baf486bc5e7a18.jpg
Chef John's Pate de Campagne,https://www.allrecipes.com/recipe/256888/chef-johns-pate-de-campagne/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'boneless pork shoulder, cut into 1-inch cubes'}, {'quantity': '6', 'unit': 'ounces', 'name': 'duck leg meat'}, {'quantity': '4', 'unit': 'ounces', 'name': 'fatty bacon, chopped'}, {'quantity': '4', 'unit': 'ounces', 'name': 'chicken livers, roughly chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'shallot, thinly sliced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cognac'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'pink curing salt (such as Instacure™ #1) (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried cherries (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'shelled whole pistachios (Optional)'}, {'quantity': '8', 'unit': 'strips', 'name': 'bacon, or as needed'}","Combine cloves, nutmeg, ginger, and cayenne pepper in a small bowl to make spice mixture.. Place pork shoulder, duck meat, chopped bacon, chicken livers, onion, shallot, parsley, cognac, salt, garlic, pepper, 3/4 teaspoon spice mixture, and pink curing salt in a large bowl. Mix thoroughly until evenly distributed. Cover with plastic wrap and refrigerate about 2 hours.. Whisk cream, bread crumbs, and eggs together in a bowl.. Transfer pork mixture to a rimmed baking sheet lined with a silicone mat or parchment. Freeze for 15 to 20 minutes to facilitate grinding the meat.. Grind pork mixture into a bowl using the meat-grinder attachment of a stand mixer. Add dried cherries and pistachios. Add the cream mixture; fold gently until just combined.. Arrange bacon strips crosswise in a 9x5-inch loaf pan, letting ends hang over the edges of the pan. Trim some strips to fit the ends of the pan.. Fill pan to the top with the ground pork mixture; smooth the top. Cover surface with strips of bacon. Fold side bacon piece edges over the top. Cover with a piece of parchment cut to fit the top of the pan; wrap tightly with heavy duty aluminum foil.. Preheat oven to 350 degrees F (175 degrees C).. Transfer pan to a deep pot or Dutch oven. Pour in hot tap water to reach 1/2 to 2/3 of the way up the side of the pan. Cover.. Bake in the preheated oven until an instant-read thermometer inserted into the center reads 155 degrees F (68 degrees C), 1 3/4 to 2 hours.. Transfer pan to a paper-towel lined surface to absorb any moisture. If mixture has risen above the top edge of the pan, press it down with a heavy pan. Remove the aluminum foil, leaving the parchment paper on top. Transfer pan to a paper-towel-lined baking dish. Cut a piece of cardboard to be slightly smaller than the top of the pan. Wrap with aluminum foil and place on the parchment paper. Press down with weights like canned food.. Refrigerate at least 8 hours to chill and compress the pate.. To unmold the pate, pour very hot water into a large bowl. Dip mold into hot water for 1 to 2 seconds. Turn out onto a paper-towel-lined dish; chill again before slicing.","calories: 250, fat: 15g, carbs: 11g, protein: 15g, servings: 12",https://www.allrecipes.com/thmb/cpJtvNHG5pILFQk97_nMr4Wz49I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4473194-chef-johns-pate-de-campagne-Chef-John-4x3-1-815283726d2d49b5acf7bbf459c7d877.jpg
Exotic Mushroom and Walnut Pate,https://www.allrecipes.com/recipe/127494/exotic-mushroom-and-walnut-pate/,"{'quantity': '1', 'unit': 'cup', 'name': 'walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced shallots'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '¼', 'unit': 'pound', 'name': 'shiitake mushrooms, chopped'}, {'quantity': '¼', 'unit': 'pound', 'name': 'crimini mushrooms, chopped'}, {'quantity': '¼', 'unit': 'pound', 'name': 'portobello mushrooms, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'roasted garlic puree'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh Italian parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}","Preheat oven to 350 degrees F (175 degrees C). Spread walnuts in a single layer on a cookie sheet. Toast for 10 minutes, or until fragrant and lightly browned.. In a large saute pan, cook shallots in butter over medium heat until translucent. Then add chopped mushrooms, garlic, parsley, thyme, salt, and pepper. Cook, stirring often, until most of the liquid has evaporated.. Process toasted walnuts and olive oil in a blender or food processor until mixture forms a thick paste. Spoon in the cooked mushroom mixture, and process to desired texture.. Pack mixture into well-oiled ramekins or bowl. Cover with plastic wrap, and refrigerate for a few hours or overnight.","calories: 127, fat: 12g, carbs: 3g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/_K1eYjYUupIZHDhIJKk3LK30mPU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6885267-28152c3b4cea496b951842d8711bcafd.jpg
Gorton (French-Canadian Pork Spread),https://www.allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread/,"{'quantity': '2', 'unit': 'pounds', 'name': 'finely ground pork fat'}, {'quantity': '2', 'unit': 'pounds', 'name': 'finely ground pork'}, {'quantity': '2', 'unit': '', 'name': 'onions, finely chopped'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '', 'unit': '', 'name': 'salt and black pepper to taste'}","Stir pork fat, ground pork, onions, water, cloves, and nutmeg together in a large pot. Season to taste with salt and pepper. Bring to a boil over medium-high heat, then reduce heat to medium-low, and simmer until the pork is tender, at least 1 ½ hours. Use a potato masher to mash the pork mixture every 15 minutes as it cooks. The longer you simmer the gorton, the better the flavor will be. Add water as needed to keep the mixture from boiling dry. When you're ready to stop cooking, let the liquid reduce as much as possible without letting it burn.. Refrigerate gorton overnight. Remove and discard the fat layer, or stir it into the meat for a creamier spread.","calories: 236, fat: 23g, carbs: 1g, protein: 5g, servings: 40",https://www.allrecipes.com/thmb/bkLmVldMzoWE0Kr987nV9b5x400=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7339108-79e3bb102e9746dc994f8c65ad2e26b1.jpg
Mock Chopped Liver,https://www.allrecipes.com/recipe/16835/mock-chopped-liver/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'lentils'}, {'quantity': '2', 'unit': 'cubes', 'name': 'vegetable or chicken bouillon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'extra virgin olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'walnuts'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Place water, lentils, and bouillon cubes in a pot; cover and simmer over medium heat until tender, about 30 minutes. Drain well.. Heat oil in a skillet over medium heat; add onion and sauté until soft and translucent.. Blend cooked lentils, onions, and walnuts in a food processor until it reaches the desired consistency for pâté. Season to taste with salt and pepper. Chill before serving.","calories: 387, fat: 21g, carbs: 37g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/d1qbpxreBUD8q7E-GWtygcmF424=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7806328-c9cb5b642ec04553b590ad32c9cbe59d.jpg
Chicken Liver Pâté,https://www.allrecipes.com/recipe/26737/chicken-liver-pate/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled and chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'pound', 'name': 'chicken livers, trimmed and chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry sherry'}, {'quantity': '⅓', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '', 'unit': '', 'name': 'hot sauce to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Melt butter in a medium saucepan over medium heat. Stir in garlic, onion, and chicken livers. Reduce heat to low, and sauté until chicken livers are tender and no longer pink, about 10 minutes.. Place chicken liver mixture in a blender; add dry sherry, cream cheese, hot sauce, salt, and pepper. Blend until smooth; transfer to a medium bowl. For best results, cover and chill pâté in the refrigerator for approximately 2 hours before serving.","calories: 66, fat: 5g, carbs: 1g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/fLTRBdISv9nk4PKLlf2vIynrQkQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/26737chicken-liver-patelutzflcat4x3-4325e1ed6ba642659ec3fbf5875d5ba6.jpg
Veggie Pate,https://www.allrecipes.com/recipe/24708/veggie-pate/,"{'quantity': '1', 'unit': 'cup', 'name': 'sunflower seeds'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole wheat flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'nutritional yeast'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '', 'name': 'potato, peeled and chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, peeled and sliced'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried sage'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried savory'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground dry mustard'}","Preheat oven to 350 degrees F (175 degrees C). Lightly grease an 8x8 inch baking dish.. In a food processor, blend sunflower seeds, whole wheat flour, nutritional yeast, salt, vegetable oil, lemon juice, potato, carrot, onion, celery, garlic, water, thyme, basil, sage, savory, pepper and dry mustard. Process the mixture until almost smooth.. Transfer mixture to the baking dish. Bake in the preheated oven 1 hour, or until bubbly and lightly browned.","calories: 102, fat: 7g, carbs: 8g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/0ZAqm6CXdDLEKrRVcqDhP6vFGW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3645283-veggie-pate-aria6688-4x3-1-e3a2a334a8f8435892553cd43cff3725.jpg
Easy Liver Pâté,https://www.allrecipes.com/recipe/69121/easy-liver-pate/,"{'quantity': '1', 'unit': 'pound', 'name': 'Braunschweiger (a liver sausage), pork'}, {'quantity': '½', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'minced garlic'}","Mix together sausage, cream cheese, milk, and onion in a medium bowl. Season with Worcestershire sauce, chili powder, sugar, and garlic, and mix until well blended.. Wrap in plastic wrap, and refrigerate for at least 2 hours, until firm.","calories: 80, fat: 7g, carbs: 1g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/g2-QmKDeJVRwRMSdBpo6qStOx6M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/488930-easy-liver-pate-Jessica-4x3-1-680d9ac59ce0426d82b592ff78f86b34.jpg
