name,link,ingredients,steps,nutrition,image_url
Easy Pavlova,https://www.allrecipes.com/recipe/12126/easy-pavlova/,"{'quantity': '4', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'pint', 'name': 'heavy cream'}, {'quantity': '6', 'unit': '', 'name': 'kiwi, peeled and sliced'}",,"calories: 373, fat: 22g, carbs: 42g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/wEOjd92K/poster.jpg?width=720
The Best Pavlova,https://www.allrecipes.com/recipe/15532/the-best-pavlova/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '3', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'pint', 'name': 'fresh strawberries'}","Preheat the oven to 300 degrees F (150 degrees C). Line a rimmed baking sheet with parchment paper; draw a 9-inch circle in the center of the paper.. Whisk 1/4 cup sugar and cornstarch together in a small bowl.. Beat egg whites in a glass, metal, or ceramic bowl until soft peaks form. Gradually add remaining 3/4 cup sugar, continuing to beat until sugar is completely dissolved and stiff peaks form. Gently fold in cornstarch mixture and lemon juice.. Spread a 1/4-inch-thick layer of meringue onto the prepared baking sheet to fill the circle. Pipe or spoon remaining meringue to form a taller edge around the circle to create a shallow bowl, making decorative swirls if desired.. Bake in the preheated oven for 1 hour. Turn the oven off. Let meringue sit in the oven for 30 minutes; do not open the door. After 30 minutes, remove meringue from the oven; it should be hard on the outside and slightly moist on the inside.. Beat cream and confectioners sugar in a mixing bowl with an electric mixer until thick. Spread onto meringue base and arrange strawberries over top.","calories: 186, fat: 9g, carbs: 25g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/iIReql-wEKAsdNL2JZDSmOvmsck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15532-the-best-pavlova-Niznaadam-4x3-c8731e89af35459b89195efac887eb87.jpg
Meringue Crust,https://www.allrecipes.com/recipe/12258/meringue-crust/,"{'quantity': '2', 'unit': '', 'name': 'egg whites'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}","Preheat the oven to 300 degrees F (150 degrees C).. In a large bowl, beat egg whites, cream of tartar, and salt until soft peaks form. Add vanilla; slowly beat in sugar until very stiff and glossy. Spread meringue mixture into a 9-inch pie plate to form a shell.. Bake in the preheated oven for 50 minutes. Turn the oven off; leave meringue in oven for 1 hour. Let cool.","calories: 53, carbs: 13g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/obOAnQbf9Dcm202tkfVVr3KEDEY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5225574-meringue-crust-naples34102-4x3-1-83762fc625e54d9aa00fa88b66a42bba.jpg
Strawberry Pavlova,https://www.allrecipes.com/recipe/229849/strawberry-pavlova/,"{'quantity': '4', 'unit': 'large', 'name': 'egg whites, at room temperature'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'whipping cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange liqueur'}, {'quantity': '4', 'unit': 'cups', 'name': 'strawberries, hulled and halved or sliced, if large'}","Preheat the oven to 250 degrees F (120 degrees C). Line a baking sheet with parchment paper or aluminum foil.. Beat egg whites, cream of tartar, and salt in a large bowl with an electric mixer until soft peaks form. Beat in sugar, 1 tablespoon at a time, until stiff, glossy peaks form. Mix in cornstarch, vinegar, and vanilla until blended.. Spread egg white mixture on the prepared baking sheet into a 10-inch (25cm) circle with a raised edge and a slight indentation in the center.. Bake in the preheated oven until meringue is cream-colored and firm to the touch, about 1 hour 15 minutes. If meringue appears to be browning, reduce the oven temperature to 225 degrees F (105 degrees C). Remove meringue from the oven and let cool.. When ready to serve, peel parchment paper off the bottom of meringue. Place meringue onto a serving plate.. Whip cream in a medium bowl with an electric mixer until stiff peaks form. Gently stir in liqueur until incorporated. Spread whipped cream over meringue, leaving edge of meringue visible. Top with strawberries. Cut into wedges to serve.","calories: 282, fat: 17g, carbs: 28g, protein: 3g, servings: 10",https://www.allrecipes.com/thmb/gFluVjGArpez4r4z3yLJfySQl_4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2562242-4e21df86dc4841f78e0e9f884acadfe6.jpg
Chef John's Pavlova with Strawberries,https://www.allrecipes.com/recipe/221268/chef-johns-pavlova-with-strawberries/,"{'quantity': '¾', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '3', 'unit': '', 'name': 'egg whites, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '3', 'unit': 'tablespoons', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'pint', 'name': 'whole strawberries, stems removed'}","Preheat the oven to 250 degrees F (120 degrees C). Line a baking sheet with a silicone baking mat or parchment paper.. Whisk sugar and cornstarch together in a bowl. Beat egg whites in a second bowl until foamy with a thick, ribbony texture, 2 to 3 minutes. Whisk in 1/4 of the sugar mixture until completely incorporated, about 30 seconds. Repeat with the remaining sugar mixture, whisking after each addition, until all is incorporated and egg whites are glossy and thick.. Add 1 teaspoon vanilla and vinegar; whisk until you can lift the beater or whisk straight up and egg whites form a sharp peak that holds its shape, 2 to 3 minutes.. Spoon egg white mixture onto the prepared baking sheet; spread out into a 2x6-inch disk.. Bake in the preheated oven for 1 hour. Turn off the oven, crack open the oven door, and let the Pavlova cool for 1 hour.. Transfer cooled Pavlova to a serving plate.. Whip cream, sugar, and remaining 1 teaspoon vanilla in a bowl until soft peaks form, 3 to 4 minutes. Spread over Pavlova and top with fresh strawberries.","calories: 210, fat: 15g, carbs: 18g, protein: 2g, servings: 12",https://cdn.jwplayer.com/v2/media/d19z0qpS/poster.jpg?width=720
Lemon Blueberry Pavlova,https://www.allrecipes.com/recipe/283837/lemon-blueberry-pavlova/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cream of tartar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pure vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'blueberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh blueberries, or more to taste'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh mint'}",,"calories: 424, fat: 19g, carbs: 62g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/DbpVDR4W/poster.jpg?width=720
Best Ever New Zealand Pavlova,https://www.allrecipes.com/recipe/17420/best-ever-new-zealand-pavlova/,"{'quantity': '3', 'unit': '', 'name': 'egg whites'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'distilled white vinegar'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 275 degrees F (135 degrees C). Grease a cookie sheet, line it with parchment paper and sprinkle a little water over paper.. In a large glass or metal mixing bowl, beat egg whites until foamy. Gradually add sugar, continuing to beat until stiff peaks form. Beat in water, then mix in cornstarch, vanilla, vinegar, and salt.. Pour entire meringue mixture onto the center of the pan. Pavlova will spread as it bakes.. Bake in the preheated oven for 45 minutes. Turn oven off and leave pavlova in the oven until cold. Turn upside-down onto plate and top with fresh fruit and whipped cream.","calories: 88, carbs: 22g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/mDUGJZCguRLFo3s1AKWH9KSGuPA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Best-Ever-New-Zealand-Pavlova-4x3-1696974195339072D5E0C-7462-47CD-8C61-7B642C3D1903-1d054e43d9bc4d9da647e2d03b201be8.jpg
Banoffee Pavlova,https://www.allrecipes.com/recipe/71537/banoffee-pavlova/,"{'quantity': '1', 'unit': 'cup', 'name': 'superfine (castor) sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cream of tartar'}, {'quantity': '4', 'unit': '', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white wine vinegar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'dash', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'small', 'name': 'bananas, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'caramel ice cream topping'}, {'quantity': '2', 'unit': 'cups', 'name': 'sweetened whipped cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated semisweet chocolate, for garnish'}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper or aluminum foil; trace an 8-inch circle onto the surface.. Whisk sugar, cornstarch, and cream of tartar together in a small bowl. Beat egg whites, vinegar, salt, and vanilla together with an electric mixer in a separate glass or metal bowl until soft peaks form. Gradually sprinkle in sugar mixture; continue to beat until shiny and stiff peaks form. Mound meringue into the traced circle on the prepared baking sheet. Flatten top; smooth sides using a metal spatula.. Place in the preheated oven and immediately reduce the temperature to 300 degrees F (150 degrees C). Bake until pale golden brown, 1 to 1 1/2 hours. Turn off oven; leave door slightly ajar with pavlova inside until completely cooled.. Transfer cooled pavlova to a serving plate just before ready to serve; top with banana slices. Drizzle caramel sauce over top. Top with whipped cream; sprinkle with chocolate.","calories: 278, fat: 4g, carbs: 61g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/RQUcQK4B/poster.jpg?width=720
Schaum Torte,https://www.allrecipes.com/recipe/49071/schaum-torte/,"{'quantity': '½', 'unit': 'cup', 'name': 'egg whites'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'gallon', 'name': 'vanilla ice cream'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen sweetened strawberries, thawed'}","Preheat oven to 250 degrees F (120 degrees C). Butter a large baking sheet or line it with parchment paper.. In a large glass or metal mixing bowl, beat egg whites until foamy. Blend in vinegar and vanilla. Gradually add sugar, continuing to beat until stiff peaks form. With a large spoon, drop meringue in 8 mounds (about 4 inches diameter), close together on baking sheet. Indent the center of each meringue with the back of a spoon.. Bake in preheated oven for 1 1/2 hours. Turn off oven, and let shells cool in the oven, about 1 hour.. To serve: Fill each shell with a scoop of vanilla ice cream, and smother with thawed strawberries.","calories: 505, fat: 15g, carbs: 91g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/Qmsv0PxkBLVz5Er_L_LD_NZbLZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9115-46d4fadc34f6476ba27fd922f61a44cf.jpg
Chocolate Pavlova,https://www.allrecipes.com/recipe/60928/chocolate-pavlova/,"{'quantity': '6', 'unit': '', 'name': 'egg whites'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'granulated sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '(1 ounce) squares', 'name': 'bittersweet chocolate, melted'}, {'quantity': '3', 'unit': 'cups', 'name': 'fresh strawberries, hulled and halved'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'whipping cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': '(1 ounce) square', 'name': 'bittersweet chocolate, melted'}","Preheat oven to 275 degrees F (135 degrees C).. Beat together egg whites, salt, and cream of tartar to soft peaks in a large bowl. Beat in sugar, about three tablespoons at a time, until stiff and glossy peaks form. Sift cocoa and cornstarch over egg whites, and gently fold in. Gently fold in vinegar, vanilla, and melted chocolate.. Line a baking sheet with parchment paper, and spread the meringue into an eight inch circle. Bake in the center of the oven for 1 1/2 hours until the outside is crispy and the center is soft. Using a metal spatula, loosen the meringue from the parchment paper, and remove to cool on a wire rack. Allow to cool completely, about one hour.. Whip cream with the sugar, and spread over the meringue. Arrange strawberries decoratively over the top, and drizzle with chocolate.","calories: 402, fat: 21g, carbs: 52g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/4qkON7VOSJslj0bDLGS6jBzBfP8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1082451-daf0eee535544ede9025a581b673d380.jpg
