name,link,ingredients,steps,nutrition,image_url
Peanut Butter Blossoms,https://www.allrecipes.com/recipe/9920/peanut-blossoms-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '(9 ounce) bags', 'name': 'milk chocolate candy kisses, unwrapped'}",,"calories: 116, fat: 6g, carbs: 14g, protein: 2g, servings: 84",https://cdn.jwplayer.com/v2/media/GFndf5KE/poster.jpg?width=720
3-Ingredient Peanut Butter Oatmeal Cookies,https://www.allrecipes.com/3-ingredient-peanut-butter-oatmeal-cookies-recipe-7971929,"{'quantity': '1/2', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '1 1/2', 'unit': 'cup', 'name': 'oats'}","Line a baking sheet with parchment. Place peanut butter and maple syrup in a microwave safe bowl. Microwave until peanut butter is melted, about 1 minute. Stir in oats.. Using a medium-sized cookie scoop, drop dough onto prepared baking sheet. Using your fingers, gently pat down dough to form a round cookie.. Refrigerate until firm, about 30 minutes.","calories: 127, fat: 6g, carbs: 16g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/MB_q2zkhZPXWC4syrrtih3WQSz4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7971929_3-Ingredient-Peanut-Butter-Oatmeal-Cookies_Yoly_4x3-01af5d149aed462ebad8bf8fd9fb75f7.jpg
Homemade Tagalongs,https://www.allrecipes.com/recipe/8534935/homemade-tagalongs/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '8', 'unit': 'ounces', 'name': 'milk chocolate, chopped'}, {'quantity': '8', 'unit': 'ounces', 'name': 'chocolate-flavor candy coating, chopped'}","Beat butter in a large bowl with an electric mixer at medium speed for 30 seconds. Add sugar and salt and beat until well combined. Beat in egg yolks and vanilla. Mix in flour until dough forms. Chill, covered, until dough is easy to handle, about 1 hour.. Preheat the oven to 375 degrees F (190 degrees C).. On a lightly floured surface, roll dough to 1/4-inch thickness. Cut dough with a 2-inch cookie cutter, rerolling scraps if needed. Arrange cutouts 2 inches apart on an ungreased cookie sheet.. Bake in the preheated oven until light brown, 7 to 8 minutes. Transfer to a wire rack to cool completely.. In another bowl, stir together powdered sugar, peanut butter, and cream. Spread 2 teaspoons . onto each cookie, leaving centers slightly mounded. Arrange on wax paper.. Meanwhile, arrange a wire rack over wax paper. Heat milk chocolate and candy coating in a small saucepan over low heat until melted. Spoon over cookies to cover, allowing excess to drip off. Let stand on prepared rack until set.","calories: 173, fat: 11g, carbs: 17g, protein: 3g, servings: 46",https://www.allrecipes.com/thmb/H0Ue3_QvSQThnMyDtyA2a4t94nA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chocolate-Peanut-Butter-Cookies-4x3-1-2000-88e41df0a489434991a2d146cc13986d.jpg
Peanut Butter M&M Cookies,https://www.allrecipes.com/recipe/8532501/peanut-butter-mm-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'creamy peanut butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'firmly packed brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'firmly packed brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': ""mini candy-coated chocolate pieces (such as mini M&M's®)""}","Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with parchment paper.. Mix together peanut butter, 3/4 cup plus 2 tablespoons brown sugar, egg, baking soda, vanilla, salt, and nutmeg until combined. Mix in mini chocolate M&Ms.. Scoop out 1 1/2 tablespoon sized balls of dough and place 1 inch apart on the baking sheets. Flatten dough balls to about 1/2 inch thickness.. Bake in the preheated oven until tops of cookies begin to slightly crack, about 10 minutes. Allow cookies to cool 10 minutes on baking sheets before removing to a wire rack to cool completely.","calories: 173, fat: 10g, carbs: 19g, protein: 5g, servings: 16",https://www.allrecipes.com/thmb/zSUIWbEbA6pyLHbfG6BEj-97QAY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1674497176DSC_1299202-2000-d686320219704cf09e0db7373af0ceae.jpg
Three Ingredient Peanut Butter Cookies,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}",,"calories: 394, fat: 23g, carbs: 42g, protein: 12g, servings: 12",https://cdn.jwplayer.com/v2/media/XBd2uALG/thumbnails/eLFoE8zh.jpg
Classic Peanut Butter Cookies,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'crunchy peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 126, fat: 7g, carbs: 15g, protein: 2g, servings: 48",https://cdn.jwplayer.com/v2/media/OJM8MZoz/thumbnails/6RO7uwlP.jpg
3-Ingredient Peanut Butter Cookies,https://www.allrecipes.com/recipe/244614/3-ingredient-peanut-butter-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}",,"calories: 98, fat: 6g, carbs: 11g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/ScrpFJPR/thumbnails/DElnS8vE.jpg
Peanut Butter Blossoms,https://www.allrecipes.com/recipe/255735/worlds-easiest-peanut-butter-blossoms/,"{'quantity': '1 3/4', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': '(18 ounce) jar', 'name': 'smooth peanut butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '36', 'unit': None, 'name': ""milk chocolate candy kisses (such as Hershey's Kisses), unwrapped""}",,"calories: 149, fat: 9g, carbs: 15g, protein: 4g, servings: 36",https://cdn.jwplayer.com/v2/media/HhvLNe93/thumbnails/PATNukBM.jpg
Peanut Butter Cup Cookies,https://www.allrecipes.com/recipe/9471/peanut-butter-cup-cookies/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '40', 'unit': '', 'name': 'miniature chocolate covered peanut butter cups, unwrapped'}",,"calories: 122, fat: 7g, carbs: 14g, protein: 2g, servings: 40",https://cdn.jwplayer.com/v2/media/1DlQQrAC/poster.jpg?width=720
Peanut Butter Bars,https://www.allrecipes.com/recipe/9999/peanut-butter-bars-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'cup', 'name': 'butter or margarine, melted'}, {'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'peanut butter'}","Gather all ingredients.. Mix together graham cracker crumbs, confectioners' sugar, butter or margarine, and 1 cup peanut butter in a medium bowl until well-blended.. Press evenly into the bottom of an ungreased 9x13-inch pan.. Place chocolate chips and 4 tablespoons peanut butter in a microwave-safe bowl. Microwave on high, stirring every 15 seconds, until smooth.. Spread mixture over crust.. Refrigerate for at least 1 hour before cutting into 12 squares.","calories: 532, fat: 37g, carbs: 49g, protein: 9g, servings: 12",https://cdn.jwplayer.com/v2/media/APAt5ZBH/thumbnails/hzFSuQJY.jpg
