name,link,ingredients,steps,nutrition,image_url
Caper Pesto,https://www.allrecipes.com/caper-pesto-recipe-8741129,"{'quantity': '2', 'unit': 'cups packed fresh', 'name': 'basil leaves'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'pine nuts'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'fresh dill'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'cloves', 'name': 'smashed garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}","Gather the ingredients.. Process basil, Parmesan, oil, pine nuts, green onions, dill, capers, juice, zest, garlic, salt, and pepper in a food processor until nearly smooth.. Chill in an airtight container up to 1 week; freeze up to 3 months.","calories: 126, fat: 13g, carbs: 2g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/GauxHy8XLYEqPg2SlYksKyBzVHY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8741129-caper-pesto-recipe-VAT-4x3-bowl-1-96fceac30ac64af682bd48bacd80f9b9.jpg
Yummy Vegan Pesto,https://www.allrecipes.com/recipe/79450/yummy-vegan-pesto-classico/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'pine nuts'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'nutritional yeast'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh basil leaves'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Place pine nuts in a skillet over medium heat; cook, stirring or shaking the pan often, until lightly toasted.. Place toasted pine nuts, olive oil, garlic, nutritional yeast, and basil in a food processor; blend until smooth. Season with salt and pepper.","calories: 107, fat: 11g, carbs: 2g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/pTGpqqhwhDPuNjtqex3oN0xxJAQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9431435-eb8deeeef3ee45e48a34a1b8267272b9.jpg
Parmesan Pesto Roasted Cauliflower,https://www.allrecipes.com/parmesan-pesto-roasted-cauliflower-recipe-8730242,"{'quantity': '1', 'unit': 'head', 'name': 'cauliflower'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground pepper to taste'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pesto'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.. In a large bowl, toss the cauliflower florets with olive oil, salt, and pepper until evenly coated. Spread cauliflower evenly in a single layer on the prepared baking sheet. Set the bowl aside.. Roast in the preheated oven until golden and crispy on the edges, 25 to 30 minutes, turning halfway through cooking time.. Transfer hot cauliflower back to the bowl and toss with pesto and Parmesan cheese. Serve immediately.","calories: 123, fat: 10g, carbs: 6g, protein: 4g, servings: 6",https://www.allrecipes.com/thmb/Vayn1jhEsU6ayFN0tryAS7cogTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8730242_Parmesan-Roasted-Cauliflower_France-Cevallos_4x3-2b472b9a493e412984644ba244d583ab.jpg
38 Pesto Recipes For Garden-Fresh Basil,https://www.allrecipes.com/basil-pesto-recipes-8687421,,,,https://www.allrecipes.com/thmb/_4wwT0rq8ebbgtonV6nDj-0rECc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/200283-spinach-basil-pesto-DDMFS-4x3-c09e7fef9eca4f65aaba45b996bdf75c.jpg
Cannellini Bean Salad with Pesto,https://www.allrecipes.com/cannellini-bean-salad-with-pesto-recipe-8662294,"{'quantity': '2', 'unit': 'slices', 'name': 'sourdough or French bread'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper -'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion'}, {'quantity': '1', 'unit': 'small', 'name': 'zucchini'}, {'quantity': '1', 'unit': None, 'name': 'lemon, halved'}, {'quantity': '1', 'unit': 'head', 'name': 'garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh parsley leaves'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans, drained and rinsed'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry or grape tomatoes, halved'}","Preheat an outdoor grill to medium heat (350 to 375 degrees F (175 to 190 degrees C)). Brush bread slices generously with 2 tablespoons oil. Oil grill grates. Arrange bread slices, bell pepper, onion, zucchini, lemon, and garlic, cut sides down, on grill grate over direct heat; cover grill.. Grill bread, turning halfway through, until toasted, about 4 minutes. Grill lemon and garlic until cut sides are lightly charred, 4 to 6 minutes. Grill zucchini, bell pepper, and onion, turning halfway through, until tender and lightly charred, 5 to 6 minutes for zucchini and 8 to 10 minutes for pepper and onion.. When cool enough to handle, squeeze cloves from garlic halves. Rub a few garlic cloves over both sides of toast. Reserve about 3 cloves garlic for the pesto (save remaining garlic for another use). Cut or tear toast into bite-size pieces.. For pesto, pulse parsley, walnuts, Parmesan cheese, salt, reserved 3 cloves garlic, and juice of grilled lemon in a food processor or blender until chopped. With machine running, pour in remaining 1/2 cup oil in a thin stream until mixture is smooth.. Cut bell pepper, onion, and zucchini into bite-sized pieces; add to a large bowl, along with croutons, cannellini beans, and tomatoes. Toss to combine. Arrange salad on a serving platter. Drizzle with pesto; toss to coat before serving.","calories: 292, fat: 12g, carbs: 39g, protein: 12g, servings: 8",https://www.allrecipes.com/thmb/8WfUDoY9c6cDMmuo_nv3mKugRag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8662294-Cannellini-Bean-Salad-with-Pesto-KH-030724_AR6778-4x3-f98545d9cbcc435c9412e00c32754270.jpg
Spinach Basil Pesto,https://www.allrecipes.com/recipe/200283/spinach-basil-pesto/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'baby spinach leaves'}, {'quantity': '¾', 'unit': 'cup', 'name': 'fresh basil leaves'}, {'quantity': '½', 'unit': 'cup', 'name': 'toasted pine nuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'extra-virgin olive oil, divided'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, peeled and quartered'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}","Place spinach, basil, pine nuts, Parmesan cheese, 2 tablespoons olive oil, garlic, lemon juice, salt, lemon zest, and pepper into a food processor; blend until nearly smooth, scraping the sides of the bowl with a spatula as necessary.. Drizzle remaining olive oil into the mixture while processing until smooth.. Enjoy!","calories: 67, fat: 7g, carbs: 1g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/pRhq5ojY/poster.jpg?width=720
Pesto Sauce,https://www.allrecipes.com/recipe/23134/pesto-sauce/,"{'quantity': '3', 'unit': 'cups', 'name': 'fresh basil leaves'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped walnuts'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather all ingredients.. Blend together basil leaves, nuts, garlic, and cheese in a food processor until finely chopped.. Pour in oil slowly with the processor running. Season with salt and pepper.. Season with salt and pepper.. Enjoy!","calories: 199, fat: 21g, carbs: 2g, protein: 2g, servings: 16",https://cdn.jwplayer.com/v2/media/fThmnyWk/poster.jpg?width=720
Pesto Alfredo Sauce,https://www.allrecipes.com/recipe/234354/pesto-alfredo-sauce/,"{'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '¼', 'unit': 'cup', 'name': 'prepared pesto'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Combine half-and-half, pesto, butter, garlic powder, salt, and pepper in a skillet over medium-low heat. Cook and stir until hot, about 8 minutes.","calories: 277, fat: 26g, carbs: 5g, protein: 6g, servings: 3",https://www.allrecipes.com/thmb/4yxAF18Msd1suZEa95HdmuOXus4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3963897-pesto-alfredo-sauce-Jessica-4x3-1-50a5b44dcf834a7b856b73142d247119.jpg
Garlic Scape Pesto,https://www.allrecipes.com/recipe/199868/garlic-scape-pesto/,"{'quantity': '1', 'unit': 'pound', 'name': 'garlic scapes, cut into 2-inch pieces'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Blend garlic scapes, Parmesan cheese, olive oil, lemon juice, and pepper together in a food processor until smooth.","calories: 108, fat: 9g, carbs: 6g, protein: 2g, servings: 28",https://www.allrecipes.com/thmb/gqs-O5UjhmlK-YGoqXsIxgnb2RY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9261594-a06f4a00720c46e393b0e2eb35091eac.jpg
Basil Cream Sauce,https://www.allrecipes.com/recipe/40155/basil-cream-sauce/,"{'quantity': '2', 'unit': 'cups', 'name': 'fresh basil leaves'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'ounces', 'name': 'pine nuts'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pint', 'name': 'light cream'}","Gather all ingredients.. Combine basil and garlic in a food processor.. Pour oil in slowly, with the processor running, until mixture begins to emulsify, about 40 seconds. Add Parmesan, pine nuts, salt, and pepper; blend for 1 minute.. Bring cream to a simmer in a saucepan over low heat.. Pour 1/2 of the hot cream into the food processor, and pulse for 20 seconds until incorporated with basil mixture.. Transfer basil-cream mixture to the saucepan. Stir with cream until well blended, then simmer until thickened, about 5 minutes.","calories: 285, fat: 28g, carbs: 4g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/-45bgsSnfKtialzwaT_pL4cAoGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/40155-basil-cream-sauce-ddmfs-4x3-1341-a90bff27efd9419aa89ad3b383036f5f.jpg
