name,link,ingredients,steps,nutrition,image_url
Homemade Dog Treats (Peanut Butter and Pumpkin),https://www.allrecipes.com/recipe/133123/peanut-butter-and-pumpkin-dog-treats/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'canned pumpkin'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water, or more if necessary (Optional)'}",,"calories: 56, fat: 1g, carbs: 9g, protein: 3g, servings: 25",https://cdn.jwplayer.com/v2/media/V1EkT2d1/poster.jpg?width=720
Doggie Ice Cream Cake,https://www.allrecipes.com/doggie-ice-cream-cake-recipe-8685528,"{'quantity': '1', 'unit': '(32 ounce) container', 'name': 'Greek yogurt'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'all-natural peanut butter'}, {'quantity': '5', 'unit': 'ounces', 'name': 'frozen strawberry and banana blend'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon'}",Mix yogurt and peanut butter together in a large bowl. Add chopped strawberry/banana mix and stir until evenly combined.. Transfer mixture to a silicone baking mold. Sprinkle bacon pieces on top. Freeze 8 hours or overnight.. Empty cake onto a clean work surface and cut into individual servings based on your dog's size. Treat your dog and store remaining pieces in an airtight container in the freezer up to 3 months.,"calories: 164, fat: 11g, carbs: 7g, protein: 10g, servings: 20",https://www.allrecipes.com/thmb/mU-mZN8aN6mgNKmqTBrX4mW1_68=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8685528_Doggie-Ice-Cream-Cake_Nicole-Russell_4x3-c9331e7656da47be8230f4ba5e3cb2d5.jpg
Homemade Dog Food,https://www.allrecipes.com/recipe/140286/homemade-dog-food/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'brown rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '½', 'unit': '(16 ounce) package', 'name': 'frozen broccoli, carrots and cauliflower combination'}","Place ground turkey, water, rice, and rosemary into a large Dutch oven. Stir until ground turkey is broken up and evenly distributed throughout the mixture; bring to a boil over high heat, then reduce heat to low and simmer for 20 minutes.. Add frozen vegetables, and cook for an additional 5 minutes. Remove from heat and cool. Refrigerate until using.","calories: 440, fat: 10g, carbs: 64g, protein: 23g, servings: 5",https://cdn.jwplayer.com/v2/media/TDtThrrH/thumbnails/yD6e6NlB.jpg
Doggie Birthday Cake,https://www.allrecipes.com/recipe/141949/doggie-birthday-cake/,"{'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cooking oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole wheat or white flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 6-cup ring mold or fluted tube pan.. Combine egg, honey, peanut butter, oil, and vanilla in a large bowl; blend well.. Stir in carrots until well-combined.. Sift together flour and baking soda and fold into carrot mixture.. Spoon cake batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 40 minutes.. Let cake cool in the pan for 10 minutes, then turn out onto a wire rack to cool completely.",,https://cdn.jwplayer.com/v2/media/0Y8pD1kU/thumbnails/FhN3cKJX.jpg
Birthday Cake for Your Cat,https://www.allrecipes.com/recipe/265170/birthday-cake-for-your-cat/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tuna, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'shredded mild Cheddar cheese'}, {'quantity': '4', 'unit': '', 'name': 'peeled, cooked shrimp'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Spray 2 muffin tin cups with cooking spray.. Combine tuna, flour, egg white, and Cheddar cheese in a bowl. Fill the prepared muffin cups equally with the mixture.. Bake in the preheated oven for 15 minutes. Let cool in the tin for 5 minutes. Invert onto a wire rack to cool completely.. Garnish cakes with shrimp.","calories: 145, fat: 1g, carbs: 6g, protein: 26g, servings: 2",https://www.allrecipes.com/thmb/lkm0669OrUYil_K9Pz5Xq2dQsW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-265170-birthday-cake-for-your-cat-DDMFS-4x3-Beauty-6aa665121db148d0ae60b741551f8fe5.jpg
Lucky and Rippy's Favorite Dog Food,https://www.allrecipes.com/recipe/139453/lucky-and-rippys-favorite-dog-food/,"{'quantity': '3', 'unit': 'pounds', 'name': 'minced chicken meat'}, {'quantity': '4', 'unit': 'cups', 'name': 'rice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'frozen vegetable blend (no garlic or onions), minced'}, {'quantity': '6 ½', 'unit': 'cups', 'name': 'water'}","Gather all ingredients.. Place chicken, rice, and vegetables into a large saucepan or Dutch oven; stir in water until smooth. Place over medium-high heat and bring to a boil; stir constantly.. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid is absorbed, about 25 minutes. Cool completely before serving; store covered in the refrigerator.",,https://www.allrecipes.com/thmb/WtcFGsrardIK2wK__oUgCOZm86s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/139453-Lucky-and-Rippys-Favorite-Dog-Food-ddmfs-117-4x3-1-b8b49bf3211b40eb9d91590445ca56e2.jpg
Super Simple Sweet Potato Dog Treats,https://www.allrecipes.com/recipe/222671/super-simple-sweet-potato-dog-treats/,"{'quantity': '1', 'unit': '', 'name': 'sweet potato'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened applesauce'}","Preheat the oven to 350 degrees F (175 degrees C).. Prick sweet potato several times with a fork. Cook in the microwave on high until tender, about 6 minutes. Let sit until cool enough to handle.. Cut potato in half and scoop flesh into a bowl; discard skin. Mash potato with a fork or potato masher. Transfer about 1 cup mashed potato to a large bowl, saving any remaining for another use.. Mix whole wheat flour, eggs, and applesauce into sweet potato in the bowl until a dough forms.. Turn dough out onto a well-floured surface and roll dough to about 1/2-inch thickness. Cut out shapes using a cookie cutter or cut dough into strips with a pizza cutter. Arrange cookies on an ungreased baking sheet.. Bake in the preheated oven until crisp, 35 to 45 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.","calories: 43, fat: 1g, carbs: 9g, protein: 2g, servings: 32",https://cdn.jwplayer.com/v2/media/yWFkxp7u/poster.jpg?width=720
Homemade Dog Liver Bites,https://www.allrecipes.com/recipe/265868/homemade-dog-liver-bites/,"{'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'pound', 'name': 'chicken livers, rinsed and trimmed'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil, or more as needed'}","Preheat the oven to 325 degrees F (165 degrees C). Grease a 9-inch square baking dish and line it with parchment paper.. Add oats to the bowl of a food processor; pulse until finely chopped, 10 to 15 seconds. Transfer oats to a large bowl and mix in flour.. Place livers in the food processor and process until smooth, 10 to 15 seconds. Add eggs and blend until well combined, about 10 seconds. Add oil and process until incorporated.. Add liver mixture to oat and flour mixture; stir until well blended. Spoon into the prepared baking dish.. Bake in the preheated oven until firm to the touch but not hard and crispy, 30 to 40 minutes.. Remove from the oven and let cool completely before cutting into 50 pieces.","calories: 25, fat: 1g, carbs: 3g, protein: 1g, servings: 50",https://www.allrecipes.com/thmb/B1HER5I81mLnviMArc2hxkmM49k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8275616-c9cb62705e3f45ee849d423027b22d76.jpg
Homemade Grain-Free Dog Food,https://www.allrecipes.com/recipe/275183/homemade-grain-free-dog-food/,"{'quantity': '4', 'unit': 'medium', 'name': 'carrots, peeled and chopped'}, {'quantity': '2', 'unit': None, 'name': 'apples - peeled, cored, and chopped (make sure seeds are removed)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'pounds', 'name': 'ground chicken'}, {'quantity': '6', 'unit': 'ounces', 'name': 'chicken livers, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sunflower seed oil'}, {'quantity': '4', 'unit': 'cups', 'name': 'baby spinach leaves'}","Preheat the oven to 350 degrees F (175 degrees C).. Place carrots, apples, and water into a pot. Bring to a boil, then cover, reduce the heat to low, and simmer until soft, 10 to 15 minutes.. Meanwhile, crack eggs into a bowl and set aside. Place eggshells onto a baking sheet.. Bake eggshells in the preheated oven until dry, 5 to 7 minutes.. Remove eggshells from the oven and pulverize using a mortar and pestle or a coffee grinder.. Combine ground chicken, chicken livers, reserved eggs, ground eggshells, and sunflower oil in a large skillet. Heat over medium heat, mixing occasionally, until chicken is browned and crumbly and livers are no longer pink, 5 to 7 minutes.. Place spinach on top of meat mixture, then cover with a lid and steam until soft, about 5 minutes.. Mash softened carrots and apples in a bowl with a potato masher and add to meat mixture. Mix until well combined.","calories: 291, fat: 12g, carbs: 7g, protein: 37g, servings: 10",https://www.allrecipes.com/thmb/bgr0EhP1iWwlCxsedW10DAJW6bM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8028950-5dda62255b5d438c8b2542bc488b35a6.jpg
Homemade Dog Treats (Tango's Treats),https://www.allrecipes.com/recipe/279653/homemade-dog-treats/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated apple'}, {'quantity': '½', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}","Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with parchment paper.. Mix carrots, oats, and apple together in a large bowl. Whisk peanut butter and eggs together in a second bowl; pour into the oat mixture and stir until thoroughly combined.. Drop 1 1/2 tablespoonfuls of batter onto the prepared baking sheets. Use your hands to flatten each scoop to a thickness of 1/2 inch.. Bake in the preheated oven until treats are firm to the touch and begin to brown on the bottom, 15 to 20 minutes. Let cool briefly on the baking sheets before removing to a wire rack to cool completely.","calories: 72, fat: 4g, carbs: 6g, protein: 3g, servings: 20",https://www.allrecipes.com/thmb/AD_8vM27JOSNW_g4jPnB20qMKI8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7924253-02f43816ccbb4cdb98d7fd760a379b71.jpg
