name,link,ingredients,steps,nutrition,image_url
4 Recipes for Fermented Pickles,https://www.allrecipes.com/gallery/fermented-pickles/,,,,https://www.allrecipes.com/thmb/rl1hJWjzS2Rq2o3PbqwgJ_jed9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/144055-ukrainian-dill-and-garlic-pickles-allrecipes-magazine-a03152f254c54961b846ec981ae4198f.jpg
15 Spicy Pickle Recipes,https://www.allrecipes.com/gallery/spicy-pickles/,,,,https://www.allrecipes.com/thmb/0ta941OS9PcNLo0VhV6UPUOW3L0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4330449-pickled-garlic-jalapeno-peppers-photo-by-buckwheat-queen-edited-c2bbcb9e8bef4a06beeef9361bf927ac.jpg
How to Make Homemade Pickles,https://www.allrecipes.com/article/how-to-make-pickles/,,,,https://cdn.jwplayer.com/v2/media/AxhLkyxC/poster.jpg?width=720
12 Types of Pickles You Need to Know,https://www.allrecipes.com/article/types-of-pickles/,,,,https://www.allrecipes.com/thmb/Fsuga0GU44t8aIxagPig3PhGOCo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/probiotics-pickles-650-41494109ee7845d8aed550c3587fbe9d.jpg
Quick-Pickled Carrots and Radishes,https://www.allrecipes.com/quick-pickled-carrots-and-radishes-recipe-8741725,"{'quantity': '1', 'unit': 'pound', 'name': 'carrots, peeled and cut into thin sticks'}, {'quantity': '1', 'unit': 'pound', 'name': 'radishes, trimmed and sliced'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cider vinegar'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}","Put vegetables in 2 (1-quart) screw-top jars (carrots in one; radishes in the other).. Combine vinegar, water, sugar, and salt in a medium saucepan; bring to a simmer over medium heat, stirring to dissolve salt and sugar. Remove from heat and pour over vegetables in the jars, pressing down to fully submerge (each jar should get about half the liquid). Screw on lids and shake to combine. Chill, covered, for at least 4 hours (and up to 3 weeks).","calories: 17, fat: 0g, carbs: 3g, protein: 0g, servings: 24",https://www.allrecipes.com/thmb/Gq-dlcBrw_QDk86B2v6TcRjMrpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741725-Quick-Pickled-Carrots-and-Radishes-Allrecipes-Magazine-4x3-01c6e0d3b4d149e695214e8d135cd2ea.jpg
Spicy Pickled Cucumbers,https://www.allrecipes.com/spicy-pickled-cucumbers-recipe-8700794,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white vinegar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '7', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'peppercorns'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'pickling spice'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'mustard seeds'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'fresh dill to taste'}","Rinse cucumbers and pat dry. Trim off the ends, then slice in half. Slice each half into spears. Place spears in a clean, wide mouth mason-type canning jar.. Add water, vinegar, and honey to a saucepan. Add about half the garlic pieces, then drop the remaining garlic into the jar with cucumber spears.. Using a mortar and pestle, grind peppercorns, pickling spice, mustard seeds, and pepper flakes together. Sprinkle about half the mixture into the saucepan, then add remaining mixture to cucumber spears. Add as much fresh dill fronds as desired to the saucepan and also drop some into the pickle jar.. Add salt to the saucepan. Heat on low, stirring constantly, until the honey has melted. Pour over cucumber spears, filling jar to within 1/8-inch of rim, then close the lid on tightly. Refrigerate for 1 week before using.","calories: 56, fat: 0g, carbs: 13g, protein: 0g, servings: 6",https://www.allrecipes.com/thmb/gLu2Dy7MjKSZC_K8bx9xEnk7Lq0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8700794_Spicy-Pickled-Cucumbers_LaDonna-Langwell_4x3-9bdb8dc47b3a432dbf301d02233b4cb9.jpg
Crunchy Quick Refrigerator Dill Pickles,https://www.allrecipes.com/crunchy-quick-refrigerator-dill-pickles-recipe-8664645,"{'quantity': '8', 'unit': None, 'name': 'salad or pickling cucumbers'}, {'quantity': '2', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '5', 'unit': 'sprigs', 'name': 'fresh dill'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'peppercorns'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white vinegar'}","Place half of cucumber slices in a large jar. Add garlic, dill, and peppercorns. Top with remaining cucumbers until the jar is filled tightly.. Bring water, salt, and vinegar to a boil in a small saucepan, stirring occasionally, until salt is dissolved. Remove from heat and let cool 10 minutes. Pour warm mixture over cucumbers and seal jar. Refrigerate at least one day and up to 4 weeks.","calories: 4, fat: 0g, carbs: 1g, protein: 0g, servings: 18",https://cdn.jwplayer.com/v2/media/mtiWobAD/thumbnails/l5NAbGQX.jpg
Pickled Banana Peppers,https://www.allrecipes.com/pickled-banana-peppers-recipe-8664623,"{'quantity': '10', 'unit': None, 'name': 'banana peppers'}, {'quantity': '1', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'slices', 'name': 'jalapenos'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}","Pack peppers, garlic, and jalapenos tightly in a glass jar.. Bring vinegar, water, and salt to a boil, stirring occasionally, until salt is dissolved. Remove from heat and let stand 10 minutes. Pour warm mixture over peppers and seal jar. Refrigerate 12 to 24 hours before using and up to 4 weeks.","calories: 10, fat: 0g, carbs: 1g, protein: 0g, servings: 18",https://www.allrecipes.com/thmb/TSkS600rtZ4zTELDoCHs8_zKAjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8664623_Pickled-Banana-Peppers_Dotdash-Meredith-Food-Studios_4x3-093067f70cd742b989487eae946f1da7.jpg
Easy Fermented Pickled Veggies,https://www.allrecipes.com/easy-fermented-pickled-veggies-recipe-8658149,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '3 3/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'VEGETABLES)'}, {'quantity': '1', 'unit': 'bunch', 'name': 'HERBS)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'peppercorns'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic,'}","To sanitize jar, put a 1-quart wide-mouthed canning jar in a 6- to 8-quart pot; cover with tap water. (You could also use multiple smaller wide-mouthed canning jars.) Bring to a boil; boil 10 minutes. Using tongs, carefully remove jar from pot, draining excess water; let jar cool slightly. Meanwhile, for brine, stir together filtered water and salt in a 1-quart measuring cup until salt is dissolved.. Add radishes (or other VEGETABLES), mint (or other HERBS), peppercorns (or other KICK), and garlic to jar. Veggies can be packed tightly; they will shrink and soften as they pickle. Fill jar with brine; you may have brine left over. Add a fermenting weight or an inverted, sanitized plastic lid to keep vegetables submerged.. Cover jar with a kitchen towel, securing with a rubber band. Let stand at room temperature for  at least 24 hours or up to 3 days. You’ll start to see bubbles forming. The vegetables will become more tart and the brine will become cloudier the longer the pickles stand. Remove fermenting weight and screw on metal lid. Chill up to 3 weeks.","calories: 7, fat: 0g, carbs: 2g, protein: 0g, servings: 16",https://www.allrecipes.com/thmb/m7RFm6c5xvka5ssumYeJXaCM0dA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8658149-Easy-Fermented-Pickled-Veggies-GOLDMAN_ALR_Summer24_HealthySpins_R318016_4x3-3366a3197eba4dee88f3df4b008ca62e.jpg
Dill Pickle Meatballs,https://www.allrecipes.com/dill-pickle-meatballs-recipe-8648374,"{'quantity': None, 'unit': None, 'name': 'cooking Spray'}, {'quantity': '1', 'unit': 'pound', 'name': '80/20 ground beef'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'round buttery cracker'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'finely chopped dill pickles'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'chopped fresh mixed herbs'}, {'quantity': '1 1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain whole milk yogurt'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttered rice,'}",,,https://cdn.jwplayer.com/v2/media/jfFsshGj/thumbnails/LXGPNXrP.jpg
