name,link,ingredients,steps,nutrition,image_url
13 Make-Ahead Picnic Desserts That'll Save You Time,https://www.allrecipes.com/make-ahead-picnic-dessert-recipes-8682212,,,,https://www.allrecipes.com/thmb/C4RVu0rnbLkr_jXZ4x9NdamgFWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15585-scotcharoos-DDMFS-4x3-df79c0b1d97a43fbb9dbaa681c57d537.jpg
Cheesecake in a Jar,https://www.allrecipes.com/recipe/247239/cheesecake-in-a-jar/,"{'quantity': '6', 'unit': None, 'name': 'pecan shortbread cookies (such as Keebler Sandies), finely crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '6', 'unit': '', 'name': '(1/2 pint) canning jars with lids'}, {'quantity': '12', 'unit': 'ounces', 'name': 'sliced fresh strawberries'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream, whipped'}","Mix cookie crumbs, butter, and 2 tablespoons sugar in a bowl until combined. Divide mixture evenly among jars, about 3 1/2 tablespoons each, and gently press (do not pack) into bottoms.. Halve 6 strawberries for garnish, and set aside. Chop remaining strawberries.. Beat cream cheese, 1/2 cup sugar, and lemon juice in bowl with an electric mixer at medium speed until smooth. Fold in whipped cream and chopped berries; divide evenly among jars, about 1/2 cup each. Top each with a 2 berry halves and cover with lids. Chill at least 2 hours and up to 3 days.","calories: 413, fat: 29g, carbs: 36g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/L5oT73YA/poster.jpg?width=720
Delicious Egg Salad,https://www.allrecipes.com/recipe/147103/delicious-egg-salad-for-sandwiches/,"{'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared yellow mustard'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 333, fat: 30g, carbs: 2g, protein: 13g, servings: 4",https://cdn.jwplayer.com/v2/media/4vWyE7uq/thumbnails/3EZe6m9l.jpg
Best Brownies,https://www.allrecipes.com/recipe/10549/best-brownies/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8-inch square pan.. Melt 1/2 cup butter in a large saucepan. Remove from heat, and stir in sugar, eggs, and 1 teaspoon vanilla. Beat in 1/3 cup cocoa, flour, salt, and baking powder. Spread batter into prepared pan.. Bake in the preheated oven until top is dry and edges have started to pull away from the sides of the pan, about 25 to 30 minutes. Let cool briefly before frosting.. To make the frosting: Combine softened butter, confectioners' sugar, 3 tablespoons cocoa, honey, and 1 teaspoon vanilla extract in a bowl. Stir until smooth. Frost brownies while they are still warm.","calories: 183, fat: 9g, carbs: 26g, protein: 2g, servings: 16",https://cdn.jwplayer.com/v2/media/eVUOwZA7/thumbnails/2klxakff.jpg
Old-Fashioned Potato Salad,https://www.allrecipes.com/recipe/16729/old-fashioned-potato-salad/,"{'quantity': '5', 'unit': 'medium', 'name': 'potatoes'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'sweet pickle relish'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared mustard'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'celery salt'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}",,"calories: 206, fat: 8g, carbs: 31g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/7CKlIHX3/poster.jpg?width=720
Ma's Frozen Pickles,https://www.allrecipes.com/recipe/254493/mas-frozen-pickles/,"{'quantity': '8', 'unit': 'cups', 'name': 'peeled and sliced cucumbers'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white vinegar'}","Combine cucumbers, onion, and salt in a bowl filled with water. Refrigerate until vegetables are softened, about 2 hours; drain.. Combine sugar and vinegar in a saucepan; bring to a boil. Remove from heat; cool to room temperature. Pour liquid over cucumber mixture. Freeze until frozen, 1 to 2 hours.","calories: 77, carbs: 20g, protein: 0g, servings: 16",https://www.allrecipes.com/thmb/HKJdB_RcuDbZ34q2ignDzU_P8co=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8189438-ef6d2360aab44835bd2b8f409bf6e46b.jpg
Chex Muddy Buddies,https://www.allrecipes.com/recipe/229544/chex-muddy-buddies/,"{'quantity': '3', 'unit': 'cups', 'name': 'Rice Chex cereal'}, {'quantity': '3', 'unit': 'cups', 'name': 'Corn Chex cereal'}, {'quantity': '3', 'unit': 'cups', 'name': 'Chocolate Chex cereal'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter or margarine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'powdered sugar'}",,"calories: 206, fat: 9g, carbs: 31g, protein: 3g, servings: 18",https://cdn.jwplayer.com/v2/media/7O5WvW4R/thumbnails/0DoDqGzy.jpg
Chef John's Buttermilk Fried Chicken,https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,"{'quantity': '1', 'unit': '(3 1/2) pound', 'name': 'chicken, cut into 8 pieces'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried sage'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '2 ½', 'unit': 'quarts', 'name': 'peanut oil for frying'}",,"calories: 1262, fat: 85g, carbs: 56g, protein: 66g, servings: 4",https://cdn.jwplayer.com/v2/media/w3Tc7LxP/poster.jpg?width=720
Triple-Dipped Fried Chicken,https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,"{'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying'}, {'quantity': '4 ⅓', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'beer, or as needed'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken, cut into pieces'}",,"calories: 661, fat: 19g, carbs: 73g, protein: 42g, servings: 6",https://cdn.jwplayer.com/v2/media/KU410FJr/thumbnails/2fgo8gZh.jpg
Pasta Salad with Homemade Dressing,https://www.allrecipes.com/recipe/73963/pasta-salad-with-homemade-dressing/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'uncooked tri-color rotini pasta'}, {'quantity': '6', 'unit': 'ounces', 'name': 'pepperoni sausage, diced'}, {'quantity': '6', 'unit': 'ounces', 'name': 'provolone cheese, cubed'}, {'quantity': '1', 'unit': 'medium', 'name': 'red onion, very thinly sliced and cut into 1-inch pieces'}, {'quantity': '1', 'unit': 'small', 'name': 'cucumber, thinly sliced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'pitted black olives, drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced fresh parsley'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground mustard seed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 443, fat: 32g, carbs: 25g, protein: 16g, servings: 8",https://cdn.jwplayer.com/v2/media/IaFEVVyY/poster.jpg?width=720
