name,link,ingredients,steps,nutrition,image_url
Rough Puff Pastry,https://www.allrecipes.com/rough-puff-pastry-recipe-8647014,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold unsalted butter, cubed'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}",,"calories: 317, fat: 23g, carbs: 24g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/Q_AQmmF7A_zqqygEJIpfEGbFdB0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/rough-puff-ddmfs-3x4-131-54dfcc666b39480fb9cc27bdd1e45a6a.jpg
Shortcrust Pastry (Pâte Brisée),https://www.allrecipes.com/shortcrust-pastry-pate-brisee-recipe-7565344,"{'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter, but into pieces'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ice water, or more as needed'}",,"calories: 159, fat: 12g, carbs: 12g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/o_3HDsww8Nh_KrR-EnC1799tvsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7565344-shortcrust-pastry-ddmfs-3x4-5283-b94d2f2c3e7645ab9722debe5f18ee98.jpg
Pâte Sucrée,https://www.allrecipes.com/recipe/8494742/pate-sucree/,"{'quantity': '2', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '¾', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold unsalted butter, cut into 1/2-inch pieces'}","Whisk together egg yolks, cream, and vanilla in a small bowl until thoroughly combined; set aside. Process flour, sugar, and salt in a food processor until combined, about 3 seconds.. Add butter and pulse until a coarse meal forms, about 12 pulses. Add egg mixture and pulse until mixture starts to clump together, 10 to 12 pulses. Dough will be crumbly but should hold together when squeezed.. Transfer dough to a clean work surface, and press into a single mass. Divide dough evenly into 2 portions. Pat each half into a 1-inch-thick disk. Tightly wrap each dough disk in plastic wrap. Chill dough until firm, at least 2 hours or up to 24 hours.. Place 1 dough disk on a lightly floured work surface. Let dough sit at room temperature 10 minutes to soften. Lightly grease removable bottom only of a 9 1/2-inch tart pan with butter. Roll dough to a 13-inch circle, dusting dough with flour as needed to prevent sticking. Brush off excess flour from dough.. Carefully roll dough around rolling pin, then unroll over the prepared pan. Press dough into the bottom and up the sides of the pan, trimming any excess dough.. Alternatively, press dough into pan without rolling. Patch any cracks with excess dough.. Prick crust all over with a fork. Chill, loosely covered with plastic wrap, 1 hour.. While tart shell chills, preheat oven to 350 degrees F (175 degrees C).. Line crust with parchment and fill with pie weights or dried beans. Bake in the preheated oven until crust is golden around the edges, 15 to 20 minutes.. Remove weights and parchment. Return to the oven and continue to bake until the bottom of crust is golden brown and looks dry, 10 to 15 minutes.. Transfer tart shell to a wire rack and let cool completely, about 40 minutes.","calories: 324, fat: 18g, carbs: 37g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/ZLS62ITd3mvlv_68x8-ztcj5_Uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/pate-sucree-ddmfs-2x3-0323-3c2f1d8a387d47af8295854d0dfb323a.jpg
No-Fail Pie Crust,https://www.allrecipes.com/recipe/15174/no-fail-pie-crust-i/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'distilled white vinegar'}","Whisk flour and salt together in a large bowl. Cut in shortening until it resembles coarse crumbs.. Mix cold water, egg, and vinegar together in a separate bowl. Add to flour mixture and blend with a fork until a ball of dough forms. Divide into three equal balls; flatten each ball into a disk. Wrap disks in plastic wrap and refrigerate until ready to use.","calories: 126, fat: 9g, carbs: 10g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/sNIPvL_9_KaqTpi7xszc85TA_2I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15174_No-Fail-Pie-Crust-I_naples34102_5762688_original-4x3-1-9519dcddf9db47658eb8979031ad72d5.jpg
Butter Flaky Pie Crust,https://www.allrecipes.com/recipe/24094/butter-flaky-pie-crust/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, diced and then chilled'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ice cold water, or as needed'}",,"calories: 173, fat: 12g, carbs: 15g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/7tgRRnWY/thumbnails/gdBrH6gT.jpg
Easy Homemade Pie Crust,https://www.allrecipes.com/recipe/220996/easy-homemade-pie-crust/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter - chilled, cut into tablespoon-size pieces'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'ice water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}",,"calories: 346, fat: 23g, carbs: 30g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/91VeqgQ9/poster.jpg?width=720
Best Ever Pie Crust,https://www.allrecipes.com/recipe/12111/best-ever-pie-crust/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening, cut into small pieces and frozen for 30 minutes'}, {'quantity': '½', 'unit': 'cup', 'name': 'ice-cold water, or as needed'}",,"calories: 170, fat: 13g, carbs: 12g, protein: 2g, servings: 16",https://cdn.jwplayer.com/v2/media/SmLWqlyY/thumbnails/31KMJJvT.jpg
Crumb Topping for Pies,https://www.allrecipes.com/recipe/88490/crumb-topping-for-pies/,"{'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cold butter, diced'}",Gather the ingredients.. Mix sugar and flour together in a medium bowl. Cut in cold butter with 2 knives or pastry blender until the topping is crumbly.. Sprinkle crumble mixture evenly over fruit pie filling before baking.,"calories: 849, fat: 24g, carbs: 156g, protein: 7g, servings: 2",https://www.allrecipes.com/thmb/o715CB8hmRN5XwsGIQbiWQ32nXw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-88490-crumb-topping-for-pies-ddmfs_7895-cc135adf59e24ccfbeb7cc425a7146cf.jpg
Holiday Gingersnap Pie Crust,https://www.allrecipes.com/recipe/240169/holiday-ginger-snap-crust/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'gingersnap cookies'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}",,"calories: 365, fat: 18g, carbs: 49g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/Kzq6i5yx0bZjcMnZil-Sy1aLttg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/240169-holiday-ginger-snap-crust-VAT-hero-4x3-1-9fb7f3b1bd3840dabb321a5592384be0.jpg
Classic Lard Two-Crust Pie Pastry,https://www.allrecipes.com/recipe/234976/classic-lard-two-crust-pie-pastry/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'lard'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'ice water, or as needed'}","Whisk flour and salt together in a large bowl. Cut in lard with a knife or pastry blender until the mixture resembles coarse crumbs.. Sprinkle in water, 1 tablespoon at a time, blending gently with a fork or pastry blender until all flour is moistened and dough almost cleans the sides of the bowl.. Divide the dough in half and shape flattened rounds. Wrap in plastic and refrigerate for at least 1 hour.","calories: 268, fat: 17g, carbs: 24g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/xCN5jgxgb4bVTQslcIA8uqwyn2k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1734366-341164ff08d242abb0433f77e7c7faf4.jpg
