name,link,ingredients,steps,nutrition,image_url
Grandma's Polish Perogies,https://www.allrecipes.com/recipe/84706/grandmas-polish-perogies/,"{'quantity': '4 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '8', 'unit': '', 'name': 'baking potatoes, peeled and cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'processed cheese sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'onion salt, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather all ingredients.. Prepare the dough: Stir flour and salt together in a large bowl. Whisk sour cream, eggs, egg yolk, butter, and oil in a separate bowl. Stir wet ingredients into flour until well blended and dough comes together. Cover the bowl with a towel, and let stand for 15 to 20 minutes.. Meanwhile, prepare the filling: Place potatoes into a pot, and fill with enough water to cover. Bring to a boil, and cook until tender, about 15 minutes.. Drain potatoes, and mash with shredded cheese and cheese sauce while still hot. Season with onion salt, salt, and pepper. Set aside to cool.. Separate pierogi dough into two balls. Roll out one ball at a time on a lightly floured surface until it is thin enough to work with, but not too thin so that it tears, between 1/8- and 1/4-inch thick. Cut into circles using a cookie cutter, pierogi cutter, or a glass, 3- to 4-inches in diameter.. Assemble the perogies: Brush a little water around the edges of the circles, and spoon some filling into the center.. Fold the circles over into half-circles, and press to seal the edges with fingers, or use a fork for crimped edges.. Place perogies on a cookie sheet, and freeze. Once frozen, transfer to freezer storage bags or containers.. To cook the perogies: Bring a large pot of lightly salted water to a boil. Lower perogies into the water in batches. Cook until they float to the top, about 5 minutes. Do not boil too long, or they will be soggy. Remove with a slotted spoon.. Serve and enjoy!","calories: 281, fat: 11g, carbs: 38g, protein: 8g, servings: 20",https://cdn.jwplayer.com/v2/media/tSLJmJMQ/thumbnails/3sGtFKcc.jpg
Perogies,https://www.allrecipes.com/recipe/23058/perogies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '5', 'unit': 'pounds', 'name': 'baking potatoes'}, {'quantity': '1', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '¼', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(32 ounce) jar', 'name': 'sauerkraut - drained, rinsed and minced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sour cream'}","Make dough: Combine flour, cold water, beaten egg, and salt in a bowl; mix until a smooth dough forms. Cover the bowl and set aside.. Make potato filling: Place potatoes in a large pot. Add water to cover, bring to a boil, and cook until tender, 25 to 35 minutes. Drain and mash in the pot until smooth.. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble and stir into mashed potatoes. Stir in cheese; season with salt and pepper. Set aside.. Make sauerkraut filling: Place bacon in the skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain, crumble, and place in a medium bowl. Stir in sauerkraut, then sour cream. Mix well.. Roll dough out on a floured surface to 1/8- to 1/4-inch thickness. Cut out 3-inch circles with a cookie cutter or an upside-down drinking glass. Place a spoonful of potato or sauerkraut filling in the center of each circle and fold over, pinching edges together to seal.. Bring a large pot of lightly salted water to a boil; drop perogies in boiling water and cook until they float, 4 to 5 minutes.","calories: 376, fat: 20g, carbs: 40g, protein: 11g, servings: 16",https://www.allrecipes.com/thmb/JIIXE-5jM5E7_MO00v3dz56xiIc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/182297-92dcf582d89c491d82b1775e5b481653.jpg
Pierogi (Polish Dumplings),https://www.allrecipes.com/recipe/109914/pierogi-polish-dumplings/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sauerkraut, drained and minced'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'cold mashed potatoes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'sour cream'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Gather all ingredients.. Make sauerkraut filling: Melt butter in a skillet over medium heat. Cook and stir onion in hot butter until translucent, about 5 minutes. Add sauerkraut and cook, stirring occasionally, for 5 more minutes. Season with salt and pepper, then remove to a plate to cool.. Make potato filling: Melt butter in the same skillet over medium heat. Cook and stir onion in hot butter until translucent, about 5 minutes. Stir in mashed potatoes, salt, and white pepper. Remove from heat.. Make dough: Beat together sour cream and eggs in a large bowl until smooth. Sift flour, baking powder, and salt into a separate bowl; stir into sour cream mixture until dough comes together.. Knead dough on a lightly floured surface until firm and smooth.. Divide dough in half, then roll out one half to 1/8-inch thickness. Cut into 3-inch rounds using a biscuit cutter. Place a small spoonful of potato filling into the center of each round.. Moisten edges with water, fold over, and press with a fork to seal. Roll and fill remaining dough half with sauerkraut filling.. Bring a large pot of lightly salted water to a boil. Add pierogies in batches to boiling water and cook until they float to the top, 3 to 5 minutes. Remove with a slotted spoon.. Enjoy!","calories: 253, fat: 11g, carbs: 33g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/wPs6Vg1b/poster.jpg?width=720
Pierogi Dough,https://www.allrecipes.com/recipe/12063/pierogi-dough/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}","In a large bowl mix together the flour, salt, and baking powder. Make a well in the center.. In a separate bowl mix together the vegetable oil, warm water, and beaten egg. Pour into the well of the dry ingredients. Knead dough for 8 to 10 minutes.. Cover dough and let rest for 2 hours. Roll out and fill as desired.","calories: 66, fat: 1g, carbs: 13g, protein: 2g, servings: 30",https://www.allrecipes.com/thmb/b1MMP5WalywwLcPffvMckaB4p9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12063pierogi-doughfabeveryday4x3-3ec26e6629334352ba2090f62df7501f.jpg
Ukrainian Olha's Varenyky (Perogies),https://www.allrecipes.com/recipe/31778/ukrainian-olhas-varenyky-perogies/,"{'quantity': '5', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '6', 'unit': '', 'name': 'medium potatoes, cut into small cubes'}, {'quantity': '2', 'unit': 'large', 'name': 'onions, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'sauerkraut'}, {'quantity': '2', 'unit': 'large', 'name': 'onions, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'finely shredded green cabbage'}, {'quantity': '1', 'unit': 'cube', 'name': 'chicken bouillon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pepper'}","To make the dough, combine the flour and salt in a large bowl. Make a well in the center and add the soft butter and evaporated milk; stir gently until all the liquid is absorbed. Add water only as needed, kneading continuously until dough sticks together. Place dough into a greased bowl, turn to coat, and let rest for 30 minutes.. To make the potato filling, place potatoes into a saucepan with water to cover. Bring to a boil and cook until tender, about 10 minutes. Drain and set aside. Melt 1/2 cup butter in a medium skillet, over medium heat. Saute onions in butter until tender. Mix the onions into the potatoes along with the cheese and season with salt and pepper to taste.. To make the sauerkraut and cabbage filling, pour the drained sauerkraut into a large saucepan. In a medium skillet, saute 2 onions in 1/2 cup butter until tender, about 5 minutes. Stir the onions into the sauerkraut along with the cabbage and chicken bouillon cube. Cook over low heat until liquid evaporates. Season with pepper and remove from heat. Allow the mixture to cool, then run through a grinder or food processor.. Remove the dough from the bowl onto a lightly floured surface. Roll out to 1/8 inch in thickness. Cut into 3 inch circles. Place one tablespoon of filling onto one side of the circle. Fold the other half over and press the edges to seal. Place finished dumplings onto a floured tray and keep covered.. Bring a large pot of water to a boil. Drop 10 or so dumplings into the water at a time. Cook for 3 to 5 minutes, then remove to a colander to drain. Place finished dumplings onto a lightly oiled dish and turn them to coat with a thin layer. This will keep them from sticking together. Serve dumplings with fried onions and sour cream. Cooled dumplings also can be fried in oil and butter for a nice crispy surface.","calories: 636, fat: 28g, carbs: 82g, protein: 16g, servings: 10",https://www.allrecipes.com/thmb/1fqGwta_obobciMce9RyDu2HffI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7966773-89bedf3745284bbe9fc9a968923c225c.jpg
Lazy Man's Pierogi,https://www.allrecipes.com/recipe/38389/lazy-mans-pierogi/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'rotelle pasta'}, {'quantity': None, 'unit': None, 'name': 'bacon, chopped'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '1', 'unit': 'tablespoon unsalted', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'mushrooms, quartered'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'sauerkraut, rinsed and drained'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in rotelle and return to a boil. Cook rotelle uncovered, stirring occasionally, until tender yet firm to the bite, 8 to 10 minutes; drain.. Preheat the oven to 350 degrees F (175 degrees C).. Cook bacon in a large, deep skillet over medium-high heat until evenly browned; transfer to a paper-towel-lined plate. Stir onions into skillet; cook until translucent.. Melt butter in a separate pan. Add mushrooms; sauté.. Combine rotelle, bacon, onions, mushrooms, soup, and sauerkraut; season with salt and pepper. Pour into a 9x13-inch baking dish.. Bake in the preheated oven for 45 minutes.","calories: 356, fat: 11g, carbs: 52g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/dV974HSfPt0HasaHQ9fk_Zly0QM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8197552-660313f6e95e4fa8aa48112ea8b55d4f.jpg
Potato and Cheese Pierogi,https://www.allrecipes.com/recipe/23706/potato-and-cheese-pierogi/,"{'quantity': '6', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'water as needed'}, {'quantity': '5', 'unit': 'pounds', 'name': 'potatoes, peeled'}, {'quantity': '1', 'unit': 'pound', 'name': 'processed cheese, cubed'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'onion salt to taste'}","Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes; drain.. Combine flour, eggs and salt. Mix in a little water at a time until dough is somewhat stiff. Roll dough in small sections about 1/4 inch thick. Using a large biscuit cutter or drinking glass, make circle cuts.. To make filling: Mix together potatoes, cheese, salt, pepper and onion salt. Fill each with 1 to 2 tablespoons of the potato mixture, fold over and seal edges. To cook, bring a large pot of water to boil, carefully dropping in one at a time; stir once. They are done when they float to the top.","calories: 97, fat: 2g, carbs: 15g, protein: 4g, servings: 60",https://cdn.jwplayer.com/v2/media/8ueW80LZ/poster.jpg?width=720
Cottage Cheese Perogies,https://www.allrecipes.com/recipe/72791/cottage-cheese-perogies/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'dry-curd cottage cheese'}, {'quantity': '2', 'unit': None, 'name': 'egg yolks'}, {'quantity': '1 ¾', 'unit': 'teaspoons', 'name': 'salt (Optional), divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}","Combine cottage cheese, egg yolks, and 3/4 teaspoon salt in a medium bowl; set aside.. Whisk flour, remaining 1 teaspoon salt, and baking powder together in a separate bowl. Add cold water and oil; mix or knead into a smooth dough.. Roll dough out on a lightly floured surface; cut into 3-inch circles using a glass, can, or cookie cutter. Place a spoonful of cottage cheese filling onto each circle. Fold in half and pinch edges together to seal.. Bring a large pot of lightly salted water to a boil. Carefully drop pierogies into water; cook until they float, 3 to 4 minutes. Remove from water with a slotted spoon; place on a cooling rack set over a baking sheet to drain.","calories: 131, fat: 3g, carbs: 18g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/shqQkBJtqoZOe3YyJfdqdaevWm0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/851389-ed75d535c5f3478da4e6211046603e46.jpg
Cheater Pierogi,https://www.allrecipes.com/recipe/229273/cheater-pierogi/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '4', 'unit': 'slices', 'name': 'bacon, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon drippings'}, {'quantity': '½', 'unit': '', 'name': 'yellow onion, diced'}, {'quantity': '5', 'unit': 'medium', 'name': 'Yukon Gold potatoes, peeled and halved'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': '', 'name': 'large egg'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'farmer’s cheese, or any cheese blend'}, {'quantity': '1', 'unit': '', 'name': 'large egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '50', 'unit': '', 'name': 'wonton wrappers, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh chives'}","Melt butter in a large skillet over medium heat. Add chopped bacon and onions; cook and stir until the bacon is crisp and the onions are browned, 6 to 8 minutes. Remove bacon and onions to a small dish, reserving about 2 tablespoons of the bacon fat for frying the pierogi.. Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain and mash until smooth. Allow to cool for 10 minutes. Season with salt, black pepper, and cayenne pepper. Stir in 1 egg and farmer's cheese. Cover and refrigerate until chilled, about 30 minutes.. Beat 1 egg with 1 tablespoon water in a bowl for the egg wash.. Place 2 to 3 wonton wrappers at a time on a lightly floured work surface. Brush the edges lightly with the egg wash. Place about 2 tablespoons of filling in the center of each wrapper. Fold each pierogi in half and lightly press the edges together to seal.. Bring a pot of salted water to a boil and cook pierogi in the boiling water until they float, 2 to 3 minutes. Drain.. Transfer pierogi to the skillet with reserved bacon drippings in batches and cook over medium heat until lightly browned, about 2 minutes per side. Transfer to a bowl, toss with the bacon and onions, and serve garnished with sour cream and chives.","calories: 499, fat: 28g, carbs: 38g, protein: 23g, servings: 10",https://cdn.jwplayer.com/v2/media/ljGLVL7F/poster.jpg?width=720
Chef John's Potato and Cheese Pierogi,https://www.allrecipes.com/recipe/8314374/chef-johns-potato-and-cheese-pierogi/,"{'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (120 to 130 degrees F/50 degrees C)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'warm water (120 to 130 degrees F/50 degrees C)'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, peeled and quartered'}, {'quantity': '16', 'unit': 'ounces', 'name': ""farmer's cheese""}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream, or to taste (Optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'snipped fresh chives, or to taste (Optional)'}",,"calories: 739, fat: 42g, carbs: 68g, protein: 23g, servings: 7",https://cdn.jwplayer.com/v2/media/WLsXE3Me/poster.jpg?width=720
