name,link,ingredients,steps,nutrition,image_url
10 Easy Tips to Make the Best Pies,https://www.allrecipes.com/article/top-10-pie-tips/,,,,https://cdn.jwplayer.com/v2/media/JugnXKZH/poster.jpg?width=720
Our 15 Best Apple Pie Recipes of All Time Are Perfect for Any Season,https://www.allrecipes.com/gallery/best-apple-pie-recipes/,,,,https://www.allrecipes.com/thmb/sOvrAgj79pFX5lMp_7N_mfdJKJs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/965259OldFashionedApplePie4x3-683dca9c4e2843beb91dc5463c784cbf.jpg
Buttermilk Pie,https://www.allrecipes.com/recipe/13802/buttermilk-pie/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'freshly grated nutmeg'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked deep dish pie crust'}",,"calories: 413, fat: 21g, carbs: 52g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/SMLmDGjG/thumbnails/UsSECcu2.jpg
22 Traditional Thanksgiving Pies That Never Disappoint,https://www.allrecipes.com/gallery/traditional-thanksgiving-pies/,,,,https://www.allrecipes.com/thmb/z1Mb99SdQnBiKQyLqMimCgFjuKA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Sweet-Potato-Pie-I-Photo-by-Holiday-Baker_2-fb7ffa0d2686424db0b62447700b6d66.jpg
How to Blind Bake a Pie Crust,https://www.allrecipes.com/article/how-to-bake-a-pie-crust/,,,,https://www.allrecipes.com/thmb/HI0soCdsCwISBXkb8pd6oHFh5Uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/blindbaking-34460709c5be43d6bce2cc5103f551ad.png
How to Make a Lattice Pie Crust Step by Step,https://www.allrecipes.com/article/how-to-make-a-lattice-pie-crust-the-easy-way/,,,,https://cdn.jwplayer.com/v2/media/dMUoUhqM/poster.jpg?width=720
No recipe name found,https://www.allrecipes.com/recipes/16180/holidays-and-events/thanksgiving/desserts/pies/,,,,https://www.allrecipes.com/thmb/WYa3GVzmjqlQQHgbHN6octeNyeg=/1500x750/filters:no_upscale():max_bytes(150000):strip_icc()/77135-3914264ab3b547e0bed0f0e1c2d40b92.jpg
35 Fall Pies to Bake This Season,https://www.allrecipes.com/gallery/fall-pies/,,,,https://www.allrecipes.com/thmb/I_OXbRZEBWaIOh9t6YodyyJGBmc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/736203ApplePiebyGrandmaOple4x3photobyHolidayBaker-e41ebad7a5064daaa7587fa14c9e7877.jpg
How to Pretty Up Your Pie with Pastry Cutouts,https://www.allrecipes.com/article/how-to-pretty-up-your-pie-with-pastry-cutouts/,,,,https://www.allrecipes.com/thmb/3xVPH96mLS8y2zT8idFYzw5rf6s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/pastry-cutouts-photo-by-vanessa-greaves-bdb0b126b3b146c3b9f9ebdf178e8ac8.jpg
Pecan Pie Upside Down Cake,https://www.allrecipes.com/pecan-pie-upside-down-cake-recipe-8734473,"{'quantity': None, 'unit': None, 'name': 'nonstick cooking spray'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla paste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'pecan halves'}, {'quantity': '1', 'unit': '(15.5 ounce) box', 'name': 'butter'}, {'quantity': '1', 'unit': '(3.5 ounce) package', 'name': 'vanilla pudding'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla paste'}","Preheat the oven to 350 degrees F (175 degrees C). Spray a 10-inch cake pan with nonstick cooking spray. Line with parchment paper and spray again. Set aside.. Place butter, brown sugar, corn syrup, vanilla paste, cinnamon, and salt in a saucepan. Bring to a boil, stirring constantly. Add pecans and stir until pecans are coated in mixture. Pour into prepared cake pan and set aside.. For cake batter, place cake mix, eggs, pudding mix, milk, oil, sour cream, and vanilla in a large bowl. Using an electric mixer, beat for 3 minutes. Pour over pecan mixture.. Bake in the preheated oven until a skewer inserted in center comes out clean, 40 to 50 minutes.. Run a butter knife around outside of cake to release from pan. Cool on a wire rack for 10 minutes. Carefully flip cake onto a serving platter and cool completely before slicing.","calories: 426, fat: 28g, carbs: 43g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/gBC2Ycc2rc8sHjHmIYQro4Isqlk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8734473kimshupe_pecanupsidedowncake_4x3-89db5ed1fb5f4dc9b2f74db0d6596605.jpg
