name,link,ingredients,steps,nutrition,image_url
Easy Homemade Pizza Dough,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 170, fat: 4g, carbs: 28g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/1znN8BBx/thumbnails/9nhiCM3c.jpg
No-Yeast Pizza Crust,https://www.allrecipes.com/recipe/244638/no-yeast-pizza-crust/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'fat-free milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}",,"calories: 112, fat: 4g, carbs: 17g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/CffIC7th/poster.jpg?width=720
Thin-Crust Pizza Dough,https://www.allrecipes.com/recipe/257198/thin-crust-pizza-dough/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'active dry yeast'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'lukewarm water'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 232, fat: 1g, carbs: 48g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/ER7WDozO/poster.jpg?width=720
Two-Ingredient Pizza Dough,https://www.allrecipes.com/recipe/244447/two-ingredient-pizza-dough/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'self-rising flour, plus more for kneading'}, {'quantity': '1', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Preheat the oven to 500 degrees F (260 degrees C).. Mix flour and Greek yogurt together in a bowl to form a dough; transfer to a work surface floured with self-rising flour. Knead dough, adding more flour as needed to keep dough from being too sticky, about 8 to 10 minutes.. Spray a 12-inch pizza pan with cooking spray and spread dough to the edges of the pan.. Bake pizza crust in preheated oven for 5 to 7 minutes; add your favorite toppings and return to the preheated oven. Bake until crust is lightly browned, 5 to 7 minutes more.","calories: 116, fat: 3g, carbs: 18g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/EaBh7DcY/poster.jpg?width=720
Easy Garlic Knots,https://www.allrecipes.com/easy-garlic-knots-recipe-8690072,"{'quantity': '10', 'unit': 'ounces', 'name': 'pizza dough'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'minced garlic'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a large baking sheet.. Roll out dough on a lightly floured surface to a 10x16-inch rectangle. Cut dough lengthwise into 12 strips. Halve strips to make 24 (8-inch-long) strips. Tie each strip in a knot. Arrange on prepared baking sheet.. Bake in the preheated oven until golden brown, 10 to 15 minutes. Transfer knots to a large bowl. Drizzle with oil. Sprinkle with garlic, Parmesan, parsley, crushed red pepper, and salt. Toss gently to coat.","calories: 65, fat: 4g, carbs: 6g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/LHAeVnYHEwpQg0hPRF6SmqWE1rI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8690072-GarlicKnots-Allrecipes-Magazine-KH_052324_AR0892-4x3-3f6390c442544664b75b86df59b392cc.jpg
Perfect Pan Pizza,https://www.allrecipes.com/perfect-pan-pizza-recipe-8656583,"{'quantity': '2 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '6', 'unit': 'ounces', 'name': 'part skim mozzarella cheese'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'pizza sauce (see below)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'pepperoni'}","Whisk flour, yeast, and salt together in a large bowl. Stir water and 1 tablespoon olive oil together in a separate bowl or measuring cup and add to flour mixture. Stir just until well combined. Cover bowl with plastic wrap and let stand at room temperature until dough has tripled in size, 8 to 12 hours. Alternatively, cover and refrigerate at least 12 hours and up to 36 hours, or until dough has tripled in size.. Uncover dough and transfer to a floured surface. Gently stretch and fold dough over a few times until nearly smooth; use your hands to lightly shape dough into a ball. Dough should remain a little sticky.. Pour remaining olive oil into a 12-inch cast iron skillet and use your fingers to liberally coat the bottom and sides of the skillet. Using oiled hands, transfer dough to the skillet, gently flatten into a thick disc shape, and lightly coat with some of the oil. Lightly cover the skillet with plastic wrap and set aside at room temperature for 2 hours.. Preheat the oven to 400 degrees F (200 degrees C). Use fingers to lightly press dough to an even layer to the edges of the pan and about 1/2 inch up the sides.. Sprinkle Parmesan cheese around the edges and over dough. Sprinkle 1/3 cup shredded mozzarella over dough. Spread pizza sauce in an even layer over entire crust. Sprinkle with remaining cheese and top with pepperoni.. Bake in the preheated oven until crust is golden around the edges and cheese is lightly browned and melted, 20 to 25 minutes.. Remove from the oven and place on the stove over medium heat. Cook until bottom of crust is golden brown and toasted, 3 to 5 minutes.. Carefully slide pizza from the pan to a wire rack; let stand for 10 minutes. Transfer pizza to a cutting board; slice and serve.","calories: 562, fat: 21g, carbs: 66g, protein: 26g, servings: 4",https://cdn.jwplayer.com/v2/media/adGcaCWS/thumbnails/NpTSouM5.jpg
Pretzel Crust Pizza,https://www.allrecipes.com/pretzel-crust-pizza-recipe-8635843,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': ''}, {'quantity': '1', 'unit': '(1/4-ounce)', 'name': 'envelope active dry yeast'}, {'quantity': '3 ½', 'unit': 'cups', 'name': ''}, {'quantity': '1', 'unit': 'teaspoon', 'name': ''}, {'quantity': None, 'unit': None, 'name': 'neutral cooking oil,'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': None, 'unit': 'tablespoon', 'name': ''}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '2', 'unit': 'cups', 'name': 'part-skim mozzarella cheese'}, {'quantity': '30', 'unit': None, 'name': 'pepperoni slices'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted'}, {'quantity': None, 'unit': None, 'name': 'pretzel salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '8', 'unit': 'ounces', 'name': 'processed cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ''}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': ''}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 286, fat: 8g, carbs: 39g, protein: 15g, servings: 10",https://www.allrecipes.com/thmb/8mUBpkf5m_NV9utISM4I5AqDbfM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8635843-pretzel-crust-pizza-ddmfs-4x3-c48c2d6a0adc4d729201525c46a246a4.jpg
South Shore Bar Pizza,https://www.allrecipes.com/south-shore-bar-pizza-recipe-7568213,"{'quantity': '2 1/4', 'unit': 'teaspoons', 'name': 'dry active yeast (1 packet)'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, at about 105 degrees F (41 degrees C)'}, {'quantity': '3 2/3', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'corn oil or other vegetable oil'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'tomato puree (from 1 can San Marzano tomatoes), or plain tomato sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried oregano, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'corn oil, divided, to grease pizza pans'}, {'quantity': '8', 'unit': 'ounces', 'name': 'white Cheddar cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'onterey Jack cheese'}",,"calories: 1301, fat: 78g, carbs: 104g, protein: 44g, servings: 4",https://cdn.jwplayer.com/v2/media/wbhsRcLT/poster.jpg?width=720
Tavern Pizza,https://www.allrecipes.com/tavern-pizza-recipe-7496725,"{'quantity': '1 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'granulated sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'instant yeast'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': None, 'unit': None, 'name': 'cornmeal, for dusting'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'marinara sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pepperoncini'}, {'quantity': '12', 'unit': 'slices', 'name': 'pepperoni,'}, {'quantity': '1/2', 'unit': 'pepper', 'name': 'jalapeño'}, {'quantity': None, 'unit': None, 'name': 'honey'}, {'quantity': None, 'unit': None, 'name': 'chopped fresh basil'}","Combine flour, sugar, yeast, and salt in a food processor and process until combined, about 3 seconds. With processor running, slowly pour cold water and oil through the food chute and process until dough forms a sticky ball that clears the sides of the bowl, 45 seconds to 1 minute.. Lighly oil a work surface and set dough ball on top; knead until smooth, about 1 minute. Shape dough into a tight ball and place in a large bowl greased with oil. Cover bowl with plastic wrap and allow dough to rise at room temperature until almost doubled in size, 1 hour 30 minutes to 2 hours.. Preheat the oven to 500 degrees F (260 degrees C). Place a pizza stone on the lowest rack in the oven.. Transfer dough to a lightly floured work surface and gently re-shape into a ball. Coat dough ball lightly with flour and flatten into an 8-inch disk using your fingertips. Using a rolling pin, roll dough into a 12‑inch circle, dusting dough lightly with flour as needed.. Dust a pizza peel with cornmeal and transfer dough circle on top. Spread marinara sauce on dough, leaving a 1/2-inch border around the edge. Top evenly with mozzarella, pepperoncini, pepperoni slices, and sliced jalapeño.. Carefully transfer pizza onto pizza stone in the preheated oven and bake until edges are golden brown and cheese is melted, about 10 minutes.. Remove from oven; drizzle with hot honey and sprinkle with basil.","calories: 325, fat: 14g, carbs: 38g, protein: 13g, servings: 4",https://www.allrecipes.com/thmb/4t7D0E5SHXEv-CaX1sM5DT0KbCc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-tavern-the-real-chicago-pizza-DDMFS-4x3-178-d3f97ec78a0e4ff98902ddc0c669a599.jpg
Amazing Whole Wheat Pizza Crust,https://www.allrecipes.com/recipe/46595/amazing-whole-wheat-pizza-crust/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}","Pour warm water into a large bowl; stir in sugar to dissolve. Sprinkle yeast on top and let stand until foamy, about 10 minutes.. Stir olive oil and salt into yeast mixture; mix in whole wheat flour and 1 cup all-purpose flour until dough starts to come together.. Turn dough out onto a surface floured with remaining all-purpose flour; knead until all of the flour has been absorbed and dough becomes smooth, about 10 minutes.. Place dough in an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 1 hour.. Turn dough out onto a lightly floured surface; divide into 2 pieces for 2 thin crusts, or leave whole to make one thick crust.. Form dough into a tight ball; place dough back into an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 45 minutes.. Grease a large pizza pan. Roll a ball of dough with a rolling pin until it will not stretch any further. Then, drape it over both of your fists, and gently pull the edges outward, while rotating crust. When the circle has reached the desired size, place on the prepared pizza pan.. Bake with sauce, cheese and toppings.","calories: 167, fat: 2g, carbs: 33g, protein: 6g, servings: 10",https://cdn.jwplayer.com/v2/media/Pa2k0YgN/poster.jpg?width=720
