name,link,ingredients,steps,nutrition,image_url
Sweet Potato and Bacon Pizza,https://www.allrecipes.com/sweet-potato-and-bacon-pizza-recipe-8747988,"{'quantity': '1 2/3', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry yeast'}, {'quantity': '4 1/3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'sweet potato'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rosemary'}, {'quantity': '1', 'unit': None, 'name': 'lemon'}, {'quantity': '1', 'unit': 'cup', 'name': 'Parmigiano Reggiano cheese'}, {'quantity': '12', 'unit': 'ounces', 'name': 'bacon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'ounces', 'name': 'mozzarella cheese'}, {'quantity': '2', 'unit': 'ounces', 'name': 'fontina cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'Parmigiano Reggiano cheese'}, {'quantity': '2', 'unit': None, 'name': 'jalapeno peppers,'}","For dough, mix yeast and water and let stand for 10 minutes. Add flour and salt, and stir with a wooden spoon for 2 minutes to form a soft, sticky dough. Scrape down sides of bowl, cover, and let rise in a cool spot until doubled in size, 8 to 12 hours.. Use a wet hand to deflate and de-gas the dough, and form into a ball. Cover and store in the refrigerator until needed.. Preheat the oven to 400 degrees F (200 degrees C). Pierce sweet potatoes with a knife and place on a baking sheet.. Roast in the preheated oven until soft, about 1 hour. Let cool until cool enough to handle, about 10 minutes.. Scoop sweet potato flesh into a bowl—you will need about 2 1/2 cups. Add salt, black pepper, cayenne, olive oil, rosemary, lemon zest, and lemon juice, and mash until smooth. Stir in Parmigiano Reggiano, and taste for seasoning. Set aside.. Preheat the oven to 450 degrees F (235 degrees C).. Add bacon to a cold, dry, nonstick skillet. Place over medium-high heat, and cook, separating bacon pieces with tongs, until almost crisp, 7 to 10 minutes. Transfer to a plate lined with paper towels; set aside.. To assemble pizza, pour olive oil on a sheet pan and spread over evenly; place on dough, and use oiled hands to press out to the edges. If dough is very elastic, let dough rest and relax for a few minutes, then continue to stretch. Repeat this process as needed to stretch dough to cover the pan.. Dollop sweet potato mixture onto dough; Spread a thin layer over crust with the back of a spoon. Top evenly with mozzarella, bacon, fontina, and jalapenos. Finish with another dusting of Parmigiano Reggiano.. Bake in the preheated oven until crust is golden, and cheese is browned, 30 to 35 minutes. Remove from oven; cool in the pan for 5 to 10 minutes. Transfer to a board and slice with a pizza cutter.","calories: 619, fat: 32g, carbs: 55g, protein: 27g, servings: 10",https://cdn.jwplayer.com/v2/media/d0zh79Qc/thumbnails/MfdTGQe8.jpg
This Easy TikTok Pizza Is the 3-Ingredient Recipe of Our Dreams,https://www.allrecipes.com/easy-tiktok-pizza-appetizer-recipe-8660871,"{'quantity': '1', 'unit': 'pound', 'name': 'pizza dough'}, {'quantity': '4', 'unit': None, 'name': 'Roma tomatoes'}, {'quantity': None, 'unit': None, 'name': 'fresh basil'}, {'quantity': None, 'unit': None, 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'dried oregano'}",,"calories: 223, fat: 6g, carbs: 37g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/ppQZag4_vVKlDc9GA4mUBvg2JZs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8660871-3-ingredient-pizza-appetizer-VAT-4x3-2-239e0af95224490695d435f58d2cb71e.jpg
New England Beach Pizza,https://www.allrecipes.com/new-england-beach-pizza-recipe-8693117,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cups', 'name': 'marinara sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'chili flakes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '24', 'unit': 'ounces', 'name': 'pizza dough'}, {'quantity': '3', 'unit': 'ounces', 'name': 'shredded mozzarella cheese'}, {'quantity': '12', 'unit': 'slices', 'name': 'provolone cheese'}","Preheat the oven to 475 degrees F (245 degrees C).. Heat olive oil in a saucepan over medium heat; sauté garlic until fragrant, about 30 seconds. Stir in tomato paste, and cook, stirring, for another 30 seconds. Add marinara, water, sugar, oregano, and chili flakes. Bring to a simmer, and cook, stirring occasionally, for 10 to 15 minutes. Taste for seasoning and adjust if need be. Turn off heat and reserve.. Roll and stretch dough into a rectangle about 15x10 inches. Rub a 13x18-inch half sheet pan with olive oil and transfer dough on. Push, pull, and stretch dough to cover pan. If dough pulls back from the edge, let it rest for a few minutes, and then continue shaping.. Top dough with a light layer of sauce (the recipe will make extra sauce). Top with mozzarella cheese.. Bake in the preheated oven until the crust is cooked through, and the bottom is golden brown, 15 to 20 minutes.. As soon as pizza comes out of the oven, top with slices of provolone. Pizza can be served immediately, or placed back in the oven for a few minutes to melt provolone even more.","calories: 346, fat: 17g, carbs: 36g, protein: 13g, servings: 12",https://www.allrecipes.com/thmb/6ulGsarqkmJMKZSZPGDTrUYSd40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8693117_New-England-Beach-Pizza_John-Mitzewich_4x3-f57618af4f18415c993d162bef590762.jpg
Folded Pizza Sandwich,https://www.allrecipes.com/folded-pizza-sandwich-recipe-8666883,"{'quantity': '1', 'unit': None, 'name': 'refrigerated fresh pizza dough'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'red wine vinegar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh baby spinach'}, {'quantity': '2', 'unit': 'balls', 'name': 'burrata cheese'}, {'quantity': '6', 'unit': 'ounce', 'name': 'mixed cured meats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pepperoncini'}, {'quantity': None, 'unit': None, 'name': 'balsamic glaze'}",,"calories: 738, fat: 43g, carbs: 58g, protein: 30g, servings: 4",https://cdn.jwplayer.com/v2/media/SZQcy7oD/thumbnails/tUX1ydsz.jpg
Chef John's Sausage and Egg Pizza,https://www.allrecipes.com/recipe/234535/chef-johns-sausage-and-egg-pizza/,"{'quantity': '6', 'unit': 'ounces', 'name': 'hot Italian sausage, sliced'}, {'quantity': '12', 'unit': 'ounces', 'name': 'unbaked pizza dough, at room temperature'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornmeal, or as needed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'pizza sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes, or to taste (Optional)'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded Fontina cheese, divided'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby arugula leaves, washed and dried'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}","Preheat the oven to 475 degrees F (245 degrees C).. Cook and stir sliced Italian sausage in a skillet over medium heat until some of the fat has rendered out and sausage is no longer pink inside, about 5 minutes. Transfer sausage slices to a paper towel-lined plate to drain.. Roll pizza dough out to about 12 inches in diameter and about 3/8-inch thick; sprinkle with cornmeal. Flip dough so the cornmeal side is down and transfer to a perforated 14-inch pizza pan.. Spread pizza sauce in a thin layer on top of the dough. Sprinkle with red pepper flakes and about 3/4 the Fontina cheese. Spread sausage slices onto the pizza, leaving 4 spaces about 3 inches across on the pizza for eggs. Sprinkle remaining Fontina cheese onto sausage slices.. Bake in the preheated oven until dough is hot, edges are starting to brown, and cheese has started to melt, 10 to 12 minutes.. Crack each egg into a separate ramekin or small bowl. Remove pizza from oven and use a spatula to press the spaces between sausage slices flat. Gently pour an egg onto each space. Grind a little black pepper onto each egg yolk. Lightly sprinkle Parmigiano-Reggiano cheese over entire pizza.. Return to oven and bake until eggs are set but yolks are still liquid, about 5 minutes, checking frequently to avoid overcooking eggs. Toss arugula leaves with olive oil in a bowl until coated. Remove pizza from oven, poke egg yolks with a fork, spread them around a little, and sprinkle arugula over the top of the pizza. Cut into 4 quarters, each with an egg, to serve.","calories: 649, fat: 34g, carbs: 50g, protein: 34g, servings: 4",https://cdn.jwplayer.com/v2/media/5u1BMC1s/poster.jpg?width=720
Perfect Pan Pizza,https://www.allrecipes.com/perfect-pan-pizza-recipe-8656583,"{'quantity': '2 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '6', 'unit': 'ounces', 'name': 'part skim mozzarella cheese'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'pizza sauce (see below)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'pepperoni'}","Whisk flour, yeast, and salt together in a large bowl. Stir water and 1 tablespoon olive oil together in a separate bowl or measuring cup and add to flour mixture. Stir just until well combined. Cover bowl with plastic wrap and let stand at room temperature until dough has tripled in size, 8 to 12 hours. Alternatively, cover and refrigerate at least 12 hours and up to 36 hours, or until dough has tripled in size.. Uncover dough and transfer to a floured surface. Gently stretch and fold dough over a few times until nearly smooth; use your hands to lightly shape dough into a ball. Dough should remain a little sticky.. Pour remaining olive oil into a 12-inch cast iron skillet and use your fingers to liberally coat the bottom and sides of the skillet. Using oiled hands, transfer dough to the skillet, gently flatten into a thick disc shape, and lightly coat with some of the oil. Lightly cover the skillet with plastic wrap and set aside at room temperature for 2 hours.. Preheat the oven to 400 degrees F (200 degrees C). Use fingers to lightly press dough to an even layer to the edges of the pan and about 1/2 inch up the sides.. Sprinkle Parmesan cheese around the edges and over dough. Sprinkle 1/3 cup shredded mozzarella over dough. Spread pizza sauce in an even layer over entire crust. Sprinkle with remaining cheese and top with pepperoni.. Bake in the preheated oven until crust is golden around the edges and cheese is lightly browned and melted, 20 to 25 minutes.. Remove from the oven and place on the stove over medium heat. Cook until bottom of crust is golden brown and toasted, 3 to 5 minutes.. Carefully slide pizza from the pan to a wire rack; let stand for 10 minutes. Transfer pizza to a cutting board; slice and serve.","calories: 562, fat: 21g, carbs: 66g, protein: 26g, servings: 4",https://cdn.jwplayer.com/v2/media/adGcaCWS/thumbnails/NpTSouM5.jpg
Fried Peach and Pancetta Pizza,https://www.allrecipes.com/recipe/239433/fried-peach-and-pancetta-pizza/,"{'quantity': '8', 'unit': 'ounces', 'name': 'pancetta bacon, thickly sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}, {'quantity': '12', 'unit': 'ounces', 'name': 'pizza dough, or more to taste, cut into quarters'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'olive oil, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh thyme, or to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '20', 'unit': 'slices', 'name': 'fresh peach'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese, or to taste'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'extra-virgin olive oil, or to taste'}","Preheat an oven to 475 degrees F (245 degrees C). Line baking sheets with aluminum foil.. Sprinkle pancetta into a cold skillet and drizzle 1 teaspoon olive oil over pancetta. Cook and stir pancetta over medium heat until browned and caramelized, 5 to 10 minutes. Remove pan from heat and cool pancetta in the oil in the skillet.. Place 1 dough quarter on a work surface and lightly dust with flour; roll into a 1/8-inch-thick irregularly shaped crust. Stretch dough with your hands to an even thickness; let rest on the work surface for 5 minutes. Repeat with remaining dough.. Heat about 1 cup olive oil, reaching about 1/2-inch depth, in a heavy cast iron skillet over medium-high heat. Fry each piece of dough until browned and cooked through, about 2 minutes per side. The first side will be lighter than the second side. Drain the crusts on paper towels.. Transfer pizza crusts, lighter-side up, to prepared baking sheets. Spread about 2 tablespoons ricotta cheese onto each crust using the back of a spoon. Sprinkle about 1/2 teaspoon fresh thyme over ricotta layer. Sprinkle pancetta over the ricotta-thyme layer; season with black pepper. Nestle about 5 peach slices onto each pizza, working around the pancetta pieces. Sprinkle 1 tablespoon Parmesan-Reggiano cheese over each pizza. Drizzle about 1 teaspoon extra-virgin olive oil over Parmesan-Reggiano layer.. Bake in the preheated oven until cheese is melted and peaches are lightly browned and tender, 12 to 15 minutes. Cool pizzas for 5 to 10 minutes on the baking sheet.","calories: 462, fat: 23g, carbs: 45g, protein: 16g, servings: 4",https://cdn.jwplayer.com/v2/media/niGUoEiZ/poster.jpg?width=720
Buffalo Caesar Chicken Crust Pizza,https://www.allrecipes.com/buffalo-caesar-chicken-crust-pizza-recipe-8648525,"{'quantity': '1', 'unit': '(10 ounce) can', 'name': 'chicken breast, well drained'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Buffalo sauce'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': '(9.8 ounce)', 'name': 'Caesar salad mix'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'celery'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'blue cheese (optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment.. Combine chicken, Parmesan cheese, Buffalo sauce, and egg in a bowl and mix well. Pat mixture firmly into a 10-inch circle on the prepared baking sheet.. Bake in the preheated oven until golden brown and toasted, about 40 minutes.  Let cool for about 5 minutes.. Drizzle about 2 teaspoons of dressing from the salad kit over crust. Toss half of salad mix with half of remaining dressing packet, according to package directions. (Reserve croutons, if desired, and remaining half of salad mix and dressing for later use.). Place tossed salad on top of crust, and sprinkle evenly with celery and blue cheese. Drizzle with additional Buffalo sauce and serve immediately.","calories: 562, fat: 30g, carbs: 13g, protein: 57g, servings: 2",https://cdn.jwplayer.com/v2/media/Y7lFeusH/thumbnails/Fny1qXn6.jpg
Pretzel Crust Pizza,https://www.allrecipes.com/pretzel-crust-pizza-recipe-8635843,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': ''}, {'quantity': '1', 'unit': '(1/4-ounce)', 'name': 'envelope active dry yeast'}, {'quantity': '3 ½', 'unit': 'cups', 'name': ''}, {'quantity': '1', 'unit': 'teaspoon', 'name': ''}, {'quantity': None, 'unit': None, 'name': 'neutral cooking oil,'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': None, 'unit': 'tablespoon', 'name': ''}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '2', 'unit': 'cups', 'name': 'part-skim mozzarella cheese'}, {'quantity': '30', 'unit': None, 'name': 'pepperoni slices'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted'}, {'quantity': None, 'unit': None, 'name': 'pretzel salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '8', 'unit': 'ounces', 'name': 'processed cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ''}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': ''}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 286, fat: 8g, carbs: 39g, protein: 15g, servings: 10",https://www.allrecipes.com/thmb/8mUBpkf5m_NV9utISM4I5AqDbfM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8635843-pretzel-crust-pizza-ddmfs-4x3-c48c2d6a0adc4d729201525c46a246a4.jpg
Copycat Crazy Puffs,https://www.allrecipes.com/copycat-crazy-puffs-recipe-8621973,"{'quantity': '1', 'unit': '(13.8-ounce)', 'name': 'pizza crust (such as Pillsbury)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh parsley'}, {'quantity': '2', 'unit': 'teaspoons dried', 'name': 'talian seasoning'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'pizza sauce'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'pepperoni slices'}, {'quantity': '4', 'unit': 'cups', 'name': 'mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Preheat the oven to 375 degrees F (180 degrees C) Place a baking sheet on the bottom rack oven. Coat a shallow 12 cup muffin tin with cooking spray.. Roll pizza dough across prepared muffin tin, make sure to stretch dough to cover the entire surface. Using a pizza cutter, cut dough into squares for each muffin tin. Discard any excess dough.. Press and roll dough squares into each tin and ensure dough comes halfway up the sides of each cup.. Stir together butter, parsley, Italian seasoning, garlic salt, and black pepper in a small bowl until well combined. Brush butter mixture onto each dough cup.. Dollop 1 teaspoon pizza sauce into each cup. Layer two slices of pepperoni, add 1 tablespoon cheese overtop,  and another 2 slices of pepperoni. Top with another  2 tablespoons of cheese, making sure to press the cheese within each muffin cup.  Add Parmesan  to butter mixture, and drip butter mix over each puff.. Bake in the preheated oven until cheese is melted, about 15 minutes. Set oven to broil, and broil until golden brown, about 1 minute. Remove from oven and allow to cool for 2 minutes before serving.","calories: 1031, fat: 71g, carbs: 53g, protein: 44g, servings: 4",https://cdn.jwplayer.com/v2/media/RK7EwYbR/thumbnails/6ybbHn0Y.jpg
