name,link,ingredients,steps,nutrition,image_url
Baked Polenta Marinara,https://www.allrecipes.com/baked-polenta-marinara-recipe-8739375,"{'quantity': '3 1/2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'polenta'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3/4', 'unit': 'cup shredded', 'name': 'mozzarella, divided'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'marinara sauce'}, {'quantity': '2', 'unit': 'slices', 'name': 'prosciutto, shredded'}","Preheat the oven to 425 degrees F (220 degrees C). Lightly oil a 9x13-inch baking dish; set aside.. Bring chicken broth to a boil in a saucepan, and whisk in polenta and salt. Immediately reduce temperature to medium, and cook polenta, stirring continuously, until most of the liquid is absorbed and polenta is thick, about 15 minutes. Remove from heat.. Stir Parmesan cheese, 1/4 cup mozzarella, and butter into polenta. Pour mixture into the prepared baking dish and smooth the top.. Bake in the preheated oven until polenta is fairly firm, about 40 minutes. It will firm a bit more on standing.. Remove polenta from the oven; let stand for 5 minutes. Spread marinara over the top, then sprinkle evenly with remaining 1/2 cup mozzarella. Sprinkle top with shredded prosciutto.. Bake polenta until cheese is bubbling and golden brown, about 15 minutes more. Let stand for 5 to 10 minutes before serving.","calories: 132, fat: 8g, carbs: 7g, protein: 8g, servings: 6",https://www.allrecipes.com/thmb/iqFbQNX5SA6H59Cq_knrBebqSfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8739375_Baked-Polenta-Marinara_LaDonna-Langwell_4x3-19f5339ebeae454caf6d6b1db1dac706.jpg
Baked Pumpkin Polenta,https://www.allrecipes.com/baked-pumpkin-polenta-recipe-8722412,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '8 to 10', 'unit': None, 'name': 'sage leaves'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '5 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'yellow cornmeal'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper (optional)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'Parmigiano Reggiano or pecorino cheese'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'Monterey Jack'}",,"calories: 277, fat: 16g, carbs: 25g, protein: 11g, servings: 8",https://cdn.jwplayer.com/v2/media/aao6muVj/thumbnails/qL8i755e.jpg
Mexican Polenta Pizza,https://www.allrecipes.com/mexican-polenta-pizza-recipe-7508449,"{'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '3', 'unit': 'cups', 'name': 'skim milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '5', 'unit': 'ounces', 'name': 'lean ground beef'}, {'quantity': '1 1/2', 'unit': 'cup', 'name': 'red chile sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'exican shredded cheese blend, plus more for sprinkling on top'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded lettuce, or to taste'}, {'quantity': '1', 'unit': None, 'name': 'tomato, diced, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'black olives, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream, or to taste'}","Stir cornmeal, milk, and salt together in a medium saucepan, and cook over medium-high heat, stirring constantly, until mixture comes to a boil and thickens enough to pull away from the sides of the pan, about 15 minutes. Remove from heat and stir in the olive oil. Spread on a greased cookie sheet. Cool in the refrigerator for 1 hour.. Preheat the oven to 400 degrees F (200 degrees C).. Bake polenta crust in the preheated oven for 10 to 15 minutes.. Meanwhile, heat a nonstick skillet over medium-high heat, and cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Pour in red chile sauce, and simmer until thickened, about 10 minutes.. Top polenta crust with meat sauce and cheese. Return to the oven; bake until cheese is melted, 10 to 12 minutes more.. Top with lettuce, tomato, black olives, and sour cream. Sprinkle with additional shredded cheese, if desired.","calories: 445, fat: 19g, carbs: 43g, protein: 28g, servings: 4",https://www.allrecipes.com/thmb/sSsBZGoYtE2OR96gmMqjjmgfVDs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7508449_Mexican-Polenta-Pizza_sanzoe_4x3-c764b0a6abc24ef8bb11372d2e70e0f8.jpg
Crispy Polenta Bites with Jammy Tomato Topper,https://www.allrecipes.com/crispy-polenta-bites-with-jammy-tomato-topper-recipe-8347292,"{'quantity': '1 (28', 'unit': 'ounce) can', 'name': 'diced tomatoes, drained'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red wine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh thyme, plus more for garnish'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 (16', 'unit': 'ounce) tube refrigerated cooked', 'name': 'polenta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'ounce', 'name': 'goat cheese'}","Put a rimmed baking sheet in oven. Preheat the oven to 450 degrees F (230 degrees C).. Bring tomatoes, raisins, and red wine to a boil in a medium saucepan over medium-high heat. Reduce heat to low; simmer mixture, uncovered, until raisins are plump and most of liquid has evaporated, about 20 minutes. Remove from heat. Stir in honey, vinegar, thyme, and salt.. Meanwhile, slice polenta into 1/4-inch-thick rounds. Gently toss polenta with oil in a large bowl. Remove baking sheet from oven. Arrange rounds in an even layer on baking sheet.. Bake polenta rounds in the preheated oven, turning halfway through, until lightly golden and crisp on both sides, about 15 minutes.. To serve, top polenta rounds with goat cheese and tomato mixture. Garnish with thyme. Serve warm or at room temperature.","calories: 48, fat: 3g, carbs: 5g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/nGHdMZzIU5cT9OfirnoH7d-8X8Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347292-Crispy-Polenta-Bites-with-Jammy-Tomato-Topper-R314513-4x3-73eaa8880b9b456480f07da035c8e3fa.jpg
How to Make Perfect Polenta,https://www.allrecipes.com/recipe/234933/how-to-make-perfect-polenta/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'polenta'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese, plus more for garnish'}","Gather all ingredients.. Bring water and salt to a boil in a large saucepan; pour polenta slowly into boiling water, whisking constantly until there are no lumps.. Reduce heat to low and simmer, whisking often, until polenta starts to thicken, about 5 minutes. Polenta mixture should still be slightly loose. Cover and cook for 30 minutes, whisking every 5 to 6 minutes. When polenta is too thick to whisk, stir with a wooden spoon. Polenta is done when texture is creamy and the individual grains are tender. Cooking time will depend on the polenta grind.. Turn off heat and gently stir 2 tablespoons butter into polenta until butter partially melts; mix 1/2 cup Parmigiano-Reggiano cheese into polenta until cheese has melted. Cover and let stand for 5 minutes to thicken.. Stir polenta and transfer to a serving bowl. Top polenta with remaining 1 tablespoon butter and about 1 tablespoon freshly grated Parmigiano-Reggiano cheese for garnish.","calories: 291, fat: 15g, carbs: 31g, protein: 9g, servings: 4",https://cdn.jwplayer.com/v2/media/a72qzufG/thumbnails/WGdND2To.jpg
Air Fryer Truffle Polenta Fries,https://www.allrecipes.com/air-fryer-truffle-polenta-fries-recipe-8643717,"{'quantity': '1', 'unit': '(18 ounce) tube', 'name': 'polenta'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'black truffle-infused olive oil'}, {'quantity': '1 1/2', 'unit': 'teaspoon', 'name': 'truffle zest seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shredded Parmesan cheese'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh parsley'}","Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Line a baking sheet with paper towels; set aside.. Cut the tube of polenta in half widthwise. Cut each half in half lengthwise and then cut into 1/2-inch wide fry-shaped sticks.. Whisk truffle-infused olive oil and truffle zest in a bowl. Add fries and gently toss to coat.. Place fries in the basket of the air fryer in a single layer. Depending on the size of your air fryer, fries may need to be cooked in batches.. Cook for 10 minutes. Shake the basket and cook 5 minutes more. Using tongs, transfer fries to the prepared baking sheet. Garnish with Parmesan and chopped parsley.","calories: 117, fat: 8g, carbs: 8g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/6bE6Hj4wHhyjNvtMJ2I6j71a3bg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8643717_Air-Fyer-Truffle-Polenta-Fries_Nicole-Russell_4x3-e5b18728c0e04f1a9c47e38379651981.jpg
Old Charleston-Style Shrimp and Grits,https://www.allrecipes.com/recipe/220895/old-charleston-style-shrimp-and-grits/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'coarsely ground grits'}, {'quantity': '2', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '2', 'unit': 'pounds', 'name': 'uncooked shrimp, peeled and deveined'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, juiced'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, cut into 1/4-inch slices'}, {'quantity': '5', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'medium', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'red bell pepper, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow bell pepper, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese'}",,"calories: 618, fat: 44g, carbs: 16g, protein: 39g, servings: 8",https://cdn.jwplayer.com/v2/media/KAJR9zYm/poster.jpg?width=720
22 Easy Recipes That Use Polenta Tubes,https://www.allrecipes.com/gallery/recipes-with-polenta-tubes/,,,,https://www.allrecipes.com/thmb/nGHdMZzIU5cT9OfirnoH7d-8X8Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347292-Crispy-Polenta-Bites-with-Jammy-Tomato-Topper-R314513-4x3-73eaa8880b9b456480f07da035c8e3fa.jpg
What Is Polenta and How Is It Made?,https://www.allrecipes.com/article/what-is-polenta/,,,,https://cdn.jwplayer.com/v2/media/izASWLK7/poster.jpg?width=720
Creamy Parmesan Polenta,https://www.allrecipes.com/recipe/242008/creamy-parmesan-polenta/,"{'quantity': '1', 'unit': '(18 ounce) package', 'name': 'prepared polenta, cut into 1/2-inch cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika'}","Combine polenta and chicken broth in a saucepan over medium heat. Cook, stirring continuously, until polenta has broken down completely in broth, about 5 minutes.. Remove from the heat. Stir in Parmesan cheese, pepper, and paprika.","calories: 533, fat: 12g, carbs: 87g, protein: 19g, servings: 4",https://www.allrecipes.com/thmb/zgJGdCGsoittkXjQSwwXayoTE_g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2210387-creamy-parmesan-polenta-Buckwheat-Queen-4x3-2-17fcfd76073e4c2b88241fc1b7d8fd78.jpg
Cheesy Polenta,https://www.allrecipes.com/recipe/83311/cheesy-polenta/,"{'quantity': '2', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'polenta or yellow cornmeal'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '4', 'unit': 'ounces', 'name': 'sharp Cheddar cheese, shredded'}","Combine milk, water, and kosher salt in a large pot over medium-high heat; bring to a boil. Gradually whisk polenta into boiling milk-water mixture. Reduce heat to low and cover. Simmer until creamy, about 20 minutes, lifting the lid and stirring every 3 to 4 minutes to prevent sticking.. Remove the pot from heat. Stir in butter and pepper until incorporated. Gradually stir in cheese until melted. Serve hot.","calories: 232, fat: 14g, carbs: 18g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/KVy7L0d62gv81Z32mO-Zte0SNSM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1343810-c6a1227084564771b01a1bc5a98385df.jpg
