name,link,ingredients,steps,nutrition,image_url
"The (Official) Amount of Time You Should Microwave Popcorn, According to Orville Redenbacher",https://www.allrecipes.com/how-long-to-microwave-popcorn-8608693,,,,https://www.allrecipes.com/thmb/1V5Xt2YWowomEqga8aQD_Oc6oi4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-long-to-microwave-popcorn-4x3-getty-1308142101-72553789-12a719ec358c40d1b1b4dce319ae5f0a.jpg
Cheddar Popcorn,https://www.allrecipes.com/cheddar-popcorn-recipe-8408073,"{'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'popcorn'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heddar cheese powder'}","Place oil in a large stock pot over medium-high heat. Place 3 popcorn kernels in the pot. Cover.. Wait for all 3 kernels to pop. Add remaining popcorn kernels. Cover the pot with a lid and cook until two seconds go by and kernels are no longer popping, about 3 minutes.. Transfer popped corn to a large bowl. Sprinkle 1 tablespoon Cheddar cheese powder over popcorn; toss. Sprinkle remaining 1 tablespoon cheese powder over popcorn; toss again. Serve immediately.","calories: 145, fat: 15g, carbs: 1g, protein: 1g, servings: 4",https://www.allrecipes.com/thmb/Xjsnw0T8yFs83JYp_-HpLAIiBoQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8408073_Cheddar-Cheese-Popcorn_Nicole-Russell_4x3-e7670f6830e944568e5c073abb6e94c5.jpg
Kettle Corn,https://www.allrecipes.com/recipe/20808/kettle-corn/,"{'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'unpopped popcorn kernels'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}",,"calories: 209, fat: 12g, carbs: 25g, protein: 2g, servings: 5",https://cdn.jwplayer.com/v2/media/M46ONSGB/poster.jpg?width=720
Microwave Popcorn,https://www.allrecipes.com/recipe/87305/microwave-popcorn/,"{'quantity': '½', 'unit': 'cup', 'name': 'unpopped popcorn'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or to taste'}",,"calories: 137, fat: 3g, carbs: 25g, protein: 4g, servings: 3",https://cdn.jwplayer.com/v2/media/2w1JcKl0/poster.jpg?width=720
Coconut Oil Popcorn,https://www.allrecipes.com/recipe/241449/coconut-oil-popcorn/,"{'quantity': '¼', 'unit': 'cup', 'name': 'unpopped popcorn'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coconut oil'}, {'quantity': '', 'unit': '', 'name': 'sea salt to taste'}","Place popcorn and oil in a 3-quart pot over medium heat and cover the pot with a lid.. Shake the pot constantly as popcorn pops. When popping slows to a few seconds between pops, after about 3 to 5 minutes, remove pot from heat and pour popcorn into a large bowl. Season with sea salt.","calories: 213, fat: 15g, carbs: 19g, protein: 3g, servings: 2",https://www.allrecipes.com/thmb/SJSbFVjT_x3KEA29mmX_VHd5_uQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3598265-58680f01b1c541af8721b76c7b40b1cf.jpg
Instant Pot Popcorn,https://www.allrecipes.com/recipe/277794/instant-pot-popcorn/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'coconut oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'unpopped popcorn'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Sauté function. When the display indicates the pot is hot, add coconut oil and let it melt.. Add popcorn and stir with a rubber spatula until kernels are coated. Wait 30 seconds and stir again; kernels should be making a sizzling sound at this point. Cover pot with the glass lid and cook for 5 minutes. Cancel Sauté mode and let sit until kernels have completely stopped popping, about 1 minute.. Transfer popcorn to a large bowl and sprinkle with salt.","calories: 151, fat: 8g, carbs: 19g, protein: 3g, servings: 4",https://www.allrecipes.com/thmb/xd3cC1LVpAp-0sMufL3xVaEUTWw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7640224-909b5205a38843bb90cec31aa242cd81.jpg
Cajun-Spiced Popcorn,https://www.allrecipes.com/recipe/149548/cajun-spiced-popcorn/,"{'quantity': '20', 'unit': 'cups', 'name': 'popped popcorn'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Preheat the oven to 350 degrees F (175 degrees C). Place popped popcorn in a large roasting pan.. Combine melted butter, paprika, lemon pepper, salt, garlic powder, onion powder, and cayenne pepper in a small bowl; pour over popcorn and stir until it is somewhat evenly coated.. Bake in the preheated oven for 15 minutes, stirring every 5 minutes. Remove from the oven and cool completely. Serve immediately, or store in an airtight container for later.","calories: 107, fat: 9g, carbs: 5g, protein: 1g, servings: 20",https://www.allrecipes.com/thmb/GYbqOWa8Vc8atbuc9dG8_jaJPDM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1184177-c64e4b82a211432e96b2ee20973024cd.jpg
Here's Why You Shouldn't Use Your Microwave's Popcorn Button,https://www.allrecipes.com/article/dont-use-microwave-popcorn-button/,,,,https://cdn.jwplayer.com/v2/media/PhpmZwv4/poster.jpg?width=720
Movie Star Popcorn,https://www.allrecipes.com/recipe/150711/movie-star-popcorn/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'unpopped popcorn kernels'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}","Heat oil in a 2- to 3-quart saucepan or pot with a lid set over medium-high heat. Pour in popcorn kernels and sprinkle enough salt to cover the layer of kernels lightly. Remember, you can always add more salt later. Add butter to the pot and cover with the lid.. As soon as kernels start to pop, shake the pot back and forth across the burner constantly until the popping slows down. When the pops are about 2 seconds apart, remove from heat and pour popcorn into a serving bowl. Taste and season with more salt if desired.","calories: 187, fat: 14g, carbs: 15g, protein: 3g, servings: 5",https://cdn.jwplayer.com/v2/media/97KfFHLu/poster.jpg?width=720
25 Flavored Popcorn Recipes,https://www.allrecipes.com/gallery/flavored-popcorn-recipes/,,,,https://www.allrecipes.com/thmb/QD0Y-QjDNudQEYyI1zoP1NP87No=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/223195-pad-thai-popcorn-cooking-is-fun-6e0eca8ef40c4cf396c0dd433144a32b.jpeg
