name,link,ingredients,steps,nutrition,image_url
Quick and Easy Yorkshire Pudding,https://www.allrecipes.com/recipe/22539/quick-and-easy-yorkshire-pudding/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}",,"calories: 83, fat: 4g, carbs: 9g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/srzK61tG/poster.jpg?width=720
Popovers,https://www.allrecipes.com/recipe/7238/popovers/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 450 degrees F (230 degrees C). Grease and flour six 6-ounce custard cups.. Beat eggs slightly in a medium bowl. Beat in flour, milk, and salt until just smooth; being careful not to overbeat.. Fill custard cups 1/2 full.. Bake in the preheated oven for 20 minutes. Decrease the oven temperature to 350 degrees F (175 degrees C) and bake for 20 minutes more. Immediately remove from cups and serve piping hot.","calories: 120, fat: 3g, carbs: 18g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/X1BPvH1KcPmt2FtW1kMiTwXAmHY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7238-popovers-ddmfs-4x3-8f507249276f4eeaa3d656d932d8f15d.jpg
Sky-High Yorkshire Pudding,https://www.allrecipes.com/recipe/95339/sky-high-yorkshire-pudding/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}","Preheat the oven to 450 degrees F (230 degrees C).. Whisk milk and eggs together in a large bowl. Whisk in flour, 1 cup at a time, until frothy and well blended. Set aside.. Place 1 teaspoon oil into each cup of a 12-cup muffin tin.. Place the tin in the preheated oven until oil is smoking, 5 to 10 minutes. Remove from the oven and quickly ladle about 1/4 cup batter into each cup.. Return to the oven and bake for 30 to 35 minutes until puddings have risen and are golden brown. Serve immediately.","calories: 160, fat: 7g, carbs: 18g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/xYVWxJso/poster.jpg?width=720
Traditional Yorkshire Pudding,https://www.allrecipes.com/recipe/276147/traditional-yorkshire-pudding/,"{'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '⅞', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'melted beef fat'}","Whisk eggs and salt together in a bowl until light and frothy. Whisk in flour and milk until smooth and lump-free; batter will be thin and barely coat the back of a spoon.. Transfer batter to a 4-cup measuring cup and chill in the refrigerator, at least 15 minutes.. Preheat oven to 400 degrees F (200 degrees C).. Fill each cup of a 12-cup nonstick muffin tin with 1 tablespoon melted beef fat; use your finger to grease the sides and tops of the cups. Place the muffin tin on a baking sheet.. Heat in the preheated oven on the middle rack until fat is smoking hot, 10 to 15 minutes.. Remove from the oven and fill each muffin cup halfway full with batter.. Bake pudding in the preheated oven until browned and fully puffed, about 25 minutes more. Remove from the oven and immediately poke a hole in the center of each to release steam. Serve hot, warm, or room-temperature.","calories: 103, fat: 3g, carbs: 8g, protein: 10g, servings: 12",https://cdn.jwplayer.com/v2/media/Rmj9GDBZ/poster.jpg?width=720
Traditional Popovers,https://www.allrecipes.com/recipe/24581/traditional-popovers/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, chilled'}","Preheat oven to 425 degrees F (220 degrees C).. Spray a popover pan with nonstick cooking spray. Place pan on center rack of oven and preheat for 2 minutes.. Blend flour, salt, eggs, milk, and melted butter until it looks like heavy cream, about 1 to 2 minutes.. Cut chilled butter into 6 even pieces. Place 1 piece of butter in each cup and place pan back in oven until butter is bubbly (about 1 minute).. Fill each cup half full with batter and bake 20 minutes. Reduce heat to 325 degrees F (165 degrees C) and bake for another 15 to 20 minutes.","calories: 183, fat: 9g, carbs: 18g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/eS_vrloyefkY-ITDBsSBqFhkCGs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/traditional-popovers-2000-f0ede7358b384a308ede993e9e941156.jpeg
Grandma's Yorkshire Pudding,https://www.allrecipes.com/recipe/70230/grandmas-yorkshire-pudding/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef drippings'}","Preheat the oven to 450 degrees F (220 degrees C). Place about a tablespoon of beef drippings into each cup of a 6-cup muffin tin.. Whisk eggs in a medium bowl until well-blended. Stir in milk, flour, and salt. Fill the muffin cups about halfway.. Bake in the preheated oven for 15 minutes, then reduce the oven temperature to 350 degrees F (175 degrees C) and bake for an additional 15 minutes.","calories: 475, fat: 42g, carbs: 18g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/eZSujYkTT50lGtSccxth9gZzScw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4375836-grandmas-yorkshire-pudding-Karen-Shull-Small-4x3-1-f0e1f537ba46437593933d65e4cb29ad.jpg
Simple Yorkshire Pudding,https://www.allrecipes.com/recipe/240795/simple-yorkshire-pudding/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}","Preheat oven to 350 degrees F (175 degrees C). Grease a small glass baking dish; place in oven to heat while you prepare the pudding.. Beat eggs with a pinch of salt in a bowl until smooth; add milk and flour and whisk until you have a smooth batter.. Pour batter into the hot baking dish and bake in preheated oven until no longer wet in the center, 10 to 12 minutes.","calories: 90, fat: 2g, carbs: 13g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/Xko0J-e_rF5uraa6qen5XkQfAbo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3127045-2d111523829a4353a5efa1ce46e0aac3.jpg
Blueberry Popovers,https://www.allrecipes.com/recipe/231149/blueberry-popovers/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, cut into 6 pieces'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar, or to taste""}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, halved'}","Preheat the oven to 375 degrees F (190 degrees C). Place a piece of butter into each cup of a jumbo muffin tin.. Place muffin tin into the preheating oven until butter melts, about 5 minutes. Remove and set aside.. Stir 1 tablespoon sugar and cinnamon together in a small bowl.. Beat milk, 1/4 cup sugar, eggs, and vanilla in a large bowl. Whisk in flour until incorporated. Divide batter among muffin cups. Drop an equal amount of blueberries into each cup, then sprinkle cinnamon-sugar mixture over top.. Bake in the preheated oven for 5 minutes. Reduce the heat to 350 degrees F (175 degrees C) and continue baking until popovers are no longer moist in the center, about 25 minutes.. Remove from the oven and transfer to a wire rack. Dust tops of popovers with confectioners' sugar and squeeze lemon halves over top. Serve warm.","calories: 258, fat: 10g, carbs: 36g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/iWrnKUy5/poster.jpg?width=720
Classic Yorkshire Pudding,https://www.allrecipes.com/recipe/21389/classic-yorkshire-pudding/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'beef or bacon drippings'}","Mix flour, milk, eggs, and salt together in a large bowl with an electric mixer until smooth, about 5 minutes. Cover and refrigerate for 1 hour.. Preheat the oven to 425 degrees F (220 degrees C). Coat a 9x13-inch baking dish with beef drippings. Place the pan in the preheating oven until drippings are hot and sizzling, about 15 minutes.. Remove batter from the refrigerator; beat briefly, then scoop into the prepared baking pan.. Bake in the preheated oven for 20 minutes. Lower the oven temperature to 375 degrees F (190 degrees C). Without opening the oven, continue baking until pudding is puffed and golden brown, about 15 minutes more. Remove from oven, cut into 8 squares, and serve hot.","calories: 105, fat: 3g, carbs: 13g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/-SYt9etdfr6T4RA3pevDtWjDwjE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9435826-c0faa85be01d4f6b91302c3ef378a7f4.jpg
Blender Yorkshire Pudding,https://www.allrecipes.com/recipe/230167/blender-yorkshire-pudding/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'beef drippings, divided'}","Blend eggs in a blender for 2 to 3 minutes.. Sift flour and salt together into a bowl. Add flour mixture and 1/4 cup milk to the blender; blend until smooth, about 1 minute. Scrape batter from the sides of the blender and pour in remaining 3/4 cup milk; blend until smooth, 2 to 3 more minutes.. Refrigerate batter for 1 to 2 hours before cooking.. Preheat the oven to 450 degrees F (230 degrees C).. Divide beef drippings among six muffin cups in a 12-cup muffin pan. Place the muffin pan into the preheating oven and heat until drippings are very hot.. Remove pan from the oven. Pour batter over hot beef drippings.. Bake in the preheated oven until puffed and slightly browned, 20 to 30 minutes.","calories: 123, fat: 3g, carbs: 14g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/5rx4PQccretpKjXN3yT_BVtdQbw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6173598-7755ee57b90342839300188f0872fc18.jpg
Chef John's Popovers,https://www.allrecipes.com/recipe/228641/chef-johns-popovers/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '', 'name': 'large eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shredded Cheddar cheese (Optional)'}","Grease a 6-tin muffin pan with butter and cooking spray.. Whisk eggs, milk, flour, salt, and cayenne pepper together in a small bowl until smooth. Pour batter into each muffin tin, filling to about 3/4 of the way up the sides. Sprinkle about 1 teaspoon of grated Cheddar cheese atop each popover.. Place pan in a cold oven. Heat to 450 degrees F (230 degrees C) and bake until puffed and well-browned, about 30 minutes.","calories: 112, fat: 4g, carbs: 14g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/Hip0bXve/poster.jpg?width=720
