name,link,ingredients,steps,nutrition,image_url
14 Easy Pork Chop Recipes Inspired by World Cuisines,https://www.allrecipes.com/gallery/worlds-best-pork-chop-recipes/,,,,https://www.allrecipes.com/thmb/QDMj73AxMm2noks93RvQdeQj8D4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/pork-chops-with-sweet-tomato-chutney62-2000-52c3e2cb88d84122b348f41cdb402f33.jpg
How to Cook Pork Chops,https://www.allrecipes.com/article/how-to-cook-pork-chops/,,,,https://cdn.jwplayer.com/v2/media/c6eWtX2F/poster.jpg?width=720
3 Easy Tricks to Make Juicy Pork Chops,https://www.allrecipes.com/article/easy-tricks-for-juicy-pork-chops/,,,,https://www.allrecipes.com/thmb/3cLk7-sf0dai_2u0Bg14AOejKIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1260286-San-Francisco-Pork-Chops-230995-Molly-d449b1c4e4724ceb8d5a85cb1f000ebd.jpg
11 Easy One-Dish Pork Chop Dinners,https://www.allrecipes.com/gallery/easy-one-dish-pork-chop-dinners/,,,,https://www.allrecipes.com/thmb/p-dzs-2Is5mpaz5aiPP7thCEQPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7222742-2000-7ffab56289df47c6b779b43456336210.jpg
Honey Mustard Pretzel Pork Chops,https://www.allrecipes.com/honey-mustard-pretzel-pork-chops-recipe-8742371,"{'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce'}, {'quantity': '3', 'unit': 'cups', 'name': 'honey mustard pretzels'}, {'quantity': '4', 'unit': None, 'name': 'pork chops'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'apple cider vinegar'}","Preheat the oven to 400 degrees F (200 degrees C). Set a wire rack inside a rimmed baking sheet; set aside.. Whisk eggs and hot sauce together in a shallow dish. Crush pretzels in a food processor or plastic bag and add them to a second shallow dish.. Season pork chops evenly with 1 teaspoon salt and 1/2 teaspoon pepper. Coat each pork chop in egg mixture, allowing excess to drip off, then coat each liberally in pretzel crumbs.. Heat oil in a large skillet over medium-high heat. Cook pork chops, 2 at a time, until golden brown, about 2 minutes per side. Transfer them to the prepared baking sheet.. Bake in the preheated oven until no longer pink in the center, about 10 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).. Meanwhile, combine mustard, mayonnaise, honey, vinegar, and remaining salt and pepper in a small bowl and mix well. Microwave mustard sauce for 15 seconds, stir, and serve with pork chops.","calories: 358, fat: 17g, carbs: 34g, protein: 17g, servings: 4",https://cdn.jwplayer.com/v2/media/TNoDh88V/thumbnails/zQYlAgzx.jpg
Pork Scallopini,https://www.allrecipes.com/pork-scallopini-recipe-8686741,"{'quantity': None, 'unit': '4 (4-ounce) boneless lean', 'name': 'pork loin chops (about 1/2-inch thick)'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '1/2 cup cold', 'unit': None, 'name': 'unsalted butter, cut into pieces, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shallot'}, {'quantity': '1', 'unit': 'large', 'name': 'garlic clove, thinly sliced'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1 small', 'unit': None, 'name': 'lemon, thinly sliced and seeded'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'parsley'}","Gather all ingredients.. Place pork chops between 2 sheets of parchment paper or plastic wrap. Pound with a meat mallet to 1/4-inch thickness. Sprinkle pork evenly with salt and pepper.. Place flour in a shallow dish; dredge seasoned cutlets in flour, and shake off excess. Heat 1 tablespoon each of the butter and the oil in a large nonstick skillet over medium-high until butter foam subsides. Add 2 pork cutlets, and cook until golden on bottom, 2 to 3 minutes per side. Transfer cutlets to a large plate; wipe out skillet. Repeat cooking process with 1 tablespoon of the butter, remaining 1 tablespoon oil, and remaining 2 cutlets. Wipe out skillet.. Heat 1 tablespoon of the butter in skillet over medium. Add shallot and garlic; cook, stirring constantly, until fragrant and garlic just starts to brown, about 1 minute. Add wine, and cook, stirring occasionally, until almost evaporated, about 1 minute. Add broth and lemon slices, and bring to a boil over medium; cook, stirring occasionally, until mixture is reduced by half, 3 to 4 minutes. Whisk in capers. Reduce heat to low, and whisk in remaining 5 tablespoons butter, 1 to 2 pieces at a time, until melted and sauce is creamy, about 2 minutes.. Transfer cutlets to plates, and spoon sauce evenly over top. Sprinkle evenly with parsley.","calories: 627, fat: 43g, carbs: 30g, protein: 33g, servings: 4",https://www.allrecipes.com/thmb/VKmfOJz-zkPaAvbbfDf7LC8gNs0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8686741-pork-scallopini-ddmfs-3087-4x3-beauty-776ae831cd99404b89cbdb24238e3aa8.jpg
Fresh Tomato Curry Sauce,https://www.allrecipes.com/fresh-tomato-curry-recipe-8690957,"{'quantity': '4', 'unit': 'thin-cut', 'name': 'pork chops'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'avocado oil'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'diced yellow onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'jalapeno pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ginger'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garam masala'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'turmeric'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh tomatoes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'tamarind paste'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'plain yogurt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'salted cashews'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cilantro leaves'}","Use scissors to snip 4 or 5 small cuts around the edge of each chop to prevent curling. Season chops on both sides with salt, pepper, and cayenne. Add oil to a nonstick skillet over high heat, and sear pork chops on both sides until lightly browned, about 1 1/2 minutes per side. Remove meat to a plate, and reduce heat to medium.. Add onions, jalapeno, ginger, garlic, and the 1/2 teaspoon salt to the pan. Cook, stirring, until onions start to turn translucent, 3 to 5 minutes. Add garam masala, cumin, and turmeric and cook, stirring, until spices are fragrant, about 1 minute.. Add tomatoes and tamarind, and stir everything together. Add water; simmer until tomatoes completely soften and collapse, about 10 minutes.. Place a mesh strainer over a bowl, and pour in the tomato mixture. Press and scrape with the back of a spoon or ladle until only the tomato seeds and skins remain in the strainer.. Transfer the strained sauce back into the pan, and add the meat, and any accumulated juices back in. Bring to a gentle simmer over medium heat; then reduce heat to maintain a low simmer, and cook until meat is tender, about 5 minutes.. Taste sauce for seasoning, and if desired, serve topped with yogurt, red onion, cashews, and cilantro leaves.","calories: 157, fat: 8g, carbs: 10g, protein: 12g, servings: 4",https://cdn.jwplayer.com/v2/media/2PfoIXYf/thumbnails/0c4m2MXB.jpg
Pork Chop Stir-Fry,https://www.allrecipes.com/pork-chop-stir-fry-recipe-8647029,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil, divided'}, {'quantity': '3', 'unit': 'cups', 'name': 'small cauliflower florets'}, {'quantity': '2', 'unit': 'medium', 'name': 'carrots, julienned'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'frozen corn, thawed'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen peas, thawed'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless pork chops, cut into stir-fry strips'}, {'quantity': '2', 'unit': 'stalks', 'name': 'green onions, thin sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chicken bouillon granules'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salted peanuts'}, {'quantity': '3', 'unit': 'cups', 'name': 'hot cooked rice'}",,"calories: 478, fat: 21g, carbs: 47g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/D4h80t76NcRajJfi-PFbg6kzMw4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/283200-Pork-and-Veggie-Stir-Fry-fabeveryday-4x3-1-fd05400321a24ca1a703b748f8d4b913.jpg
Pork Chops Al Pastor,https://www.allrecipes.com/pork-chops-al-pastor-recipe-8623640,"{'quantity': '4', 'unit': '(12 to 14 ounce) bone-in double-cut p', 'name': 'bone-in double-cut p'}, {'quantity': None, 'unit': '14 ounce)', 'name': 'pineapple chunks with juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili pepper, or any dried ground chile pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chipotle'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '3 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white vinegar'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '2', 'unit': None, 'name': 'green onions, cut into 2-inch pieces'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, plus more as needed'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, halved and sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'water or chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'fresh or canned pineapple'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh oregano leaves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': None, 'name': 'lime, juiced, or to taste'}, {'quantity': None, 'unit': None, 'name': 'cayenne for garnish'}","Place chops in a resealable plastic bag set in a bowl. Add pineapple, guajillo, New Mexico chili powder, chipotle, cinnamon, salt, white vinegar, garlic, and onions to the jar of a blender, and blend until marinade is smooth; pour marinade into bag. Massage pork to coat evenly. Press out air, seal the bag, and refrigerate overnight, or up to 48 hours.. Preheat the oven to 325 degrees F (165 degrees C).. Heat olive oil in an oven-safe pan over medium-high heat. Remove chops from marinade, scraping off as much excess as possible; reserve all marinade for the sauce. Sear chops in the hot pan on both sides until lightly browned, about 3 minutes per side. Remove to a plate; set aside.. Add yellow onion, cumin, and dried oregano to the pan, and cook, stirring, for 1 minute. If pan seems dry, add another drizzle of oil.. Turn off heat, and pour in water. Stir, scraping any brown bits off the bottom of the pan. Place chops on top of onion mixture.. Roast in the preheated oven until pork is cooked to taste, 20 to 30 minutes, basting or brushing chops with pan juices occasionally. An internal temperature of 140 to 145 degrees F (60 to 63 degrees C) will ensure juicy, tender meat. Roasting time will vary greatly depending on size of chops, so check temperature with an instant-read thermometer early and often.. Meanwhile, pour marinade into a saucepan, and add about 1/2 cup of water, or as needed to achieve desired thickness. Bring to a simmer on medium-high heat, whisking occasionally. Taste sauce for seasoning; keep warm until needed.. To make salsa, combine white onion, diced pineapple, fresh oregano, ¼ teaspoon salt, and lime juice in a bowl and mix thoroughly.. Remove pork from the oven; tent with foil and let rest for 5 to 10 minutes before serving. While resting, tops of chops can be garnished with sauce and a spoon of salsa.","calories: 434, fat: 21g, carbs: 15g, protein: 45g, servings: 8",https://www.allrecipes.com/thmb/Wa1iqZ9DkhA4hzVhcQx-9r9ME6s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8623640_Pork-Chops-al-Pastor_John-Mitzewich_4x3-b7fa575e1be74bb693e7aef7765609a1.jpg
Cast Iron Pork Chops - The Secret to the Best Pork Chops Is Your Cast Iron Skillet,https://www.allrecipes.com/cast-iron-pork-chops-recipe-7643514,"{'quantity': '4', 'unit': '(3/4 to 1-inch thick) bone-in pork chops (6 to 8 ounces each)', 'name': 'bone-in pork chops (6 to 8 ounces each)'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, thinly sliced'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh rosemary, plus chopped fresh rosemary for garnish'}",,"calories: 504, fat: 32g, carbs: 1g, protein: 51g, servings: 4",https://www.allrecipes.com/thmb/7W8GJ1m47DGlxi64URkYP5M0Hrg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7643514-cast-iron-pork-chops-DDMFS-3x4-5475-4d6f8b82c3af468b96d34614ae866299.jpg
