name,link,ingredients,steps,nutrition,image_url
Air Fryer Potato-Apple Latkes,https://www.allrecipes.com/air-fryer-potato-apple-latkes-recipe-8347905,"{'quantity': '2', 'unit': 'cups', 'name': 'shredded potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ranny Smith apple'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}","Stir together potatoes, apple, egg yolk, flour, pepper, and salt in a large bowl.. Lightly coat air fryer basket with cooking spray. Drop 4 (1/4-cup) scoops potato mixture into basket. Press gently with a spatula to flatten; lightly coat tops with cooking spray.. Set the air fryer to 350 degrees F (175 degrees C). Cook latkes, turning halfway through, until browned on both sides, 8 to 10 minutes. Repeat with remaining potato mixture. Garnish with sliced green onion and serve with sour cream or crème fraîche.","calories: 178, fat: 11g, carbs: 18g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/dOCtvq0znDpy-5yc01-1Dsd3yk0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347905-Air-Fryer-Potato-Apple-Latkes-R311634-4x3-f63b255a389545f3a34332eef11f7449.jpg
Old-Fashioned Potato Cakes,https://www.allrecipes.com/recipe/223597/old-fashioned-potato-cakes/,"{'quantity': '2', 'unit': 'cups', 'name': 'mashed potatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil, or as needed'}","Gather all ingredients.. Mix mashed potatoes, flour, onion, egg, black pepper, and salt in a bowl until well combined, similar to a batter consistency.. Heat vegetable oil in a skillet over medium heat. Drop 4-inch circles of batter into the hot oil. Cook until golden brown, about 4 to 5 minutes per side.. Drain on paper towels. Repeat with any remaining batter. Serve and enjoy!","calories: 255, fat: 5g, carbs: 45g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/bOFZUgbp/thumbnails/w0PSuCcx.jpg
Potato Pancakes,https://www.allrecipes.com/recipe/14089/potato-pancakes-i/,"{'quantity': '4', 'unit': 'large', 'name': 'potatoes'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil for frying, or as needed'}",,"calories: 283, fat: 8g, carbs: 47g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/5ybx5icE/thumbnails/HNSQpJp1.jpg
My Crispy Mashed Potato Pancake,https://www.allrecipes.com/recipe/222608/my-crispy-mashed-potato-pancake/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'cold mashed potatoes'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'potato starch or cornstarch'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'thinly sliced fresh chives, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, plus 1 teaspoon olive oil, divided'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}",,"calories: 204, fat: 10g, carbs: 24g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/WNDYtaBP/thumbnails/vbxwxI2N.jpg
German Potato Pancakes,https://www.allrecipes.com/recipe/33118/german-potato-pancakes/,"{'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '6', 'unit': 'medium', 'name': 'potatoes, peeled and shredded'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}","Gather all ingredients.. Beat eggs, flour, baking powder, salt, and pepper together in a large bowl; stir in potatoes and onion.. Heat oil in a large skillet over medium heat. Drop heaping tablespoonfuls of potato mixture into hot oil in batches. Press to flatten.. Cook until browned and crisp, about 3 minutes on each side.. Transfer to a paper towel-lined plate to drain.. Repeat with remaining potato mixture. Enjoy!","calories: 283, fat: 11g, carbs: 41g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/zS9y8sc9/thumbnails/AmlFSLvI.jpg
Irish Boxty,https://www.allrecipes.com/recipe/161679/irish-boxty/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'grated raw potatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'leftover mashed potatoes'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'skim milk'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}",,"calories: 227, fat: 10g, carbs: 29g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/CkVb4YNLrP2iEn-1OHLVsHxQ-Ss=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/321513-dcbe9b8e21074597961c14c9ae4ab803.jpg
Potato Latkes,https://www.allrecipes.com/recipe/16073/potato-latkes-i/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, peeled'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten, or more to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated onion'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut oil for frying, or as needed'}",,"calories: 199, fat: 11g, carbs: 22g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/Ow9Iry3X/thumbnails/IR9p7Ntv.jpg
Instant Potato Pancakes,https://www.allrecipes.com/recipe/220323/instant-potato-pancakes/,"{'quantity': '1', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'dry potato flakes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh chives, divided'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream for garnish'}","Whisk together cold water, egg, and salt in a large bowl until salt has dissolved. Mix in dry potato flakes until incorporated. Stir in 1 tablespoon chives; season with black pepper and cayenne pepper.. Divide potato mixture into 4 equal portions and shape into pancakes.. Heat oil and butter in a large skillet over medium-high heat. Swirl the pan to combine.. Place pancakes in the pan, reduce heat to medium, and cook until the bottoms are browned, about 10 minutes. Flip and flatten slightly. Cook until other sides are browned, 7 to 8 more minutes.. Transfer pancakes to a serving plate. Top each with a dollop of sour cream and sprinkle with remaining chives.","calories: 135, fat: 11g, carbs: 8g, protein: 3g, servings: 4",https://cdn.jwplayer.com/v2/media/Uk13JoyS/poster.jpg?width=720
Easy Leftover Potato Pancakes,https://www.allrecipes.com/recipe/18028/potato-pancakes-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'mashed potatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup to 3/4 cup', 'name': 'all-purpose flour as needed (Optional)'}","Gather all ingredients.. Mix potatoes, cheese, beaten egg, and salt in a medium bowl until well combined. If the mixture is very wet, mix in flour as needed to bind mixture together.. Melt butter on a large griddle over medium heat.. Drop potato mixture onto the hot griddle, 1/4 cup at a time.. Flatten each pancake with the back of a spatula to 1/2-inch thickness.. Fry until golden brown, about 5 minutes per side. Serve hot.","calories: 254, fat: 15g, carbs: 24g, protein: 7g, servings: 5",https://www.allrecipes.com/thmb/n_Nrsac2QOHPLgwThH9J-nqGrpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-18028-Potato-Pancakes-4x3-85cb804bf73e4da28680b66bd5e004c4.jpg
Air Fryer Latkes,https://www.allrecipes.com/recipe/277453/air-fryer-latkes/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen shredded hash brown potatoes, thawed'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded onion'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '', 'unit': '', 'name': 'kosher salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'matzo meal'}, {'quantity': '', 'unit': '', 'name': 'avocado oil cooking spray'}","Preheat an air fryer to 375 degrees F (190 degrees C) according to manufacturer's instructions. Lay out a sheet of parchment or waxed paper.. Place thawed potatoes and shredded onion on several layers of paper towels. Cover with more paper towels and press to squeeze out most of the liquid.. Whisk together egg, salt, and pepper in a large bowl. Stir in potatoes and onion with a fork. Sprinkle matzo meal on top and stir until ingredients are evenly distributed. Use your hands to form mixture into ten 3- to 4-inch wide patties. Place patties on the parchment or waxed paper.. Spray the air fryer basket with cooking spray. Carefully place half of the patties in the basket and spray generously with cooking spray.. Air-fry until crispy and dark golden brown on the outside, 10 to 12 minutes. (Check for doneness at 8 minutes if you prefer a softer latke.) Remove latkes to a plate. Repeat with remaining patties, spraying them with cooking spray before cooking.","calories: 97, fat: 7g, carbs: 19g, protein: 3g, servings: 5",https://www.allrecipes.com/thmb/kYdcSEQz7TqAeNCWZ44KOy70QDo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Air-Fryer-Latkes-2000-0f2e534d19a44d679c700b85846f99d5.jpeg
