name,link,ingredients,steps,nutrition,image_url
12 Warm Potato Salad Recipes for Your Next Potluck,https://www.allrecipes.com/gallery/warm-potato-salad-recipes/,,,,https://www.allrecipes.com/thmb/cpW4lH3EauAHhgguM6RO_9Mapnw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/246717920Authentic20German20Potato20Salad20Photo20by20Allrecipes20Magazine20650x465-af21cb7867aa4408ac7802371daaed7b.jpg
"From Asia to Iberia, How the World Does Potato Salad",https://www.allrecipes.com/gallery/the-world-in-potato-salad-recipes/,,,,https://www.allrecipes.com/thmb/QgDiBloQc3vMDbIbqblT3ZCI-QA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2407230-bbdab046741e4130aedd97545888f96a.jpg
12 Dill Potato Salad Recipes You'll Make Again and Again,https://www.allrecipes.com/gallery/dill-potato-salad-recipes/,,,,https://www.allrecipes.com/thmb/6G9KXTzd3Z1qTo_jKZeSFhKnsU0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/200165_southern-dill-potato-salad_Sherri-4666f07b9802477399714b9089bad00e.jpg
10 Mustard Potato Salad Recipes to Please a Crowd,https://www.allrecipes.com/gallery/mustard-potato-salad-recipes/,,,,https://www.allrecipes.com/thmb/mQr_eR2nGSYCcKzPfgMwyf12xu4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1234724-548486252a724c439a8b0c3a5c30d735.jpg
Jalapeno Popper Potato Salad,https://www.allrecipes.com/jalapeno-popper-potato-salad-recipe-8682267,"{'quantity': '10', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '3', 'unit': 'pounds', 'name': 'red potatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(1 ounce) packet', 'name': 'ranch seasoning mix,'}, {'quantity': '1', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '4', 'unit': None, 'name': 'green onions'}, {'quantity': '2', 'unit': None, 'name': 'jalapenos'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pickled jalapeno'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'sour cream'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'mayonnaise'}","Preheat the oven to 400 degrees F (200 degrees C). Line 2 rimmed baking sheets with foil or parchment. Arrange bacon in a single layer on a prepared pan. Add potatoes to the second pan and toss with oil, 2 tablespoons ranch seasoning, salt, and pepper until well coated.. Bake both pans in the preheated oven. Cook bacon until crisp, about 15 minutes. Remove bacon to cool on a rack. Cook potatoes until browned and tender, 5 to 10 minutes more. Remove from the oven to cool.. Crumble bacon, reserve 1 tablespoon for garnish, and set the remaining bacon aside.. When potatoes are cool enough to handle, add to a large bowl. Add reserved bacon, green onions, jalapenos, pickled jalapenos, jalapeno brine, cheese, sour cream, mayonnaise, and remaining ranch seasoning. Stir until well combined. Serve immediately, or refrigerate until ready to serve. Garnish with reserved bacon, jalapenos, and green onion.","calories: 464, fat: 30g, carbs: 32g, protein: 16g, servings: 8",https://www.allrecipes.com/thmb/fdZOEYW_Kv-RY0EK26XgfrdIFxo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8682267_Jalapeno-Popper-Potato-Salad_Dotdash-Meredith-Food-Studios_4x3-98c25395b2b74dfaab40b671232de2cd.jpg
Deviled Egg Potato Salad,https://www.allrecipes.com/deviled-egg-potato-salad-recipe-8682219,"{'quantity': '3', 'unit': 'pounds', 'name': 'potatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '9', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Djon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sweet relish'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': None, 'unit': 'chopped', 'name': 'chives'}","Place potatoes in a large pot and cover with water up to 3 inches above the potatoes. Add salt and eggs and bring to a boil over high heat; reduce heat to a low boil and cook for 10 minutes.. Remove eggs from water using a slotted spoon and place them in an ice bath. Continue cooking potatoes until tender, 5 to 10 minutes more, and drain. Let cool slightly.. Peel eggs and cut each one in half. Remove yolks and place in a large bowl. Finely chop whites and set aside. Mash yolks with a fork until fully broken down. Add mayonnaise, mustard, vinegar and pepper to yolks and stir well.. Add cooked potatoes, reserved egg whites, relish, celery and onion to the bowl and stir until well combined. Season with more salt and pepper to taste. Transfer salad to a serving bowl and sprinkle with paprika and chives.","calories: 355, fat: 21g, carbs: 33g, protein: 9g, servings: 10",https://www.allrecipes.com/thmb/Fc1bH15WUXyseKqI08JC1yROJJI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8682219_Deviled-Egg-Potato-Salad_Nicole-McLaughlin_4x3.2-29feacfe749f4898a2bc9ce1a4c30af5.jpg
Grandma Oma's Creamy German Potato Salad,https://www.allrecipes.com/grandma-omas-creamy-german-potato-salad-recipe-8653431,"{'quantity': '5', 'unit': 'pounds', 'name': 'Yukon gold potatoes'}, {'quantity': '5', 'unit': 'ounces', 'name': 'yellow onions, diced'}, {'quantity': '7', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': None, 'name': 'German Wiener or Vienna sausages'}, {'quantity': '7', 'unit': 'ounces', 'name': 'pickles'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'pickle juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley'}, {'quantity': None, 'unit': None, 'name': 'pickles'}",,"calories: 338, fat: 23g, carbs: 24g, protein: 10g, servings: 12",https://www.allrecipes.com/thmb/PjKI9X8Okm5_6qXtkw_He2u-JNc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8653431-grandma-omas-creamy-german-potato-salad-recipe-VAT-4x3-A-close-crop-475592b910c24a709b16ef406a388539.jpg
Bang Bang Potato Salad,https://www.allrecipes.com/bang-bang-potato-salad-recipe-8650393,"{'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '2 1/2', 'unit': 'pounds', 'name': 'Yukon Gold potatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'whole buttermilk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Sriracha'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '4', 'unit': None, 'name': 'eggs'}, {'quantity': '1', 'unit': None, 'name': 'celery stalk'}, {'quantity': None, 'unit': None, 'name': 'scallions'}",,"calories: 331, fat: 20g, carbs: 32g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/bAfaI3Ju/thumbnails/3OQWco62.jpg
Easy Deviled Egg Potato Salad,https://www.allrecipes.com/easy-deviled-egg-potato-salad-recipe-8600528,"{'quantity': '1', 'unit': 'pound', 'name': 'potatoes (for 2 cups diced cooked potatoes)'}, {'quantity': '4', 'unit': 'large', 'name': 'hard boiled eggs, mashed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, diced'}","Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 15 to  20 minutes. Drain. When potatoes are cool enough to handle, peel and cut into 1/2-inch cubes.. Add potatoes, eggs, mayo, mustard, onion and celery to a bowl and stir until well combined. Chill at least 1 hour prior to serving.","calories: 284, fat: 16g, carbs: 26g, protein: 10g, servings: 4",https://www.allrecipes.com/thmb/-4rPYZ-aEmuzQRNDXQP-pjpe7FI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8600528_Easy-Deviled-Egg-Potato-Salad_Yolanda-Gutierrez_4x3-324e78542eb344cd9cc4e2cb9763be13.jpg
Authentic German Potato Salad,https://www.allrecipes.com/recipe/83097/authentic-german-potato-salad/,"{'quantity': '3', 'unit': 'cups', 'name': 'diced peeled potatoes'}, {'quantity': '4', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'white sugar, or more to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}",,"calories: 183, fat: 4g, carbs: 32g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/YgagJBG9/thumbnails/llwbMXqr.jpg
