name,link,ingredients,steps,nutrition,image_url
"How to Make the Easiest, Coziest Potato Soup Ever",https://www.allrecipes.com/article/how-to-make-potato-soup/,,,,https://cdn.jwplayer.com/v2/media/6HIPCQdZ/thumbnails/MmZm1cG4.jpg
Chef John's Ham and Potato Soup,https://www.allrecipes.com/recipe/220127/chef-johns-ham-and-potato-soup/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'Yukon Gold potatoes, peeled and diced'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'medium', 'name': 'carrot, diced'}, {'quantity': '1', 'unit': 'rib', 'name': 'celery, diced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'smoked ham, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flour'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh chives for garnish'}","Melt butter in a stockpot over medium heat until golden brown. Stir in carrot, celery, onion, ham, and garlic; cook and stir for 5-6 minutes, until the vegetables soften and the onions are translucent.. Stir in flour; cook for about 3 minutes. Stir in chicken broth, 1 cup at a time. Add water and stir to combine. Turn the heat to high and bring to a simmer. Simmer on medium-low for 15 minutes, stirring occasionally.. Taste the soup for salt and add more if necessary. Stir in potatoes; cook for 15 minutes, until potatoes are tender. Skim fat if desired.. With a potato masher, mash the soup a few times, leaving plenty of whole chunks of potato. Season with salt and pepper to taste, add cayenne if desired, and add cream. Stir to combine and heat through. Garnish with fresh chives.","calories: 452, fat: 25g, carbs: 42g, protein: 16g, servings: 4",https://cdn.jwplayer.com/v2/media/JTtsufy2/poster.jpg?width=720
14 Hearty Potato Soup Recipes for Comforting Cold Weather Meals,https://www.allrecipes.com/gallery/hearty-potato-soup-recipes/,,,,
Baked Potato Soup,https://www.allrecipes.com/recipe/12997/baked-potato-soup-i/,"{'quantity': '12', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '7', 'unit': 'cups', 'name': 'milk'}, {'quantity': '4', 'unit': '', 'name': 'large baked potatoes, peeled and cubed'}, {'quantity': '4', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 748, fat: 49g, carbs: 50g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/31U0BoRj/thumbnails/qLXynZwI.jpg
4-Ingredient Potato Soup,https://www.allrecipes.com/4-ingredient-potato-soup-recipe-8744009,"{'quantity': '1/2', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(28 ounce) bag', 'name': 'potatoes O’Brien with onions and peppers'}, {'quantity': '30', 'unit': 'ounces', 'name': 'chicken broth'}, {'quantity': '8', 'unit': 'ounce', 'name': 'garlic and herb cheese spread'}, {'quantity': '1', 'unit': 'pinch', 'name': 'black pepper'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels; chop roughly when cool enough to handle.. Working in batches, pour potatoes into the same skillet, and cook until lightly browned, about 5 minutes. Remove potatoes to a slow cooker. Stir in chicken broth. Dollop cheese spread on top; scatter bacon on top. Cover slow cooker and cook on High until potatoes are very tender, 3 to 4 hours.. If desired, ladle some of the soup, no more than halfway full, into a high powered blender. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend, about 45 seconds.. Pour soup back into slow cooker. Stir to combine; serve immediately.","calories: 367, fat: 21g, carbs: 25g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/i3_fWWimTnP36KVVmfZ9oN5ja3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8744009_4-Ingredient-Potato-Soup_TheDailyGourmet_4x3-e57e4000db1149b39c3c928a3547630b.jpg
3-Ingredient Potato Soup,https://www.allrecipes.com/3-ingredient-potato-soup-recipe-8744734,"{'quantity': '1', 'unit': '(28 ounce) bag', 'name': ""O'Brien hash brown potatoes""}, {'quantity': '5', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bouillon base'}, {'quantity': '1', 'unit': '(2.75 ounce) packet', 'name': 'country gravy mix'}","Bring frozen potatoes and water to a boil in a large stock pot. Stir in bouillon base and cook for 15 minutes.. Reduce heat to medium. Whisk in gravy mix. Cook 5 minutes. Turn heat off and let stand until slightly thickened, about 10 minutes.","calories: 731, fat: 36g, carbs: 96g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/wQYf_r3DBXfwztWeGQeFFzKV5h0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8744734_3-Ingredient-Potato-Soup_Nicole-Russell_4x3-fe575a6736474825be387b12f43a5c59.jpg
Creamy Cajun Potato Soup,https://www.allrecipes.com/creamy-cajun-potato-soup-recipe-8634211,"{'quantity': '5', 'unit': None, 'name': 'Yukon gold potatoes, peeled and cut into chunks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery'}, {'quantity': '1', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille smoked sausage'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Cajun seasoning'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Place potatoes in a large microwave-safe bowl with a few tablespoons water, and cook on High, stopping occasionally to stir potatoes, until nearly tender, 5 to 8 minutes.. Meanwhile, heat butter and olive oil in a large stock pot over medium heat. Add onion, celery, bell pepper, and garlic, and cook and stir until onion begins to turn translucent, about 5 minutes. Stir in andouille, and cook for about 5 minutes more.. Pour in vegetable broth; bring to a simmer, add potatoes, and cook until potatoes are fork-tender, about 15 minutes.. Stir in cream; season to taste with Cajun seasoning, and cook just until heated through. Serve hot in bowls; sprinkle each bowl with Parmesan cheese.","calories: 620, fat: 43g, carbs: 43g, protein: 16g, servings: 6",https://www.allrecipes.com/thmb/p9MRWpI7_fQ1PUvAafMQJPDWg6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8634211_Creamy-Cajun-Potato-Soup_Shelia-Johnson_4x3-681a8d21e8b74d6ca31fef14ab4d2b7f.jpg
Potato Soup with Chorizo,https://www.allrecipes.com/potato-soup-with-chorizo-recipe-8584977,"{'quantity': '1', 'unit': '9 ounce', 'name': 'Mexican chorizo'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'onions'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, pressed'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'potatoes'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'chicken bouillon granules ('}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Combine chorizo and onions in a soup pot over medium heat and cook until onions are soft and translucent and chorizo is fully cooked, 7 to 8 minutes. Add garlic and cook until garlic is fragrant, about 1 minute more.. Add chicken broth, potatoes, chicken granules, cumin, and oregano. Bring to a boil and simmer until potatoes are fork tender, 6 to 10 minutes. Reduce heat and stir in heavy whipping cream. Season with salt and pepper.","calories: 421, fat: 32g, carbs: 14g, protein: 19g, servings: 4",https://www.allrecipes.com/thmb/CaqrC0xHEJW0OC3i7LK73juNRtw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8584977_Potato-Soup-with-Chorizo_Yolanda-Gutierrez_4x3-7f66f8ffc39c4eab9cfb33f65108cc05.jpg
Polish Potato Soup,https://www.allrecipes.com/polish-potato-soup-recipe-8550310,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'ounces', 'name': 'kielbasa sausage, quartered and sliced 1/4-inch thick'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, chopped'}, {'quantity': '2', 'unit': None, 'name': 'ribs celery, cut into 1/2-inch pieces'}, {'quantity': '2', 'unit': None, 'name': 'carrots, cut into 1/2-inch pieces'}, {'quantity': '2 1/2', 'unit': 'pounds', 'name': 'Yukon gold potatoes, peeled'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'dill pickle'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pickle juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'fresh dill, divided'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sour cream'}",,"calories: 343, fat: 13g, carbs: 49g, protein: 9g, servings: 6",https://cdn.jwplayer.com/v2/media/ZR6XC1N4/thumbnails/Mw4DxNID.jpg
Absolutely Ultimate Potato Soup,https://www.allrecipes.com/recipe/13218/absolutely-ultimate-potato-soup/,"{'quantity': '1', 'unit': 'pound', 'name': 'bacon, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '8', 'unit': '', 'name': 'potatoes, peeled and cubed'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock, or enough to cover potatoes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried tarragon'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'chopped fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 594, fat: 42g, carbs: 44g, protein: 13g, servings: 8",https://cdn.jwplayer.com/v2/media/6HIPCQdZ/thumbnails/MmZm1cG4.jpg
Slow Cooker Zuppa Toscana,https://www.allrecipes.com/recipe/261337/slow-cooker-zuppa-toscana/,"{'quantity': '1', 'unit': 'pound', 'name': 'bulk pork sausage'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '4', 'unit': 'large', 'name': 'russet potatoes, chopped'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': '(32 ounce) container', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'bunch', 'name': 'kale, stems removed and discarded, leaves torn into bite-size pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Parmesan cheese (Optional)'}","Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Add onion and garlic; sauté until onion is tender and translucent, 3 to 5 minutes. Drain and discard grease.. Place potatoes in a slow cooker; add cooked sausage and onion mixture. Season with salt, black pepper, and red pepper flakes. Pour in chicken broth and up to 2 cups water to completely cover potatoes. Stir soup gently and cover.. Cook on Low for 5 to 6 hours or High for 3 to 4 hours.. Pour in heavy cream and stir in kale to combine. Cover and cook on High until flavors are incorporated, about 30 minutes more. Garnish with Parmesan cheese.","calories: 447, fat: 25g, carbs: 42g, protein: 16g, servings: 8",https://www.allrecipes.com/thmb/wVgsGkYbGk7eTv-dbxLRpgqzvas=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8248518-slow-cooker-zuppa-toscana-Frances-4x3-1-87088c3b4eb34e8ea9b0d71e041a42e8.jpg
Hash Brown Potato Soup,https://www.allrecipes.com/recipe/282332/potato-soup-with-hash-browns/,"{'quantity': '1', 'unit': '(28 ounce) package', 'name': 'frozen hash brown potatoes, thawed'}, {'quantity': '42', 'unit': 'ounces', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'large', 'name': 'potato, peeled and diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened and cut into chunks'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'shredded Cheddar cheese, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon bits, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sliced green onions, or to taste'}","Place hash browns into a slow cooker. Add chicken broth, condensed soup, potato, onion, and pepper. Cover and cook on Low until potatoes are tender and soup is hot, 3 to 5 hours.. Drop in softened cream cheese and stir with a whisk until melted and mixed in. Ladle into bowls and garnish with Cheddar, bacon bits, and green onions.","calories: 642, fat: 42g, carbs: 58g, protein: 12g, servings: 6",https://www.allrecipes.com/thmb/y8g2m27BnfR_aItMVqz3CyZlDvM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/282332potato-soup-with-hash-brownsMyHotSouthernMess4x3-1d3d2ae246dd427ab7e2b1a798e41922.jpg
Potato Chowder Soup,https://www.allrecipes.com/recipe/23859/potato-chowder-soup-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'peeled and diced potatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'water, or as needed to cover'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'whole kernel corn, drained'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}","Place potatoes, carrots, celery, onion, and salt into a large pot. Add water to cover and bring to a boil over medium-high heat. Reduce the heat and simmer until potatoes are tender, about 20 minutes; do not drain.. When the vegetables are almost finished, combine milk, butter, and flour in a small saucepan over medium-low heat. Whisk constantly until butter melts and mixture is smooth and thick, 5 to 10 minutes.. Pour hot milk mixture into cooked vegetables. Add corn and Cheddar; cook and stir until Cheddar melts, about 3 minutes.","calories: 359, fat: 20g, carbs: 34g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/HbqjeeZneRGFZGmVdUqCMCLNwRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23859daniellestadelman_PotatochowderSoup4x3-7b42920fae6643e3983b018ae75fda49.jpg
Bacon and Potato Soup,https://www.allrecipes.com/recipe/13076/bacon-and-potato-soup/,"{'quantity': '6', 'unit': 'thick slices', 'name': 'bacon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped carrots'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '4', 'unit': 'cups', 'name': 'low-fat, low-sodium chicken broth'}, {'quantity': '4', 'unit': 'cups', 'name': 'cubed potatoes'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 244, fat: 9g, carbs: 29g, protein: 12g, servings: 6",https://cdn.jwplayer.com/v2/media/SopzPBoy/poster.jpg?width=720
