name,link,ingredients,steps,nutrition,image_url
Marinated Pretzels,https://www.allrecipes.com/recipe/21829/marinated-pretzels/,"{'quantity': '1', 'unit': '(15 ounce) package', 'name': 'pretzels'}, {'quantity': '¾', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry ranch-style dressing mix'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'dried dill weed'}","Break the pretzels into a large bowl.. Blend olive oil, ranch-style dressing mix, garlic powder, and dill weed in a medium bowl; pour the mixture over pretzels. Let pretzels marinate for 1 hour, tossing approximately every 10 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Spread marinated pretzels on a large cookie sheet. Bake in the preheated oven for 8 to 10 minutes. Allow the pretzels to cool, then serve.","calories: 104, fat: 10g, carbs: 3g, protein: 1g, servings: 16",https://www.allrecipes.com/thmb/i7R_7wC8dQWisZcTHGY2THvxJvA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8108082-cd8d75f1eba5409f818bb15a5d6ff4fb.jpg
Crescent Roll Pretzels,https://www.allrecipes.com/recipe/8538301/crescent-roll-pretzels/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'refrigerated crescent roll dough (such as Pillsbury®'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'small', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'coarse salt'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper and set aside.. Combine 8 cups water and baking soda in a large pot and bring to a rolling boil over high heat. Once boiling, reduce heat and keep water at a simmer.. Start at the large end and roll each crescent roll triangle into a large rope, about 12 inches long. Form rope into the shape of a pretzel.. Using a spider strainer, lower 1 pretzel at a time into the simmering water for 7 to 8 seconds. Place pretzels on parchment lined baking sheet. Combine egg and 1 tablespoon water in a small bowl. Brush each pretzel with egg mixture.. Bake in the preheated oven until golden brown, 12 to 14 minutes.. Remove from oven. Brush each pretzel with melted butter and sprinkle with coarse salt while still hot.","calories: 129, fat: 8g, carbs: 11g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/eXhD3kYMipykZAdBBtTYSaQJLjs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8538301-Pretzel-crescent-rolls-4x3-1-4a6051c7e03c4b699aafa29c201a21bf.jpg
Air Fryer Pretzel Crescent Rolls,https://www.allrecipes.com/recipe/8537838/air-fryer-pretzel-crescent-rolls/,"{'quantity': '1', 'unit': 'quart', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'baking soda'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'refrigerated crescent roll dough'}, {'quantity': '', 'unit': '', 'name': 'pretzel salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Place a large stock pot over high heat. Add water and bring to a boil over high heat.. Meanwhile shape crescents into desired shape and preheat air fryer to 350°. Preheat an air fryer to 350 degrees F (175 degrees C). Line the air fryer basket with a fitted piece of parchment. Generously spray with cooking spray.. Once water is boiling, carefully add baking soda (it WILL bubble up!). Lower crescent rolls into the brine with a spider strainer; boil for 5 seconds. Transfer onto the parchment paper in the air fryer basket. Sprinkle with salt.. Air fry until crescent rolls are cooked through and golden, about 12 minutes. Serve immediately.","calories: 110, fat: 6g, carbs: 11g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/KFk3JQq8dLFPn7isbhut2d9s9zk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8537842-Air-Fryer-Pretzel-Crescent-Rolls-TheDailyGourmet-192beb75d1f7447da3f96874f33e970f.jpg
Homemade Soft Pretzels,https://www.allrecipes.com/recipe/24272/buttery-soft-pretzels/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C), or more as needed'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil, or more as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'baking soda'}, {'quantity': '4', 'unit': 'cups', 'name': 'hot water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'kosher salt, for topping'}",,"calories: 237, fat: 2g, carbs: 49g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/CFpWpv0B/poster.jpg?width=720
Papa Drexler's Bavarian Pretzels,https://www.allrecipes.com/recipe/161586/papa-drexlers-bavarian-pretzels/,"{'quantity': '3 1/2', 'unit': 'cups', 'name': 'all-purpose flour, divided, or more as needed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse sea salt, or to taste'}","Gather all ingredients.. Whisk 1 cup flour, yeast, and sugar together in a bowl. Stir in water and softened butter until well combined. Let stand until bubbles begin to form, about 15 minutes.. Stir salt into yeast mixture, then gradually stir in 2 1/2 cups flour until dough can be picked up in a ball.. Knead until smooth and elastic, about 8 minutes, adding more flour if needed.. Divide dough into 6 pieces and let rest for a few minutes.. Roll one piece into a 15-inch rope, then loop and twist rope into a pretzel shape. Place onto a baking sheet and form remaining pretzels. Cover and let rise for 15 minutes.. Preheat the oven to 450 degrees F (220 degrees C). Grease a baking sheet.. Bring 3 cups water to a boil in a pot. Stir in baking soda and remove from the heat.. Dip pretzels into the water bath for about 45 seconds, flipping over about halfway through.. Transfer soaked pretzels to the prepared baking sheet; brush with melted butter and sprinkle with salt.. Bake in the preheated oven until golden brown, 8 to 10 minutes.","calories: 342, fat: 9g, carbs: 57g, protein: 8g, servings: 6",https://www.allrecipes.com/thmb/-coIsJM5rivqMpr9SeOE9Ij2NBo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/161586-papa-drexlers-bavarian-pretzels-DDMFS-001-4x3-4042ba41a6fa401e82aea394fa612f23.jpg
Pizza Dough Pretzels,https://www.allrecipes.com/recipe/255590/pizza-dough-pretzels/,"{'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'refrigerated pizza crust'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornmeal, or as needed'}, {'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'baking soda'}, {'quantity': '', 'unit': '', 'name': 'coarse salt'}","Lightly flour a work surface. Place dough on flour and sprinkle more on top. Begin to knead dough, kneading about 2 tablespoons flour into dough until it is soft and supple but not too sticky, 5 to 10 minutes. Cover with a large bowl and allow dough to rest and come to room temperature, 15 to 20 minutes.. Preheat the oven to 400 degrees F (200 degrees C). Line a rimmed baking sheet with parchment paper and sprinkle lightly with cornmeal.. Place water in a deep skillet. Whisk in baking soda to create an alkaline bath. Bring to a simmer over medium-high heat. Adjust heat to keep water at a low simmer while you shape the dough.. Dust dough with a sprinkling of flour as needed so that dough does not stick to work surface. Flatten slightly and divide into 6 equal pieces. Shape each piece into a round dough ball.. Shape each dough ball into a disk, thinner in the middle, thicker around the edges. Poke a hole in the center. Gently keep pulling and stretching until you've achieved a round pretzel shape that's not too thick.. Transfer pretzels (in batches if necessary) to the simmering alkaline bath. Boil about 30 seconds per side. Transfer to the prepared baking sheet with a slotted spoon. Immediately sprinkle with coarse salt while pretzels are still wet and sticky. Let rest for 5 to 10 minutes before baking.. Place on center rack in preheated oven until beautifully browned, and stretch marks have formed, about 20 minutes. Exact times will depend on the specific size and shape of your pretzel.. Transfer pretzels to a wire rack to cool slightly.","calories: 221, fat: 3g, carbs: 41g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/v0rFD7v0/poster.jpg?width=720
Soft Homemade Pretzels,https://www.allrecipes.com/recipe/230976/soft-homemade-pretzels/,"{'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (110 degrees F (43 degrees C))'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'shortening, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'coarse salt, or to taste'}","Stir yeast into 1 cup warm water in a large bowl; beat in flour, sugar, shortening, and salt to make a dough. Turn dough onto a floured surface and knead for 5 minutes.. Place dough into a greased bowl and let rise in a warm place until doubled, about 1 hour. Punch down dough and divide into 12 equal-size pieces. Roll each piece into a rope 18 to 20 inches long.. Preheat oven to 375 degrees F (190 degrees C). Grease a baking sheet.. Shape each rope of dough into a pretzel on the prepared baking sheet; let pretzels rest for 5 minutes. Beat egg yolk with 1 tablespoon water in a small bowl and brush yolk mixture over each pretzel; sprinkle each with coarse salt.. Bake in the preheated oven until pretzels are golden brown, about 15 minutes.","calories: 158, fat: 2g, carbs: 30g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/uwYUikUHeaPG2WIdgu6p33a3rgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2424447-soft-homemade-pretzels-Steve-Duve-4x3-1-a08af4e42c3a4c208d9d13e501946041.jpg
Soft Pretzel Sticks with Honey Mustard Dipping Sauce,https://www.allrecipes.com/recipe/274326/soft-pretzel-sticks-with-honey-mustard-dipping-sauce/,"{'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Dijon mustard'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'yellow mustard'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (100 to 110 degrees F)'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '5', 'unit': 'quarts', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '', 'unit': '', 'name': 'coarse sea salt to taste'}","Whisk together mayonnaise, Dijon mustard, honey, and yellow mustard in a small bowl, and store in the refrigerator while preparing pretzel sticks.. Mix yeast and brown sugar in a small bowl; add warm water, and whisk until sugar dissolves. Let stand until foamy, about 5 minutes.. Mix flour and salt together in a bowl of a stand mixer fitted with a dough hook attachment. Add canola oil and gradually pour in the yeast mixture, kneading until smooth and silky, 4 to 5 minutes. If the dough is very sticky, knead in more flour.. Shape dough into a ball and transfer to a large greased bowl. Cover with plastic wrap and let rise until doubled in volume, about 45 minutes.. Punch down the dough and turn out onto a lightly floured surface. Flatten into a rectangle and cut into 12 equal pieces. Roll each piece into a stick about 7 inches long. Place sticks on a baking sheet lined with parchment paper; let rest uncovered for about 25 minutes.. Preheat the oven to 450 degrees F (230 degrees C).. Pour about 5 quarts of water in a large, deep pot; stir in baking soda. Bring to a boil, then reduce heat to medium. Carefully place pretzel sticks in the simmering water in batches for 30 seconds, flipping after 15 seconds. Remove from water and let drain on paper towels.. Transfer the sticks back to the baking sheet. Brush lightly with butter and sprinkle with coarse sea salt.. Bake in the preheated oven until golden brown, 7 to 10 minutes. Serve warm or at room temperature with the honey mustard dipping sauce.","calories: 216, fat: 8g, carbs: 32g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/4Zxw_Eye5vCS6PZtHLOAIqZXi9U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6761611-b3deffa07008462080685222dc9d962f.jpg
Mall Pretzels,https://www.allrecipes.com/recipe/6737/mall-pretzels/,"{'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1 ⅛', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coarse kosher salt'}","In a large mixing bowl, dissolve the yeast, brown sugar and salt in 1 1/2 cups warm water. Stir in flour, and knead dough on a floured surface until smooth and elastic, about 8 minutes. Place in a greased bowl, and turn to coat the surface. Cover, and let rise for one hour.. Combine 2 cups warm water and baking soda in an 8 inch square pan. Line 6 baking sheets with parchment paper.. After dough has risen, cut into 12 pieces. Roll each piece into a 3 foot rope, pencil thin or thinner. Twist into a pretzel shape, and dip into the baking soda solution. Place onto parchment covered baking sheets, and let rise 15 to 20 minutes.. Preheat an oven to 450 degrees F (230 degrees C).. Bake in the preheated oven for 8 to 10 minutes, or until golden brown. Brush with melted butter, and sprinkle with coarse salt, garlic salt or cinnamon sugar.","calories: 182, fat: 2g, carbs: 35g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/MVcXDsDO/poster.jpg?width=720
Soft Pretzel Bites,https://www.allrecipes.com/recipe/268018/soft-pretzel-bites/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'quarts', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'baking soda'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}","Place 1 1/2 cups water, butter, brown sugar, yeast, and salt in the bowl of a stand mixer fitted with the hook attachment. Mix until well combined. Let sit for about 5 minutes.. Turn mixer on low speed and add 4 cups flour, 1 cup at a time. Add additional 1/2 cup flour if dough appears sticky. Increase speed to medium and knead until dough is smooth and pulls away from the sides of the bowl, 4 to 5 minutes. Sprinkle in more flour if dough still seems a little tacky.. Oil a large mixing bowl. Add the ball of dough. Cover with plastic wrap and let rise in a warm place for about 1 hour.. Preheat the oven to 425 degrees F (220 degrees C). Grease a sheet pan with cooking spray.. Bring 3 quarts water to a boil in a large saucepan. Slowly add baking soda and return to a boil.. Meanwhile, remove dough from the bowl, flatten into a disc shape, and cut into 8 wedges. Roll each wedge into a 24-inch rope. Cut each rope into 1-inch pieces.. Drop batches of dough pieces into the boiling water for about 35 seconds. Remove to the prepared sheet pan. Beat egg with 1 tablespoon water; brush over the tops of each boiled dough piece. Repeat with remaining dough.. Bake in the preheated oven until golden brown, 14 to 16 minutes. Cool slightly before serving.","calories: 166, fat: 5g, carbs: 26g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/EmLAHJHUwWXCh3I2kBofIKkUUao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8871917-soft-pretzel-bites-Daniel-Lasris-4x3-1-48465c6c2ea44ddc8fb1b24dcac73120.jpg
Large Soft Pretzels (Quick),https://www.allrecipes.com/recipe/238864/large-soft-pretzels-quick/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '', 'unit': '', 'name': 'coarse salt to taste'}","Preheat the oven to 425 degrees F (220 degrees C).. Mix water and sugar together in a bowl until sugar is dissolved; add yeast. Let mixture stand until yeast softens and begins to form a creamy foam, about 5 minutes.. Whisk flour, butter, and salt together in a bowl until well mixed; add yeast mixture and stir with a fork until dough starts to cling. Turn dough onto a floured work surface and knead until smooth.. Cut dough into 15 equal pieces and roll each piece between your hands into rope shapes at least the thickness of a pencil. Twist dough into desired shapes and arrange on a baking sheet; brush with egg and sprinkle coarse salt over each.. Bake in the preheated oven until pretzels are browned and cooked through, 8 to 12 minutes.","calories: 160, fat: 4g, carbs: 27g, protein: 4g, servings: 15",https://www.allrecipes.com/thmb/KCwiob-rUKtQBk9SOJ9moFTM0iM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4517520-large-soft-pretzels-quick-Sarah-4x3-1-2b22c40014de44ec9862dbf07b5cdc06.jpg
