name,link,ingredients,steps,nutrition,image_url
Chef John's Pumpkin Bread,https://www.allrecipes.com/recipe/220494/chef-johns-holiday-pumpkin-bread/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'Chinese five-spice powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped toasted walnuts'}","Preheat the oven to 325 degrees F (165 degrees C).. Spray a 9x5-inch loaf pan with cooking spray.. Mix butter and sugar in a large bowl until light and fluffy.. Whisk in eggs one at a time until combined.. Whisk in the pumpkin puree, cinnamon, Chinese five-spice powder, and allspice until combined.. Stir flour, salt, baking powder, and baking soda into the pumpkin mixture and mix until just combined. Stir in chopped walnuts.. Pour batter into the prepared loaf pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour.","calories: 282, fat: 14g, carbs: 37g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/ESvYnWQs/poster.jpg?width=720
Pumpkin Coconut Bread,https://www.allrecipes.com/recipe/6770/pumpkin-coconut-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil or melted butter'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 9 x 5 inch loaf pans.. Mix together sugars, oil, and eggs. Mix in pumpkin. Add flour, salt, soda, and spices, and then water. Stir together until just moistened. Stir in coconut and nuts. Pour batter into prepared pans.. Bake for 60 minutes, or until tester inserted in the center comes out clean.","calories: 296, fat: 13g, carbs: 43g, protein: 4g, servings: 24",https://www.allrecipes.com/thmb/035Wa8qtasSUKOGTI2jagPembso=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4516527-2a06209c2fad4ad6b185be493e04edf0.jpg
Chef John's Chocolate Chip Pumpkin Bread,https://www.allrecipes.com/chef-john-s-chocolate-chip-pumpkin-bread-recipe-7970341,"{'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'can', 'name': 'pumpkin puree'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'semi-sweet chocolate chips'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pumpkin seeds'}",,"calories: 435, fat: 19g, carbs: 63g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/zPfnzGMb/thumbnails/RaH4Hoj9.jpg
Downeast Maine Pumpkin Bread,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}",,"calories: 263, fat: 10g, carbs: 41g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/nHZ8J3jJ/thumbnails/vgvMKlDt.jpg
Easy Pumpkin Muffins,https://www.allrecipes.com/recipe/93290/easy-pumpkin-muffins/,"{'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'yellow cake mix'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin pan or line with paper liners.. Mix together cake mix, pumpkin puree, cinnamon, nutmeg, and cloves in a large bowl until smooth. Spoon equal amounts of batter into the prepared muffin cups.. Bake in the preheated oven until a toothpick inserted in the center of one comes out clean, 20 to 25 minutes.","calories: 200, fat: 5g, carbs: 37g, protein: 2g, servings: 12",https://cdn.jwplayer.com/v2/media/SZaSzVKI/poster.jpg?width=720
Chocolate Chip Pumpkin Bread,https://www.allrecipes.com/recipe/6732/chocolate-chip-pumpkin-bread/,"{'quantity': '3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground nutmeg, or to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'miniature semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}",,"calories: 252, fat: 11g, carbs: 37g, protein: 3g, servings: 30",https://cdn.jwplayer.com/v2/media/Y4exgMUI/thumbnails/6MqJhmKi.jpg
Pumpkin Muffins with Streusel Topping,https://www.allrecipes.com/recipe/228562/pumpkin-muffins-with-streusel-topping/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'pumpkin pie spice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'applesauce'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}","Preheat the oven to 350 degrees F (175 degrees C). Grease or line 18 muffin cups with paper liners.. Combine 2 1/2 cups flour, 1/2 cup oats, pumpkin pie spice, baking soda, baking powder, and salt together in a bowl. Whisk pumpkin puree, 1 cup brown sugar, white sugar, vegetable oil, applesauce, eggs, and vanilla extract together in a separate large bowl. Stir flour mixture into pumpkin mixture; mix well. Fold in raisins.. Beat 1/4 cup brown sugar with butter in a bowl until creamy and smooth. Whisk 2 tablespoons oats and 2 tablespoons flour, using a fork, into sugar-butter mixture until streusel topping is crumbly.. Spoon batter into the prepared muffin cups, filling each 2/3 full. Sprinkle each muffin with streusel topping.. Bake in the preheated oven until a toothpick inserted in the center of a muffin comes out clean, 25 to 35 minutes.","calories: 277, fat: 11g, carbs: 43g, protein: 4g, servings: 18",https://www.allrecipes.com/thmb/K8hG8CFnDMiLYsktwPcL2448Lko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228562_Pumpkin-Muffins-with-Streusel-Topping_naples34102_4562141_original-4x3-1-2067aed9c88e446d964636fa779e692a.jpg
Easy Pumpkin Chocolate Chip Bread,https://www.allrecipes.com/recipe/235257/easy-pumpkin-chocolate-chip-bread/,"{'quantity': '1 ⅔', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'cup', 'name': 'pumpkin puree'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a loaf pan.. Stir flour, sugar, cinnamon, baking soda, baking powder, salt, and nutmeg together in a large bowl.. Whisk pumpkin, butter, and eggs together in a separate bowl. Stir in chocolate chips. Fold pumpkin mixture into flour mixture. Pour pumpkin batter into prepared loaf pan.. Bake in the preheated oven until a toothpick inserted in the center of the loaf comes out clean, 1 hour.","calories: 338, fat: 15g, carbs: 49g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/GyNqJR0ZwB5ZPMwa6gh3ECCGZAo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1073654-easy-pumpkin-chocolate-chip-bread-Cynthia-LaFourcade-4x3-1-32a4a957d13d43459724f6250a42fe56.jpg
The Best Pumpkin Bread,https://www.allrecipes.com/recipe/277579/the-best-pumpkin-bread/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}","Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 7x3-inch loaf pans.. Mix together pumpkin puree, sugar, oil, water, eggs, and vanilla extract in a large bowl until well blended. Whisk together flour, baking soda, cinnamon, salt, nutmeg, and ginger in a second bowl. Sift flour mixture on top of pumpkin mixture. Fold in with a spatula until just blended. Pour into the prepared pans.. Bake in the preheated oven until nicely browned on top and a toothpick inserted in center comes out clean, about 50 minutes.","calories: 232, fat: 10g, carbs: 32g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/KOxOzWiDjyARsBx_vr_Qoz3k3nE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7422212-c238d75b9f20430894316499bc8dbdd0.jpg
Banana Pumpkin Bread,https://www.allrecipes.com/recipe/16706/banana-pumpkin-bread/,"{'quantity': '2', 'unit': '', 'name': 'ripe bananas, mashed'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'canned pumpkin puree'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pumpkin pie spice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'walnut pieces (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.. Stir together bananas, pumpkin, honey, sugar, vegetable oil, and eggs in a large bowl. Combine flour, pie spice, baking powder, baking soda, cinnamon, and salt in a separate bowl. Stir flour mixture into banana mixture until just combined. Fold in raisins and walnuts. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, about 45 minutes. Cool loaf in the pan for 10 minutes before transferring to a wire rack to cool completely.","calories: 328, fat: 11g, carbs: 56g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/qWCuDGxyKjrB3opVc-b_Uk7SqlU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9417823-banana-pumpkin-bread-Kim-4x3-1-ab1d9c82190448dfbd3895ecb2704c0e.jpg
