name,link,ingredients,steps,nutrition,image_url
How to Blind Bake a Pie Crust,https://www.allrecipes.com/article/how-to-bake-a-pie-crust/,,,,https://www.allrecipes.com/thmb/HI0soCdsCwISBXkb8pd6oHFh5Uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/blindbaking-34460709c5be43d6bce2cc5103f551ad.png
Does Pumpkin Pie Need to Be Refrigerated?,https://www.allrecipes.com/article/does-pumpkin-pie-need-to-be-refrigerated/,,,,https://www.allrecipes.com/thmb/MaHLOpuQS2VjrAs19mgdd-mIKck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/jens-maple-pumpkin-pie26-2000-3a89181ef46342bab2a7a402990ece8d.jpg
How to Make Pie Crust Step by Step,https://www.allrecipes.com/article/how-to-make-a-pie-crust-step-by-step/,,,,https://www.allrecipes.com/thmb/sNIPvL_9_KaqTpi7xszc85TA_2I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15174_No-Fail-Pie-Crust-I_naples34102_5762688_original-4x3-1-9519dcddf9db47658eb8979031ad72d5.jpg
Pumpkin Chiffon Pie,https://www.allrecipes.com/recipe/22379/pumpkin-chiffon-pie/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'unflavored gelatin'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '4', 'unit': 'large', 'name': 'pasteurized eggs, separated and divided'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'pumpkin puree'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}",,"calories: 349, fat: 12g, carbs: 56g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/UcS4oYL9/thumbnails/CQ6Kd5cv.jpg
Perfect Pumpkin Pie,https://www.allrecipes.com/recipe/23439/perfect-pumpkin-pie/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'Eagle Brand Sweetened Condensed Milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}",,"calories: 379, fat: 14g, carbs: 31g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/OVOE0pL2/thumbnails/LpvraLRc.jpg
Libby's Famous Pumpkin Pie,https://www.allrecipes.com/recipe/22755/libbys-famous-pumpkin-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked deep-dish pie crust'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': ""Libby's 100% Pure Pumpkin""}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'Nestle Carnation Evaporated Milk'}",,"calories: 283, fat: 12g, carbs: 39g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/WANp9dHV/thumbnails/bjViY8aj.jpg
Homemade Fresh Pumpkin Pie,https://www.allrecipes.com/recipe/13711/homemade-fresh-pumpkin-pie/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold butter or shortening'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold water, or more as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'mashed, cooked pie pumpkin'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 363, fat: 18g, carbs: 44g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/VPWGgfHn/thumbnails/OMWmCbcO.jpg
Pecan Pumpkin Pie,https://www.allrecipes.com/recipe/12223/pecan-pumpkin-pie-i/,"{'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'solid pack pumpkin puree'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'pie crust', 'name': 'pie crust'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange zest'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'pecan halves'}","Preheat the oven to 450 degrees F (230 degrees C).. Combine eggs, sugars, flour, spices, and salt in a large bowl. Blend in pumpkin. Gradually add condensed milk; mix until well combined. Pour into prepared pie crust.. Bake pie in the preheated oven for 10 minutes. Meanwhile make the topping: Combine 2 tablespoons butter, 1 tablespoon grated orange rind, 1/4 cup brown sugar, and 3/4 cup whole pecans.. Reduce heat to 350 degrees F (175 degrees C) and continue to bake pie until filling is set, about 40 to 50 minutes longer. Top pie with pecan mixture 10 minutes before removing from the oven.","calories: 661, fat: 28g, carbs: 95g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/RWBq2EA1x7OvD-puMZG1fSsFlX4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1864853-43e40caa445f4887b42123aa99d0a6aa.jpg
Pumpkin Tahini Pie,https://www.allrecipes.com/recipe/8505041/pumpkin-tahini-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pumpkin pie spice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'tahini'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame seeds (Optional)'}",,"calories: 225, fat: 16g, carbs: 17g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/VKNe4oeAahu3lqJQVGQcG5W8WWo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/tahini-pumpkin-pie-4x3-01-00e81e84b2214db29928afc9a9d94da8.jpg
Pumpkin Pie with Vanilla Meringue,https://www.allrecipes.com/recipe/8505146/pumpkin-pie-with-vanilla-meringue/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}, {'quantity': '1', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '5', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pure vanilla extract'}",,"calories: 261, fat: 9g, carbs: 40g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/61V9kdXiqpCzuSBJfqfSTA_O2f0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/vanilla-meringue-4x3-01-0c74bcda49504ccf94bf42af1320fda9.jpg
