name,link,ingredients,steps,nutrition,image_url
Air Fryer Pumpkin Seeds,https://www.allrecipes.com/recipe/269968/air-fryer-pumpkin-seeds/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'pumpkin seeds'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'avocado oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Place pumpkin seeds in a colander and rinse well.. Cover a plate with two paper towels. Spread pumpkin seeds over top and cover with two more paper towels. Gently press to remove most of the water. Let sit until thoroughly dried, at least 15 minutes.. Preheat an air fryer to 350 degrees F (180 degrees C).. Transfer dried seeds to a medium bowl. Add avocado oil, paprika, and salt and mix until seeds are well coated. Transfer to the air fryer basket.. Cook in the preheated air fryer for 35 minutes, shaking the basket frequently. Watch carefully during the last 5 minutes; the pumpkin seeds can go from perfectly cooked to burned very quickly.","calories: 234, fat: 20g, carbs: 7g, protein: 10g, servings: 6",https://www.allrecipes.com/thmb/LmRYvsR1UyS9sB7QdgHmuX4IWKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8022908_AirFryerPumpkinSeeds4x3-c7ca3330c5b347c2b2acbfc59859fd84.jpg
Our 12 Best Pumpkin Seed Recipes Make Perfect Autumn Snacks,https://www.allrecipes.com/gallery/best-pumpkin-seed-recipes/,,,,
Chef John's Pumpkin Seed Brittle,https://www.allrecipes.com/recipe/239785/chef-johns-pumpkin-seed-brittle/,"{'quantity': '2', 'unit': 'cups', 'name': 'raw pumpkin seeds (pepitas)'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'coarse sea salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}","Line a baking sheet with a silicone baking mat or parchment paper.. Stir pumpkin seeds and sea salt together in a bowl.. Stir sugar, corn syrup, and water together in a heavy-bottomed saucepan over medium-high heat. Add butter and bring to a boil, whisking constantly. Boil until mixture is dark golden, 10 to 15 minutes. Remove saucepan from heat; whisk in baking soda.. Pour pumpkin seeds into sugar mixture and stir until well-combined. Transfer pumpkin seed mixture to prepared baking sheet. Place another silicone baking mat over the top of the pumpkin seed mixture and press down to make an even surface for the brittle. Let harden for about 30 seconds; remove top baking mat. Score surface with a knife to form desired shapes. Cool to room temperature and break into pieces.","calories: 258, fat: 7g, carbs: 50g, protein: 2g, servings: 12",https://cdn.jwplayer.com/v2/media/hQ7JsJuU/poster.jpg?width=720
8 Ways to Season and Sweeten Pumpkin Seeds,https://www.allrecipes.com/gallery/roasted-pumpkin-seed-recipes/,,,,https://www.allrecipes.com/thmb/l8cxIeD_tqR92jaPTsdm84FToQA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4545876_RoastedTajinPumpkinSeeds4x3-143931365e2541e88be369c8479f8692.jpg
Cajun Spiced Roasted Pumpkin Seeds,https://www.allrecipes.com/recipe/228537/cajun-spiced-roasted-pumpkin-seeds/,"{'quantity': '1', 'unit': 'cup', 'name': 'raw whole pumpkin seeds, washed and dried'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika (Optional)'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'Cajun seasoning, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, melted'}","Preheat oven to 300 degrees F (150 degrees C).. Toss pumpkin seeds with paprika, Cajun seasoning, and salt until coated. Mix Worcestershire sauce with melted butter in a small bowl, pour over seeds, and stir to to combine. Spread seeds onto a baking sheet in a single layer.. Roast seeds in the preheated oven until browned and crunchy, 45 minutes to 1 hour; stir and turn seeds several times during roasting.","calories: 80, fat: 5g, carbs: 7g, protein: 3g, servings: 5",https://www.allrecipes.com/thmb/6wRA4eu-aFdKknlluBW3z2izwDE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/959322-ecff80f16d754614a984436083696985.jpg
Toasted Pumpkin Seeds,https://www.allrecipes.com/recipe/22633/toasted-pumpkin-seeds/,"{'quantity': '2', 'unit': 'cups', 'name': 'raw whole pumpkin seeds'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}","Preheat oven to 325 degrees F (165 degrees C).. Spread the pumpkin seeds on a medium baking sheet. Drizzle with oil. Sprinkle with salt.. Bake 45 minutes in the preheated oven, stirring occasionally, until lightly toasted.","calories: 102, fat: 7g, carbs: 9g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/QzTAboI5G1FxyN6H_TrMKCqZDy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4404133-40b84c24608b40f5a9ca1b3cffe1377e.jpg
Cinnamon Sugar Pumpkin Seeds,https://www.allrecipes.com/recipe/239621/cinnamon-toast-pumpkin-seeds/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'pumpkin seeds'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}","Gather the ingredients. Preheat the oven to 300 degrees F (150 degrees C). Line a baking sheet with parchment paper.. Place pumpkin seeds into a large bowl. Mix butter, cinnamon, and salt together in a small bowl; pour over seeds and toss until evenly coated. Spread seeds in a single layer on the prepared baking sheet.. Bake in the preheated oven, stirring occasionally, until seeds are light golden brown, about 40 minutes. Remove from the oven; sprinkle sugar over warm seeds and stir until evenly coated.","calories: 153, fat: 13g, carbs: 6g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/kibT1lu6HTWNAna1Q6L5FOKDJP8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-239621-cinnamon-toast-pumpkin-seeds-ddmfs-hero_7750-754fdd2799974e50b967134fcdf3e374.jpg
Spiced Pumpkin Seeds,https://www.allrecipes.com/recipe/13839/spiced-pumpkin-seeds/,"{'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'margarine, melted'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'raw whole pumpkin seeds'}","Gather the ingredients.. Preheat oven to 275 degrees F (135 degrees C).. Combine the margarine, salt, garlic salt, Worcestershire sauce and pumpkin seeds.. Mix thoroughly and place in shallow baking dish.. Bake for 1 hour, stirring occasionally.","calories: 90, fat: 5g, carbs: 9g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/2ukNangK/thumbnails/6elaHLPP.jpg
Savory Toasted Pumpkin Seeds,https://www.allrecipes.com/recipe/55091/savory-toasted-pumpkin-seeds/,"{'quantity': '2', 'unit': 'cups', 'name': 'raw pumpkin seeds'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'seasoned salt'}","Preheat the oven to 250 degrees F (120 degrees C).. Rinse the pumpkin seeds and pat dry. Place them in a bowl. Add the Worcestershire sauce, melted butter and seasoned salt; stir until evenly coated. Spread out in an even layer on a baking sheet.. Bake for about 1 hour in the preheated oven, stirring occasionally, until crisp, dry and golden brown.","calories: 104, fat: 9g, carbs: 3g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/solrb517mjxboxUdfcr8AtUmE8c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481233-savory-toasted-pumpkin-seeds-Descolada-4x3-1-8d2ed3e1cab848aaa9c5dc7b1bfe271e.jpg
Toasted Pumpkin Seeds with Sugar and Spice,https://www.allrecipes.com/recipe/93408/toasted-pumpkin-seeds-with-sugar-and-spice/,"{'quantity': '1', 'unit': 'cup', 'name': 'raw pumpkin seeds, rinsed and dried'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'white sugar, divided'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}","Preheat the oven to 250 degrees F (120 degrees C). Spread pumpkin seeds in a single layer on a baking sheet. Toast for 45 minutes, stirring occasionally, until dry and toasted. Larger seeds may take longer.. In a large bowl, stir together 2 tablespoons of white sugar, salt, and pumpkin pie spice. Set aside. Heat the oil in a large skillet over medium-high heat. Add the pumpkin seeds and sprinkle the remaining sugar over them. Stir with a wooden spoon until the sugar melts, about 45 seconds. Pour seeds into the bowl with the spiced sugar and stir until coated. Allow to cool before serving. Store in an airtight container at room temperature.","calories: 290, fat: 19g, carbs: 25g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/Fbx-Vz0kiUl_m7v_c0vXLSKDGK0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4128762-0fd2e1cdf6bc43fdbd104dd92ee0ca4b.jpg
