name,link,ingredients,steps,nutrition,image_url
How to Dry Age Prime Rib at Home,https://www.allrecipes.com/article/how-to-dry-age-prime-rib/,,,,https://www.allrecipes.com/thmb/79zBIM3YRW8UCJg9GJ_lFuAb71k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7072753-5e7c1f801d4548f2ad08e9c9bb8b60e4.jpg
How to Cook Prime Rib to a Perfectly Juicy Medium Rare,https://www.allrecipes.com/article/medium-rare-prime-rib-temperature/,,,,https://www.allrecipes.com/thmb/roz1XNMdE-1pQ1Jn51hd2sW3sy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_4668_Low-and-Slow-Prime-Rib-4x3-da425a2340304ad29f79fbbf199cacb9.jpg
10 Bone-In Prime Rib Recipes,https://www.allrecipes.com/gallery/bone-in-prime-rib-recipes/,,,,https://www.allrecipes.com/thmb/aD84sH9LnehkZC-5qpRQnJwYvA0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1050950_Delectable-Prime-Rib-and-Au-Jus-4x3-7a434f3bb96d459e957510ae844247ad.jpg
11 Simple Sauce Recipes That Perfect Prime Rib,https://www.allrecipes.com/gallery/prime-rib-sauce-recipes/,,,,https://www.allrecipes.com/thmb/WmZzqVgmfuZ0h4eLgUpdqP-fy5s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/102686346_prime-rib-with-au-jus_meredith-fdf6f73e10f74b3e99469998d2067a05.jpg
Easy Standing Rib Roast,https://www.allrecipes.com/recipe/255737/easy-standing-rib-roast/,"{'quantity': '1', 'unit': '(4 pound)', 'name': 'rib roast'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sea salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced, or more to taste'}",,"calories: 440, fat: 33g, carbs: 2g, protein: 33g, servings: 6",https://www.allrecipes.com/thmb/3JhG47abciooIjbFGAzYvcrIlh0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/255737easy-standing-rib-roastFranceC4x3-26e460bce6bc4353ab7449cb60235064.jpg
Prime Rib - It's Easier Than You Think,https://www.allrecipes.com/recipe/230368/prime-rib-its-easier-than-you-think/,"{'quantity': '1', 'unit': '(5 pound)', 'name': 'bone-in beef prime rib roast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Montreal-style steak seasoning (such as McCormick)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard powder'}","Place roast, bone side down, in a roasting pan.. Whisk olive oil, steak seasoning, garlic, Italian seasoning, and mustard powder together in a small bowl; spread over roast. Allow roast to come to room temperature, about 45 minutes.. Preheat the oven to 450 degrees F (230 degrees C).. Bake in the preheated oven for 20 minutes. Insert a meat thermometer in the thickest part of the roast away from the bone. Reduce oven temperature to 325 degrees F (165 degrees C).. Continue cooking to your desired degree of doneness, or an internal temperature of 145 degrees F (65 degrees C) for medium is reached, about 1 1/2 to 2 hours. Remove from the oven, cover with a doubled sheet of aluminum foil, and allow to rest in a warm area 10 to 15 minutes before slicing.","calories: 437, fat: 38g, carbs: 1g, protein: 22g, servings: 10",https://www.allrecipes.com/thmb/fIYR0er59wFS1dCaYKMEVrl9trY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1012434-918f7bb06e054321951c81f27c8422d0.jpg
Chef John's Perfect Prime Rib,https://www.allrecipes.com/recipe/221958/chef-johns-perfect-prime-rib/,"{'quantity': '1', 'unit': '(4 pound)', 'name': 'bone-in prime rib roast (room temperature)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'herbes de Provence'}, {'quantity': '', 'unit': '', 'name': 'kosher salt to taste'}",,"calories: 1757, fat: 161g, carbs: 1g, protein: 73g, servings: 4",https://cdn.jwplayer.com/v2/media/mG3beRIa/thumbnails/aRnGI5rV.jpg
The Perfect Prime Rib Roast,https://www.allrecipes.com/recipe/240437/the-perfect-prime-rib-roast/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '3', 'unit': 'pounds', 'name': 'prime rib roast, ribs removed and trussed onto roast, or more to taste'}","Preheat oven to 375 degrees F (190 degrees C). Place a rack inside a roasting pan.. Mix garlic powder, onion powder, dill weed, pepper, and salt together in a bowl; rub onto roast, including the ribs. Place roast, rib-side down, onto rack in roasting pan.. Bake roast in the preheated oven for 45 minutes. Turn off oven, keeping the door closed the entire time, and keep roast in oven for 3 hours. Turn oven back to 375 degrees F (190 degrees C) and cook roast until an internal temperature of 145 degrees F (65 degrees C) is reached, 30 minutes more.","calories: 393, fat: 33g, carbs: 1g, protein: 22g, servings: 6",https://www.allrecipes.com/thmb/A35qRXTaQyIKmOUdykINvKP6ov0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7519187-ac9b8734d3634b51b58281f4c4416ab6.jpg
Reverse-Sear Prime Rib Roast,https://www.allrecipes.com/recipe/245638/reverse-sear-prime-rib-roast/,"{'quantity': '1', 'unit': '(10 pound)', 'name': 'bone-in standing rib roast'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh rosemary'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh thyme'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Season roast generously with kosher salt.. Cover loosely with plastic wrap and refrigerate, 8 hours to overnight.. Remove roast from the refrigerator and allow to come to room temperature.. Preheat the oven to 200 degrees F (95 degrees C).. Mix butter, rosemary, thyme, and black pepper together in a small bowl.. Spread butter mixture over roast. Place roast in a large roasting pan.. Bake roast in the preheated oven until internal temperature reaches 115 degrees F (46 degrees C) for medium-rare, about 3 1/2 hours. Remove from the oven and tent with aluminum foil; allow to rest, about 20 minutes.. Meanwhile, increase the oven temperature to 500 degrees F (260 degrees C).. Once the oven has come up to temperature, uncover rested roast and return it to the oven. Bake until well-browned, 6 to 10 minutes. Slice and serve.","calories: 815, fat: 66g, carbs: 0g, protein: 51g, servings: 20",https://www.allrecipes.com/thmb/p5SIoe1K3UqPEhXv6FodKSNzuzA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4588858_Reverse-Sear-Prime-Rib-Roast-4x3-20e5f656835c41619ec6ed6941b1a790.jpg
Low and Slow Prime Rib,https://www.allrecipes.com/recipe/8520971/low-and-slow-prime-rib/,"{'quantity': '5', 'unit': 'pounds', 'name': 'prime rib roast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'very soft unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}",,"calories: 2152, fat: 196g, carbs: 1g, protein: 90g, servings: 4",https://cdn.jwplayer.com/v2/media/ltBv4jp3/poster.jpg?width=720
