name,link,ingredients,steps,nutrition,image_url
Cherry Cola Ribs,https://www.allrecipes.com/cherry-cola-ribs-recipe-7547750,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cherry cola'}, {'quantity': '1 (3 pound)', 'unit': 'rack', 'name': 'baby back ribs, membrane removed'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cherry cola'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}","For dry rub, whisk salt, smoked paprika, onion powder, garlic powder, and 1/2 teaspoon black pepper together in a small bowl; set aside.. For wet rub, whisk mustard, vinegar, and 2 tablespoons cherry cola together in a small bowl; set aside.. Preheat the oven to 250 degrees F (120  degrees C). Line a sheet pan with a piece of foil long enough to extend past the rack of ribs by at least 6 inches on both ends. Use large size, heavy-duty foil if possible. Place the ribs, meat side up, on the foil.. Brush wet rub over top and sides, and sprinkle about 60% of dry rub over the surface. Turn ribs over and, with the bone side up, brush with wet rub, then sprinkle with all the remaining dry rub. Reserve any wet rub left at this point.. Center the ribs lengthwise on the foil, and bring up the ends of the foil, like a boat, and crimp so any juices will stay inside. Crimp the two long edges together over the top of the ribs. The foil doesn’t have to be airtight, but the whole rack should be covered.. Bake in the preheated oven for 2 hours. Remove, open the foil, and pour off juices that have accumulated in the foil into a saucepan.. Turn the rack meat side up, and brush with wet rub. Enclose again in the foil, and continue to roast at 250 degrees F (120 degrees C) for 1 hour.. While meat is cooking, add any remaining wet rub to the juices in the saucepan, then add the 1 1/2 cups cherry cola, ketchup, and 1/4 teaspoon freshly ground black pepper.. Bring to a simmer on medium high, cook until liquid is reduced by half. Reduce heat further, and simmer liquids very slowly until they eventually thicken and become sauce-like. Once it is the thickness of barbecue sauce, remove from heat entirely.. After one hour at 250 degrees F (120 degrees C), remove ribs from the oven, and open out the foil, pressing foil flat to line the pan.. Turn the oven temperature up to 300 degrees F (150 degrees C).. Brush ribs with sauce. Return ribs to the oven for 15 minutes. Repeat this process, brushing ribs with sauce every 15 minutes, until ribs are tender and come easily off the bone, about 1 hour more. (See Note). Let ribs rest for about 10 minutes. Slice between each rib with a sharp knife, and serve with extra sauce.","calories: 105, fat: 6g, carbs: 7g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/2QA92BzL/poster.jpg?width=720
Oven-Baked Baby Back Ribs,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/,"{'quantity': '½', 'unit': 'cup', 'name': 'ancho chile powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground dried chipotle pepper'}, {'quantity': '1', 'unit': 'rack', 'name': 'baby back pork ribs'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 488, fat: 23g, carbs: 52g, protein: 19g, servings: 4",https://cdn.jwplayer.com/v2/media/ILqEhE4i/poster.jpg?width=720
Prize-Winning Baby Back Ribs,https://www.allrecipes.com/recipe/14539/prize-winning-baby-back-ribs/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'paprika'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '3', 'unit': 'pounds', 'name': 'baby back pork ribs'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 911, fat: 71g, carbs: 21g, protein: 48g, servings: 6",https://cdn.jwplayer.com/v2/media/HSeMccrJ/thumbnails/zgGUWKTH.jpg
Slow Cooker Baby Back Ribs,https://www.allrecipes.com/recipe/228498/slow-cooker-baby-back-ribs/,"{'quantity': '3', 'unit': 'pounds', 'name': 'baby back ribs, trimmed'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper, to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(18 ounce) bottle', 'name': 'barbeque sauce'}","Gather all ingredients.. Season ribs with salt and pepper.. Pour 1/2 cup water into the slow cooker, then add ribs. Scatter onion and garlic over top. Cover and cook on Low for 8 hours or High for 4 hours.. When the ribs are almost finished, preheat the oven to 375 degrees F (190 degrees C).. Transfer ribs from the slow cooker to a baking sheet; discard onion and garlic. Coat ribs with barbeque sauce.. Bake ribs in the preheated oven until sauce caramelizes and sticks to meat, 10 to 15 minutes.. Enjoy!","calories: 501, fat: 30g, carbs: 32g, protein: 24g, servings: 6",https://cdn.jwplayer.com/v2/media/YYAyOHbR/thumbnails/dO2vITRD.jpg
Dry Rub for Ribs,https://www.allrecipes.com/recipe/14556/dry-rub-for-ribs/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}",,"calories: 27, fat: 0g, carbs: 7g, protein: 0g, servings: 8",https://cdn.jwplayer.com/v2/media/WicdufAf/poster.jpg?width=720
BBQ Country-Style Ribs,https://www.allrecipes.com/recipe/23221/bbq-country-style-ribs/,"{'quantity': '10', 'unit': '', 'name': 'country style pork ribs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, thinly sliced'}, {'quantity': '1', 'unit': '(18 ounce) bottle', 'name': 'barbeque sauce'}","Gather all ingredients. Preheat the oven to 250 degrees F (120 degrees C).. Place ribs in a single layer in a shallow baking pan or roaster; salt if desired. Spread garlic on ribs, then arrange lemon slices on top. Bake in the preheated oven until tender, about 2 hours, covering the pan with foil after 1 hour.. Drain any grease and liquid; pour barbecue sauce over ribs.. Reduce oven temperature to 225 degrees F (110 degrees C) and cook ribs, uncovered, until sauce bakes into meat, about 1 hour.","calories: 625, fat: 31g, carbs: 39g, protein: 46g, servings: 5",https://cdn.jwplayer.com/v2/media/bPUHvdsh/thumbnails/06SYFbGa.jpg
Tender Pork Spare Ribs,https://www.allrecipes.com/recipe/216985/tender-pork-spare-ribs/,"{'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'fajita seasoning (such as Fiesta®)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Hungarian sweet paprika'}, {'quantity': '2', 'unit': 'racks', 'name': 'pork spareribs, fat trimmed'}, {'quantity': '1', 'unit': 'cup', 'name': 'beer'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared brown mustard'}","Gather all ingredients.. Mix brown sugar, fajita seasoning, and paprika in a bowl.. Rub both sides of pork spareribs with the brown sugar mixture.. Place spareribs in a 9x13-inch baking pan; cover and refrigerate 8 hours or overnight.. Preheat the oven to 250 degrees F (120 degrees C). Whisk together beer, garlic, honey, Worcestershire sauce, and mustard in a bowl. Set aside.. Tear off 2 large sheets of heavy-duty aluminum foil and lay them shiny-side down. Place a rack of spare ribs on each sheet, meaty-side up.. Tear off 2 more sheets of foil and place them on top of the spare ribs, shiny-side up. Begin tightly folding the edges of the foil together to create a sealed packet.. Just before sealing completely, divide beer mixture evenly into each packet.. Complete the seal. Place the packets side-by-side on an 11x14-inch baking sheet.. Bake ribs in the preheated oven until the ribs are very tender, 3 1/2 to 4 hours.. Carefully open each packet and drain drippings into a saucepan. You may only need the drippings from one packet.. Place ribs on a foil-lined baking sheet and set aside.. Heat the saucepan over medium-high and simmer drippings until the sauce begins to thicken, about 5 minutes.. Brush the thickened sauce over ribs.. Preheat the broiler and set the oven rack about 6 inches from the heat source. Return ribs to the oven and broil until the sauce is lightly caramelized, 5 to 7 minutes.","calories: 943, fat: 61g, carbs: 37g, protein: 58g, servings: 8",https://cdn.jwplayer.com/v2/media/yo2cn1Sl/thumbnails/bRlXt89h.jpg
Southern Grilled BBQ Ribs,https://www.allrecipes.com/recipe/16429/southern-grilled-barbecued-ribs/,"{'quantity': '4', 'unit': 'pounds', 'name': 'baby back pork ribs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'prepared mustard'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Place ribs in two 10x15-inch roasting pans. Pour water and red wine vinegar into a bowl; stir to mix. Pour diluted vinegar over ribs and cover with foil. Bake in the preheated oven for 45 minutes. Baste the ribs with juices halfway through cooking.. To make the BBQ sauce: Mix ketchup, water, vinegar, Worcestershire sauce, mustard, butter, brown sugar, hot pepper sauce, and salt together in a medium saucepan; bring to a boil. Reduce heat to low, cover, and simmer for 1 hour.. Preheat grill for medium heat.. Lightly oil preheated grill. Transfer ribs from the oven to the grill, discarding cooking liquid. Grill over medium heat for 15 minutes, turning ribs once. Baste ribs generously with BBQ sauce, and grill 8 minutes. Turn ribs, baste again with BBQ sauce, and grill 8 minutes.","calories: 519, fat: 36g, carbs: 25g, protein: 25g, servings: 8",https://www.allrecipes.com/thmb/udajhhMIg5zXTCPh9PuBYgwm9CA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9392451-southern-grilled-barbecued-ribs-CC-4x3-1-1d6d66bc91ae4ec3880166a46ea8d9ee.jpg
Simple BBQ Ribs,https://www.allrecipes.com/recipe/16448/simple-bbq-ribs/,"{'quantity': '2 ½', 'unit': 'pounds', 'name': 'country-style pork ribs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 441, fat: 22g, carbs: 25g, protein: 33g, servings: 4",https://cdn.jwplayer.com/v2/media/8FZu4fZr/poster.jpg?width=720
Grilled Country-Style Ribs,https://www.allrecipes.com/recipe/234339/grilled-country-style-ribs/,"{'quantity': '½', 'unit': 'cup', 'name': 'Burgundy wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'BBQ, plus more for basting'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'prepared yellow mustard'}, {'quantity': '4', 'unit': 'pounds', 'name': 'country-style pork ribs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}","Stir wine, BBQ sauce, cider vinegar, hot pepper sauce, Worcestershire sauce, and mustard together in a bowl until well mixed. Place ribs in a baking dish; pour wine mixture over ribs and coat thoroughly.. Mix onion powder and garlic powder in a bowl. Dust ribs with powder mixture; let marinate for 2 hours, turning once.. Preheat the grill to medium-low heat and lightly oil the grate.. Grill ribs, covered, over indirect heat on the preheated grill for 45 minutes, turning once.. Baste with barbeque sauce; continue grilling until meat is tender, about 15 minutes, turning and basting frequently.","calories: 577, fat: 40g, carbs: 8g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/7r8HEva1xdZhwUO2xCEZHQQ1_lk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1371654-a3218df8060d45079ce04b4edfc1ab77.jpg
