name,link,ingredients,steps,nutrition,image_url
Pork Chile Verde,https://www.allrecipes.com/pork-chile-verde-recipe-8642414,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'fresh tomatillos, or more to taste, husks removed'}, {'quantity': '3', 'unit': None, 'name': 'serrano peppers'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lard or vegetable oil'}, {'quantity': '3', 'unit': 'pounds', 'name': 'pork shoulder, or more to taste, trimmed and cut into 1 ½-inch cubes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow onion, coarsely chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, coarsely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'red wine'}, {'quantity': '1', 'unit': 'cup', 'name': 'low-sodium chicken stock'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine tomatillos, serrano peppers, and garlic in a bowl. Drizzle with olive oil and toss to coat. Transfer to a baking sheet.. Place in the preheated oven and roast until tender, about 30 minutes. Remove vegetables from oven, cool slightly, and transfer to the bowl of a food processor. Puree until smooth. Reduce oven temperature to 275 degrees F (135 degrees C).. While vegetables are roasting, heat lard in a Dutch oven or heavy oven-safe pot over medium-high heat. Sprinkle pork with garlic salt and pepper and add to the pot in batches. Cook each batch until browned, about 7 minutes, removing to a plate with a slotted spoon. Drain and discard all but 2 tablespoons pan drippings.. Add onion and bell pepper to the pot. Sauté, stirring occasionally, until onion has softened and turned translucent, about 5 minutes. Pour wine into the pan and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon. Stir in browned pork, tomatillo puree, chicken stock, cilantro, oregano, cumin, and salt.. Cover and cook in the oven until pork is tender, 3 ½ to 4 hours. Allow to stand for 15 minutes, covered, before serving.","calories: 411, fat: 29g, carbs: 6g, protein: 28g, servings: 12",https://www.allrecipes.com/thmb/1s7z66jxaiZOjy6G62_XbTXTtYI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/276974mexican-pork-chili-chile-verdeFranceC4x3-21ceadb12130461f8e870dfb6aba172d.jpg
Crispy Slow Cooker Carnitas,https://www.allrecipes.com/crispy-slow-cooker-carnitas-recipe-8628927,"{'quantity': '4', 'unit': 'pounds', 'name': 'pork shoulder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'orange, cut in half, juiced and peel reserved'}, {'quantity': '1', 'unit': 'lime, juiced', 'name': 'lime'}, {'quantity': '1', 'unit': None, 'name': 'white onion, quartered'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': None, 'unit': None, 'name': 'tortillas'}","Cut pork into 5 to 6 large chunks. Season each piece evenly with salt, pepper, garlic powder, chili powder, and cumin.. Heat oil in a large skillet over high heat. Add pork in a single layer to the hot skillet. If meat does not fit, do this step in 2 batches. Cook pork, untouched until well browned on the first side, 4 to 5 minutes. Flip and cook another 3 to 4 minutes. Remove meat and place into the bottom of a slow cooker.. To the hot skillet, add onion and cook 1 minute. Deglaze pan with orange juice, lime juice, and 1 1/4 cups water and scrape up any browned bits from the bottom of the skillet. Pour water mixture over pork in the slow cooker, add bay leaves, and cover.. Cook on High for 4 to 5 hours or on Low 6 to 7 hours or until pork is very tender.. Preheat the oven to broil. Remove pork from the slow cooker and shred into approximately 2 to 3 inch pieces and place on a rimmed baking sheet. Spoon some of the juices evenly over the pork, and reserve about 1 cup of juices for serving. Broil pork for 3 to 5 minutes, or until slightly crispy and browned, tossing halfway through if necessary.. Serve in toasted tortillas with japaleno slices, chopped onion, cilantro, and lime wedges, or as desired","calories: 900, fat: 46g, carbs: 68g, protein: 51g, servings: 10",https://cdn.jwplayer.com/v2/media/vS1jRE8y/thumbnails/9n2jGQ0T.jpg
Slow Cooker Texas Pulled Pork,https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(4 pound)', 'name': 'pork shoulder roast'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared yellow mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'extra large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, crushed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '8', 'unit': '', 'name': 'hamburger buns, split'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}",,"calories: 528, fat: 23g, carbs: 46g, protein: 32g, servings: 8",https://cdn.jwplayer.com/v2/media/0XuEeRk4/thumbnails/eBbPlqvB.jpg
Bob's Pulled Pork on a Smoker,https://www.allrecipes.com/recipe/236104/bobs-pulled-pork-on-a-smoker/,"{'quantity': '1', 'unit': '(8 pound)', 'name': 'pork shoulder roast'}, {'quantity': '1', 'unit': 'quart', 'name': 'apple cider, or as needed'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '', 'unit': '', 'name': '3 cups hickory chips, or more as needed, soaked in water'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}",,"calories: 442, fat: 32g, carbs: 15g, protein: 24g, servings: 20",https://cdn.jwplayer.com/v2/media/OlULrli2/thumbnails/r2mLfQOg.jpg
Pork Steaks,https://www.allrecipes.com/recipe/70463/pork-steaks/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '6', 'unit': '', 'name': 'pork butt steaks'}","Gather all ingredients.. Melt butter in a skillet over medium heat; stir in soy sauce. Add green onions and garlic and cook until lightly browned, about 2 minutes.. Place pork steaks in the skillet. Cover and cook until browned, 8 to 10 minutes per side. Remove the lid and continue cooking until an instant-read thermometer inserted into the thickest part of the steak reads 145 degrees F (63 degrees C), about 10 minutes.. Enjoy!","calories: 353, fat: 25g, carbs: 4g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/skf6XhOb/poster.jpg?width=720
"Daddy Eddie's Roast Pork (Pernil), Puerto Rican-Style",https://www.allrecipes.com/recipe/254168/daddy-eddies-roast-pork-pernil-puerto-rican-style/,"{'quantity': '10', 'unit': 'cloves', 'name': 'garlic, or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '5', 'unit': 'pounds', 'name': 'pork shoulder, trimmed of excess fat'}","Gather all ingredients.. Combine garlic cloves, olive oil, vinegar, oregano, salt, and black pepper in a mortar and pestle; mash into a paste.. Cut deep slits into pork with a small knife. Stuff slits with garlic paste; rub any remaining paste over pork.. Place pork in a plastic roasting bag and put in a roasting pan with a rack. Let marinate in the refrigerator, 8 to 48 hours.. Take pork out of the refrigerator, uncover, and bring to room temperature, 1 to 2 hours.. Preheat the oven to 300 degrees F (150 degrees C).. Roast pork skin-side down in the preheated oven until golden-brown, about 2 hours.. Flip pork and continue roasting, skin-side up, until juices run clear and an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 2 to 4 hours more.","calories: 355, fat: 24g, carbs: 2g, protein: 32g, servings: 8",https://www.allrecipes.com/thmb/4BXyFbWhGMDYc9DetnIFkVvelzE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/254168-Daddy-Eddies-Roast-Pork-Puerto-Rican-Style-DDMFS-3x4-0807-1a7b5a3ae25843268bf2a4321d832108.jpg
Boudin Balls,https://www.allrecipes.com/recipe/240805/boudin-balls/,"{'quantity': '1 ¾', 'unit': 'pounds', 'name': 'boneless pork shoulder, cut into 1-inch cubes'}, {'quantity': '6', 'unit': 'ounces', 'name': 'chicken livers, rinsed and trimmed'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced poblano pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'seeded and diced jalapeno pepper'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '4', 'unit': 'cups', 'name': 'cooked white rice, or more to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'oil for frying, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}","Gather the ingredients.. Stir pork shoulder, livers, onion, celery, poblano pepper, jalapeño pepper, garlic, salt, 1 1/2 tablespoons ground black pepper, chili powder, and 1 teaspoon cayenne pepper together in a large pot. Cover the pot with a lid and refrigerate until flavors combine, 2 hours to overnight.. Pour enough water into the pork mixture to cover by 2 inches; bring to a boil, reduce heat to low, and simmer until meat is tender, about 1 1/2 hours. Remove from heat. Pour mixture through a strainer, reserving strained liquid and meat separately.. Transfer drained meat mixture to a cutting board and finely chop.. Stir chopped meat, rice, parsley, and green onion together in a bowl. Gradually add reserved cooking liquid, one ladleful at a time, to meat mixture, stirring until completely incorporated between each addition, until mixture has a paste-like consistency. Cover the bowl with plastic wrap and refrigerate until chilled, at least 2 hours to overnight.. Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Roll chilled meat mixture into 1-inch balls.. Make a breading station: Whisk flour, 1 pinch cayenne pepper, salt, and black pepper together in a shallow bowl. Pour breadcrumbs into another shallow bowl. Beat eggs in another shallow bowl.. Gently press a ball into flour mixture to coat; shake off the excess flour. Dip ball into beaten egg; press ball into bread crumbs. Place breaded ball onto a plate and repeat breading process with remaining balls.. Working in batches, cook boudin balls in preheated oil, turning once, until crispy on the outside and hot on the inside, 3 to 4 minutes.","calories: 301, fat: 12g, carbs: 33g, protein: 14g, servings: 12",https://cdn.jwplayer.com/v2/media/TFya8RTf/poster.jpg?width=720
Pork Carnitas,https://www.allrecipes.com/recipe/219048/pork-carnitas/,"{'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'pounds', 'name': 'pork shoulder, cut into several large pieces'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '4', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}",,"calories: 250, fat: 19g, carbs: 2g, protein: 16g, servings: 12",https://cdn.jwplayer.com/v2/media/pQlHqmUe/poster.jpg?width=720
Hawaiian-Style Kalua Pork,https://www.allrecipes.com/hawaiian-style-kalua-pork-recipe-8661977,"{'quantity': '1', 'unit': '4 1/2 pound)', 'name': 'pork shoulder roast'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'liquid hickory smoke'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sea salt'}, {'quantity': '1', 'unit': '(!4 ounce) package', 'name': 'banana leaves, thawed'}",,"calories: 779, fat: 56g, carbs: 6g, protein: 62g, servings: 8",https://www.allrecipes.com/thmb/s9J7bTFrfmK8CQXkS9bQGW_u50w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8661977_Hawaiian-Style-Kalua-Pork_John-Mitzewich_4x3-62b7cf8d1474488381de906915ea5b73.jpg
Best Ever Cuban Sandwich,https://www.allrecipes.com/best-ever-cuban-sandwich-8631469,"{'quantity': '1/2', 'unit': None, 'name': 'white onion'}, {'quantity': '15', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '3', 'unit': None, 'name': 'oranges'}, {'quantity': '3', 'unit': None, 'name': 'limes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': '(5 pound)', 'name': 'pork shoulder roast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter, softened, divided'}, {'quantity': '1', 'unit': 'loaf', 'name': 'Cuban bread,'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'yellow mustard'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '8', 'unit': 'slices', 'name': 'Swiss cheese'}, {'quantity': '2', 'unit': 'cups', 'name': 'roast pork'}, {'quantity': '12', 'unit': 'ounces', 'name': 'deli ham'}, {'quantity': '12', 'unit': None, 'name': 'sandwich-sliced refrigerated kosher dill pickles'}","Prepare pork shoulder: Add onion, garlic, orange juice, lime juice, cumin, oregano, black pepper, and salt into a food processor or blender and process until smooth.. Place pork in the bottom of a heavy-bottomed Dutch oven or large baking dish and cut 3 or 4 large deep slits in the meat.  Pour marinade over pork, cover, and marinate in the refrigerator 4 hours or overnight.. Place Dutch oven with prepared pork, covered, in the oven and set the temperature to 325 degrees F (165 degrees C). Bake until pork is very tender, 3 to 4 hours. Remove from the oven; rest 15 minutes. Remove pork to a cutting board. Skim any fat from the cooking liquid, and set cooking liquid aside.. Shred pork with two forks, and discard any remaining fat and bone. Return pork to the pot, and add cooking liquid back into meat as needed to moisten.. Preheat the oven to 375 degrees F (190 degrees C).  Heat a large skillet over medium heat.. Spread about 2 tablespoons softened butter over cut sides of bread and place bread, buttered sides down, in skillet. Cook until buttered side is lightly browned and toasted, about 3 minutes.. Stir mustard and mayonnaise together in a small bowl. Spread about 2 teaspoons mustard mixture over bottom halves of bread and top with 1 slice of cheese, tearing as needed to fit the bread without hanging over the edges. Using tongs or a slotted spoon, add about 1/2 cup shredded pork to each sandwich, draining off any excess liquid. Top each evenly with ham, 3 pickle slices, and 1 cheese slice. Spread remaining mustard mixture evenly over top pieces of bread and place on top.. Reheat the skillet over medium heat. Spread about 1 tablespoon butter lightly on the outsides of the 4 bottom buns. Working 2 sandwiches at a time, place sandwiches, buttered side down, in skillet. Place 1 or 2 heavy-bottomed skillets on top of sandwiches to weigh them down. Cook until toasted and lightly golden brown, 2 to 3 minutes. Remove weighted skillets.. Spread remaining 1 tablespoon butter over the 4 top halves of sandwiches, flip and press with weighted skillets again until toasted. Remove the first 2 sandwiches from skillet; repeat the toasting process with remaining sandwiches. Cut sandwiches in halves and serve immediately.",,https://cdn.jwplayer.com/v2/media/dHsG7pV0/thumbnails/NeaWINmF.jpg
