name,link,ingredients,steps,nutrition,image_url
Air Fryer Chicken Quesadillas,https://www.allrecipes.com/air-fryer-chicken-quesadillas-recipe-8651412,"{'quantity': '2', 'unit': 'cups', 'name': 'shredded cooked chicken'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '8', 'unit': '(8 inch)', 'name': 'flour tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated cheese (see Note)'}, {'quantity': '16', 'unit': None, 'name': 'wooden toothpicks'}, {'quantity': None, 'unit': None, 'name': 'olive oil cooking spray'}","Preheat an air fryer to 360 degrees F (180 degrees C), according to manufacturer’s guidelines. Toss chicken with chili powder, cumin, and cayenne in a bowl.. Place a tortilla on a work surface and cover half the tortilla with about 2 tablespoons grated cheese. Top with 2 tablespoons chicken mixture, then top with 2 additional tablespoons grated cheese.. Fold tortilla in half and use wooden picks to hold the tortilla halves together. Spray both sides of the filled tortilla with olive oil spray.. Air fry quesadillas in a single layer until tortillas are lightly browned and cheese is melted, about 4 minutes per side. You may have to cook in batches. Serve warm with your favorite toppings.","calories: 622, fat: 30g, carbs: 50g, protein: 37g, servings: 4",https://www.allrecipes.com/thmb/UFCraBxg26c-HltxXR4T0RCb4YA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8651412_Air-Fryer-Quesadillas_Brenda-Venable_4x3-a3a0a260bb1f4365a5af73123d02255d.jpg
Air Fryer Quesadillas,https://www.allrecipes.com/air-fryer-quesadillas-recipe-8651442,"{'quantity': '2', 'unit': None, 'name': 'flour tortillas'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded cheese'}, {'quantity': None, 'unit': None, 'name': 'nonstick cooking spray'}","Heat tortillas in the microwave until pliable, about 15 seconds.. Place 1/4 cup cheese on one half of each tortilla; fold other half of tortilla over cheese. Place in  air fryer. Spray with non-stick cooking spray.. Set temperature to 375 degrees F (190 degrees C). Place quesadillas in the basket of the air fryer, and cook until golden brown, 4 to 6 minutes. Flip quesadillas, press down with a spatula, and air fry an additional 2 to 3 minutes.","calories: 253, fat: 12g, carbs: 25g, protein: 10g, servings: 2",https://www.allrecipes.com/thmb/aHFbMeMKdJ17MMJ3CgVH_W3AAWY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8651442_Air-Fryer-Quesadillas_Yolanda-Gutierrez_4x3-f6337f26f94d4f2a9beee324bfff56ae.jpg
Sheet Pan Quesadillas,https://www.allrecipes.com/sheet-pan-quesadillas-recipe-8642141,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': '(1.12 ounce) package', 'name': 'fajita seasoning mix'}, {'quantity': '8', 'unit': None, 'name': 'flour tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Mexican cheese blend'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'sour cream, for serving'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'pico de gallo, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, for garnish'}",,"calories: 555, fat: 19g, carbs: 61g, protein: 33g, servings: 8",https://www.allrecipes.com/thmb/GZAw1JvjSoW2EonasQBjfNrD720=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Sheet-Pan-Chicken-Fajita-Quesadillas-bde7b16f36054e2f80b973e1f3cc9aeb.jpg
Hawaiian Pizza Quesadillas,https://www.allrecipes.com/hawaiian-pizza-quesadillas-6588401,"{'quantity': '10', 'unit': '', 'name': 'flour tortillas'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'sliced ham'}, {'quantity': '3', 'unit': '(8 ounce) packages', 'name': 'shredded mozzarella and Cheddar cheese blend'}, {'quantity': '1', 'unit': '(8 ounce) jar', 'name': 'salsa'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pineapple chunks, drained'}, {'quantity': '1', 'unit': '(8 ounce) carton', 'name': 'sour cream (Optional)'}","Heat a griddle over medium-high heat. Toast one side of a tortilla, 1 to 2 minutes. Lay 2 to 3 slices of ham on the other side of the griddle to heat through. Flip toasted tortilla over, sprinkle with mozzarella and Cheddar cheese blend, layer with hot ham, spread with desired amount of salsa, sprinkle with desired amount of pineapple, and fold tortilla in half.. Turn quesadilla over and continue to cook until cheese is melted and tortilla has reached desired crispness, 2 to 4 minutes. Cut into wedges with a pizza cutter. Repeat with remaining ingredients. Serve with sour cream.","calories: 567, fat: 31g, carbs: 41g, protein: 31g, servings: 10",https://www.allrecipes.com/thmb/8CmvmRk3bp7fh5X9MmkILd9fjmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8380616-b9b217391c744400a10926c80e29b99b.jpg
Easy Quesadillas,https://www.allrecipes.com/recipe/14847/quesadillas-i/,"{'quantity': '10', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '1', 'unit': '(2 ounce) can', 'name': 'sliced black olives'}, {'quantity': '2', 'unit': '', 'name': 'avocados - peeled, pitted and sliced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot pepper sauce'}","Heat a large frying pan or griddle over a medium heat. Place one tortilla flat on the frying pan. Cook for 1 minute, then flip the tortilla over. Sprinkle a little more than 1/4 cup cheese on top of tortilla, followed by some olives, avocado, and hot pepper sauce. Place another tortilla on top to make a sandwich; cover with a lid. Cook for 1 minute, then flip the quesadilla. Cook until cheese has melted on the inside; transfer quesadilla to a plate. Repeat with remaining ingredients.. Cut the quesadillas into triangles and serve.","calories: 390, fat: 25g, carbs: 32g, protein: 15g, servings: 5",https://www.allrecipes.com/thmb/OcYCEKDWS5s7b5JpYNOUIClpke4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3553334-20d146297720415db8fd6b532a841bc6.jpg
2-Minute Cheese Quesadillas,https://www.allrecipes.com/recipe/228115/2-minute-cheese-quesadillas/,"{'quantity': '2', 'unit': '(10 inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Gather all ingredients.. Place one flour tortilla onto a large microwave-safe plate.. Sprinkle with Cheddar, then top with remaining tortilla.. Microwave on high until cheese is melted, about 1 minute. Slice like a pizza to serve.","calories: 446, fat: 24g, carbs: 37g, protein: 20g, servings: 2",https://www.allrecipes.com/thmb/0CXpazsfHu9R6A43kQW29juIs2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-228115-2-Minute-Cheese-Quesadillas-4x3-63ee4e50b1b345c0b0bd784ff8e4231d.jpg
Black Bean and Corn Quesadillas,https://www.allrecipes.com/recipe/104850/black-bean-and-corn-quesadillas/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'finely chopped onion'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'black beans, drained and rinsed'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'whole kernel corn, drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}, {'quantity': '8', 'unit': '(8 inch)', 'name': 'flour tortillas'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Monterey Jack cheese'}","Heat olive oil in a large saucepan over medium heat. Cook and stir onion in hot oil until softened, about 2 minutes. Stir in beans and corn, then add salsa, brown sugar, and red pepper flakes; mix well. Cook until heated through, about 3 minutes. Remove from heat.. Melt about 1 ½ teaspoons butter in a large skillet over medium heat. Place a tortilla in the skillet. Sprinkle with ¼ of the Monterey Jack cheese, then top with ¼ of the bean mixture. Place another tortilla on top; cook until the bottom is golden, then carefully flip and cook until the other side is golden. Repeat with remaining tortillas and filling.","calories: 363, fat: 15g, carbs: 46g, protein: 14g, servings: 8",https://cdn.jwplayer.com/v2/media/S0BjW6Xj/poster.jpg?width=720
Teriyaki Steak Quesadillas,https://www.allrecipes.com/teriyaki-steak-quesadillas-recipe-7972550,"{'quantity': '1/3', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mirin'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sake'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ginger'}, {'quantity': '1', 'unit': 'Thai', 'name': ""chili or bird's eye chili pepper""}, {'quantity': '1', 'unit': 'pound', 'name': 'skirt steak, cut into bite-sized pieces'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '8', 'unit': '10-inch)', 'name': 'flour tortillas'}, {'quantity': '1 1/4', 'unit': 'cup', 'name': 'quesadilla cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'mini bell pepper'}, {'quantity': None, 'unit': None, 'name': 'sesame seeds'}, {'quantity': None, 'unit': None, 'name': 'green onions'}, {'quantity': None, 'unit': None, 'name': 'Yum Yum sauce (optional)'}, {'quantity': None, 'unit': None, 'name': 'teriyaki sauce (optional)'}","Add soy sauce, mirin, sake, garlic, brown sugar, ginger, and Thai chili to the jar of a blender. Blend on high until smooth. Reserve 2 tablespoons marinade; pour remaining marinade into a resealable plastic bag.. Add steak to the resealable bag, close the bag, and marinate in the refrigerator for at least 30 minutes or up to overnight.. Heat oil in a large skillet over medium heat. Remove steak from the marinade,  shake off excess, and cook and stir steak in the skillet until browned, about 5 minutes. Discard the remaining marinade.. Meanwhile add broccoli to a microwave-safe steamer, and steam in the microwave until tender, about 3 minutes. Roughly chop the broccoli.. Remove steak to a plate to keep warm, and drizzle with the 2 tablespoons reserved marinade. Rinse the skillet and dry with a paper towel. Place 1 tortilla in the skillet, and add a 1/8 portion each of cheese, steak pieces, broccoli, and bell pepper to tortilla. Fold tortilla in half. Press down with a spatula, and cook until tortilla begins to brown and cheese melts, about 3 minutes. Carefully turn quesadilla over; cook until browned on the other side, about 3 minutes more. Repeat with remaining ingredients.. Cut quesadillas into wedges. Sprinkle with black sesame seeds and green onions; serve with Yum Yum sauce and teriyaki sauce, if desired.","calories: 632, fat: 23g, carbs: 72g, protein: 30g, servings: 8",https://www.allrecipes.com/thmb/Y2fSrR9wiJyrRBiQ9XzwZhlgcsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7972550_Teriyaki-Steak-Quesadillas_thedailygourmet_4x3-23dc2b25328d4194979a2f82df06c7fb.jpg
Shrimp Quesadillas,https://www.allrecipes.com/recipe/221294/shrimp-quesadillas/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, sliced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'pound', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '1', 'unit': None, 'name': 'jalapeño pepper, seeded and minced'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil, or as needed'}, {'quantity': '6', 'unit': 'large', 'name': 'flour tortillas'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded Mexican cheese blend, divided'}","Heat 2 tablespoons oil in a large skillet over medium-high heat. Add onion and bell peppers; cook, stirring frequently, until onion is translucent and peppers are soft, 6 to 8 minutes. Add salt, cumin, and chili powder; stir to coat vegetables.. Add shrimp; cook and stir until shrimp are opaque and no longer pink in the center, 3 to 5 minutes. Remove from the heat and stir in minced jalapeño and lime juice.. Heat another skillet over medium heat and brush with about 1 teaspoon oil. Place one tortilla in the hot skillet; spoon about 1/6 of the shrimp filling and 1/2 cup Mexican cheese blend onto one side of tortilla. Fold tortilla in half. Cook until lightly browned on the bottom, about 5 minutes. Flip and cook until lightly browned on the other side, 3 to 5 minutes. Repeat to make remaining quesadillas.","calories: 753, fat: 37g, carbs: 68g, protein: 38g, servings: 6",https://www.allrecipes.com/thmb/MXAVFUpt6uNK_eg7ty14hFwUdSM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1105449-shrimp-quesadillas-naples34102-4x3-1-70f041a5798640458b1000546be61c37.jpg
Chicken Quesadillas,https://www.allrecipes.com/recipe/21659/chicken-quesadillas/,"{'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast, diced'}, {'quantity': '1', 'unit': '(1.27 ounce) packet', 'name': 'fajita seasoning'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '', 'name': 'green bell peppers, chopped'}, {'quantity': '2', 'unit': '', 'name': 'red bell peppers, chopped'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '10', 'unit': '(10 inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bacon bits'}",,"calories: 472, fat: 22g, carbs: 40g, protein: 28g, servings: 10",https://cdn.jwplayer.com/v2/media/wnFNoXC1/poster.jpg?width=720
