name,link,ingredients,steps,nutrition,image_url
Crustless Spinach Quiche,https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen chopped spinach - thawed, drained, and squeezed dry'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded Muenster cheese'}",,"calories: 310, fat: 24g, carbs: 5g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/UnZYEYUL/thumbnails/v2tWXjut.jpg
Spinach Quiche,https://www.allrecipes.com/recipe/16664/spinach-quiche/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen chopped spinach, thawed and drained'}, {'quantity': '1', 'unit': '(4.5 ounce) can', 'name': 'mushrooms, drained'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'herb and garlic feta, crumbled'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': '', 'name': 'deep-dish pie shell'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}",,"calories: 613, fat: 48g, carbs: 24g, protein: 23g, servings: 6",https://cdn.jwplayer.com/v2/media/iVvO0GWX/thumbnails/mkDqfqVn.jpg
Loaded Vegetarian Quiche,https://www.allrecipes.com/recipe/228426/loaded-vegetarian-quiche/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'deep-dish pie crust'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'mushrooms, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped zucchini'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried basil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Colby-Jack cheese'}",,"calories: 284, fat: 20g, carbs: 17g, protein: 11g, servings: 8",https://cdn.jwplayer.com/v2/media/ENbZBXiq/thumbnails/D5oACi5A.jpg
Puff Pastry Ham and Broccoli Quiche,https://www.allrecipes.com/puff-pastry-ham-and-broccoli-quiche-recipe-8665973,"{'quantity': '1', 'unit': 'sheet', 'name': 'puff pastry'}, {'quantity': '1', 'unit': 'cup', 'name': 'broccoli'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped ham'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'shredded Gruyere cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'onion'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper (optional)'}, {'quantity': None, 'unit': None, 'name': 'parsley sprigs'}","Thaw puff pastry in the refrigerator until cold to the touch but easy to manipulate, about 4 hours, or according to package directions.. Preheat the oven to 400 degrees F (200 degrees C). Lightly flour a work surface. Place thawed puff pastry on the floured surface and unfold gently. Roll out pastry to a 13-inch  square. Trim the corners of pastry to a 13-inch circle and place in a 9-inch quiche or pie pan.. Fill pastry with pie weights or dried beans, and prick the sides with a fork. Place the pie pan on a baking sheet.. Bake in the center of the preheated oven for 8 to 10 minutes. If pastry puffs up while baking, gently press with the back of a fork and continue baking.. Remove from the oven and allow to cool slightly. Remove pie weights or dried beans.. Toss chopped broccoli, chopped ham, shredded cheese, and minced onion together in a bowl, and then pour into the baked crust.. Using the same bowl, add eggs, heavy cream, whole milk, and cayenne. Beat until the mixture has a uniform color and texture. Slowly pour egg mixture into crust and gently stir, to distribute egg mixture evenly with other ingredients.. Bake quiche on the baking sheet in the preheated oven, until a knife inserted into the center comes out clean, 35 to 40 minutes. If the knife has liquid on it when inserted, continue baking 3 to 5 minutes, and retest.. Remove to cool on a rack for 10 to 15 minutes. Garnish with fresh parsley or chopped scallions. Serve warm or at room temperature.","calories: 301, fat: 24g, carbs: 7g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/j8MqlqI9PtH81TNbphaWooiwCH8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8665973_Puff-Pastry-Ham-and-Broccoli-Quiche_Brenda-Venable_4x3-5f74832c8cad45ffa5e3c392afaf5d33.jpg
Asparagus and Ham Quiche Bites,https://www.allrecipes.com/asparagus-and-ham-quiche-bites-recipe-8619511,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'bunch', 'name': 'asparagus'}, {'quantity': '2', 'unit': 'ounces', 'name': 'smoked ham'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Gruyere cheese'}, {'quantity': '7', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'cream or milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'cayenne pepper to taste'}",,"calories: 134, fat: 10g, carbs: 2g, protein: 8g, servings: 12",https://cdn.jwplayer.com/v2/media/SEJwXVoj/thumbnails/xIiJC0FQ.jpg
Crab Quiche,https://www.allrecipes.com/recipe/71025/crab-quiche/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'deep-dish frozen pie crust'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'dashes', 'name': 'hot pepper sauce (e.g. Tabasco), or to taste'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'imitation crabmeat, flaked'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'stalk', 'name': 'green onion, chopped'}","Preheat the oven to 350 degrees F (175 degrees C).. Bake pie crust in the preheated oven until just starting to brown, about 10 minutes. Set aside to cool.. Meanwhile, whisk together eggs, cream, salt, pepper, and hot sauce in a large bowl until well combined. Stir in crabmeat, Monterey Jack, Parmesan, and green onion.. Pour crab mixture into cooled pie crust.. Bake in the preheated oven for 25 to 30 minutes. Turn the oven off, keep the door closed, and leave quiche in the oven until firm, 20 to 30 minutes. Remove from the oven and serve hot.","calories: 346, fat: 26g, carbs: 17g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/BCi2nYuHVAtbP80jDkLSqjmrhQg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Crab-Quiche-Jules-4x3-1-2000-cc125df3d25740ca91cac3455215fd34.jpg
Salmon and Swiss Chard Quiche,https://www.allrecipes.com/recipe/8490726/salmon-and-swiss-chard-quiche/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'bunch', 'name': 'Swiss chard, chopped'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sliced button mushrooms'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'smoked salmon'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'low-fat milk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '', 'unit': '', 'name': 'chopped fresh chives for garnish (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C). Coat a 9-inch pie plate with nonstick cooking spray.. Heat oil in a large skillet over medium heat. Add Swiss chard, mushrooms, and onion. Cook, stirring occasionally, until tender and most of the liquid has evaporated, about 10 minutes.. Spread chard mixture on bottom of prepared pie plate. Break salmon into pieces and arrange evenly over chard. Whisk together eggs, milk, salt, nutmeg, and pepper in a bowl. Pour over salmon.. Bake until a knife inserted in center comes out clean, 28 to 30 minutes. Cool about 10 minutes before cutting into wedges. Top with chives (if using).","calories: 555, fat: 24g, carbs: 48g, protein: 37g, servings: 6",https://www.allrecipes.com/thmb/NJnP_S51Wwhu6SHFT7YML397EJo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Salmon-and-Swiss-Chard-Quiche-83face0ebdc84420801dc9a9ca1c2f40.jpg
Creamy Ham and Cheese Quiche,https://www.allrecipes.com/recipe/241251/creamy-ham-and-cheese-quiche/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'refrigerated pie pastry'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Swiss cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced cooked ham'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey mustard'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '5', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).. Press pastry into the bottom of a 9-inch pie plate. Bake in the preheated oven for 5 minutes. Poke holes into the pastry with a fork and continue cooking until lightly browned, about 5 minutes more. Remove crust from the oven, and reduce the oven temperature to 350 degrees F (175 degrees C).. Mix 1/2 cup Cheddar cheese, Swiss cheese, and 1 tablespoon flour in a bowl; spread over warm crust.. Mix ham and honey mustard together in a bowl; spoon over cheese mixture.. Mix half-and-half, eggs, green onions, remaining 1 tablespoon flour, and salt together in bowl.. Pour mixture carefully over ham layer; top with remaining Cheddar cheese.. Bake in the preheated oven for 40 to 50 minutes until set in the center. Cool for 10 minutes before cutting.","calories: 327, fat: 23g, carbs: 16g, protein: 14g, servings: 8",https://cdn.jwplayer.com/v2/media/CRhifXKb/thumbnails/COMTV9Pe.jpg
Easy Quiche,https://www.allrecipes.com/recipe/23389/easy-quiche/,"{'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'biscuit baking mix'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'chopped frozen broccoli, thawed and drained'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'cubed cooked ham'}",,"calories: 371, fat: 27g, carbs: 13g, protein: 21g, servings: 8",https://cdn.jwplayer.com/v2/media/KBtqJ6eC/poster.jpg?width=720
Easy Bacon and Cheese Quiche,https://www.allrecipes.com/recipe/24474/easy-bacon-and-cheese-quiche/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'deep dish frozen pie crust'}, {'quantity': '1', 'unit': '(3 ounce) can', 'name': 'bacon bits'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '5', 'unit': 'ounces', 'name': 'shredded Swiss cheese'}, {'quantity': '3', 'unit': 'ounces', 'name': 'grated Parmesan cheese'}, {'quantity': '4', 'unit': '', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half cream'}",,"calories: 463, fat: 32g, carbs: 20g, protein: 25g, servings: 6",https://cdn.jwplayer.com/v2/media/5VfkPOCp/poster.jpg?width=720
