name,link,ingredients,steps,nutrition,image_url
15 Top-Rated Weeknight Casserole Recipes,https://www.allrecipes.com/gallery/weeknight-casserole-recipes/,,,,https://www.allrecipes.com/thmb/uqMVlAJ7p4Q2zb1Fw0pRJMQp4ac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3385004-bc992d7fba3f425f8eee1753196ed5b6.jpg
16 Incredibly Quick Chicken Cutlet Recipes,https://www.allrecipes.com/gallery/quick-chicken-cutlet-recipes/,,,,https://www.allrecipes.com/thmb/mcpdtd3KmWFL1_G6D9JAHYvdxtc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chicken-Milanese-fc93e3b829b7402e815c477402f4de8a.jpg
21 Easy Weeknight Dinners for Two,https://www.allrecipes.com/gallery/easy-weeknight-dinners-for-two/,,,,https://www.allrecipes.com/thmb/ueN_ZfX--qiLCbq5Xm96zAVgkak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1673637_Quick-and-Easy-Chicken-Piquant-photo-by-Lutzflcat-resize--fa36c36e21ee487a8520a8fd913797a1.jpg
Chef John's 20 Best Quick and Easy Recipes Ready in 45 Minutes or Less,https://www.allrecipes.com/45-minute-chef-john-recipes-8709765,,,,https://www.allrecipes.com/thmb/xc_YWu1FJKoCFHPLhnWxyyN2y2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/220751-QuickChickenPiccata-ddmfs-4X3-0548-be56e9c2a3564e2e8478014299fadf09.jpg
Miso Chicken Noodle Soup,https://www.allrecipes.com/miso-chicken-noodle-soup-recipe-8748347,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '8.5', 'unit': 'ounces', 'name': 'frozen udon noodles'}, {'quantity': '4', 'unit': 'ounces', 'name': 'rotisserie chicken'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'miso paste'}, {'quantity': None, 'unit': None, 'name': 'everything bagel seasoning,'}","In a saucepan over medium high heat, heat water to boiling. Add udon noodles. Cook until noodles are softened, 4 to 5 minutes.. Add rotisserie chicken. Turn heat to low. Remove 2 to 3 tablespoons water, and stir miso paste into water until smooth. Mix diluted miso paste back into noodles. Cook for 2 to 3 minutes.. Ladle soup into bowls and garnish with everything bagel seasoning.","calories: 223, fat: 8g, carbs: 19g, protein: 19g, servings: 2",https://www.allrecipes.com/thmb/ZzxdIrDHx6wJBGulcKfS0gLIhcY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8748347_Miso-Chicken-Noodle-Soup_TheDailyGourmet_4x3-9f1129c8a23d45d89210fe6def9fc220.jpg
Chilled Lo Mein Noodles with Szechuan Peppercorns,https://www.allrecipes.com/chilled-lo-mein-noodles-with-szechuan-peppercorns-recipe-8741115,"{'quantity': '6', 'unit': 'ounces', 'name': 'lo mein noodles (such as Simply Asia)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Chinese black rice vinegar or rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper, minced (seeded if desired)'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'peppercorns, crushed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dry-roasted peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped green onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cilantro leaves'}","Prepare noodles according to package directions. Drain; rinse with cold water until cool. Drain well. Use kitchen shears to cut noodles into smaller pieces.. For vinaigrette, whisk together oil, vinegar, soy sauce, sugar, jalapeño, garlic, and peppercorns in a small bowl until sugar dissolves.. In a serving bowl, toss noodles with vinaigrette until well coated. Top with peanuts, green onions, and cilantro.","calories: 145, fat: 10g, carbs: 10g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/sO8Le-2R2v8M5kyFxDzub02kLNk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741115-Chilled-Lo-Mein-Noodles-with-Szechuan-Peppercorns-Allrecipes-Magazine-4x3-517796abfade48d3bfd956da4bbeb5f9.jpg
32 Lazy Pasta Recipes for the Unmotivated Cook,https://www.allrecipes.com/lazy-pasta-recipes-8734061,,,,https://www.allrecipes.com/thmb/ZhDrBmciWzegNpBWB-5LXEvULao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Easyspaghettiwithtomatosauce_11715_DDMFS_4x3_2424-8d7bf30b2622465f9dd78a2c6277eeb8.jpg
Quick and Easy No-Chop Chicken and Wild Rice Soup,https://www.allrecipes.com/quick-and-easy-no-chop-chicken-and-wild-rice-soup-recipe-8733268,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'sweet peas and sliced carrots'}, {'quantity': '1', 'unit': '(6.5 ounce) can', 'name': 'mushroom pieces and stems, drained'}, {'quantity': '1', 'unit': '10 ounce) can', 'name': 'premium chicken breast in water'}, {'quantity': '1', 'unit': '(4.3 ounce) box', 'name': 'long grain and wild rice mix'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': None, 'unit': None, 'name': 'chopped green onions for garnish (optional)'}","Combine water, broth, peas and carrots, mushrooms, chicken, and rice mix with seasoning in a large pot. Bring to a boil over high heat. Reduce heat, cover, and simmer for 20 minutes.. Ladle into bowls; season with salt and pepper. Garnish with chopped green onions.","calories: 147, fat: 2g, carbs: 25g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/2VvkgeCkBOlWQgIaLYeR3lQDKjo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733268_Quick-and-Easy-No-Chop-Chicken-and-Wild-Rice-Soup_Nicole-Russell_4x3-a9f8b1a0f9784c6893ba54387fab8550.jpg
Chicken Pastina,https://www.allrecipes.com/chicken-pastina-recipe-8724837,"{'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'pastina'}, {'quantity': None, 'unit': None, 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Parmigiano Reggiano cheese'}, {'quantity': None, 'unit': None, 'name': 'extra-virgin olive oil'}",,"calories: 343, fat: 21g, carbs: 25g, protein: 13g, servings: 2",https://cdn.jwplayer.com/v2/media/drrDK19v/thumbnails/glznoNyQ.jpg
Sheet Pan General Tso's Chicken and Broccoli,https://www.allrecipes.com/sheet-pan-general-tso-s-chicken-and-broccoli-recipe-8715504,"{'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'sambal oelek'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hoisin sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'toasted sesame oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '4', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'frozen fully-cooked chicken nuggets'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice, or as needed, for serving'}, {'quantity': None, 'unit': None, 'name': 'green onions (optional)'}, {'quantity': None, 'unit': None, 'name': 'sesame seeds (optional)'}","Preheat the oven to 425 degrees F (220 degrees C).. Whisk sambal oelek, rice vinegar, hoisin sauce, soy sauce, sesame oil, brown sugar, and garlic together in a small saucepan. Heat over low heat until warm, about 5 minutes; set aside.. Place broccoli florets in a microwave safe bowl. Microwave on High for 2 minutes. Add olive oil, salt, and pepper; toss to coat.. Place nuggets on one half of a large baking sheet. Spread broccoli on the other half of the baking sheet.. Bake in the preheated oven for 20 minutes.. Place nuggets in a large bowl. Drizzle sauce over the top, and toss until evenly coated. Serve chicken over rice with roasted broccoli. Garnish with green onions and sesame seeds.","calories: 553, fat: 27g, carbs: 54g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/4Auq-zF9xMvX8lrFYcJ8gglK_x0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8715504_Sheet-Pan-General-Tsos-Chicken-and-Broccoli_Nicole-Russell_4x3-e7136208213f4be2b59f3bb82797cf3e.jpg
