name,link,ingredients,steps,nutrition,image_url
Cucumber Feta Quinoa Salad,https://www.allrecipes.com/cucumber-feta-quinoa-salad-recipe-8730491,"{'quantity': '1 1/3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2/3', 'unit': 'cups', 'name': 'quinoa'}, {'quantity': '1', 'unit': None, 'name': 'English cucumber'}, {'quantity': '1', 'unit': None, 'name': 'red pepper,'}, {'quantity': '1', 'unit': '(2.25 ounce) can', 'name': 'black olives,'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '6', 'unit': 'ounces', 'name': 'feta crumbles'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '1', 'unit': None, 'name': 'garlic clove,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh oregano'}","Bring water and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes. Drain, and cool to room temperature, about 20 minutes.. Combine quinoa, cucumber, red peppers, olives, and red onion in a large bowl; sprinkle with feta cheese.. Whisk olive oil, vinegar, garlic, mustard, parsley, and oregano together in a small bowl. Pour dressing over salad, toss well to combine, and serve.","calories: 173, fat: 12g, carbs: 11g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/TQleLPseigS6qrtYCsJzdNwTxw0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8730491_Cucumber-Quinoa-Feta-Salad_Maura-Rawlette_4x3-1e086f779cae47c88d5f5095bad73b55.jpg
Harvest Salmon Bowls,https://www.allrecipes.com/harvest-salmon-bowls-recipe-8724265,"{'quantity': '4', 'unit': '(6 ounce)', 'name': 'salmon filets'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'spicy brown mustard'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider vinegar'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'head', 'name': 'broccoli'}, {'quantity': '16', 'unit': 'ounces', 'name': 'Brussels sprouts'}, {'quantity': '4', 'unit': 'cups', 'name': 'cooked quinoa'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese, crumbled'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped pistachios'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. In a small bowl combine mustard, honey, and lemon juice; set aside.. Combine olive oil, maple syrup, apple cider vinegar, garlic, salt, and pepper in a large bowl. Add in broccoli and Brussels sprouts; toss until coated. Spread evenly onto the prepared sheet pan.. Roast in the preheated oven for 20 minutes. Remove pan from oven, toss vegetables, and spread out again. Place salmon filets onto sheet pan with vegetables, skin side down. Brush salmon with mustard mixture. Return to the oven; roast until fish flakes easily with a fork, 12 to 15 minutes.. Place 1 cup quinoa and a salmon filet in each serving bowl. Evenly divide vegetables into bowls and top with feta cheese, cranberries, and pistachios.","calories: 1175, fat: 64g, carbs: 97g, protein: 58g, servings: 4",https://www.allrecipes.com/thmb/4wXP3i1KEkFy8ODw7EcMEurOQVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724265_Harvest-Salmon-Bowls_Maura-Rawlette_4x3-2f5687cda3cc4ca19d2bfd32710f1321.jpg
Peach Quinoa Salad,https://www.allrecipes.com/peach-quinoa-salad-recipe-8699665,"{'quantity': '1/3', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable broth'}, {'quantity': '3', 'unit': 'ounces', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pecan pieces'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '3', 'unit': 'small', 'name': 'peaches'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'feta'}","Place quinoa in a fine mesh strainer and rinse under cold water. Drain.. Bring broth to a boil over medium heat in a saucepan. Add quinoa, cover, and reduce heat to low. Simmer until the liquid is absorbed and quinoa is tender, about 15 minutes. Remove from heat and let stand, covered, about 5 minutes. Fluff with a fork and allow to cool to room temperature, about 15 minutes.. Meanwhile, combine spinach, bell pepper, pecans, and drained red onion slices in a salad bowl.. In a small bowl, toss peach slices with orange juice (to slow oxidation) and add to the salad bowl.. For dressing, combine olive oil, balsamic vinegar, Dijon mustard, honey, and salt and pepper  in a small container or jar with a lid. Place the lid on the container and shake until ingredients are well blended.. Add quinoa to the salad ingredients, pour dressing over, and gently toss to combine. Garnish with feta crumbles and serve immediately.","calories: 355, fat: 28g, carbs: 25g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/5JdVcLWfn32F-DnPMkBmeAHR2_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8699665_Peach-Quinoa-Salad_Brenda-Venable_4x3-28b8b480192e40d5ba6f9d6ccbcbd944.jpg
Lemony-Dill Bulgur Pilaf,https://www.allrecipes.com/lemony-dill-bulgur-pilaf-recipe-8691944,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'bulgur'}, {'quantity': '2 to 3', 'unit': '2 to 3 cups', 'name': 'broth'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chopped fresh dill'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tzatziki'}","Heat oil in a medium saucepan over medium heat. Add bulgur (or other WHOLE GRAIN); cook, stirring occasionally, until toasted, about 4 minutes. Stir in vegetable broth ( or other BROTH), garlic, salt, and pepper. Bring to a boil over high heat. Reduce heat to low. Simmer, covered, until grain is tender. (Timing will depend on grain. See “Cook Times.”). Remove from heat and let stand 10 minutes; drain any excess liquid. Stir in dill (or other HERB), lemon zest (or other ZEST), and lemon juice (or other JUICE). Spoon tzatziki (or other TOPPING) over servings.","calories: 98, fat: 5g, carbs: 11g, protein: 4g, servings: 6",https://www.allrecipes.com/thmb/Zd_lI2nX0iGjZASygfiUro2O4Ts=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8691944-DillBulgurPilaf-Allrecipes-Magazine-GOLDMAN_ALR_Fall24_Spins_R324896_66743-1-4x3-5d01863f21aa40cda9c4167f1fe5ba51.jpg
Easy Quinoa Salad,https://www.allrecipes.com/recipe/229156/zesty-quinoa-salad/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '2', 'unit': '', 'name': 'limes, juiced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or more to taste'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'halved cherry tomatoes'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, drained and rinsed'}, {'quantity': '5', 'unit': '', 'name': 'green onions, finely chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 270, fat: 12g, carbs: 34g, protein: 9g, servings: 6",https://cdn.jwplayer.com/v2/media/p847ffUd/thumbnails/RpofJRbw.jpg
Quinoa Black Bean Burgers,https://www.allrecipes.com/recipe/220661/quinoa-black-bean-burgers/,"{'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced yellow bell pepper'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced onion'}, {'quantity': '1', 'unit': 'large clove', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': ""hot pepper sauce (such as Frank's RedHot®)""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}","Bring water and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender and water has been absorbed, about 15 to 20 minutes.. Roughly mash black beans with a fork, leaving some whole, to form a paste-like mixture. Mix quinoa, bread crumbs, bell pepper, egg, onion, garlic, cumin, hot pepper sauce, and salt into black beans using your hands. Form into 5 patties.. Add olive oil to a large skillet and heat on medium.. Cook patties until heated through and lightly browned, 2 to 3 minutes per side.","calories: 245, fat: 11g, carbs: 29g, protein: 9g, servings: 5",https://cdn.jwplayer.com/v2/media/Ub12ErLx/poster.jpg?width=720
Quinoa and Black Beans,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen corn kernels'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'black beans, rinsed and drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Gather all ingredients.. Heat oil in a large saucepan over medium heat. Add onion and garlic; cook and stir until lightly browned, about 10 minutes.. Mix quinoa into onion mixture and cover with vegetable broth; season with cumin, cayenne pepper, salt, and pepper.. Bring to a boil; cover, reduce heat, and simmer until quinoa is tender and broth is absorbed, about 20 minutes.. Stir in frozen corn and continue to simmer until heated through, about 5 minutes. Mix in black beans and cilantro.","calories: 153, fat: 2g, carbs: 28g, protein: 8g, servings: 10",https://cdn.jwplayer.com/v2/media/pYsx1VPN/poster.jpg?width=720
Quinoa Chicken,https://www.allrecipes.com/recipe/237406/quinoa-chicken/,"{'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil, or as needed'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, or to taste, minced'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground chicken'}, {'quantity': '1 ½', 'unit': '(10 ounce) cans', 'name': 'diced tomatoes with green chile peppers (such as RO*TEL®)'}","Gather all ingredients.. Bring chicken broth and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender and water has been absorbed, 15 to 20 minutes.. Meanwhile, heat vegetable oil in a large skillet over medium-high heat. Sauté onion and garlic in hot oil until onion is translucent, about 5 minutes. Add ground chicken; cook and stir until browned and crumbly, 5 to 7 minutes.. Stir cooked quinoa and diced tomatoes into chicken mixture; bring to a simmer and cook long enough for flavors to meld, about 10 minutes more.","calories: 275, fat: 7g, carbs: 22g, protein: 30g, servings: 6",https://www.allrecipes.com/thmb/Y31dNtIT2oSeCtj_w8bl8lEsvH4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237406-ddmfs-quinoa-chicken-4X3-2108-637bbcd1ff95412faeeb77744a3488df.jpg
Quinoa Side Dish,https://www.allrecipes.com/recipe/29915/quinoa-side-dish/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked quinoa'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'chopped fresh thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': 'dash', 'name': 'fresh lemon juice (Optional)'}",,"calories: 207, fat: 6g, carbs: 32g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/jOMqoQj1/poster.jpg?width=720
Rice vs. Quinoa: Which Is Healthier?,https://www.allrecipes.com/article/rice-vs-quinoa/,,,,https://cdn.jwplayer.com/v2/media/olVTcQGs/poster.jpg?width=720
Turkey and Quinoa Meatloaf,https://www.allrecipes.com/recipe/213211/turkey-and-quinoa-meatloaf/,"{'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'large clove', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': '(20 ounce) package', 'name': 'ground turkey'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot pepper sauce'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Bring 1/2 cup water and quinoa to a boil in a saucepan over high heat. Reduce the heat to medium-low, cover, and simmer until quinoa is tender and the water has been absorbed, 15 to 20 minutes. Set aside to cool.. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with foil.. Heat olive oil in a skillet over medium heat. Add onion; cook and stir until soft and translucent, about 5 minutes. Add garlic and cook for 1 more minute. Remove from the heat and cool slightly.. Mix brown sugar, 2 teaspoons Worcestershire sauce, and 1 teaspoon water together in a small bowl until a paste forms.. Mix turkey, cooked quinoa, onion mixture, egg, 2 tablespoons Worcestershire sauce, tomato paste, hot sauce, salt, and pepper together in a large bowl until well combined; the mixture will be very moist. Shape into a loaf and place onto the prepared baking sheet. Spread brown sugar paste over the top.. Bake in the preheated oven until no longer pink in the center, about 50 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Let cool for 10 minutes before slicing and serving.","calories: 259, fat: 11g, carbs: 15g, protein: 25g, servings: 5",https://cdn.jwplayer.com/v2/media/ERCdpHQt/poster.jpg?width=720
Best Greek Quinoa Salad,https://www.allrecipes.com/recipe/241071/best-greek-quinoa-salad/,"{'quantity': '3 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'quinoa'}, {'quantity': '1', 'unit': 'cup', 'name': 'halved grape tomatoes'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced pitted kalamata olives'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced red onion'}, {'quantity': '4', 'unit': 'ounces', 'name': 'chopped feta cheese, or more to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'lemon, halved'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Bring broth and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender and water has been absorbed, 15 to 20 minutes. Transfer quinoa to a large bowl and set aside to cool, about 10 minutes.. Mix tomatoes, parsley, kalamata olives, onion, feta cheese, olive oil, vinegar, and garlic into quinoa. Squeeze lemon juice over quinoa salad, season with salt and pepper, and toss to coat. Chill in refrigerator, 1 to 4 hours.","calories: 227, fat: 11g, carbs: 26g, protein: 7g, servings: 10",https://cdn.jwplayer.com/v2/media/lwKctyTh/poster.jpg?width=720
