name,link,ingredients,steps,nutrition,image_url
Mushroom Pilaf with Pine Nuts and Dried Cherries,https://www.allrecipes.com/mushroom-pilaf-with-pine-nuts-and-dried-cherries-recipe-8691875,"{'quantity': '3', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cremini mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'white rice'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'low-sodium vegetable stock'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pine nuts'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dried cherries'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'fresh basil,'}","Preheat the oven to 350 degrees F (175 degrees C).. Heat 2 teaspoons oil over medium heat in a large oven-safe skillet. Add mushrooms; cook, stirring occasionally, until browned, about 8 minutes. Add remaining 1 teaspoon olive oil and the rice; cook, stirring occasionally, until rice is fragrant, about 2 minutes. Stir in stock, pine nuts, cherries, salt, and pepper. Bring to a boil.. Bake, covered, in the preheated oven until liquid is absorbed, about 17 minutes. Let stand, covered, 5 minutes. Fluff with a fork. Sprinkle with fresh basil.","calories: 127, fat: 6g, carbs: 16g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/K9ZsuMh3WreB7OtdyIuTYVSV5QA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8691875-MushroomPilafwithPineNutsandDriedCherries-Allrecipes-Magazine-GOLDMAN_ALR_Fall24_Sides_R320596_4x3-29c717808e9540729b5a3e97e8f156c7.jpg
Cauliflower Rice Pilaf,https://www.allrecipes.com/cauliflower-rice-pilaf-recipe-8407678,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'shallots'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'white mushrooms'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'shredded carrots'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'turmeric'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'curry powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'bouillon'}, {'quantity': '1', 'unit': 'pound', 'name': 'riced cauliflower'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1/4', 'unit': 'cup minced fresh', 'name': 'parsley, plus more for garnish'}","Melt butter in a skillet over medium heat. When butter sizzles, add diced shallots and cook about 2 minutes. Add chopped mushrooms and cook, stirring occasionally, about 3 minutes.. Add carrots, and sprinkle on turmeric, curry powder, and paprika. Stir in minced garlic and cook until fragrant, about 30 seconds.. Add white wine and chicken flavor bouillon base. Stir until chicken base is dissolved into the liquid. Cook, stirring occasionally, about 3 minutes. See Cook's Note.. Add frozen riced cauliflower, and use a fork to break up any clumps. Cook, stirring occasionally, until all the liquid is evaporated and cauliflower is tender, 5 to 8 minutes.. Season with salt and pepper, to taste. Stir in fresh minced parsley and place in a serving  dish. Garnish with additional parsley, if desired.","calories: 93, fat: 4g, carbs: 9g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/6FgBAw4J0rvVIKyjBJhRS5pG9yE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8407678_Cauliflower-Rice-Pilaf_Brenda-Venable_4x3-55b25235e29c4c0aaae3841e23706aa6.jpg
Sarah's Rice Pilaf,https://www.allrecipes.com/recipe/203951/sarahs-rice-pilaf/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'orzo pasta'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}","Gather all ingredients.. Melt butter in a skillet over medium-low heat. Add orzo; cook and stir until orzo is golden brown.. Stir in onion and cook until onion becomes translucent.. Add garlic and cook for 1 minute. Stir in rice and chicken broth, turn heat to high, and bring to a boil.. Reduce heat to medium-low, cover the skillet, and simmer until rice is tender and liquid has been absorbed, 20 to 25 minutes.. Remove from the heat and let stand, covered, for 5 minutes. Fluff with a fork before serving.. Serve and enjoy!","calories: 244, fat: 7g, carbs: 40g, protein: 6g, servings: 4",https://cdn.jwplayer.com/v2/media/Q0yeDbnP/poster.jpg?width=720
Persian Rice,https://www.allrecipes.com/recipe/240606/persian-rice/,"{'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'basmati rice, rinsed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'russet potato, cut into 1/4-inch slices'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cumin'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, cut into thin slices, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley, or to taste'}","Place water and kosher salt in a pot; bring to a boil. Add rice; cook and stir for exactly 7 minutes. Drain.. Heat olive oil in a pot over medium-high heat. Cover the bottom of the pot with 1 layer of potato slices. Sprinkle cumin and salt over potatoes. Cook until potatoes are sizzling, 2 to 3 minutes; top potatoes with rice to form an even layer. Reduce heat to low and place butter slices over rice.. Top the pot with a layer of clean paper towels, then place the lid over the towels. Steam until rice is fluffy, about 45 minutes.. Grind saffron threads with a mortar and pestle. Mix crushed saffron with 1 1/2 tablespoons hot water in a large bowl. Add a couple of spoonfuls of rice to saffron mixture and stir until rice is yellow.. Spoon remaining rice into a serving bowl. Top with saffron rice and line the edges of the bowl with potatoes. Garnish with parsley.","calories: 255, fat: 8g, carbs: 42g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/BhRdV2Ev/poster.jpg?width=720
Mushroom Rice,https://www.allrecipes.com/recipe/45784/mushroom-rice/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '6', 'unit': '', 'name': 'mushrooms, coarsely chopped'}, {'quantity': '1', 'unit': '', 'name': 'green onion, finely chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chopped fresh parsley'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather all ingredients.. Melt butter in a saucepan over medium heat. Cook mushrooms, green onion, and garlic in butter until mushrooms are cooked and liquid has evaporated, about 5 minutes.. Stir in chicken broth and rice. Season with parsley, salt, and pepper.. Bring to a boil, then reduce heat. Cover and simmer until liquid is absorbed, about 20 minutes.","calories: 212, fat: 3g, carbs: 42g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/H1iVcobNaYOvVb368ClwCB0XytQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/45784-mushroom-rice-ddmfs-4x3-0675-f20e221a305642e89235ec322dc2b816.jpg
Classic Rice Pilaf,https://www.allrecipes.com/recipe/228044/classic-rice-pilaf/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'long-grain white rice'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C).. Melt butter and oil in a large saucepan over medium heat. Add onion; cook and stir until lightly browned, 7 to 8 minutes. Remove from the heat.. Place rice into a 9x13-inch casserole dish. Add onion and stir until rice is thoroughly coated. Place the dish on a baking sheet.. Combine chicken stock, salt, cayenne pepper, and saffron in a saucepan. Bring to a boil, then reduce the heat to low and simmer for 5 minutes.. Pour stock mixture over rice in the baking dish and stir to combine. Spread mixture evenly along the bottom of the pan and cover tightly with heavy-duty aluminum foil.. Bake in the preheated oven for 35 minutes. Remove from the oven and allow to rest, covered, for 10 minutes. Remove the foil and fluff rice with a fork.","calories: 312, fat: 9g, carbs: 52g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/PWb39HA8/poster.jpg?width=720
"Baked ""Fried"" Rice",https://www.allrecipes.com/recipe/272494/baked-fried-rice/,"{'quantity': '2', 'unit': 'cups', 'name': 'long-grain white rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame oil, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced ham'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced green onions'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced red bell peppers'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chile paste (Optional)'}","Preheat the oven to 400 degrees F (200 degrees C).. Place rice in an 8x12-inch baking dish. Drizzle in canola and sesame oils, then toss rice until completely coated. Add ham, green onions, bell peppers, carrots, peas, garlic, and salt. Stir until well combined.. Bring chicken broth, soy sauce, and chile paste to a boil in a saucepan over high heat. Pour broth over rice and stir briefly. Cover the baking dish tightly with heavy-duty aluminum foil.. Bake in the preheated oven for 32 minutes. Remove and let stand for 10 minutes. Increase the oven temperature to 475 degrees F (245 degrees C).. Carefully remove the foil and fluff rice with a fork. Taste and adjust seasoning. Return to the oven and cook until rice is browned and crusty on top, about 10 minutes.","calories: 361, fat: 10g, carbs: 57g, protein: 10g, servings: 6",https://cdn.jwplayer.com/v2/media/tRGYcF6O/poster.jpg?width=720
Black Rice,https://www.allrecipes.com/recipe/246000/black-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'black rice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cube', 'name': 'chicken bouillon'}","Gather all ingredients.. Melt butter in a saucepan over medium heat. Add black rice, onion, and almonds; cook and stir until lightly toasted, 5 to 10 minutes.. Add water and bouillon; bring to a boil.. Reduce the heat to low, cover, and simmer until rice is tender and liquid is absorbed, 25 to 30 minutes.","calories: 266, fat: 10g, carbs: 38g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/VKb-K8rPPjWUoNZSQ1PxychGgjs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/246000-black-rice-ddmfs-3x4-6091-17b51c590e914ab5877426ec0d56020a.jpg
Best Spanish Rice,https://www.allrecipes.com/recipe/33385/best-spanish-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'picante sauce'}","Gather all ingredients.. Heat oil in a large, heavy skillet over medium heat. Add onion; cook and stir until tender, about 5 minutes.. Add rice; cook and stir until rice begins to turn golden brown.. Stir in chicken broth and picante sauce.. Reduce heat, cover, and simmer until liquid has been absorbed, about 15 to 20 minutes.","calories: 286, fat: 6g, carbs: 51g, protein: 6g, servings: 5",https://cdn.jwplayer.com/v2/media/KDfen3Gc/thumbnails/AvTbISZP.jpg
Jasmine Rice,https://www.allrecipes.com/recipe/14136/jasmine-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'dry jasmine rice'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","In a large saucepan over a medium-low heat, warm the oil. Add onion and saute for 3 to 5 minutes. Mix in green peas, bay leaf, and jasmine rice. Stir to coat the rice.. Pour 3 cups water into the saucepan and add the salt. Increase the heat to medium and let the rice come to a quick simmer. Reduce heat to low and let rice simmer lightly and sit uncovered until all of the liquid is absorbed. Cover the rice and remove from heat. Let sit for about 40 minutes.","calories: 325, fat: 7g, carbs: 59g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/bcsmTUxTja-7i_JP8WDrzZ9SAEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1117118-jasmine-rice-naples34102-4x3-1-57a22a0875964357bf3030e3efbac523.jpg
