name,link,ingredients,steps,nutrition,image_url
Stuffed Dates for Ramadan,https://www.allrecipes.com/recipe/264554/stuffed-dates-for-ramadan/,"{'quantity': '20', 'unit': '', 'name': 'pitted dates'}, {'quantity': '20', 'unit': '', 'name': 'blanched almonds, toasted'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'creme fraiche'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped toasted almonds, or to taste'}",Stuff each date with 1 whole toasted almond and arrange on a serving platter. Spoon a little bit of creme fraiche over each date and sprinkle with chopped almonds.,"calories: 132, fat: 6g, carbs: 22g, protein: 2g, servings: 20",https://www.allrecipes.com/thmb/M59_zIuzRT_qI07UUmcrW-PFM70=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9186389_Stuffed-Dates-for-Ramadan-4x3-37cc83bf8d0b4b00907a74e417a4cb8f.jpg
15 Iftar Recipes to Break Fast,https://www.allrecipes.com/gallery/iftar-recipes/,,,,https://www.allrecipes.com/thmb/fwV9F8jzvDBHZA0cVKGzXypdwVM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/267015-pakistani-ground-beef-curry-lutzflcat-272f799380254e42a31e406d8dd2f22c.jpg
"Chorba Hamra bel Frik (Algerian Lamb, Tomato, and Freekeh Soup)",https://www.allrecipes.com/recipe/264552/chorba-hamra-bel-frik-algerian-lamb-tomato-and-freekeh-soup/,"{'quantity': '1', 'unit': 'cup', 'name': 'freekeh'}, {'quantity': None, 'unit': '12 ounces', 'name': 'lamb meat, cut into 1 1/2-inch cubes'}, {'quantity': '1', 'unit': '', 'name': 'onion, grated'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro, finely chopped, divided'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh mint, finely chopped, divided'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery'}, {'quantity': '½', 'unit': '(14 ounce) can', 'name': 'chickpeas, drained'}, {'quantity': '4', 'unit': 'cups', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': '', 'name': 'zucchini, diced'}, {'quantity': '1', 'unit': '', 'name': 'carrot, diced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '3', 'unit': 'medium', 'name': 'ripe tomatoes'}, {'quantity': '1', 'unit': '', 'name': 'potato, diced'}","Place freekeh in a small bowl and cover with cold water. Set aside.. Combine lamb, onion, black pepper, paprika, cinnamon, and salt in a pot. Stir in oil, 1/2 the cilantro, 1/2 the mint, and celery stalk until combined. Simmer over low heat for 15 minutes. Stir in chickpeas; pour in just enough water to cover, and return to a simmer. Stir in zucchini, carrot, and tomato paste.. Set a steamer over the pot; add tomatoes. Cover and steam tomatoes until soft, about 5 minutes. Crush tomatoes using a wooden spoon, so pulp drips into soup. Remove the steamer and discard leftover tomato peels.. Add potato to soup and just enough water to cover. Simmer until potato is soft, about 10 minutes.. Drain freekeh and add to soup. Simmer until soft, about 15 minutes. Remove celery stalk and discard. Sprinkle soup with remaining 1/2 cilantro and remaining 1/2 mint before serving.","calories: 277, fat: 11g, carbs: 34g, protein: 13g, servings: 8",https://www.allrecipes.com/thmb/PIx3yuCf-57Sd_LNaKpqY4TgyG8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5388803-159179023400477a919548c8666c8d9b.jpg
Kanafa,https://www.allrecipes.com/recipe/215590/kanafa/,"{'quantity': '1', 'unit': '(16 ounce) box', 'name': 'shredded phyllo dough (kataifi)'}, {'quantity': '1', 'unit': '(15 ounce) container', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '12', 'unit': 'ounces', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'rose water (Optional)'}","Preheat the oven to 400 degrees F (200 degrees C).. Prepare kanafa: Finely chop frozen, shredded phyllo dough using a food processor until the strands are about the size of a grain of rice. Pour into a large mixing bowl.. Mix together ricotta, mozzarella, and sugar in a separate bowl.. Place butter in a large, microwave-safe liquid measuring cup or bowl with a spout. Heat in a microwave until completely melted, and let it sit for several minutes until a thick white foam has formed on top. Clarify butter by using a spoon to skim off the foam.. Carefully pour butter into the bowl of phyllo dough. Avoid pouring in the white milk solids at the bottom of the clarified butter. Use your hands to mix butter and dough together. Make sure butter is absorbed by taking handfuls of the dough and rubbing it between your palms.. Evenly spread buttered phyllo dough into a 9x13-inch pan and firmly press it into the bottom and edges. Spread cheese mixture onto the dough, avoiding the edges of the pan.. Bake in the preheated oven until the cheese is slightly golden and the edges of dough are brown and bubbly, 30 to 35 minutes.. While the kanafa is baking, prepare the syrup: Combine 1 cup sugar and water in a small saucepan. Bring the mixture to a boil over medium-high heat. Reduce the heat to medium and stir in lemon juice. Simmer, stirring constantly, until the sugar is dissolved and the mixture is thickened, 5 to 7 minutes. Be careful not to let the mixture turn golden and caramelize. Remove from heat and add rose water; set aside.. Remove kanafa from the oven. Place a large platter or baking sheet over the baking dish. Using oven mitts, carefully invert the baking dish onto the platter so phyllo is on top. Pour syrup over kanafa. Cut into pieces and serve while hot.","calories: 664, fat: 42g, carbs: 59g, protein: 13g, servings: 8",https://www.allrecipes.com/thmb/kg1VgTKuxWOAZQF5MYPokpN3dUw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/215590-Kanafa-RunnerGirl_5380518_original-4x3-1-7ccd6c22b31a4df4b4fdf26b270d803f.jpg
Koshary,https://www.allrecipes.com/recipe/214832/koshary/,"{'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'chickpeas (garbanzo beans), drained and rinsed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': '(16 ounce) package', 'name': 'ditalini pasta'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'short-grain rice, rinsed'}, {'quantity': '', 'unit': '', 'name': 'cold water, to cover'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'dark brown lentils'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion, minced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': '(3 ounce) can', 'name': 'French-fried onions'}","Combine chickpeas, vinegar, coriander, cayenne pepper, and cumin in a resealable bag or container with a tight-fitting lid. Store in refrigerator while prepping remainder of dish, shaking occasionally.. Bring a pot of lightly salted water to a rolling boil. Cook pasta in the boiling water until cooked through yet firm to the bite, about 8 minutes; drain and set aside.. Combine rice with enough cold water to cover; allow to soak for 20 minutes. Drain.. Meanwhile, combine lentils with enough water to cover in a pot; season with salt and pepper. Bring the lentils to a boil and simmer until tender, about 30 minutes. Drain.. Heat olive oil in a saucepan over medium-high heat; cook and stir onion and garlic in hot oil until translucent, 5 to 7 minutes. Add crushed tomatoes; season with salt and pepper, reduce heat to medium-low, and maintain at a simmer while preparing remainder of dish.. Melt butter in a pot over medium-high heat; add rice, increase heat to high, and fry for 4 to 5 minutes, stirring constantly. Pour in chicken stock and bring to a boil. Season with salt and pepper; reduce heat to low, cover, and cook until rice is tender, and the liquid has been absorbed, about 20 minutes.. Mix rice and lentils together on a large serving platter. Spread cooked pasta over the rice and lentil mixture. Serve with marinated chickpeas, tomato sauce, and French-fried onions.","calories: 498, fat: 10g, carbs: 84g, protein: 18g, servings: 8",https://www.allrecipes.com/thmb/6-LIMjzEN2hkYu2m5Rjkm_nC-Rc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1709773780889_Koshary-4x3-recipeID-214832-e0b5750a25424e5cadcd9db8b89bf5a3.jpg
Turkish Eggs (Cilbir),https://www.allrecipes.com/recipe/277194/turkish-eggs-cilbir/,"{'quantity': '1', 'unit': 'cup', 'name': 'Turkish or Greek yogurt, at room temperature'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt, or to taste (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'finely chopped fresh dill, or to taste'}, {'quantity': '½', 'unit': 'stick', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Aleppo chile flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'diced jalapeno pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white vinegar, or as needed'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'sea salt'}","To make yogurt spread: Place yogurt in a medium bowl and grate in garlic; mix to combine. Season with pepper, salt, and cayenne. Add dill and mix thoroughly. Set aside at room temperature.. To make Aleppo butter: Melt butter in a saucepan over medium heat; heat until bubbles begin to burst. Add chile flakes, paprika, and cumin. Stir until color is uniform. Turn off heat and let spices infuse.. To make parsley and jalapeño oil: Grind parsley and jalapeño together in a mortar. Drizzle in olive oil and season with salt; stir to combine.. To make poached eggs: Fill a large saucepan with 2 to 3 inches of water and bring to a boil. Reduce heat to medium-low, add vinegar, and keep water at a gentle simmer. Crack an egg into a small bowl, then gently slip egg into water, holding the bowl just above surface of water. Repeat with remaining eggs. Cook until whites are firm and yolks have thickened but are not hard, 2 1/2 to 3 minutes. Remove with a slotted spoon, pat dry on a kitchen towel, and place onto a warm plate.. Dollop yogurt mixture onto serving plates. Use the back of a spoon to spread yogurt, carving ridges into the top to catch oil. Drizzle some jalapeño oil. Top with eggs and 1 to 2 spoonfuls of Aleppo butter. Sprinkle sea salt on top.","calories: 616, fat: 57g, carbs: 9g, protein: 20g, servings: 2",https://cdn.jwplayer.com/v2/media/Uru8gxsB/poster.jpg?width=720
Homemade Pita Bread,https://www.allrecipes.com/recipe/232719/chef-johns-pita-bread/,"{'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (100 degrees F / 38 degrees C)'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1 ¾', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, divided'}","Gather all ingredients.. Place yeast in the bowl of a stand mixer and add 1 cup warm water and 1 cup flour. Whisk together, then let sit until mixture bubbles and foams, about 15 minutes.. Add 1 1/2 tablespoons olive oil and salt into the yeast mixture, followed by 1 1/2 cups flour. Mix at low speed, using a dough hook attachment, until dough is soft, supple, and slightly sticky. Knead dough with machine on low speed until slightly springy and still soft, 5 to 6 minutes. If dough sticks to the sides of the bowl, add up to 1/4 cup more flour, a little at a time.. Turn dough out onto a floured work surface and form into a ball.. Wipe inside of bowl with 1/4 teaspoon olive oil. Turn dough around in bowl to lightly cover with oil; cover bowl with foil and let rise until dough has doubled in size, about 2 hours.. Once dough has doubled, remove from bowl and place onto a lightly floured work surface. Lightly pat into a flat shape about 1-inch thick. Use a knife to cut dough into 8 equal pieces.. Form each piece into a small round ball with a smooth top, pulling dough from the sides and tucking the ends underneath the bottom.. Cover dough balls with lightly oiled plastic wrap and let rest for 30 minutes.. Transfer the dough balls to a lightly floured work surface and sprinkle the tops with flour. One at a time, gently pat the dough with your fingers, forming a flat, round disc about 1/4-inch thick. Let the shaped dough rest for 5 minutes.. Brush a cast iron skillet with remaining 3/4 teaspoon olive oil and place over medium-high heat. Lay one round of dough into the hot skillet; cook for 30 seconds, then flip and cook for 1 to 2 minutes. Flip again and cook the first side for 1 to 2 minutes more, until both sides are golden brown.. Stack cooked breads on a plate; when cool enough to handle, slice breads in half and open the pocket inside for stuffing.","calories: 187, fat: 4g, carbs: 33g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/Bu72YgtC/thumbnails/gX6CmlxZ.jpg
Shakshuka,https://www.allrecipes.com/recipe/213717/chakchouka-shakshouka/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly sliced bell peppers, any color'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced, or to taste'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'chopped tomatoes'}, {'quantity': '1', 'unit': '', 'name': 'hot chile pepper, seeded and finely chopped, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}","Gather all ingredients.. Heat olive oil in a skillet over medium heat. Stir in onion, bell pepper, and garlic; cook and stir until vegetables have softened and onion has turned translucent, about 5 minutes.. Meanwhile, mix together tomatoes, chile pepper, cumin, paprika, and salt in a bowl.. Stir tomato mixture into onion mixture. Simmer, uncovered, until tomato juices have cooked off, about 10 minutes.. Make 4 indentations in tomato mixture; crack eggs into indentations. Cover the skillet and cook until eggs are firm but not dry, about 5 minutes.. Serve and enjoy!","calories: 209, fat: 15g, carbs: 13g, protein: 8g, servings: 4",https://cdn.jwplayer.com/v2/media/w8BDp8oY/poster.jpg?width=720
Persian Rice,https://www.allrecipes.com/recipe/240606/persian-rice/,"{'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'basmati rice, rinsed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'russet potato, cut into 1/4-inch slices'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cumin'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, cut into thin slices, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley, or to taste'}","Place water and kosher salt in a pot; bring to a boil. Add rice; cook and stir for exactly 7 minutes. Drain.. Heat olive oil in a pot over medium-high heat. Cover the bottom of the pot with 1 layer of potato slices. Sprinkle cumin and salt over potatoes. Cook until potatoes are sizzling, 2 to 3 minutes; top potatoes with rice to form an even layer. Reduce heat to low and place butter slices over rice.. Top the pot with a layer of clean paper towels, then place the lid over the towels. Steam until rice is fluffy, about 45 minutes.. Grind saffron threads with a mortar and pestle. Mix crushed saffron with 1 1/2 tablespoons hot water in a large bowl. Add a couple of spoonfuls of rice to saffron mixture and stir until rice is yellow.. Spoon remaining rice into a serving bowl. Top with saffron rice and line the edges of the bowl with potatoes. Garnish with parsley.","calories: 255, fat: 8g, carbs: 42g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/BhRdV2Ev/poster.jpg?width=720
Chicken Biryani,https://www.allrecipes.com/recipe/16102/chicken-biryani/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'vegetable oil, divided'}, {'quantity': '4', 'unit': 'small', 'name': 'potatoes, peeled and halved'}, {'quantity': '2', 'unit': 'large', 'name': 'onions, finely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh ginger root'}, {'quantity': '2', 'unit': '', 'name': 'medium tomatoes, peeled and chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'plain yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh mint leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cardamom'}, {'quantity': '1', 'unit': '(2 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '3', 'unit': 'pounds', 'name': 'boneless, skinless chicken pieces cut into chunks'}, {'quantity': '1', 'unit': 'pound', 'name': 'basmati rice'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '5', 'unit': 'pods', 'name': 'cardamom'}, {'quantity': '3', 'unit': '', 'name': 'whole cloves'}, {'quantity': '1', 'unit': '(1 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'pinch', 'name': 'powdered saffron'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}","Gather all ingredients.. Heat 2 tablespoons of oil in a large skillet. Fry potatoes in hot oil until lightly browned, about 3 to 5 minutes. Remove to a paper towel-lined plate to drain; set aside.. Add remaining 2 tablespoons of oil to the skillet. Add onions, garlic, and fresh ginger; cook and stir until onion is soft and golden. Add tomatoes, salt, cumin, chili powder, pepper, and turmeric; cook, stirring constantly, for 5 minutes.. Stir in yogurt, mint, ground cardamom, and cinnamon stick. Cover and cook over low heat, stirring occasionally, until tomatoes are cooked to a pulp. It may be necessary to add a little hot water if mixture becomes too dry and starts to stick to the pan.. Add chicken and stir well to coat. Cover and cook over very low heat until chicken is tender, 35 to 45 minutes. There should only be a little very thick gravy left when chicken is finished cooking. If necessary cook uncovered for a few minutes to reduce the gravy.. Meanwhile, make the rice: Wash rice well and drain in a colander for at least 30 minutes.. Heat oil in a large skillet. Add onion; cook and stir until golden. Add cardamom pods, cloves, cinnamon stick, ground ginger, and saffron; stir in rice until coated with spices.. Heat stock and salt in a medium pot until hot; pour over rice and stir well.. Add chicken mixture and potatoes; stir gently to combine. Bring to a boil.. Reduce heat to very low, cover with a tight-fitting lid, and steam for 20 minutes without lifting the lid or stirring.. Spoon biryani onto a warm serving dish.","calories: 832, fat: 35g, carbs: 79g, protein: 48g, servings: 6",https://cdn.jwplayer.com/v2/media/ia1w70He/poster.jpg?width=720
