name,link,ingredients,steps,nutrition,image_url
Lobster Ravioli,https://www.allrecipes.com/recipe/8465292/lobster-ravioli/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'mascarpone cheese'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold unsalted butter, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'shallot, finely chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh chives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh tarragon leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated lemon zest'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cooked lobster meat, cut into bite-size pieces'}, {'quantity': '¾', 'unit': 'cup', 'name': 'bottled clam juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '¾', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry tomatoes, halved'}, {'quantity': '', 'unit': '', 'name': 'fresh herbs, for garnish'}","Place flour in a large bowl and create a well in the center. Add eggs and 1/4 teaspoon salt to well; beat using a fork to break up egg mixture. Slowly begin to incorporate flour into egg mixture, stirring from the center and gradually working outwards until shaggy pieces of dough begin to form. Use your hands to bring shaggy dough pieces together to form a shaggy ball. Transfer shaggy ball and any remaining flour in bowl to a clean work surface. Knead, pressing any loose flour into dough, until dough is smooth and elastic, 10 to 12 minutes.. Wrap dough tightly in plastic wrap; let rest at room temperature at least 1 hour or up to 2 hours, or in a refrigerator up to 1 day. (If refrigerating, let come to room temperature before rolling.). Place mascarpone in a small bowl; set aside. Melt 2 tablespoons butter in a medium skillet over medium heat. Add garlic and shallot; cook, stirring often, until softened, about 2 minutes. Stir shallot mixture into mascarpone in bowl along with herbs, lemon zest and juice, pepper, and remaining salt until combined. Gently stir in lobster. Chill, covered, for 15 minutes.. While lobster filling chills, unwrap dough, and divide evenly into 2 portions. Place 1 dough portion on a clean work surface; wrap remaining dough portion in plastic wrap. Shape dough into a rectangle; press dough to flatten using heel of hand. Starting with the widest setting, pass dough through pasta machine 2 times. Fold the outer tapered ends of pasta sheet in toward the center like an envelope, so that the width of the pasta sheet is similar to the width of the pasta roller. Pass pasta sheet through widest setting 1 more time. Continue rolling pasta through machine, reducing roller width 1 notch at a time, until sheet is about 1/16-inch thick and you can see the outline of your hand through the sheet. Cut sheet in half crosswise to make them easier to work with. Cover 1 sheet loosely with plastic wrap. Lightly dust work surface with flour and place remaining dough sheet on surface.. Leaving a 1-inch edge from the short sides of the dough sheet, place 1-tablespoon mounds of lobster filling 2 inches apart along center of sheet (about 4 to 6 mounds per sheet). Lightly brush dough around lobster filling with water. Loosely lift long edge of dough sheet and fold over filling, lining up edges. Press on dough around each mound to seal and press out air pockets. Using a fluted pastry wheel or pizza cutter, trim the unfolded edge of the ravioli. Cut pasta between mounds to form individual ravioli. Place ravioli on a baking sheet lined with a clean kitchen towel. Cover with a second clean kitchen towel. Repeat process with remaining pasta sheet, dough, and filling.. Cut remaining 4 tablespoons butter into 4 pieces. Bring clam juice and wine to a simmer in a large skillet over high heat. Simmer, undisturbed, until reduced to about 1/3 cup, about 7 minutes. Gradually stir in remaining 4 tablespoons butter, one piece at a time, waiting until butter is nearly melted before adding the next piece. Stir in heavy cream. Cook over high heat, stirring often, until sauce is thick enough to lightly coat back of a spoon, about 2 minutes. Stir in tomatoes. Remove from heat and cover to keep warm.. Bring a large pot of salted water to a boil over high heat. Working in 2 batches if needed, boil ravioli until tender, 4 to 6 minutes. Drain. Divide ravioli among 4 plates. Drizzle cream sauce evenly over ravioli. Garnish with herbs.","calories: 799, fat: 57g, carbs: 45g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/FXnVPEsNX3uejRtnnqVVXfItB3w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Lobster-raviolis-mfs_004_4x3-d53a128124744dc6a75a2b4e317a8cd6.jpg
Homemade Four Cheese Ravioli,https://www.allrecipes.com/recipe/213131/homemade-four-cheese-ravioli/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole milk ricotta cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded provolone cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated parmesan'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1⁄8', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'cold water, for sealing'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'prepared basil pesto'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'marinara sauce'}",,"calories: 1270, fat: 89g, carbs: 80g, protein: 38g, servings: 4",https://cdn.jwplayer.com/v2/media/4ggHTerl/thumbnails/aNBxkI2s.jpg
St. Louis Toasted Ravioli,https://www.allrecipes.com/recipe/16907/st-louis-toasted-ravioli/,"{'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'marinara sauce'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'whole milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '½', 'unit': '(25 ounce) package', 'name': 'frozen cheese ravioli, thawed'}, {'quantity': '3', 'unit': 'cups', 'name': 'vegetable oil for frying, or as needed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated Parmesan cheese'}","Gather all ingredients.. Heat marinara sauce in a saucepan over medium heat until bubbling; reduce the heat to low and simmer until needed.. Meanwhile, whisk egg and milk together in a small bowl. Whisk bread crumbs and salt together in a second small bowl.. Dip each ravioli in milk mixture, then in bread crumbs to coat.. Heat 2 inches oil in a large, heavy pan until a small amount of breading sizzles and turns brown. Fry ravioli, a few at a time, until golden, about 1 minute per side. Drain on paper towels.. Sprinkle warm ravioli with Parmesan and serve immediately with hot marinara sauce on the side.","calories: 374, fat: 19g, carbs: 39g, protein: 11g, servings: 6",https://cdn.jwplayer.com/v2/media/gHf1kSi5/thumbnails/jvDzStPo.jpg
Air Fryer Ravioli,https://www.allrecipes.com/recipe/278684/air-fryer-ravioli/,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Italian-style bread crumbs (such as Vigo®)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly grated Pecorino Romano cheese'}, {'quantity': '1', 'unit': '(9 ounce) package', 'name': 'refrigerated spinach and mozzarella ravioli'}, {'quantity': '', 'unit': '', 'name': 'olive oil cooking spray'}, {'quantity': '1', 'unit': 'cup', 'name': 'marinara sauce, heated'}","Preheat an air fryer to 350 degrees F (175 degrees C) according to manufacturer's instructions.. Beat egg and water together in a small bowl. Combine bread crumbs and Pecorino Romano cheese on a plate. Dip 1 ravioli into beaten egg mixture, then into bread crumb mixture, pressing to coat. Place breaded ravioli on a plate and repeat with remaining ravioli. Lightly spray ravioli with cooking spray.. Place as many ravioli in the air fryer basket as you can without overlapping them.. Cook in the preheated air fryer for 6 minutes; flip ravioli using tongs and cook for 4 minutes more. Remove from the air fryer and repeat with remaining ravioli. Serve with your favorite marinara sauce for dipping.","calories: 373, fat: 13g, carbs: 46g, protein: 18g, servings: 3",https://www.allrecipes.com/thmb/66VE-4Ou_gw9OR11g95BykNKmms=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7708883-4a20b7a5d32648ca8a750ca194c9c305.jpg
Gorgonzola Cream Sauce,https://www.allrecipes.com/recipe/235470/gorgonzola-cream-sauce/,"{'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '6', 'unit': 'ounces', 'name': 'dry miniature ravioli'}, {'quantity': '3', 'unit': 'ounces', 'name': 'crumbled Gorgonzola cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped Italian flat leaf parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '½', 'unit': '', 'name': 'apple, diced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped toasted walnuts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped Italian flat leaf parsley'}","Place a heavy skillet over medium heat. Pour cream into skillet, bring to a simmer, and cook cream until it reduces by half, about 8 minutes, stirring occasionally. Season with salt, black pepper, and cayenne pepper.. Bring a pot of salted water to a boil. Pour dried ravioli into boiling water and cook, stirring occasionally, until pasta is tender, 16 to 18 minutes. Drain pasta, reserving a cup of pasta water.. Gently fold cooked ravioli into cream sauce and turn heat to low. Mix in Gorgonzola cheese, stirring gently until melted. If sauce is too thick, thin it with a little pasta cooking water.. Stir in 2 tablespoons parsley and Parmesan cheese. Transfer to a serving bowl and sprinkle with diced apple, walnuts, and 1 teaspoon parsley.","calories: 300, fat: 24g, carbs: 13g, protein: 9g, servings: 6",https://cdn.jwplayer.com/v2/media/EyxMGZoP/poster.jpg?width=720
Randy's Slow Cooker Ravioli Lasagna,https://www.allrecipes.com/recipe/234397/randys-slow-cooker-ravioli-lasagna/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '(24 ounce) jars', 'name': 'prepared pasta sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': '(25 ounce) package', 'name': 'frozen cheese ravioli'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Heat a large skillet over medium-high heat. Cook and stir beef, garlic, garlic powder, salt, and pepper in the hot skillet until meat is browned and crumbly, 5 to 7 minutes. Drain and discard grease. Stir pasta sauce, Italian seasoning, basil, and oregano into ground beef mixture.. Ladle a generous layer of meat sauce into the bottom of a slow cooker; add a layer of ravioli. Ladle another layer of meat sauce over ravioli layer; alternate with remaining ravioli and meat sauce until all ingredients are used.. Cook on Low for 3 to 5 hours. Sprinkle ravioli mixture with mozzarella cheese and continue cooking until cheese is melted, 45 minutes to 1 hour more.","calories: 544, fat: 24g, carbs: 53g, protein: 29g, servings: 8",https://cdn.jwplayer.com/v2/media/jVro9p7H/poster.jpg?width=720
Beefy Baked Ravioli,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': '(25 ounce) package', 'name': 'frozen cheese ravioli'}, {'quantity': '1', 'unit': '(14 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated Parmesan cheese'}",,"calories: 465, fat: 24g, carbs: 31g, protein: 31g, servings: 6",https://cdn.jwplayer.com/v2/media/0hRTfy0n/thumbnails/H491JvHP.jpg
Breaded Toasted Ravioli,https://www.allrecipes.com/recipe/148794/breaded-toasted-ravioli/,"{'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '1', 'unit': '(25 ounce) package', 'name': 'cheese ravioli, thawed if frozen'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Preheat an oven to 400 degrees F (200 degrees C). Place a wire rack on a baking sheet.. Beat together the egg white and water in a small bowl. Mix bread crumbs, oregano, basil, and Parmesan cheese in a large bowl.. Dip each ravioli in the beaten egg, and then roll in the bread crumb mixture. Spray both sides of breaded ravioli with cooking spray; place on the wire rack.. Bake breaded ravioli in preheated oven until golden brown and crispy, 15 to 25 minutes.","calories: 432, fat: 12g, carbs: 61g, protein: 20g, servings: 5",https://cdn.jwplayer.com/v2/media/TCMqbFC9/poster.jpg?width=720
Chicken and Spinach Ravioli,https://www.allrecipes.com/recipe/70509/chicken-and-spinach-ravioli/,"{'quantity': '4', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '3 ¾', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'pound', 'name': 'ground chicken'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped fresh spinach'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'freshly grated Asiago cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper to taste'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'marinara sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly grated Asiago cheese for topping'}","In a bowl, mix the eggs, water, 2 cups flour, and salt. Gradually mix in the remaining flour until smooth. Divide dough into 2 parts. Cover, and set aside in the refrigerator 20 minutes.. In a skillet over medium heat, cook the ground chicken until evenly brown; drain.. In a food processor, mix the chicken, spinach, and onion. Transfer to a bowl, and mix with butter, 3 tablespoons Asiago cheese, salt, garlic powder, nutmeg, and pepper.. On a lightly floured surface, roll out each part of the dough to 1/8 inch thickness. Cut into 2 inch squares. Place about 1 teaspoon of the chicken mixture in the center of 1/2 the squares, and top with remaining squares. Seal the edges of the squares with a moistened fork to form the ravioli.. Bring a large pot of lightly salted water to a boil, and cook the ravioli in small batches for about 8 minutes, or until al dente. Drain, and rinse under cold water.. Place the marinara sauce in a saucepan, and cook until heated through. Serve ravioli topped with marinara sauce and remaining Asiago cheese.","calories: 621, fat: 15g, carbs: 102g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/YOZVEXRIK9txkQ3pwS_xBansCIM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4582862-d233f1eaa5c646eb9d9fcffcdf514396.jpg
10 Best Recipes That Start with Frozen Ravioli,https://www.allrecipes.com/gallery/best-recipes-with-frozen-ravioli/,,,,https://www.allrecipes.com/thmb/IDvKu6YOtxX-jXS53eRGPPOw4dw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2316674_Randys-Slow-Cooker-Ravioli-Lasagna_Photo-by-KGora1-2000-b40487114f694af982509d5cf18774da.jpg
