name,link,ingredients,steps,nutrition,image_url
Fresh Orange Juice,https://www.allrecipes.com/recipe/89229/fresh-orange-juice/,"{'quantity': '4', 'unit': '', 'name': 'oranges'}",Gather all ingredients.. Lightly smack each orange on the counter. Cut each orange in half and squeeze juice into a glass.,"calories: 50, fat: 0g, carbs: 12g, protein: 1g, servings: 3",https://www.allrecipes.com/thmb/xS3iWl-8a1acmb0wJb8RDRfO44o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-8922-fresh-orange-juice-DDMFS-4x3-5ddc816f82c9417db63e5176a60305b4.jpg
Strawberry Orange Banana Smoothie,https://www.allrecipes.com/recipe/215163/strawberry-orange-banana-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '1', 'unit': '', 'name': 'ripe banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}","Blend strawberries, orange juice, banana, and ice in a blender until smooth and frothy.","calories: 238, fat: 1g, carbs: 58g, protein: 4g, servings: 1",https://www.allrecipes.com/thmb/Hu0ENnOtLbhzskFxtlsEkkPoDNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3926318-ee7aaacd2b3244b1a1efcc57361b32b7.jpg
Avocado Mango Salsa,https://www.allrecipes.com/recipe/89595/avocado-mango-salsa/,"{'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted and diced'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': '', 'name': 'mango - peeled, seeded and diced'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, chopped'}, {'quantity': '1', 'unit': None, 'name': 'habanero chile pepper, seeded and chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Place avocado in a serving bowl and mix with lime juice. Add mango, onion, habanero, cilantro, and salt; toss until evenly combined.","calories: 63, fat: 4g, carbs: 8g, protein: 1g, servings: 8",https://cdn.jwplayer.com/v2/media/LGmNRdvA/poster.jpg?width=720
Taco Slaw,https://www.allrecipes.com/recipe/215030/taco-slaw/,"{'quantity': '½', 'unit': 'small head', 'name': 'cabbage, finely chopped'}, {'quantity': '1', 'unit': None, 'name': 'carrot, finely chopped'}, {'quantity': '½', 'unit': None, 'name': 'red onion, minced'}, {'quantity': '1', 'unit': None, 'name': 'jalapeño pepper, seeded and minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': None, 'name': 'lime, juiced'}","Gather all ingredients.. Finely chop the cabbage, carrot, and cilantro. Mince the red onion. Seed and mince the jalapeño.. Combine chopped vegetables and lime juice in a bowl; toss to coat.","calories: 27, fat: 0g, carbs: 7g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/M-51O1R-Fs_j_GtgK-f1eeY5xuY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/215030-TacoSlaw-DDMFS-120-4x3-51194aa1604c40929deb64d455b9ea92.jpg
Raw Fermented Beets,https://www.allrecipes.com/recipe/259109/raw-fermented-beets/,"{'quantity': '2', 'unit': 'pounds', 'name': 'beets, peeled and cut into chunks'}, {'quantity': '4', 'unit': 'cloves', 'name': 'cloves garlic, peeled'}, {'quantity': '6', 'unit': '', 'name': 'peppercorns'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '3', 'unit': 'cups', 'name': 'water, boiled and cooled'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}","Distribute beet chunks between two jars with lids. Add 2 cloves garlic, 3 peppercorns, and 1 bay leaf to each jar.. Combine water and salt in a bowl to make the brine; stir until salt is completely dissolved. Pour enough brine into the jars to completely cover the beets.. Screw on lids and let jars sit at room temperature until foam starts to appear on top, about 1 week. Transfer jars to a cool place (50 degrees F, 10 degrees C) for 2 to 3 days after foam appears. Store in the refrigerator.","calories: 53, fat: 0g, carbs: 12g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/K2pvGvYg/poster.jpg?width=720
Salmon Tartare,https://www.allrecipes.com/recipe/263215/salmon-tartare/,"{'quantity': '1', 'unit': '(5 ounce)', 'name': 'very fresh salmon fillet'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced shallot'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh flat-leaf parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh chives'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced cornichon (small pickled cucumber)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'sea salt and freshly ground black pepper to taste'}","Remove salmon skin and cut out the grey-colored bloodline so you have only the shiny pink flesh. Cut salmon into small cubes and place in a bowl.. Stir in shallot, parsley, chives, pickle, lemon juice, sea salt, and pepper. Let marinate for 5 minutes before serving.","calories: 133, fat: 8g, carbs: 1g, protein: 14g, servings: 2",https://www.allrecipes.com/thmb/dcYSCVxZk7mhFR4WPTl7U9UbwWw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5221629-salmon-tartare-grubdaily-4x3-1-ad89b877d03443eb9cf97fd8d4387f6f.jpg
Homemade Flax Seed Milk,https://www.allrecipes.com/recipe/245438/homemade-flax-seed-milk/,"{'quantity': '½', 'unit': 'cup', 'name': 'flax seeds'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'water'}",Blend flax seeds and water in a blender on high for 1 minute; allow to rest for 2 minutes. Blend again on high for 1 minute; allow to rest for 5 minutes. Blend again for 30 seconds.. Pour milk through a nut bag or a strainer lined with cheesecloth into a pitcher or glass container; press solids with back of a spoon to extract liquid. Gather cheesecloth around solids; twist and squeeze to extract all the liquid.,"calories: 104, fat: 8g, carbs: 6g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/gZ-OQyEiN8O8QWS43KLnZ3X9yxE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2881141-cfc6b714ec5e4195bd959f59cbd8c5f0.jpg
Do-It-Yourself Salmon Poke Bowls,https://www.allrecipes.com/recipe/263252/do-it-yourself-salmon-poke-bowls/,"{'quantity': '4', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'rice vinegar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chile oil (Optional)'}, {'quantity': '¾', 'unit': 'pound', 'name': 'sashimi-grade salmon, cut into small cubes'}, {'quantity': '1', 'unit': '', 'name': 'avocado, sliced, or to taste'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, sliced, or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shelled edamame, or more to taste'}, {'quantity': '4', 'unit': 'sheets', 'name': 'dried seaweed, cut into strips, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pickled ginger, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'furikake (Japanese nori seasoning), or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped green onion, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds, or to taste'}","Divide rice among 4 bowls.. Mix soy sauce, rice vinegar, sesame oil, and chile oil in a bowl to make dressing. Mix salmon with the dressing. Divide among the 4 bowls.. Top bowls with avocado, red bell pepper, edamame, seaweed, pickled ginger, and furikake seasoning. Garnish with chopped green onion a sprinkling of sesame seeds.","calories: 511, fat: 20g, carbs: 57g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/Xsd-8TdBjFoDDOHarmb-mrx4ccY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4577202-08748cc54492482598c6090e56490e35.jpg
Fresh Tomato Salsa,https://www.allrecipes.com/recipe/14088/fresh-tomato-salsa/,"{'quantity': '3', 'unit': '', 'name': 'tomatoes, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely diced onion'}, {'quantity': '5', 'unit': '', 'name': 'serrano chiles, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lime juice'}","In a medium bowl, stir together tomatoes, onion, chili peppers, cilantro, salt, and lime juice. Chill for one hour in the refrigerator before serving.","calories: 52, fat: 0g, carbs: 10g, protein: 2g, servings: 4",https://cdn.jwplayer.com/v2/media/LgTDAJFz/poster.jpg?width=720
Blueberry Chia Pudding,https://www.allrecipes.com/recipe/263457/blueberry-chia-pudding-with-almond-milk/,"{'quantity': '2', 'unit': 'cups', 'name': 'almond milk'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'chia seeds, or more to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cinnamon'}",,"calories: 146, fat: 7g, carbs: 19g, protein: 3g, servings: 3",https://www.allrecipes.com/thmb/kdiQEo-8k66vq-Uvc4smnnZOnW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8315042-3d627465106246ed8310661c8c0a3f9d.jpg
